open,high,low,close,date,volume
753.8,760.75,741.55,749.1,2022-09-29,556512
749.1,764.9,746.5,754.5,2022-09-30,321194
753.85,764.4,736.4,741.3,2022-10-03,205155
755.0,759.6,744.3,757.15,2022-10-04,176647
760.3,769.9,757.1,763.0,2022-10-06,295262
763.0,764.65,720.25,737.2,2022-10-07,625971
727.0,734.7,718.8,724.25,2022-10-10,254858
725.45,729.75,703.25,707.15,2022-10-11,1070851
707.15,712.85,694.1,709.15,2022-10-12,436997
707.3,711.95,699.85,702.3,2022-10-13,217458
711.9,714.95,696.0,697.75,2022-10-14,238974
695.0,710.0,686.8,707.2,2022-10-17,205085
709.6,712.3,700.0,706.1,2022-10-18,147005
708.9,712.2,696.0,697.15,2022-10-19,355152
690.0,709.55,689.05,708.1,2022-10-20,392924
710.0,719.8,700.1,703.4,2022-10-21,261094
708.2,720.9,702.0,703.9,2022-10-24,37884
703.9,711.95,702.0,709.45,2022-10-25,534584
711.4,712.75,700.7,703.9,2022-10-27,238001
704.0,709.4,694.2,698.5,2022-10-28,98075
702.0,724.0,699.05,721.8,2022-10-31,442230
726.0,732.85,719.65,729.5,2022-11-01,476275
728.3,737.0,720.0,725.75,2022-11-02,408126
720.0,727.05,708.8,716.05,2022-11-03,198048
718.45,730.0,716.2,726.75,2022-11-04,742520
730.95,744.5,730.0,739.1,2022-11-07,572911
744.0,746.1,699.4,704.45,2022-11-09,1039790
689.0,689.0,634.05,646.35,2022-11-10,3903914
650.1,658.65,634.3,641.7,2022-11-11,1306411
644.85,670.0,640.6,663.15,2022-11-14,686983
668.0,672.8,659.8,664.75,2022-11-15,588702
666.0,672.0,652.65,656.8,2022-11-16,461537
656.8,659.95,645.25,647.05,2022-11-17,280482
648.65,655.0,641.3,653.25,2022-11-18,346494
651.0,666.0,648.9,662.5,2022-11-21,310560
665.0,681.5,662.6,666.15,2022-11-22,627317
666.5,673.85,657.0,671.0,2022-11-23,407891
673.65,678.25,657.15,659.35,2022-11-24,1001919
660.2,664.55,654.4,656.75,2022-11-25,678414
658.0,661.6,654.1,658.05,2022-11-28,761250
658.1,669.85,656.1,659.05,2022-11-29,848714
660.2,677.7,657.4,674.8,2022-11-30,1042278
677.0,689.0,669.3,679.7,2022-12-01,922165
680.0,694.55,676.25,691.15,2022-12-02,955293
694.0,699.0,685.3,691.8,2022-12-05,323965
688.7,701.8,688.35,699.7,2022-12-06,721845
704.35,707.95,694.25,706.3,2022-12-07,686847
706.3,730.7,703.1,729.8,2022-12-08,1328956
734.2,735.45,718.25,730.15,2022-12-09,1693319
732.8,733.4,721.1,732.6,2022-12-12,551511
735.65,738.5,723.7,725.15,2022-12-13,624661
728.8,734.0,720.45,722.45,2022-12-14,163741
722.85,733.0,717.15,721.75,2022-12-15,306417
717.5,724.0,708.8,714.45,2022-12-16,216106
714.5,721.0,709.3,719.45,2022-12-19,489293
717.95,718.0,703.05,707.45,2022-12-20,147164
711.0,717.15,693.7,699.95,2022-12-21,192138
700.9,705.05,688.15,701.95,2022-12-22,515120
697.1,698.55,679.15,684.95,2022-12-23,338069
683.0,703.9,666.0,699.85,2022-12-26,210346
700.0,714.75,700.0,705.55,2022-12-27,366277
705.55,711.25,700.85,709.6,2022-12-28,348292
707.0,710.0,690.0,700.0,2022-12-29,370942
701.5,704.95,692.95,700.25,2022-12-30,354622
700.0,709.0,696.05,706.15,2023-01-02,158224
705.95,718.7,698.3,713.25,2023-01-03,787994
716.95,722.25,705.5,708.45,2023-01-04,528497
710.0,712.0,702.1,710.05,2023-01-05,153672
710.05,720.0,707.1,713.85,2023-01-06,433110
719.0,724.25,708.3,712.9,2023-01-09,255695
714.15,719.65,697.2,700.1,2023-01-10,268735
700.5,707.8,697.6,704.55,2023-01-11,117092
705.8,711.7,702.25,704.3,2023-01-12,108626
705.9,711.55,701.6,709.75,2023-01-13,164073
710.9,716.4,707.8,712.05,2023-01-16,142034
711.8,715.8,707.25,712.2,2023-01-17,77842
709.0,715.5,705.1,714.15,2023-01-18,338853
717.0,717.9,705.65,712.3,2023-01-19,178379
712.3,715.4,703.0,704.75,2023-01-20,92233
706.95,707.25,685.0,689.9,2023-01-23,293754
689.9,690.95,675.0,678.8,2023-01-24,417997
676.65,678.7,665.8,670.3,2023-01-25,305396
670.3,674.9,642.05,651.8,2023-01-27,235402
651.05,675.75,646.85,655.0,2023-01-30,267002
655.0,679.95,654.9,675.7,2023-01-31,226524
676.0,699.95,666.1,677.15,2023-02-01,354607
677.15,694.9,668.85,681.8,2023-02-02,191139
683.8,688.9,669.1,683.2,2023-02-03,221276
683.2,693.5,679.3,683.5,2023-02-06,204570
684.0,734.7,670.8,701.2,2023-02-07,1234940
704.65,735.7,701.15,730.35,2023-02-08,760772
726.05,738.7,721.0,724.05,2023-02-09,373232
720.0,737.0,707.6,734.2,2023-02-10,310663
737.0,743.35,720.15,730.4,2023-02-13,523378
723.8,732.55,721.0,723.45,2023-02-14,128518
719.0,743.9,718.0,740.4,2023-02-15,269691
745.0,745.8,722.55,725.0,2023-02-16,507442
725.95,751.6,725.95,733.45,2023-02-17,1145667
737.15,742.8,716.75,738.05,2023-02-20,516579
741.5,748.65,717.8,735.0,2023-02-21,613569
726.6,733.0,708.75,723.5,2023-02-22,966440
721.0,731.0,719.15,724.25,2023-02-23,528776
724.25,737.45,716.85,720.5,2023-02-24,384414
720.0,724.15,701.65,706.85,2023-02-27,377141
709.8,718.75,703.1,714.5,2023-02-28,150319
715.95,732.55,710.85,730.3,2023-03-01,317663
732.0,737.35,719.05,725.5,2023-03-02,257391
729.15,737.85,715.0,734.3,2023-03-03,450446
738.2,742.0,719.55,728.2,2023-03-06,421168
725.0,747.0,722.55,742.35,2023-03-08,416748
745.4,750.5,724.0,729.9,2023-03-09,528417
728.0,731.9,717.8,729.55,2023-03-10,206648
729.55,731.7,703.8,716.1,2023-03-13,769995
716.0,719.95,706.2,711.5,2023-03-14,288472
714.2,737.0,711.5,715.75,2023-03-15,283993
715.75,721.0,708.9,717.1,2023-03-16,221157
721.85,725.0,715.4,718.6,2023-03-17,309107
715.0,725.25,712.05,719.1,2023-03-20,471056
720.0,728.95,717.05,725.55,2023-03-21,251028
730.55,735.95,725.1,732.6,2023-03-22,182917
729.8,743.8,726.15,740.5,2023-03-23,511163
740.0,746.8,728.0,744.5,2023-03-24,650793
745.0,759.95,736.85,743.75,2023-03-27,625795
746.0,746.25,735.3,738.9,2023-03-28,179341
744.0,755.8,740.0,749.65,2023-03-29,749652
752.0,759.4,743.0,756.65,2023-03-31,370013
760.0,770.0,747.7,755.05,2023-04-03,423326
759.0,762.0,745.05,761.0,2023-04-05,361575
761.0,762.25,752.85,755.1,2023-04-06,192190
758.55,762.0,748.4,759.75,2023-04-10,239220
759.75,761.8,755.0,756.8,2023-04-11,193522
755.5,768.45,754.0,757.5,2023-04-12,332852
759.95,759.95,743.0,746.5,2023-04-13,260904
745.0,765.9,737.0,763.0,2023-04-17,581873
765.75,768.35,750.55,755.6,2023-04-18,205980
758.0,758.0,740.2,742.85,2023-04-19,321854
743.0,747.4,738.1,740.15,2023-04-20,83664
749.0,753.45,721.85,725.55,2023-04-21,733993
725.95,734.0,716.05,727.95,2023-04-24,145274
729.8,731.8,722.5,725.4,2023-04-25,128204
725.0,732.6,720.55,730.15,2023-04-26,151462
730.15,732.55,725.0,728.25,2023-04-27,117499
730.0,742.5,726.1,736.2,2023-04-28,424722
741.1,746.45,735.0,742.1,2023-05-02,128667
743.0,752.65,738.25,747.9,2023-05-03,136488
750.0,756.5,744.7,754.35,2023-05-04,140033
754.9,763.95,749.55,761.25,2023-05-05,250588
764.0,779.95,760.15,773.75,2023-05-08,398542
773.75,782.6,768.75,770.8,2023-05-09,263548
773.8,781.35,765.0,767.0,2023-05-10,160702
769.95,779.95,767.55,776.5,2023-05-11,182923
780.0,782.3,765.95,768.8,2023-05-12,263637
765.7,775.35,764.25,770.25,2023-05-15,223516
770.0,776.7,758.6,771.05,2023-05-16,256577
771.05,792.7,771.05,789.0,2023-05-17,535744
798.0,799.25,763.3,781.6,2023-05-18,936356
798.9,850.0,798.0,843.9,2023-05-19,6819595
842.0,884.65,836.3,879.9,2023-05-22,1684588
877.0,891.1,871.9,884.4,2023-05-23,805192
880.0,893.6,877.2,883.05,2023-05-24,487934
877.05,888.0,874.15,882.55,2023-05-25,633274
882.6,885.1,869.3,875.4,2023-05-26,232319
880.0,889.0,872.2,886.9,2023-05-29,228720
888.15,922.8,885.0,919.3,2023-05-30,1164477
921.5,925.5,898.75,904.1,2023-05-31,704655
904.45,916.4,901.1,908.3,2023-06-01,290889
910.4,919.0,905.05,914.95,2023-06-02,422482
915.55,921.95,907.15,911.75,2023-06-05,150261
915.0,934.7,912.75,922.05,2023-06-06,930863
925.0,926.05,913.4,921.2,2023-06-07,349145
919.75,922.75,896.7,916.55,2023-06-08,408187
920.0,937.3,910.05,932.55,2023-06-09,685237
936.0,939.5,928.8,937.75,2023-06-12,220816
938.95,946.0,931.25,933.85,2023-06-13,393076
934.5,944.05,931.85,939.25,2023-06-14,233242
940.25,951.7,932.8,939.55,2023-06-15,490555
942.0,950.4,939.5,943.85,2023-06-16,184309
939.05,949.95,931.8,934.8,2023-06-19,338919
934.95,939.6,925.0,927.5,2023-06-20,362938
928.9,951.5,927.45,949.35,2023-06-21,635614
949.0,949.0,924.15,932.8,2023-06-22,482154
929.0,937.65,917.6,930.2,2023-06-23,380440
921.8,938.0,908.3,934.25,2023-06-26,324920
934.9,948.45,924.5,929.45,2023-06-27,679072
937.9,942.05,930.95,933.65,2023-06-28,1226964
938.0,939.9,920.85,924.25,2023-06-30,416769
930.0,942.9,927.0,940.5,2023-07-03,268182
940.0,947.0,934.95,936.05,2023-07-04,446403
937.0,945.0,929.95,940.85,2023-07-05,218648
940.95,953.0,933.9,935.05,2023-07-06,381284
935.05,937.65,924.25,926.45,2023-07-07,501029
934.0,938.75,917.95,921.2,2023-07-10,309824
925.05,937.95,923.6,934.45,2023-07-11,235443
934.7,939.4,920.55,925.35,2023-07-12,442706
930.2,945.0,924.5,928.8,2023-07-13,799131
936.2,941.85,920.2,926.15,2023-07-14,373226
926.15,933.1,913.0,921.05,2023-07-17,463860
925.0,929.95,915.45,920.3,2023-07-18,326604
921.55,927.55,917.2,922.75,2023-07-19,280757
921.1,925.0,905.15,909.35,2023-07-20,431743
908.45,908.9,873.0,887.35,2023-07-21,843389
890.0,915.0,879.5,882.1,2023-07-24,156072
886.7,900.1,883.55,897.6,2023-07-25,330236
900.0,902.3,886.3,891.55,2023-07-26,83521
896.2,897.5,874.1,879.75,2023-07-27,217944
880.1,886.25,871.1,880.55,2023-07-28,349181
880.55,913.75,880.55,886.2,2023-07-31,145284
887.7,894.9,879.55,883.2,2023-08-01,358600
883.2,897.6,872.9,883.55,2023-08-02,847623
877.0,884.55,865.0,871.1,2023-08-03,272167
870.0,882.0,855.3,876.6,2023-08-04,692816
876.6,881.8,841.0,874.15,2023-08-07,2159122
850.0,866.9,827.7,847.85,2023-08-08,1979102
849.95,867.7,839.8,864.4,2023-08-09,311739
865.0,873.4,853.1,856.0,2023-08-10,394889
856.0,860.7,846.6,854.8,2023-08-11,306684
854.8,857.4,836.3,840.5,2023-08-14,171652
840.3,847.45,831.6,842.75,2023-08-16,267991
842.0,846.15,834.85,841.25,2023-08-17,291836
841.2,858.0,831.75,852.1,2023-08-18,507414
852.1,862.0,845.45,856.65,2023-08-21,171713
865.0,871.2,850.0,858.35,2023-08-22,386486
860.0,862.4,843.8,849.95,2023-08-23,293364
851.45,866.9,851.45,859.05,2023-08-24,389328
860.0,862.95,850.1,854.85,2023-08-25,199823
856.0,870.95,850.3,868.9,2023-08-28,236041
872.8,885.0,866.95,869.65,2023-08-29,411142
873.4,876.0,862.35,869.6,2023-08-30,284650
869.6,877.95,863.0,867.7,2023-08-31,198221
869.0,892.2,863.05,888.3,2023-09-01,386966
895.25,925.9,889.0,921.9,2023-09-04,916870
928.95,929.45,915.15,920.95,2023-09-05,249377
921.0,922.45,909.3,913.2,2023-09-06,188203
909.95,914.2,894.3,901.65,2023-09-07,485728
906.0,906.0,889.6,902.5,2023-09-08,244365
907.35,912.65,896.2,899.6,2023-09-11,190602
899.6,907.2,885.0,899.1,2023-09-12,529410
899.1,905.85,888.75,897.15,2023-09-13,104852
902.0,909.7,887.0,894.75,2023-09-14,199432
895.0,900.7,892.0,894.85,2023-09-15,96483
896.5,899.55,881.05,886.4,2023-09-18,131091
884.3,887.7,866.6,874.5,2023-09-20,500228
874.0,878.75,863.8,866.85,2023-09-21,160808
867.6,871.5,856.45,858.7,2023-09-22,115405
860.55,910.4,860.55,904.8,2023-09-25,1271511
909.9,935.0,904.95,929.7,2023-09-26,1385187
940.0,940.95,916.05,923.6,2023-09-27,836431
920.65,925.3,897.7,909.1,2023-09-28,638779
916.0,927.0,907.65,910.2,2023-09-29,345047
915.0,925.0,912.7,916.9,2023-10-03,462949
916.9,956.5,910.4,951.6,2023-10-04,2181162
959.0,963.8,935.4,939.5,2023-10-05,1214662
940.0,957.85,939.5,949.7,2023-10-06,1018851
940.1,954.2,926.2,949.7,2023-10-09,473866
949.9,957.0,939.0,947.3,2023-10-10,426847
950.05,994.8,948.2,983.4,2023-10-11,1911654
988.9,1002.0,979.55,998.95,2023-10-12,590749
998.9,1004.6,990.95,996.1,2023-10-13,267415
998.35,1015.0,988.15,1000.4,2023-10-16,523283
1007.9,1007.9,987.0,992.65,2023-10-17,293519
992.1,994.65,982.3,987.15,2023-10-18,182240
985.0,1003.2,969.5,992.85,2023-10-19,358888
991.85,1016.2,989.2,994.3,2023-10-20,659496
996.95,1009.8,970.3,975.35,2023-10-23,431256
975.0,996.7,966.6,982.0,2023-10-25,310034
982.0,983.7,961.0,977.35,2023-10-26,232004
983.2,990.0,969.8,972.65,2023-10-27,203280
972.0,987.0,960.75,984.05,2023-10-30,145683
989.2,994.65,981.05,991.7,2023-10-31,155209
999.4,999.4,981.05,984.3,2023-11-01,212776
989.5,999.0,985.3,992.5,2023-11-02,136480
998.0,998.5,980.3,983.6,2023-11-03,181569
989.65,1013.9,983.65,1005.65,2023-11-06,563962
1009.0,1013.55,997.6,1001.3,2023-11-07,414838
1003.4,1011.6,999.15,1009.95,2023-11-08,331428
1012.35,1040.0,995.8,1022.2,2023-11-09,1807675
1020.0,1024.65,970.55,986.2,2023-11-10,1736004
987.1,997.8,985.0,987.6,2023-11-12,60261
987.8,1016.0,983.25,995.0,2023-11-13,530744
1000.1,1009.7,992.8,994.8,2023-11-15,522596
997.95,1005.85,979.4,1003.15,2023-11-16,398368
1003.9,1017.7,1003.1,1006.55,2023-11-17,201111
1009.95,1010.5,982.0,984.5,2023-11-20,316855
985.35,992.8,980.05,981.85,2023-11-21,433252
981.85,988.5,966.35,972.95,2023-11-22,413704
974.45,979.95,960.0,966.65,2023-11-23,211786
966.7,974.45,959.1,961.85,2023-11-24,144669
962.5,975.95,960.05,971.55,2023-11-28,301132
976.6,997.05,975.0,993.25,2023-11-29,651708
1000.85,1001.55,985.9,993.9,2023-11-30,473612
1003.15,1009.95,991.3,1005.7,2023-12-01,303877
1015.0,1038.15,1002.25,1032.4,2023-12-04,692925
1033.0,1049.7,1017.85,1023.75,2023-12-05,591746
1025.9,1036.1,1015.75,1018.9,2023-12-06,235629
1022.0,1038.0,1012.4,1022.3,2023-12-07,461494
1025.0,1033.0,1003.2,1019.0,2023-12-08,441145
1021.0,1035.0,1019.85,1031.45,2023-12-11,187137
1036.8,1045.0,1028.7,1039.75,2023-12-12,426127
1049.8,1056.2,1035.1,1048.75,2023-12-13,646039
1056.7,1058.2,1036.8,1041.45,2023-12-14,440892
1044.05,1048.75,1029.75,1035.05,2023-12-15,356694
1038.8,1038.8,1003.0,1012.65,2023-12-18,840226
1016.55,1034.5,1010.0,1026.35,2023-12-19,459226
1029.95,1034.0,990.05,996.5,2023-12-20,719452
992.0,996.5,970.3,990.1,2023-12-21,418323
997.55,1002.95,974.35,979.75,2023-12-22,255974
979.8,996.5,977.25,987.8,2023-12-26,318005
1002.0,1037.4,1002.0,1016.0,2023-12-27,1923581
1015.0,1028.0,1009.25,1015.9,2023-12-28,536429
1018.2,1023.3,1006.0,1020.35,2023-12-29,186571
