open,high,low,close,date,volume
261.55,266.6,260.0,260.55,2022-09-29,27508
263.0,264.0,257.0,263.0,2022-09-30,30935
260.6,264.8,254.2,256.75,2022-10-03,58938
264.0,268.0,259.7,261.95,2022-10-04,59022
264.95,272.1,262.8,263.85,2022-10-06,91370
265.0,270.8,261.05,267.55,2022-10-07,75271
262.5,270.0,261.0,267.35,2022-10-10,42603
268.7,270.15,261.05,262.0,2022-10-11,28298
263.7,265.0,255.85,260.65,2022-10-12,35440
260.3,263.55,255.8,257.8,2022-10-13,26513
260.5,270.0,256.75,258.15,2022-10-14,63816
257.5,262.0,253.8,255.4,2022-10-17,43322
256.95,258.9,254.2,256.45,2022-10-18,47708
256.45,261.9,255.0,255.95,2022-10-19,30467
254.0,260.8,253.8,256.5,2022-10-20,82954
257.0,262.25,252.6,253.5,2022-10-21,53322
256.85,258.35,255.05,256.85,2022-10-24,10951
256.8,264.3,255.55,260.3,2022-10-25,27091
260.8,261.95,253.2,254.05,2022-10-27,34690
254.2,255.05,250.0,251.8,2022-10-28,39806
251.8,253.9,244.0,245.5,2022-10-31,79441
245.6,254.8,245.6,253.55,2022-11-01,49334
253.55,255.0,249.75,250.9,2022-11-02,32630
250.0,253.9,242.55,243.9,2022-11-03,65490
245.0,253.25,245.0,249.5,2022-11-04,39604
250.1,255.0,235.0,251.9,2022-11-07,250587
251.0,251.0,240.0,241.4,2022-11-09,108307
244.8,244.8,236.1,236.75,2022-11-10,34015
239.45,246.35,237.05,239.8,2022-11-11,78562
239.85,241.0,236.0,237.0,2022-11-14,34636
237.0,238.35,234.75,235.75,2022-11-15,32028
234.0,240.25,234.0,236.75,2022-11-16,30321
237.2,239.45,231.7,233.4,2022-11-17,31510
233.4,235.85,227.15,228.65,2022-11-18,42115
228.6,231.2,225.4,227.1,2022-11-21,26829
227.1,228.45,225.95,226.85,2022-11-22,19969
228.85,245.0,227.4,240.0,2022-11-23,127445
240.0,245.95,237.85,238.65,2022-11-24,55490
237.6,243.0,237.6,239.75,2022-11-25,36863
240.0,283.45,240.0,278.65,2022-11-28,1191357
276.8,279.8,262.8,266.75,2022-11-29,203332
267.5,268.35,258.1,262.3,2022-11-30,112358
264.0,286.9,264.0,277.2,2022-12-01,578919
278.45,282.0,270.9,272.75,2022-12-02,112249
273.7,275.75,267.35,271.05,2022-12-05,35624
271.85,274.9,263.1,266.6,2022-12-06,46127
266.55,269.0,258.0,260.85,2022-12-07,40055
261.9,276.9,261.05,265.4,2022-12-08,91308
266.0,270.8,261.0,262.7,2022-12-09,42210
263.45,268.2,260.3,265.55,2022-12-12,28924
267.55,269.5,262.05,263.2,2022-12-13,29504
263.2,278.0,263.2,273.35,2022-12-14,125764
273.2,278.0,264.3,266.3,2022-12-15,73804
262.35,267.15,260.25,261.35,2022-12-16,40577
262.6,263.75,252.05,253.55,2022-12-19,59482
259.0,274.0,253.7,270.1,2022-12-20,368652
271.8,272.4,260.05,261.6,2022-12-21,112611
265.0,265.0,249.2,261.35,2022-12-22,234660
253.0,259.4,248.0,249.05,2022-12-23,104476
251.8,255.0,246.4,250.45,2022-12-26,44217
254.0,257.25,252.4,255.2,2022-12-27,34234
256.7,257.75,252.35,253.5,2022-12-28,27317
251.1,259.55,251.1,255.85,2022-12-29,59776
258.3,260.45,251.1,253.7,2022-12-30,43352
255.25,258.0,250.05,254.4,2023-01-02,51681
253.25,258.0,252.05,252.65,2023-01-03,32043
253.6,255.0,250.0,251.85,2023-01-04,47427
252.1,254.15,245.75,248.6,2023-01-05,44212
246.1,248.3,241.75,243.2,2023-01-06,37514
248.0,248.2,242.25,244.35,2023-01-09,43748
246.8,247.95,242.25,243.75,2023-01-10,24822
243.9,247.85,242.95,244.05,2023-01-11,22039
244.05,247.65,242.7,245.05,2023-01-12,28113
245.05,264.8,243.3,248.35,2023-01-13,424900
249.35,249.55,245.3,245.7,2023-01-16,40089
246.4,246.4,242.45,243.0,2023-01-17,36419
243.95,245.8,241.1,243.15,2023-01-18,24354
241.9,244.2,240.0,240.75,2023-01-19,35968
240.75,241.85,235.75,236.45,2023-01-20,42739
239.4,243.05,235.8,239.3,2023-01-23,44595
240.9,246.95,240.4,242.6,2023-01-24,70171
241.0,244.4,238.9,241.55,2023-01-25,28145
