open,high,low,close,date,volume
1921.95,1965.0,1857.95,1909.05,2022-09-29,20446
1894.0,1907.2,1867.05,1888.65,2022-09-30,13556
1898.1,1899.9,1831.0,1873.5,2022-10-03,15825
1882.9,1927.35,1880.0,1918.0,2022-10-04,11477
1933.9,1978.4,1904.0,1926.9,2022-10-06,19171
1921.4,1967.95,1917.55,1952.2,2022-10-07,9281
1962.0,2020.0,1927.55,1995.2,2022-10-10,24227
2005.2,2008.0,1968.1,1994.3,2022-10-11,9464
2004.3,2040.0,1976.1,2026.2,2022-10-12,11543
2036.35,2086.9,2000.0,2067.8,2022-10-13,23164
2078.15,2125.0,2027.6,2049.1,2022-10-14,25840
2059.35,2135.0,2005.0,2021.2,2022-10-17,38876
2022.0,2043.55,1984.65,2013.3,2022-10-18,24361
2013.3,2023.4,1985.05,1996.1,2022-10-19,13713
2006.1,2140.6,1978.05,2014.6,2022-10-20,61411
2015.35,2024.7,1992.0,2003.25,2022-10-21,6615
2019.35,2131.0,2008.95,2113.25,2022-10-24,24791
2113.0,2113.0,2035.55,2065.15,2022-10-25,15446
2060.0,2085.25,2040.0,2063.05,2022-10-27,17769
2054.0,2092.0,2046.0,2060.05,2022-10-28,8164
2070.4,2088.0,2035.1,2061.4,2022-10-31,15515
2067.5,2090.5,1984.65,2000.55,2022-11-01,16690
2018.9,2020.95,1970.15,1984.7,2022-11-02,10632
1978.0,2022.4,1952.5,1985.5,2022-11-03,47024
1995.0,1998.0,1960.0,1970.65,2022-11-04,6084
1980.0,1994.05,1940.35,1949.55,2022-11-07,36561
1959.3,1959.5,1914.05,1928.25,2022-11-09,11181
1927.1,1960.0,1906.55,1923.65,2022-11-10,21361
1923.0,1948.5,1907.55,1915.95,2022-11-11,76814
1915.95,1980.0,1909.7,1969.6,2022-11-14,14346
1969.6,2009.75,1944.45,1952.25,2022-11-15,16191
1950.0,1955.9,1918.95,1925.5,2022-11-16,75969
1928.55,1947.85,1899.3,1937.05,2022-11-17,34659
1934.0,1946.0,1901.0,1923.75,2022-11-18,7577
1933.4,1933.4,1903.95,1909.25,2022-11-21,3119
1918.8,1980.0,1905.05,1964.6,2022-11-22,14924
1962.6,1977.95,1940.05,1967.05,2022-11-23,5953
1965.0,1966.85,1941.05,1948.2,2022-11-24,2929
1951.3,1959.15,1903.85,1913.65,2022-11-25,9475
1920.0,1937.95,1900.0,1924.45,2022-11-28,10408
