open,high,low,close,date,volume
118.0,119.0,114.05,114.45,2023-09-26,476097
114.2,120.7,111.0,116.15,2023-09-27,1256551
116.6,117.45,112.75,113.25,2023-09-28,384726
113.95,115.85,113.45,114.5,2023-09-29,262942
114.9,115.4,111.0,112.05,2023-10-03,335056
112.45,113.55,109.8,111.35,2023-10-04,748276
112.0,113.5,111.1,112.35,2023-10-05,257323
112.7,118.7,112.25,117.15,2023-10-06,967893
115.0,117.3,113.8,114.1,2023-10-09,405049
115.05,117.5,113.45,113.95,2023-10-10,1221742
114.0,115.7,113.75,114.3,2023-10-11,336028
115.75,122.2,115.75,120.75,2023-10-12,2597982
122.45,134.7,121.95,133.1,2023-10-13,9411420
133.85,138.0,130.4,133.85,2023-10-16,3459813
135.2,136.7,132.75,134.3,2023-10-17,1282345
134.75,134.75,130.35,132.85,2023-10-18,1071726
131.85,135.4,130.5,133.35,2023-10-19,1250426
133.2,134.55,127.9,128.9,2023-10-20,790607
129.2,129.2,118.25,119.2,2023-10-23,1415085
121.2,122.95,114.0,116.25,2023-10-25,801688
115.8,118.8,112.55,117.25,2023-10-26,609466
118.1,122.75,118.1,121.25,2023-10-27,451437
121.0,124.3,120.25,122.0,2023-10-30,574963
123.65,126.5,122.75,124.95,2023-10-31,572035
126.0,127.2,122.15,123.15,2023-11-01,582124
125.2,128.9,123.3,126.15,2023-11-02,665282
127.35,127.35,123.9,124.35,2023-11-03,274333
125.65,126.55,122.2,122.95,2023-11-06,289064
123.95,124.45,118.5,120.05,2023-11-07,665187
121.6,121.85,119.65,120.0,2023-11-08,291532
120.7,122.25,118.5,119.15,2023-11-09,333641
118.5,121.9,118.25,120.0,2023-11-10,570676
120.9,123.0,120.9,122.7,2023-11-12,130367
123.0,123.75,119.4,121.7,2023-11-13,433092
122.1,122.9,120.15,120.55,2023-11-15,238632
120.55,120.95,119.0,119.3,2023-11-16,329537
119.45,120.2,117.45,118.3,2023-11-17,289625
118.0,118.9,116.65,116.95,2023-11-20,275909
117.6,118.95,116.05,116.7,2023-11-21,221042
117.0,117.6,115.0,116.0,2023-11-22,232681
118.0,120.3,117.8,118.85,2023-11-23,450903
119.65,120.35,118.0,118.35,2023-11-24,182733
119.3,120.2,118.05,118.4,2023-11-28,147365
119.75,119.75,117.2,117.4,2023-11-29,248717
118.5,118.5,115.7,117.25,2023-11-30,196382
118.0,119.1,117.15,117.6,2023-12-01,280674
119.75,119.75,117.8,118.9,2023-12-04,248242
118.6,122.7,118.5,119.8,2023-12-05,984627
120.1,121.3,119.3,120.2,2023-12-06,301325
121.95,121.95,118.5,119.25,2023-12-07,387520
119.4,120.2,116.6,117.5,2023-12-08,272377
117.55,118.0,115.15,115.8,2023-12-11,612858
115.9,117.5,115.1,115.7,2023-12-12,287811
116.35,117.55,115.0,116.65,2023-12-13,314349
117.2,117.6,115.45,116.3,2023-12-14,327569
117.4,120.7,116.8,118.05,2023-12-15,1330417
117.45,119.25,117.2,117.7,2023-12-18,295942
117.7,118.4,116.35,117.45,2023-12-19,279844
117.9,118.2,112.35,113.4,2023-12-20,770290
113.0,115.45,111.55,114.8,2023-12-21,283688
115.4,116.5,114.5,114.65,2023-12-22,215549
115.8,118.2,115.0,117.15,2023-12-26,336552
118.0,122.6,117.1,119.65,2023-12-27,1032416
120.25,120.5,115.65,116.15,2023-12-28,3012505
116.9,116.9,114.75,115.4,2023-12-29,297609
