open,high,low,close,date,volume
128.7,129.0,123.45,126.5,2022-09-29,436481
127.7,130.35,125.45,129.5,2022-09-30,540471
128.8,133.8,127.25,131.6,2022-10-03,957458
133.4,133.7,129.0,130.0,2022-10-04,496650
130.65,131.95,128.5,130.4,2022-10-06,358093
129.2,131.4,128.9,129.25,2022-10-07,209089
127.25,128.95,126.1,126.4,2022-10-10,250993
126.5,128.05,125.2,126.15,2022-10-11,349254
125.8,127.25,123.9,126.0,2022-10-12,806269
125.7,129.9,124.7,127.95,2022-10-13,1535475
128.6,130.6,123.15,123.9,2022-10-14,1312935
120.7,124.8,120.7,122.25,2022-10-17,1351260
122.5,129.8,122.5,128.0,2022-10-18,1341402
127.2,127.65,121.45,122.5,2022-10-19,685814
122.5,124.25,122.3,122.95,2022-10-20,318544
123.0,123.6,118.5,120.1,2022-10-21,1477983
121.0,124.0,120.0,121.4,2022-10-24,231705
121.8,122.5,120.0,122.05,2022-10-25,348675
122.5,122.5,119.55,121.1,2022-10-27,443471
121.7,122.5,120.35,120.8,2022-10-28,233409
121.2,122.45,120.55,121.6,2022-10-31,290558
121.7,122.95,120.15,120.7,2022-11-01,280607
120.9,123.7,120.7,121.95,2022-11-02,425890
121.7,122.25,120.25,121.0,2022-11-03,280041
121.15,122.25,121.15,122.05,2022-11-04,401709
122.15,122.5,120.55,121.6,2022-11-07,379890
122.9,123.6,121.8,122.6,2022-11-09,413032
122.6,122.95,120.5,121.05,2022-11-10,295301
121.7,127.25,121.4,126.0,2022-11-11,1062343
125.1,125.15,116.5,117.05,2022-11-14,1809740
118.4,118.4,116.1,117.6,2022-11-15,514344
118.45,118.45,116.15,117.05,2022-11-16,550937
117.0,117.0,115.4,116.25,2022-11-17,344724
115.0,115.0,111.2,112.3,2022-11-18,696625
112.25,115.55,111.3,114.55,2022-11-21,367443
115.0,115.4,112.2,112.95,2022-11-22,295855
113.55,114.2,111.05,111.35,2022-11-23,350220
112.45,116.35,112.1,116.0,2022-11-24,1064076
116.1,118.6,115.0,117.1,2022-11-25,463304
117.2,120.75,116.65,120.0,2022-11-28,651037
120.6,120.8,118.25,119.0,2022-11-29,480395
119.5,121.0,117.3,120.55,2022-11-30,439390
121.4,121.4,118.65,119.5,2022-12-01,339813
119.1,120.25,117.25,117.7,2022-12-02,377657
118.15,119.5,118.15,118.6,2022-12-05,272761
120.0,120.8,116.5,117.8,2022-12-06,273797
118.5,120.0,116.2,118.1,2022-12-07,285557
118.9,118.9,116.55,117.4,2022-12-08,194585
117.85,118.7,115.5,116.1,2022-12-09,282515
116.15,117.7,115.5,116.3,2022-12-12,772956
116.6,118.5,115.6,118.2,2022-12-13,489575
118.3,119.6,116.8,118.95,2022-12-14,255730
119.0,120.0,118.1,118.95,2022-12-15,263938
118.95,119.5,115.3,116.2,2022-12-16,260912
116.2,119.0,116.1,117.8,2022-12-19,263707
117.95,118.0,115.0,117.05,2022-12-20,263775
117.2,118.55,116.9,118.0,2022-12-21,564817
