open,high,low,close,date,volume
1024.55,1025.0,1002.0,1017.05,2022-09-29,78592
1015.0,1022.4,1000.05,1006.85,2022-09-30,132206
1014.0,1029.0,1007.0,1013.45,2022-10-03,270148
1018.8,1026.95,1016.0,1021.35,2022-10-04,98518
1028.6,1034.6,1007.7,1010.15,2022-10-06,225313
1015.7,1016.7,1009.0,1010.7,2022-10-07,84063
1010.0,1010.6,994.0,998.0,2022-10-10,131578
999.05,1004.45,986.05,989.95,2022-10-11,109313
994.85,995.95,982.0,984.25,2022-10-12,114908
988.2,990.8,969.2,974.95,2022-10-13,190825
982.45,988.65,975.0,977.4,2022-10-14,75776
974.1,980.7,954.55,965.0,2022-10-17,791930
969.85,978.8,962.55,968.2,2022-10-18,123300
969.75,981.55,962.0,964.05,2022-10-19,151681
964.05,975.45,960.0,967.15,2022-10-20,86228
963.55,979.8,963.55,969.65,2022-10-21,121194
976.1,984.8,972.05,981.05,2022-10-24,40454
985.0,987.55,975.0,978.75,2022-10-25,67883
983.9,985.05,968.0,969.45,2022-10-27,82616
973.0,974.0,960.15,963.4,2022-10-28,80045
965.0,971.45,964.9,967.35,2022-10-31,54357
968.1,977.0,967.5,972.35,2022-11-01,92811
977.2,979.6,972.5,976.55,2022-11-02,105190
911.05,950.0,910.0,932.25,2022-11-03,956437
934.0,941.7,925.9,937.0,2022-11-04,218774
940.5,947.3,929.0,936.6,2022-11-07,214628
943.8,943.8,933.25,935.75,2022-11-09,119852
936.0,936.0,924.0,924.95,2022-11-10,109176
932.05,935.0,920.0,924.35,2022-11-11,130352
924.35,930.0,921.0,922.35,2022-11-14,87256
922.35,928.2,915.0,916.7,2022-11-15,108588
922.6,922.6,907.0,909.6,2022-11-16,170835
913.1,913.1,906.0,908.55,2022-11-17,106472
913.1,914.45,880.5,889.95,2022-11-18,284586
892.95,900.0,886.55,897.6,2022-11-21,123310
897.05,909.5,890.05,895.0,2022-11-22,231979
900.65,905.45,883.0,889.95,2022-11-23,478181
896.0,910.0,892.0,906.95,2022-11-24,327032
911.5,922.95,901.45,918.75,2022-11-25,159562
925.05,938.0,922.05,933.4,2022-11-28,123492
932.0,947.0,932.0,938.45,2022-11-29,138144
943.15,948.4,940.0,945.65,2022-11-30,94699
950.0,956.5,944.15,952.4,2022-12-01,153156
952.45,957.0,945.05,956.05,2022-12-02,72288
962.0,962.0,945.0,948.55,2022-12-05,79380
952.0,953.2,945.5,946.65,2022-12-06,42846
946.0,951.0,937.2,946.8,2022-12-07,59322
948.65,949.05,931.85,937.15,2022-12-08,74553
937.15,945.0,933.55,941.45,2022-12-09,62547
941.45,941.45,928.15,939.4,2022-12-12,65327
940.9,942.95,928.55,931.4,2022-12-13,59751
932.05,937.6,928.0,930.9,2022-12-14,57211
935.6,947.55,923.2,929.85,2022-12-15,124278
934.45,934.45,915.0,923.65,2022-12-16,56434
923.0,925.0,911.0,920.0,2022-12-19,49215
920.0,927.0,915.8,924.3,2022-12-20,48011
924.3,928.85,909.65,914.35,2022-12-21,64414
910.65,920.0,900.0,904.25,2022-12-22,79835
899.2,905.0,880.0,888.45,2022-12-23,175764
888.0,899.85,880.75,884.45,2022-12-26,558994
884.9,909.0,880.55,901.1,2022-12-27,360892
907.3,917.6,902.2,914.6,2022-12-28,139818
914.0,914.0,898.1,911.95,2022-12-29,59676
915.95,924.1,905.0,910.05,2022-12-30,59072
910.05,915.8,905.9,907.15,2023-01-02,32838
908.0,908.0,898.3,900.35,2023-01-03,73965
904.3,906.45,883.05,891.8,2023-01-04,59224
897.45,901.35,872.0,889.05,2023-01-05,506244
889.6,899.45,886.55,896.4,2023-01-06,59040
