open,high,low,close,date,volume
2360.0,2367.5,2313.0,2325.3,2022-09-29,6771046
2311.0,2402.0,2311.0,2377.75,2022-09-30,8589908
2391.5,2416.95,2363.0,2369.5,2022-10-03,5470030
2397.8,2418.0,2390.15,2413.2,2022-10-04,4129893
2429.0,2450.0,2418.15,2422.1,2022-10-06,6162021
2414.65,2443.9,2414.65,2432.35,2022-10-07,3560167
2405.0,2417.6,2388.0,2405.8,2022-10-10,2921076
2414.0,2414.0,2351.1,2357.9,2022-10-11,4252803
2352.0,2381.7,2343.1,2375.25,2022-10-12,3422992
2371.4,2394.0,2360.1,2382.8,2022-10-13,3382098
2415.0,2416.35,2369.1,2370.7,2022-10-14,4202459
2355.0,2414.0,2343.6,2408.75,2022-10-17,7720595
2422.0,2463.0,2420.15,2451.25,2022-10-18,5729899
2454.5,2527.85,2441.7,2493.9,2022-10-19,8882553
2485.0,2519.0,2485.0,2500.6,2022-10-20,4022919
2507.7,2516.8,2467.0,2471.6,2022-10-21,3804352
2460.0,2502.5,2455.3,2479.85,2022-10-24,1555270
2499.0,2499.0,2438.0,2441.55,2022-10-25,5645639
2458.0,2468.45,2432.8,2451.15,2022-10-27,5774775
2465.0,2535.0,2459.45,2526.15,2022-10-28,8126824
2541.0,2560.95,2532.2,2549.6,2022-10-31,5731802
2600.0,2600.0,2508.0,2529.85,2022-11-01,6443999
2532.3,2550.2,2515.0,2545.65,2022-11-02,4145144
2529.85,2559.55,2525.05,2555.15,2022-11-03,3089026
2553.9,2600.0,2551.1,2592.75,2022-11-04,5803737
2591.0,2610.3,2574.0,2606.6,2022-11-07,5440967
2610.3,2621.95,2590.05,2604.0,2022-11-09,5193814
2590.0,2596.55,2563.0,2572.5,2022-11-10,2753420
2600.0,2636.0,2588.0,2631.8,2022-11-11,5681124
2630.75,2642.0,2605.15,2619.05,2022-11-14,4173395
2622.3,2626.4,2590.0,2607.3,2022-11-15,3270388
2610.0,2615.95,2581.35,2592.35,2022-11-16,4484007
2584.95,2613.0,2580.0,2599.05,2022-11-17,3074259
2606.75,2609.0,2571.1,2597.65,2022-11-18,2447425
2588.0,2588.0,2543.1,2550.9,2022-11-21,2949108
2545.0,2568.5,2536.5,2565.05,2022-11-22,3051201
2575.0,2577.9,2552.25,2557.05,2022-11-23,2959787
2566.0,2594.0,2548.2,2579.1,2022-11-24,4333225
2589.0,2624.9,2582.1,2617.6,2022-11-25,3391988
2608.9,2721.05,2502.0,2707.55,2022-11-28,14549929
2703.95,2731.65,2694.0,2712.2,2022-11-29,5103687
2712.5,2745.45,2698.2,2731.35,2022-11-30,12075137
2741.8,2755.0,2716.0,2723.3,2022-12-01,4377696
2730.0,2748.0,2700.6,2722.15,2022-12-02,5348595
2712.0,2716.75,2678.0,2682.45,2022-12-05,6843367
2665.1,2697.0,2661.0,2690.2,2022-12-06,3966243
2685.0,2695.0,2642.15,2650.5,2022-12-07,3905263
2660.0,2665.0,2640.1,2649.25,2022-12-08,3579858
2646.0,2660.0,2601.85,2609.1,2022-12-09,5840633
2585.5,2623.0,2585.0,2613.1,2022-12-12,4374946
2613.1,2633.0,2606.7,2625.0,2022-12-13,3845839
2637.65,2638.95,2611.0,2615.5,2022-12-14,3354618
2602.5,2615.0,2571.0,2578.35,2022-12-15,4009765
2571.0,2618.8,2558.15,2565.6,2022-12-16,7308934
2581.0,2604.0,2566.7,2599.3,2022-12-19,3567363
2583.9,2626.0,2566.0,2621.8,2022-12-20,3446291
2621.0,2633.0,2576.1,2584.5,2022-12-21,3935463
2598.0,2604.65,2566.75,2577.8,2022-12-22,3438692
2563.3,2590.5,2492.25,2502.2,2022-12-23,4733657
2514.75,2542.0,2492.4,2524.05,2022-12-26,2764496
2530.0,2548.8,2515.25,2544.7,2022-12-27,2659749
2538.0,2549.8,2521.5,2544.45,2022-12-28,3442509
2527.0,2548.9,2525.5,2543.3,2022-12-29,3198493
2545.1,2577.0,2541.1,2547.2,2022-12-30,3364092
2550.0,2579.0,2548.2,2575.9,2023-01-02,2453414
2565.05,2573.0,2547.8,2557.05,2023-01-03,3534596
2557.0,2561.05,2514.0,2518.55,2023-01-04,4275746
2523.5,2536.4,2504.0,2514.05,2023-01-05,6293519
2526.65,2547.95,2518.3,2536.9,2023-01-06,2930338
2545.3,2602.0,2543.35,2596.8,2023-01-09,4948549
2606.0,2606.0,2546.0,2558.4,2023-01-10,3713755
2552.5,2558.0,2521.1,2526.15,2023-01-11,5311657
2524.85,2532.5,2465.0,2471.6,2023-01-12,8163366
2458.4,2472.9,2434.6,2467.6,2023-01-13,9515473
2472.7,2479.65,2427.0,2444.1,2023-01-16,6287407
2458.0,2483.0,2450.6,2478.8,2023-01-17,4961585
2473.5,2491.1,2460.35,2474.7,2023-01-18,6206382
2472.9,2481.15,2456.65,2472.05,2023-01-19,5510333
2475.0,2475.0,2437.25,2442.65,2023-01-20,6890325
2449.0,2466.2,2425.0,2430.3,2023-01-23,5055324
2440.0,2443.65,2387.35,2415.95,2023-01-24,7609558
2412.45,2414.7,2380.0,2382.55,2023-01-25,5715684
2384.4,2387.35,2311.65,2337.35,2023-01-27,11920991
2331.7,2371.9,2301.0,2359.75,2023-01-30,10047822
2382.0,2387.65,2341.0,2353.85,2023-01-31,10472167
2379.95,2379.95,2305.0,2339.9,2023-02-01,8929007
2318.0,2348.0,2311.0,2326.95,2023-02-02,6305317
2349.0,2349.0,2293.0,2329.0,2023-02-03,11398850
2315.0,2321.0,2305.8,2311.45,2023-02-06,6847679
2312.0,2327.4,2293.0,2305.9,2023-02-07,6985001
2313.0,2359.9,2307.0,2351.95,2023-02-08,9765490
2353.45,2370.85,2334.0,2356.05,2023-02-09,6079228
2354.9,2354.9,2321.3,2336.65,2023-02-10,4979789
2340.2,2350.0,2313.55,2323.35,2023-02-13,4777674
2329.95,2381.9,2323.65,2378.1,2023-02-14,6609564
2376.0,2437.2,2373.0,2431.95,2023-02-15,15461902
2449.45,2463.8,2425.05,2430.05,2023-02-16,7967558
2420.0,2447.5,2410.6,2440.2,2023-02-17,5450092
2445.0,2449.75,2410.1,2414.4,2023-02-20,4078245
2424.0,2446.8,2412.35,2434.1,2023-02-21,6143298
2425.95,2430.0,2375.05,2378.9,2023-02-22,5087729
2378.0,2394.75,2361.35,2367.5,2023-02-23,4546655
