open,high,low,close,date,volume
459.55,475.5,438.7,445.4,2022-09-29,5295
445.4,451.0,440.0,444.85,2022-09-30,4772
438.0,465.0,433.8,456.4,2022-10-03,5648
462.0,462.0,447.0,449.25,2022-10-04,4430
459.0,465.2,446.0,448.55,2022-10-06,12164
455.2,471.75,445.2,464.55,2022-10-07,6294
462.25,472.6,456.0,458.45,2022-10-10,9181
464.95,465.0,440.55,445.75,2022-10-11,8882
448.4,449.5,435.0,438.15,2022-10-12,5189
444.65,464.8,436.1,448.7,2022-10-13,4503
455.35,460.7,442.2,454.6,2022-10-14,4678
454.8,455.1,446.05,450.4,2022-10-17,1121
457.1,464.8,452.0,462.2,2022-10-18,1875
467.0,467.0,451.6,454.75,2022-10-19,1963
454.75,456.0,442.75,446.35,2022-10-20,3303
442.0,448.4,440.0,441.6,2022-10-21,1321
448.15,465.8,445.0,460.4,2022-10-24,2194
455.25,461.2,450.05,452.45,2022-10-25,1555
459.15,459.15,442.3,445.3,2022-10-27,1591
445.55,450.0,440.55,442.45,2022-10-28,1817
451.25,454.45,441.0,445.95,2022-10-31,3690
448.45,449.2,440.3,443.0,2022-11-01,2305
440.2,469.0,440.2,453.45,2022-11-02,2041
446.9,452.0,425.5,434.95,2022-11-03,5243
441.0,451.45,432.8,447.15,2022-11-04,4876
448.0,449.95,437.05,440.8,2022-11-07,2909
447.35,453.65,421.0,423.15,2022-11-09,11155
434.0,434.65,420.7,427.55,2022-11-10,3694
436.5,446.25,427.0,440.6,2022-11-11,6141
442.55,446.5,436.0,441.4,2022-11-14,2790
430.0,447.45,425.0,428.95,2022-11-15,18795
435.35,437.8,425.05,432.9,2022-11-16,4406
428.0,436.65,414.0,418.4,2022-11-17,6366
420.55,422.95,399.0,402.75,2022-11-18,10935
410.5,410.9,402.3,405.9,2022-11-21,7934
408.1,409.15,393.75,399.55,2022-11-22,4796
405.4,407.7,393.05,401.35,2022-11-23,7559
405.75,405.75,397.0,399.05,2022-11-24,1672
398.0,400.9,395.1,398.35,2022-11-25,2252
407.5,407.5,393.9,394.65,2022-11-28,12102
395.2,403.05,391.0,395.9,2022-11-29,5127
404.6,407.8,395.85,401.3,2022-11-30,66748
404.95,417.9,396.35,400.8,2022-12-01,12203
398.1,406.15,395.0,396.45,2022-12-02,7594
411.0,411.0,397.85,399.1,2022-12-05,3372
400.0,402.95,395.0,399.85,2022-12-06,3399
399.8,399.8,392.6,397.05,2022-12-07,1902
397.1,398.9,389.2,392.85,2022-12-08,5326
397.0,397.45,391.1,394.15,2022-12-09,2163
400.0,400.0,390.3,394.55,2022-12-12,1915
394.0,398.35,392.6,394.45,2022-12-13,1748
396.85,399.95,396.1,397.2,2022-12-14,1981
398.0,403.15,394.2,394.9,2022-12-15,1999
397.0,397.0,386.9,388.6,2022-12-16,4889
390.0,390.2,382.25,389.0,2022-12-19,3284
388.6,394.9,385.55,389.45,2022-12-20,1627
392.15,393.45,381.0,381.9,2022-12-21,2567
387.55,387.55,352.5,364.75,2022-12-22,12803
363.0,368.95,348.05,350.5,2022-12-23,11750
350.5,375.0,350.5,374.05,2022-12-26,2800
379.65,380.95,367.1,369.25,2022-12-27,2767
367.6,378.9,358.2,372.0,2022-12-28,5554
376.65,380.05,368.45,376.1,2022-12-29,3482
377.85,394.0,373.95,384.8,2022-12-30,2185
390.55,399.0,382.9,395.8,2023-01-02,2395
399.0,402.75,386.95,390.1,2023-01-03,4109
390.1,400.9,385.0,389.3,2023-01-04,5827
391.35,393.0,384.65,388.85,2023-01-05,972
388.6,390.1,384.25,384.85,2023-01-06,488
390.05,395.95,384.1,384.8,2023-01-09,1365
382.2,387.7,382.05,387.7,2023-01-10,239
389.9,393.4,370.0,372.95,2023-01-11,7258
375.05,376.5,368.0,369.85,2023-01-12,1284
373.6,374.7,351.1,354.35,2023-01-13,55913
358.0,364.95,357.05,360.75,2023-01-16,28850
360.75,364.75,357.0,359.0,2023-01-17,3306
364.4,364.5,358.05,361.5,2023-01-18,1732
362.45,363.0,359.3,362.2,2023-01-19,1309
362.2,366.25,352.3,354.6,2023-01-20,3230
361.65,364.45,354.7,359.0,2023-01-23,4017
360.0,362.85,352.4,357.5,2023-01-24,2195
361.95,409.95,352.25,363.9,2023-01-25,132318
373.0,424.0,368.8,377.35,2023-01-27,271662
383.0,383.05,371.0,375.55,2023-01-30,19162
377.1,379.15,365.35,368.8,2023-01-31,16919
374.25,403.9,369.65,375.9,2023-02-01,41235
380.95,399.0,376.0,382.45,2023-02-02,11148
384.0,384.0,368.5,373.75,2023-02-03,11831
371.7,380.2,370.3,371.75,2023-02-06,5280
376.45,376.5,366.4,373.7,2023-02-07,6884
371.45,380.95,369.55,376.6,2023-02-08,5331
373.0,383.95,371.0,373.15,2023-02-09,10323
378.85,382.0,372.05,378.95,2023-02-10,4091
380.0,381.6,371.3,374.0,2023-02-13,7054
377.95,386.9,371.3,374.15,2023-02-14,6258
374.3,379.95,371.2,371.65,2023-02-15,2154
375.8,381.75,375.8,379.4,2023-02-16,6729
382.9,382.9,366.95,372.05,2023-02-17,8743
376.0,378.6,371.45,376.1,2023-02-20,5292
380.3,405.5,373.0,390.2,2023-02-21,39420
390.2,391.75,380.3,382.1,2023-02-22,16153
380.05,390.8,375.3,381.05,2023-02-23,10559
381.1,386.75,373.5,374.85,2023-02-24,10681
371.85,379.3,370.3,373.4,2023-02-27,7043
373.25,389.5,373.05,384.95,2023-02-28,14974
390.65,390.65,377.7,385.05,2023-03-01,13149
388.0,389.95,381.95,383.75,2023-03-02,13911
382.75,389.5,380.0,381.4,2023-03-03,4296
382.05,389.75,377.05,380.0,2023-03-06,11785
383.85,385.75,378.65,384.4,2023-03-08,1654
384.3,391.0,382.0,389.15,2023-03-09,8663
392.95,404.75,384.2,385.8,2023-03-10,24313
385.8,398.0,382.1,384.8,2023-03-13,19532
382.2,388.6,371.8,373.75,2023-03-14,12596
379.35,382.45,374.9,375.05,2023-03-15,7438
374.6,389.0,370.1,379.0,2023-03-16,4395
380.0,389.85,376.0,376.7,2023-03-17,6515
376.0,379.0,372.1,374.25,2023-03-20,7612
379.85,379.85,366.0,370.75,2023-03-21,14679
376.25,376.25,368.45,371.8,2023-03-22,7393
368.5,377.25,367.5,372.3,2023-03-23,6026
377.8,377.8,368.25,369.6,2023-03-24,2389
370.15,376.0,354.0,355.95,2023-03-27,10984
361.05,361.25,336.6,348.75,2023-03-28,16315
346.0,353.95,342.0,347.95,2023-03-29,7766
352.85,362.9,350.6,356.45,2023-03-31,7529
357.15,375.0,357.1,369.7,2023-04-03,1730
375.15,380.0,364.55,368.4,2023-04-05,8343
373.85,381.0,366.75,376.95,2023-04-06,121716
393.0,395.0,376.0,378.2,2023-04-10,6798
379.0,387.0,378.65,383.65,2023-04-11,8266
389.35,389.35,375.3,377.8,2023-04-12,4501
377.0,381.5,373.0,374.7,2023-04-13,3797
374.0,380.25,373.7,375.9,2023-04-17,2680
378.0,435.9,378.0,403.9,2023-04-18,180566
407.9,418.3,401.05,405.25,2023-04-19,45942
405.25,406.6,393.15,394.95,2023-04-20,10061
395.4,400.4,382.15,387.7,2023-04-21,6937
390.95,414.7,382.6,388.9,2023-04-24,41520
393.85,401.05,383.1,388.8,2023-04-25,18104
390.05,393.95,383.0,385.85,2023-04-26,6757
389.7,399.0,385.1,394.6,2023-04-27,9108
398.0,404.95,383.8,386.7,2023-04-28,53217
389.8,394.8,382.45,383.7,2023-05-02,19826
382.0,399.7,382.0,394.5,2023-05-03,26362
400.35,404.45,390.05,394.9,2023-05-04,11306
409.0,409.0,387.0,390.15,2023-05-05,27071
395.85,409.0,394.85,401.35,2023-05-08,25538
401.15,409.9,399.0,403.3,2023-05-09,8436
407.35,417.65,403.4,409.35,2023-05-10,38752
436.0,449.0,410.55,413.2,2023-05-11,161249
418.7,423.9,411.95,416.1,2023-05-12,36091
416.1,499.3,416.1,499.3,2023-05-15,802022
548.0,590.0,536.0,566.5,2023-05-16,2634112
552.75,557.0,518.0,535.55,2023-05-17,514641
539.95,589.1,525.55,589.1,2023-05-18,304426
599.9,619.7,575.0,603.75,2023-05-19,313020
604.8,604.8,561.1,564.2,2023-05-22,98161
569.65,591.8,555.1,573.8,2023-05-23,75988
575.0,575.0,550.1,551.85,2023-05-24,54273
555.0,582.0,546.15,554.75,2023-05-25,59787
565.0,568.8,544.6,550.05,2023-05-26,41954
548.2,566.9,545.95,551.5,2023-05-29,17961
558.0,562.0,547.05,557.15,2023-05-30,17628
565.0,574.9,551.3,560.85,2023-05-31,26205
569.9,616.9,561.8,616.9,2023-06-01,84814
663.9,664.0,610.1,619.7,2023-06-02,155333
629.0,630.0,585.5,589.2,2023-06-05,40586
598.5,598.5,567.1,578.15,2023-06-06,32944
584.95,596.75,574.1,578.75,2023-06-07,23019
578.0,590.1,556.0,562.65,2023-06-08,25336
566.9,586.9,561.2,577.1,2023-06-09,37644
578.0,589.6,571.0,575.05,2023-06-12,14524
578.7,592.6,570.0,589.05,2023-06-13,32586
594.5,598.0,578.0,586.5,2023-06-14,24868
586.5,586.5,577.7,579.2,2023-06-15,29846
593.0,593.0,572.0,574.6,2023-06-16,34160
584.9,584.9,563.6,566.5,2023-06-19,23546
575.0,582.0,562.2,577.05,2023-06-20,66203
574.9,599.7,573.95,580.1,2023-06-21,67197
584.7,584.7,567.0,570.5,2023-06-22,28922
572.05,579.9,567.1,570.15,2023-06-23,17939
579.9,579.9,568.5,570.9,2023-06-26,7491
574.0,607.0,574.0,596.9,2023-06-27,31278
597.25,635.75,597.25,608.45,2023-06-28,108248
601.65,669.25,601.65,667.65,2023-06-30,104563
