open,high,low,close,date,volume
306.0,330.6,302.8,323.9,2022-09-29,4119803
327.0,329.7,318.55,326.45,2022-09-30,1360003
330.0,358.95,330.0,337.2,2022-10-03,4968304
342.4,351.8,336.3,345.1,2022-10-04,1354330
348.0,359.9,346.15,347.95,2022-10-06,1810811
349.05,375.65,347.8,364.2,2022-10-07,5366172
367.0,379.85,361.2,374.2,2022-10-10,2905211
376.0,376.55,356.7,358.65,2022-10-11,1271557
360.0,362.15,339.05,344.2,2022-10-12,1411492
345.9,386.85,345.0,380.35,2022-10-13,5863737
391.25,404.9,379.75,387.2,2022-10-14,11246546
387.2,391.2,370.6,379.4,2022-10-17,1879091
382.9,393.65,375.7,388.15,2022-10-18,1608305
389.3,392.6,378.0,379.75,2022-10-19,1136984
378.95,380.85,372.0,374.3,2022-10-20,696051
375.8,377.7,361.0,364.85,2022-10-21,570224
367.8,369.0,366.55,367.95,2022-10-24,145524
369.45,384.4,364.0,382.45,2022-10-25,1216408
382.45,382.95,359.0,361.7,2022-10-27,1107151
363.0,376.15,362.45,374.85,2022-10-28,1397596
374.0,389.0,367.25,386.2,2022-10-31,1069175
385.0,388.6,378.05,382.9,2022-11-01,669720
383.0,384.0,373.1,375.85,2022-11-02,400889
374.0,417.0,371.1,409.7,2022-11-03,5209812
416.2,433.0,398.85,403.2,2022-11-04,8459464
404.8,417.9,392.8,412.2,2022-11-07,3053696
410.4,420.85,405.0,409.65,2022-11-09,1738071
402.0,409.3,373.0,380.55,2022-11-10,1843432
387.65,389.7,364.0,366.55,2022-11-11,1523876
368.4,379.3,360.0,364.45,2022-11-14,2315598
367.0,378.0,361.05,375.75,2022-11-15,1765661
376.0,392.9,372.0,387.6,2022-11-16,2536569
382.75,388.9,379.0,385.35,2022-11-17,995123
384.55,389.95,382.15,385.5,2022-11-18,627913
382.2,388.25,377.0,380.05,2022-11-21,452221
380.05,388.8,377.2,381.8,2022-11-22,530993
383.1,389.9,380.75,385.3,2022-11-23,1131648
387.2,408.0,385.55,393.9,2022-11-24,2848698
394.1,397.95,388.3,390.75,2022-11-25,932448
389.1,396.4,385.65,387.25,2022-11-28,907216
387.8,393.7,375.65,377.8,2022-11-29,575741
378.5,380.0,364.0,367.2,2022-11-30,1145019
369.7,376.35,368.0,373.55,2022-12-01,613894
372.5,379.4,372.0,374.15,2022-12-02,412488
376.0,376.05,368.0,369.2,2022-12-05,305576
368.0,375.7,367.1,371.3,2022-12-06,397635
371.35,377.05,368.65,371.75,2022-12-07,314626
372.0,374.05,366.6,367.4,2022-12-08,252322
369.25,374.4,363.6,364.95,2022-12-09,366581
365.75,373.2,360.75,368.85,2022-12-12,396316
373.0,384.15,371.7,382.95,2022-12-13,960635
386.4,388.5,375.0,376.65,2022-12-14,604948
376.9,377.15,366.0,366.85,2022-12-15,376339
363.2,372.0,355.0,357.85,2022-12-16,474333
359.5,363.5,342.05,346.15,2022-12-19,949449
347.25,348.3,330.5,340.7,2022-12-20,1414389
342.35,348.3,331.1,333.0,2022-12-21,711559
333.9,336.95,319.55,327.25,2022-12-22,507060
325.25,325.95,309.55,310.9,2022-12-23,503833
305.6,317.95,305.6,313.3,2022-12-26,575318
316.5,318.8,307.15,314.0,2022-12-27,953497
315.6,339.0,314.95,335.95,2022-12-28,2394399
332.0,344.4,330.3,341.25,2022-12-29,974191
343.0,347.6,336.7,339.25,2022-12-30,502547
341.1,344.4,339.65,342.65,2023-01-02,513202
342.0,345.9,334.9,337.35,2023-01-03,446170
338.45,340.9,329.1,331.4,2023-01-04,637742
333.1,338.55,331.5,335.45,2023-01-05,351779
336.5,338.9,331.3,334.4,2023-01-06,226975
334.7,337.9,334.05,334.9,2023-01-09,142886
335.45,336.0,325.0,325.7,2023-01-10,191836
326.55,331.0,316.9,328.35,2023-01-11,829295
330.1,336.4,324.4,326.35,2023-01-12,446995
326.35,333.35,325.6,328.45,2023-01-13,287291
329.65,336.9,327.55,334.9,2023-01-16,384830
336.5,336.6,326.5,327.7,2023-01-17,381802
328.55,342.0,328.45,340.5,2023-01-18,1422506
340.0,344.95,337.45,341.65,2023-01-19,370848
341.8,349.6,340.05,341.6,2023-01-20,618177
343.95,350.95,341.2,348.95,2023-01-23,418591
349.0,351.35,343.0,345.5,2023-01-24,268828
346.0,346.15,333.4,336.45,2023-01-25,248218
337.95,341.8,321.0,335.8,2023-01-27,398638
335.1,349.8,333.2,346.95,2023-01-30,405401
347.8,365.0,345.8,361.45,2023-01-31,716218
361.0,364.6,334.45,340.5,2023-02-01,711246
340.05,347.0,330.55,331.4,2023-02-02,358718
333.05,333.1,325.55,330.05,2023-02-03,204719
331.2,333.35,327.85,330.15,2023-02-06,149963
331.85,336.5,328.45,330.85,2023-02-07,299935
332.7,336.5,332.0,333.25,2023-02-08,156890
334.4,335.35,329.0,330.65,2023-02-09,109748
333.75,338.55,328.25,330.2,2023-02-10,283003
338.4,338.4,329.0,334.3,2023-02-13,353181
335.25,337.2,329.4,335.3,2023-02-14,166704
334.5,336.9,332.5,334.95,2023-02-15,141598
335.25,342.95,335.0,340.75,2023-02-16,289877
334.1,343.5,334.1,336.5,2023-02-17,236744
340.0,343.7,329.15,330.45,2023-02-20,336448
331.25,333.25,321.0,322.2,2023-02-21,303811
319.95,321.2,311.3,312.05,2023-02-22,242255
313.35,332.0,312.65,329.0,2023-02-23,756131
330.65,340.0,330.6,338.15,2023-02-24,548922
336.0,336.7,323.05,324.55,2023-02-27,181751
325.0,329.2,323.0,326.2,2023-02-28,128306
327.85,336.5,326.25,334.65,2023-03-01,196988
336.35,348.75,334.05,341.45,2023-03-02,769309
345.0,357.0,345.0,350.6,2023-03-03,1226761
352.6,357.8,350.15,351.85,2023-03-06,347059
349.35,352.85,345.55,350.9,2023-03-08,206222
350.0,373.5,349.55,370.8,2023-03-09,2174933
368.0,376.5,363.25,366.15,2023-03-10,1233691
367.55,369.25,345.1,348.2,2023-03-13,531333
349.95,353.3,338.1,340.85,2023-03-14,339451
345.95,353.65,341.0,342.2,2023-03-15,450514
344.0,345.0,335.1,343.8,2023-03-16,333727
348.0,359.0,348.0,356.65,2023-03-17,564747
355.75,355.8,348.0,350.45,2023-03-20,162911
353.7,360.8,351.45,353.9,2023-03-21,358696
354.7,357.25,350.7,351.3,2023-03-22,199417
351.25,359.9,349.2,358.15,2023-03-23,266362
356.1,358.45,347.0,348.4,2023-03-24,175416
352.5,353.95,343.7,345.15,2023-03-27,241324
345.15,347.45,337.0,339.4,2023-03-28,156777
341.1,350.75,340.05,349.6,2023-03-29,224695
350.45,356.35,349.6,354.55,2023-03-31,502339
354.6,360.25,354.6,357.45,2023-04-03,312052
358.7,360.25,347.3,350.25,2023-04-05,309595
350.25,353.25,349.3,350.3,2023-04-06,90402
348.85,352.1,347.2,350.1,2023-04-10,106345
350.15,351.65,345.95,347.5,2023-04-11,97098
347.4,350.45,345.0,346.3,2023-04-12,126016
349.0,354.0,343.0,344.85,2023-04-13,407073
344.85,348.95,342.55,345.7,2023-04-17,284757
346.5,352.45,342.3,347.65,2023-04-18,290297
346.95,352.9,346.7,347.8,2023-04-19,186687
347.95,355.0,347.95,349.5,2023-04-20,205597
351.0,354.0,346.15,347.3,2023-04-21,136190
347.0,353.1,344.5,349.7,2023-04-24,440869
351.45,384.0,350.95,380.1,2023-04-25,5736330
385.0,389.0,375.5,380.1,2023-04-26,1982499
379.4,397.35,376.55,389.2,2023-04-27,2246245
389.2,398.6,382.2,385.2,2023-04-28,772620
387.2,421.65,385.5,414.3,2023-05-02,3826757
410.0,419.15,405.8,408.5,2023-05-03,1920085
410.75,412.2,392.6,395.55,2023-05-04,884677
397.0,427.5,396.15,416.6,2023-05-05,5148445
417.8,433.0,409.3,422.35,2023-05-08,2033188
424.0,426.7,404.05,406.75,2023-05-09,923742
408.0,411.5,397.15,404.0,2023-05-10,666281
405.05,410.75,400.05,404.35,2023-05-11,678736
405.3,410.75,401.0,402.8,2023-05-12,570351
403.85,408.45,396.5,397.75,2023-05-15,414560
399.5,403.0,385.1,388.35,2023-05-16,543166
388.8,406.1,388.8,396.5,2023-05-17,1120894
398.5,400.0,385.5,389.2,2023-05-18,367299
387.05,387.15,367.0,368.8,2023-05-19,1508280
368.8,377.0,366.55,368.2,2023-05-22,601035
369.6,377.7,369.0,370.75,2023-05-23,350377
371.7,376.45,371.1,373.8,2023-05-24,400892
374.95,386.6,370.3,385.25,2023-05-25,583116
387.0,394.4,382.5,383.85,2023-05-26,460503
386.05,386.2,379.5,380.95,2023-05-29,299301
381.6,382.75,374.5,375.15,2023-05-30,195059
375.0,380.8,373.65,374.6,2023-05-31,275044
376.0,387.1,376.0,381.05,2023-06-01,411193
381.15,385.05,373.1,374.7,2023-06-02,448058
376.5,376.55,370.5,371.65,2023-06-05,244514
371.55,388.8,371.55,382.2,2023-06-06,1628398
382.95,391.35,381.1,383.05,2023-06-07,1055648
385.0,387.7,377.8,380.45,2023-06-08,383657
382.25,384.55,373.4,376.25,2023-06-09,447405
378.15,384.85,374.4,374.9,2023-06-12,576756
376.0,385.7,375.85,381.15,2023-06-13,594702
381.4,388.0,378.45,379.65,2023-06-14,709301
380.9,383.4,376.45,378.35,2023-06-15,342172
385.0,400.0,381.3,398.55,2023-06-16,2912597
405.0,408.0,392.0,393.75,2023-06-19,1792265
394.25,394.3,384.6,386.25,2023-06-20,676345
388.0,394.4,386.25,388.85,2023-06-21,559455
389.25,390.05,378.3,380.45,2023-06-22,401651
380.5,385.55,376.5,379.45,2023-06-23,435155
380.95,385.7,378.65,383.05,2023-06-26,336177
383.05,387.45,380.05,380.7,2023-06-27,349393
382.65,385.15,376.75,378.2,2023-06-28,336434
377.05,378.25,370.55,371.95,2023-06-30,825608
372.9,377.95,368.9,371.55,2023-07-03,633456
372.05,374.6,364.8,366.7,2023-07-04,494817
368.0,372.0,366.35,366.85,2023-07-05,370256
367.0,373.75,364.85,372.55,2023-07-06,579348
374.4,385.9,373.5,377.9,2023-07-07,1660347
378.4,379.5,371.1,371.85,2023-07-10,370253
373.6,385.0,371.3,383.1,2023-07-11,1054118
385.0,398.0,384.0,395.15,2023-07-12,2227693
397.15,399.05,382.4,386.95,2023-07-13,741407
388.05,391.3,383.55,389.4,2023-07-14,421096
390.0,411.35,388.5,408.2,2023-07-17,3263397
411.0,419.3,407.55,409.15,2023-07-18,3099717
411.9,427.0,411.5,419.15,2023-07-19,2765937
421.25,429.7,418.55,424.2,2023-07-20,2049295
423.95,464.4,421.5,454.7,2023-07-21,9780273
459.15,502.0,457.1,485.9,2023-07-24,10804906
488.85,503.25,471.75,493.1,2023-07-25,2810471
493.1,509.85,486.1,497.4,2023-07-26,2971441
493.0,495.05,473.45,478.3,2023-07-27,1980632
478.3,478.3,435.0,457.45,2023-07-28,1456716
447.95,473.9,446.1,464.5,2023-07-31,2501859
466.85,471.55,454.05,465.45,2023-08-01,1534878
465.5,470.05,452.0,461.3,2023-08-02,1220877
456.0,467.4,456.0,459.3,2023-08-03,1000223
461.0,471.0,454.5,456.5,2023-08-04,792187
457.2,465.55,453.75,458.5,2023-08-07,728334
461.3,465.5,450.9,453.7,2023-08-08,594373
455.0,474.9,451.3,470.65,2023-08-09,2711651
473.05,486.5,464.1,475.2,2023-08-10,3144725
478.0,480.75,471.05,474.35,2023-08-11,2635608
476.0,476.55,463.05,467.7,2023-08-14,648319
455.0,467.2,455.0,460.0,2023-08-16,970801
461.4,464.25,455.65,457.25,2023-08-17,521051
457.0,458.3,443.0,452.7,2023-08-18,767970
452.65,476.0,448.1,473.35,2023-08-21,1598641
476.0,490.85,469.6,473.65,2023-08-22,3241385
479.95,489.0,470.0,472.2,2023-08-23,1962652
473.0,478.95,463.6,467.75,2023-08-24,1192115
467.0,467.2,457.05,460.05,2023-08-25,470362
460.25,490.75,458.3,482.75,2023-08-28,4009047
485.0,487.6,474.9,477.45,2023-08-29,990923
479.0,511.9,475.3,504.95,2023-08-30,9010793
506.2,509.1,496.35,500.8,2023-08-31,1436382
502.0,520.9,493.0,510.1,2023-09-01,4423569
528.0,531.1,508.35,513.8,2023-09-04,4217925
516.4,541.35,508.75,513.55,2023-09-05,4844492
515.0,517.6,499.0,504.25,2023-09-06,1661594
506.8,516.0,504.7,509.75,2023-09-07,1045790
509.75,567.9,508.05,547.95,2023-09-08,9181586
555.0,584.0,555.0,567.2,2023-09-11,7227879
572.55,572.55,510.0,513.2,2023-09-12,4168608
520.0,537.95,503.0,524.4,2023-09-13,3987043
529.9,534.3,523.0,527.9,2023-09-14,1209045
530.0,531.2,515.6,520.25,2023-09-15,794884
522.0,522.05,510.0,511.25,2023-09-18,510562
512.45,519.0,500.2,505.25,2023-09-20,749523
505.25,516.4,495.2,497.95,2023-09-21,986904
500.55,506.0,479.05,489.85,2023-09-22,1797992
492.3,502.95,487.35,492.85,2023-09-25,847036
493.0,509.95,492.2,494.6,2023-09-26,1053441
494.6,503.8,492.95,495.6,2023-09-27,706115
495.75,499.75,486.3,488.95,2023-09-28,477283
487.05,499.2,484.55,492.5,2023-09-29,617673
493.0,495.05,489.0,489.7,2023-10-03,372770
489.9,490.6,476.25,479.35,2023-10-04,640490
481.75,489.0,474.0,484.45,2023-10-05,1808721
486.9,491.9,478.25,482.0,2023-10-06,1222783
482.0,482.0,467.15,470.2,2023-10-09,685487
474.0,485.45,473.0,474.95,2023-10-10,745443
477.35,482.35,475.0,476.5,2023-10-11,365428
478.0,479.5,471.55,473.35,2023-10-12,581850
479.9,506.3,479.9,498.45,2023-10-13,7052928
503.5,509.0,494.2,502.2,2023-10-16,1727084
507.0,514.6,501.2,503.6,2023-10-17,2514427
505.6,507.8,493.0,504.5,2023-10-18,1272652
504.0,505.5,498.05,499.9,2023-10-19,505033
499.5,507.0,489.8,491.25,2023-10-20,632173
491.5,492.8,462.0,467.4,2023-10-23,622940
465.5,474.0,440.1,456.15,2023-10-25,993235
456.65,468.95,432.3,463.25,2023-10-26,1203486
468.0,472.0,457.0,460.4,2023-10-27,721309
461.55,465.6,457.0,463.05,2023-10-30,365312
465.4,469.65,445.1,451.55,2023-10-31,972131
450.0,457.8,439.8,442.65,2023-11-01,834132
445.0,449.85,437.0,443.05,2023-11-02,629733
448.0,449.45,437.55,438.9,2023-11-03,602062
445.5,452.0,440.05,449.2,2023-11-06,755798
449.3,457.0,446.8,449.2,2023-11-07,590274
448.8,456.0,448.35,449.65,2023-11-08,501022
449.5,452.75,438.1,439.4,2023-11-09,450232
440.0,440.25,435.5,438.75,2023-11-10,414742
446.55,449.1,445.25,448.1,2023-11-12,180861
