open,high,low,close,date,volume
43.65,43.65,42.6,42.6,2023-03-01,7557
40.5,40.5,40.5,40.5,2023-03-02,1593
38.5,41.55,38.5,38.5,2023-03-03,25616
39.3,39.65,36.6,36.75,2023-03-06,30847
37.95,38.55,36.95,38.55,2023-03-08,10722
39.6,40.45,38.3,39.6,2023-03-09,18184
40.85,41.5,39.05,39.85,2023-03-10,3917
39.5,40.65,37.85,37.85,2023-03-13,6457
37.0,37.95,35.95,35.95,2023-03-14,7667
35.1,37.0,34.15,36.6,2023-03-15,13349
36.2,37.2,34.8,35.85,2023-03-16,28549
37.45,37.45,34.05,34.55,2023-03-17,32754
35.35,36.25,34.85,36.15,2023-03-20,27498
37.95,37.95,36.45,37.95,2023-03-21,88350
38.85,39.8,38.8,39.8,2023-03-22,21324
41.45,41.75,39.8,41.75,2023-03-23,20499
42.5,43.8,42.5,43.8,2023-03-24,20780
44.9,45.7,42.25,43.8,2023-03-27,18614
41.85,44.55,41.65,41.65,2023-03-28,11349
39.65,43.7,39.6,39.6,2023-03-29,22008
39.4,41.55,37.65,37.9,2023-03-31,11347
39.0,39.75,38.25,39.75,2023-04-03,3420
40.5,41.35,38.55,39.45,2023-04-05,9842
39.45,40.55,38.25,39.4,2023-04-06,6146
39.9,39.9,38.25,38.65,2023-04-10,9740
38.75,39.9,38.5,39.2,2023-04-11,8081
41.0,41.0,39.7,39.8,2023-04-12,6612
40.0,41.75,39.55,41.65,2023-04-13,8926
42.5,43.0,41.0,41.45,2023-04-17,15804
40.4,42.1,40.4,40.5,2023-04-18,4813
40.6,41.95,40.55,40.65,2023-04-19,4513
41.95,42.65,41.55,42.65,2023-04-20,14304
42.35,44.1,40.7,41.0,2023-04-21,6751
39.5,42.1,39.5,40.4,2023-04-24,4049
40.35,41.9,40.35,41.45,2023-04-25,2957
42.3,42.3,40.2,40.3,2023-04-26,1665
40.3,41.0,39.5,39.95,2023-04-27,3437
39.2,41.0,39.2,40.55,2023-04-28,1902
41.4,42.1,40.55,42.0,2023-05-02,4230
42.05,42.1,40.55,41.15,2023-05-03,2773
42.0,43.05,40.4,41.9,2023-05-04,4996
41.0,42.7,41.0,42.05,2023-05-05,4575
42.9,42.9,41.4,41.45,2023-05-08,4355
41.5,42.8,40.15,40.75,2023-05-09,1666
40.75,41.8,40.3,40.85,2023-05-10,1194
42.6,42.6,40.75,41.6,2023-05-11,6238
42.25,42.6,41.6,41.95,2023-05-12,2271
42.9,42.9,40.85,42.35,2023-05-15,1546
41.2,42.3,40.8,41.35,2023-05-16,5839
40.8,42.5,40.75,41.4,2023-05-17,1281
41.35,41.95,40.5,41.15,2023-05-18,5059
40.75,42.25,40.25,40.65,2023-05-19,1485
40.65,40.65,40.0,40.0,2023-05-22,4109
39.45,41.8,39.2,40.75,2023-05-23,4310
41.7,41.7,40.0,40.4,2023-05-24,1607
41.0,41.85,39.95,41.35,2023-05-25,1659
39.9,40.5,39.3,39.4,2023-05-26,15031
40.0,40.8,39.0,40.4,2023-05-29,4276
40.85,41.0,38.4,38.45,2023-05-30,11102
38.95,39.55,37.8,38.0,2023-05-31,7094
38.0,39.85,36.2,36.8,2023-06-01,30737
36.8,38.6,35.1,38.6,2023-06-02,15725
40.5,40.5,39.4,40.5,2023-06-05,5800
42.5,42.5,40.7,42.5,2023-06-06,5881
44.4,44.6,42.6,44.2,2023-06-07,16027
43.5,45.95,43.0,43.25,2023-06-08,14404
44.25,45.0,43.05,44.8,2023-06-09,12439
43.05,46.0,43.05,44.7,2023-06-12,4240
44.7,45.8,43.2,43.4,2023-06-13,5289
44.85,44.85,43.3,44.65,2023-06-14,2303
44.8,44.8,42.5,43.5,2023-06-15,6781
45.4,45.4,42.5,42.9,2023-06-16,8920
43.3,43.75,41.6,41.8,2023-06-19,7239
41.4,43.45,41.35,42.75,2023-06-20,1907
43.65,44.5,41.65,42.6,2023-06-21,2604
42.95,42.95,41.45,41.9,2023-06-22,2968
41.7,43.2,41.25,41.55,2023-06-23,1237
42.85,42.85,41.8,42.7,2023-06-26,7310
43.55,43.55,42.0,42.4,2023-06-27,8269
42.4,43.15,41.4,42.25,2023-06-28,10211
41.35,43.75,41.25,41.3,2023-06-30,13878
43.0,43.0,41.0,41.25,2023-07-03,7012
42.8,42.8,41.0,41.15,2023-07-04,1699
41.3,41.8,40.6,41.5,2023-07-05,6747
41.0,41.95,40.6,40.95,2023-07-06,4402
41.05,42.45,41.05,41.85,2023-07-07,3125
42.8,42.8,40.35,42.1,2023-07-10,2672
41.25,42.7,40.6,40.65,2023-07-11,5813
40.7,42.25,40.2,40.65,2023-07-12,5178
41.95,41.95,40.5,41.4,2023-07-13,4128
41.95,41.95,40.55,41.3,2023-07-14,2874
40.8,41.65,40.2,40.5,2023-07-17,4952
41.0,41.35,40.2,40.45,2023-07-18,8215
40.45,41.5,40.2,40.4,2023-07-19,5582
40.35,41.8,40.2,40.65,2023-07-20,6629
40.65,41.45,39.7,40.45,2023-07-21,8585
41.9,41.9,39.75,40.0,2023-07-24,6104
40.0,44.0,40.0,44.0,2023-07-25,16803
48.4,48.4,47.0,48.4,2023-07-26,24120
52.8,53.2,50.0,53.2,2023-07-27,102740
55.8,55.85,52.5,54.85,2023-07-28,85520
56.9,56.9,52.1,52.1,2023-07-31,38287
50.1,50.95,49.5,49.5,2023-08-01,13019
47.35,48.55,47.05,47.05,2023-08-02,7719
44.7,49.4,44.7,45.85,2023-08-03,100692
46.3,47.0,45.15,45.35,2023-08-04,22718
45.05,47.6,43.15,44.0,2023-08-07,38844
45.3,45.3,41.8,42.5,2023-08-08,53441
42.15,43.4,40.4,41.2,2023-08-09,67540
42.5,42.9,39.15,39.55,2023-08-10,78623
40.75,41.5,39.45,41.5,2023-08-11,19735
43.5,43.55,41.5,41.9,2023-08-14,11087
42.2,42.9,41.8,42.4,2023-08-16,12188
43.0,43.0,41.6,42.2,2023-08-17,3180
42.0,42.9,40.3,40.65,2023-08-18,11909
42.4,42.6,40.4,42.05,2023-08-21,7872
41.25,44.15,41.25,43.2,2023-08-22,35046
44.4,44.4,42.0,43.8,2023-08-23,23717
44.9,44.9,43.1,43.75,2023-08-24,7816
43.9,43.9,43.0,43.4,2023-08-25,3583
43.9,43.9,41.5,42.0,2023-08-28,10790
41.1,42.7,41.1,41.7,2023-08-29,4405
43.35,43.35,41.5,42.5,2023-08-30,13542
42.4,43.0,41.7,42.25,2023-08-31,3655
42.5,44.35,41.75,44.35,2023-09-01,22243
46.5,46.55,43.45,45.55,2023-09-04,35267
45.55,46.75,44.05,44.95,2023-09-05,9677
44.95,46.0,43.75,44.4,2023-09-06,10463
44.65,45.25,42.95,44.0,2023-09-07,8992
45.3,45.3,43.8,44.35,2023-09-08,6208
45.6,45.6,44.3,44.75,2023-09-11,7209
45.05,45.05,43.5,43.7,2023-09-12,8616
43.0,45.3,43.0,43.85,2023-09-13,3622
43.9,45.3,43.05,44.55,2023-09-14,10563
43.55,45.7,43.55,44.25,2023-09-15,4143
45.45,45.45,43.25,44.15,2023-09-18,4510
44.05,46.35,43.8,45.9,2023-09-20,8862
45.9,46.0,44.8,45.5,2023-09-21,5504
45.5,46.25,44.05,45.1,2023-09-22,4723
45.15,46.0,44.5,44.75,2023-09-25,3690
46.0,46.0,44.05,44.6,2023-09-26,4442
44.95,45.45,44.1,44.45,2023-09-27,6253
44.2,46.45,43.25,44.25,2023-09-28,8659
43.6,45.75,43.6,45.2,2023-09-29,8582
46.5,46.5,44.25,44.75,2023-10-03,7469
44.55,44.75,43.85,43.85,2023-10-04,1347
44.0,45.6,43.9,44.65,2023-10-05,6320
45.5,46.85,45.1,46.75,2023-10-06,34603
46.75,48.05,44.6,46.9,2023-10-09,22892
47.9,49.2,46.15,47.45,2023-10-10,12492
49.0,49.8,48.05,49.8,2023-10-11,23922
50.2,50.5,47.4,49.7,2023-10-12,22332
49.75,50.3,47.55,47.9,2023-10-13,12555
49.0,49.0,46.1,47.1,2023-10-16,9361
48.7,48.7,46.0,47.6,2023-10-17,10997
46.2,49.0,45.8,48.25,2023-10-18,10651
48.45,48.85,46.3,47.8,2023-10-19,11144
48.45,48.55,46.2,46.95,2023-10-20,9502
46.65,47.5,44.6,44.6,2023-10-23,5648
43.05,45.7,43.05,44.4,2023-10-25,8437
44.05,46.2,42.45,45.1,2023-10-26,13158
45.95,46.95,43.55,46.75,2023-10-27,16046
46.7,48.65,45.4,48.1,2023-10-30,5495
49.0,49.0,45.7,46.15,2023-10-31,4907
47.4,47.55,45.3,46.65,2023-11-01,14201
46.7,48.9,45.25,47.3,2023-11-02,15786
46.55,47.9,46.55,47.2,2023-11-03,14518
47.25,48.5,47.15,48.05,2023-11-06,3697
47.15,49.15,46.55,47.45,2023-11-07,10837
47.6,49.05,45.9,46.4,2023-11-08,8497
46.5,48.6,46.5,47.0,2023-11-09,4569
46.25,47.9,46.25,46.85,2023-11-10,8632
46.85,48.5,46.85,48.35,2023-11-12,695
48.4,50.75,46.5,50.45,2023-11-13,54674
50.5,50.65,48.55,49.35,2023-11-15,20864
48.9,50.75,48.65,49.25,2023-11-16,13936
49.15,50.5,48.05,48.9,2023-11-17,12603
48.25,49.75,47.95,48.8,2023-11-20,4072
47.85,49.7,47.85,48.4,2023-11-21,6118
47.4,50.35,47.4,48.2,2023-11-22,1506
48.3,50.6,48.3,49.1,2023-11-23,15576
49.45,49.95,48.25,48.9,2023-11-24,12093
49.4,50.4,48.5,49.45,2023-11-28,9452
50.25,51.9,48.15,51.5,2023-11-29,34574
53.65,53.65,49.35,50.0,2023-11-30,14811
52.25,52.25,49.05,49.85,2023-12-01,6001
48.55,50.75,48.55,49.45,2023-12-04,4537
47.85,50.15,47.85,49.75,2023-12-05,3371
51.0,51.0,49.3,49.45,2023-12-06,2237
48.5,50.45,48.5,49.65,2023-12-07,5007
49.65,51.2,49.65,50.1,2023-12-08,3809
50.0,51.0,48.5,49.9,2023-12-11,5892
49.9,50.7,47.75,48.55,2023-12-12,7117
49.8,50.8,48.35,50.55,2023-12-13,3234
50.95,50.95,48.05,49.75,2023-12-14,18230
50.75,50.75,47.65,49.25,2023-12-15,9955
50.5,50.5,48.0,49.25,2023-12-18,3487
50.3,50.3,48.35,48.7,2023-12-19,15634
48.5,49.7,46.35,47.1,2023-12-20,8535
47.1,49.2,45.7,48.6,2023-12-21,8999
49.6,49.6,47.75,48.05,2023-12-22,2729
49.55,49.55,47.6,47.95,2023-12-26,5454
48.05,48.8,47.2,47.4,2023-12-27,4552
47.2,48.2,45.6,46.45,2023-12-28,11365
46.15,48.55,46.0,47.55,2023-12-29,2832
