open,high,low,close,date,volume
265.2,272.95,256.7,268.45,2022-09-29,48958
269.0,279.0,262.55,275.25,2022-09-30,41888
279.8,279.8,259.8,262.1,2022-10-03,29475
265.0,274.0,261.05,267.85,2022-10-04,26612
274.95,278.6,270.0,272.9,2022-10-06,33250
282.0,284.25,270.35,283.05,2022-10-07,51585
280.0,315.5,276.25,307.8,2022-10-10,253423
311.85,314.7,287.4,290.15,2022-10-11,119126
290.9,296.0,276.15,286.75,2022-10-12,84833
286.75,290.95,280.05,281.95,2022-10-13,18499
287.35,299.7,280.2,282.1,2022-10-14,81294
285.0,286.85,274.05,280.65,2022-10-17,39277
283.75,287.15,278.35,279.25,2022-10-18,30181
280.2,294.2,280.2,283.55,2022-10-19,45979
281.0,285.45,279.0,283.45,2022-10-20,22021
287.0,297.0,281.1,282.7,2022-10-21,63410
285.0,290.0,280.0,287.2,2022-10-24,17924
288.2,288.2,280.2,280.85,2022-10-25,20051
281.0,286.4,277.7,280.65,2022-10-27,22215
283.95,284.45,280.1,280.35,2022-10-28,23717
280.1,288.0,278.5,284.65,2022-10-31,50604
287.5,295.9,283.6,292.05,2022-11-01,57886
292.5,308.4,292.05,300.35,2022-11-02,107431
300.0,301.05,287.05,289.5,2022-11-03,35867
292.0,294.95,283.35,288.05,2022-11-04,27702
288.0,294.95,282.6,285.25,2022-11-07,25936
287.75,287.95,261.25,266.65,2022-11-09,154327
266.1,273.35,255.25,259.35,2022-11-10,54690
264.3,306.0,264.0,298.3,2022-11-11,403060
300.85,354.0,286.8,344.25,2022-11-14,1386533
358.0,361.5,325.3,330.3,2022-11-15,629365
329.8,334.15,305.25,311.45,2022-11-16,267121
312.0,334.4,307.55,319.05,2022-11-17,434733
319.0,319.55,299.0,306.85,2022-11-18,138429
306.0,319.45,303.0,305.75,2022-11-21,93591
308.9,314.55,303.35,306.55,2022-11-22,64294
307.05,323.95,297.1,321.1,2022-11-23,238507
320.0,379.3,315.15,370.55,2022-11-24,2102744
371.5,384.95,361.2,373.05,2022-11-25,699998
373.4,373.4,353.2,361.05,2022-11-28,204238
359.0,359.8,340.6,344.55,2022-11-29,92059
345.9,362.0,345.0,352.45,2022-11-30,155861
354.9,359.45,342.3,344.75,2022-12-01,76705
346.0,358.0,344.75,346.55,2022-12-02,82594
349.85,352.45,341.0,344.85,2022-12-05,44171
347.65,372.0,343.25,361.9,2022-12-06,239467
361.95,367.8,350.95,354.65,2022-12-07,103205
354.0,355.95,335.2,337.4,2022-12-08,94781
339.75,342.0,318.05,324.8,2022-12-09,111000
319.0,352.9,319.0,349.7,2022-12-12,179545
351.95,352.8,340.0,341.55,2022-12-13,83500
343.9,359.0,335.0,355.8,2022-12-14,151251
355.9,355.9,345.05,346.0,2022-12-15,75082
346.0,348.75,334.0,337.45,2022-12-16,82037
340.8,343.3,330.45,333.75,2022-12-19,65492
333.7,338.6,330.45,336.6,2022-12-20,27080
339.7,341.95,317.05,323.15,2022-12-21,66510
327.95,333.45,306.2,309.45,2022-12-22,83885
308.65,315.75,280.6,286.4,2022-12-23,108668
289.95,336.8,287.05,321.75,2022-12-26,194344
322.6,329.9,317.0,322.4,2022-12-27,44837
322.0,324.55,318.0,320.4,2022-12-28,23957
320.4,325.45,308.05,312.9,2022-12-29,36649
323.0,332.0,316.0,317.7,2022-12-30,78899
318.9,329.0,318.9,320.55,2023-01-02,29887
324.45,324.45,316.0,320.6,2023-01-03,36452
322.75,323.7,315.0,317.5,2023-01-04,21639
319.2,319.2,314.0,317.0,2023-01-05,28860
317.9,322.9,305.55,309.55,2023-01-06,27914
311.1,323.0,311.1,321.2,2023-01-09,35608
321.2,323.75,312.0,315.15,2023-01-10,22327
315.15,322.05,312.0,314.05,2023-01-11,42560
317.8,317.95,309.0,312.45,2023-01-12,28393
312.6,319.95,311.3,316.55,2023-01-13,20408
320.0,320.0,314.2,316.45,2023-01-16,19387
316.0,319.0,313.0,314.95,2023-01-17,22067
312.0,325.5,312.0,320.25,2023-01-18,29067
325.0,325.0,315.0,317.6,2023-01-19,15994
322.95,322.95,316.1,318.95,2023-01-20,10384
318.95,321.4,315.3,317.45,2023-01-23,24340
319.35,319.5,315.0,316.95,2023-01-24,11191
317.6,323.0,306.85,315.7,2023-01-25,31766
