open,high,low,close,date,volume
445.0,455.05,435.25,438.65,2022-09-29,26982
437.0,443.55,427.55,433.35,2022-09-30,28851
430.1,433.45,417.8,419.15,2022-10-03,31006
426.95,430.15,416.95,418.45,2022-10-04,40920
422.0,433.0,417.85,419.9,2022-10-06,29635
421.0,429.9,418.75,420.6,2022-10-07,16379
417.0,440.0,417.0,419.9,2022-10-10,45407
418.0,439.0,414.05,419.65,2022-10-11,16836
417.4,426.95,412.5,421.0,2022-10-12,16468
422.9,422.9,405.0,411.05,2022-10-13,16553
419.75,422.0,409.0,412.65,2022-10-14,14181
408.0,412.85,402.7,411.7,2022-10-17,6662
412.6,415.05,407.25,411.25,2022-10-18,6629
410.0,417.9,410.0,412.6,2022-10-19,3823
409.0,415.9,407.95,410.05,2022-10-20,11490
416.3,416.3,407.0,408.35,2022-10-21,15479
419.5,420.0,408.8,411.95,2022-10-24,7246
410.6,414.85,407.85,409.0,2022-10-25,3705
417.95,417.95,409.05,412.65,2022-10-27,8390
429.0,429.0,412.0,412.3,2022-10-28,5010
412.0,417.9,410.1,413.4,2022-10-31,8994
417.25,419.95,407.85,410.15,2022-11-01,6683
417.85,417.85,410.65,412.15,2022-11-02,15963
412.9,418.0,412.05,415.1,2022-11-03,23960
415.1,419.95,410.05,414.5,2022-11-04,7669
419.75,429.45,414.75,424.05,2022-11-07,24428
425.0,445.0,415.0,442.35,2022-11-09,194923
454.8,454.8,415.8,421.15,2022-11-10,34924
434.0,434.15,423.05,425.55,2022-11-11,6724
418.0,434.35,418.0,425.7,2022-11-14,12495
429.85,433.95,423.25,426.1,2022-11-15,8114
420.1,429.75,420.0,420.55,2022-11-16,5394
422.5,427.0,420.0,426.2,2022-11-17,3864
423.85,432.65,420.5,422.05,2022-11-18,9627
419.0,442.0,419.0,433.45,2022-11-21,16525
435.0,437.7,425.0,426.2,2022-11-22,9163
433.95,441.85,429.4,438.9,2022-11-23,12569
441.6,443.95,429.0,430.0,2022-11-24,8766
437.9,439.45,428.05,432.65,2022-11-25,9662
439.95,448.0,439.95,446.45,2022-11-28,43686
446.5,462.7,446.4,453.25,2022-11-29,43050
454.65,470.4,451.55,465.85,2022-11-30,95775
469.6,472.0,462.8,465.6,2022-12-01,16154
470.9,472.5,465.8,469.45,2022-12-02,12980
471.45,479.0,469.1,475.45,2022-12-05,28275
477.95,483.0,470.1,470.45,2022-12-06,18656
471.75,477.7,465.25,466.35,2022-12-07,11330
469.9,470.4,458.0,461.45,2022-12-08,11548
466.95,470.0,452.25,461.6,2022-12-09,12029
468.0,469.45,456.0,458.1,2022-12-12,10642
469.95,469.95,448.25,454.4,2022-12-13,8040
465.0,465.0,449.75,455.65,2022-12-14,7121
453.7,469.85,453.45,458.95,2022-12-15,11554
464.6,466.05,454.0,455.65,2022-12-16,8677
459.1,465.6,449.5,463.2,2022-12-19,12568
457.0,467.55,456.05,461.8,2022-12-20,11259
463.5,463.5,439.25,448.75,2022-12-21,13436
448.75,450.85,435.0,449.25,2022-12-22,12493
449.0,449.0,431.55,438.3,2022-12-23,18692
432.0,443.3,432.0,438.3,2022-12-26,7640
444.75,462.65,433.3,457.2,2022-12-27,16122
453.1,462.2,450.5,458.25,2022-12-28,9199
469.8,474.0,457.7,463.55,2022-12-29,35861
464.5,470.9,460.5,463.25,2022-12-30,7793
470.0,470.0,448.25,464.2,2023-01-02,13195
463.95,466.4,456.25,458.7,2023-01-03,4788
459.8,467.9,459.45,461.2,2023-01-04,8689
459.7,467.45,453.0,458.2,2023-01-05,13711
461.0,461.05,447.95,449.75,2023-01-06,6730
451.95,454.5,445.05,450.8,2023-01-09,6391
449.5,462.4,449.0,457.9,2023-01-10,8851
459.8,480.0,455.7,477.3,2023-01-11,29775
482.0,484.25,467.05,480.55,2023-01-12,30954
481.0,516.95,480.55,509.95,2023-01-13,216221
524.0,539.8,516.6,525.45,2023-01-16,212761
532.5,551.55,519.7,539.3,2023-01-17,123209
547.0,572.4,535.5,565.45,2023-01-18,169810
574.5,574.5,536.65,551.95,2023-01-19,114766
543.1,558.5,535.0,540.1,2023-01-20,35526
535.05,547.1,530.5,532.8,2023-01-23,31802
527.45,542.0,523.0,527.55,2023-01-24,16257
532.95,550.0,517.95,521.6,2023-01-25,27616
523.0,541.2,502.0,532.35,2023-01-27,69188
540.0,553.8,526.05,550.2,2023-01-30,110855
548.2,593.45,545.95,583.6,2023-01-31,103112
