open,high,low,close,date,volume
26.5,28.2,26.15,26.65,2022-09-29,118832
27.8,27.8,26.55,27.0,2022-09-30,56165
26.75,27.45,26.1,26.25,2022-10-03,76594
27.05,27.45,26.85,26.95,2022-10-04,52777
27.4,28.05,26.75,27.7,2022-10-06,73625
28.25,28.25,27.3,27.6,2022-10-07,24682
26.75,27.35,26.6,26.9,2022-10-10,36575
26.8,30.5,26.75,28.75,2022-10-11,295260
28.75,29.4,27.9,28.15,2022-10-12,45432
28.0,28.65,26.8,27.1,2022-10-13,57038
27.5,27.85,26.85,27.15,2022-10-14,31612
27.8,27.8,27.0,27.2,2022-10-17,17562
27.95,27.95,27.05,27.4,2022-10-18,27155
27.75,28.4,27.05,27.25,2022-10-19,62116
27.35,27.85,27.0,27.4,2022-10-20,67151
27.85,28.4,27.0,27.1,2022-10-21,70071
27.45,27.45,27.1,27.15,2022-10-24,18348
27.15,27.55,27.05,27.15,2022-10-25,20669
27.1,27.7,27.1,27.35,2022-10-27,30922
27.6,27.6,26.25,27.0,2022-10-28,142738
27.45,27.9,26.95,27.75,2022-10-31,58352
27.95,28.25,27.0,27.5,2022-11-01,86930
27.15,28.25,27.15,27.6,2022-11-02,25463
27.95,27.95,27.15,27.55,2022-11-03,31716
27.75,27.8,27.15,27.35,2022-11-04,18480
27.8,27.9,26.9,27.6,2022-11-07,65729
27.8,27.9,27.25,27.55,2022-11-09,16954
27.35,27.85,27.15,27.3,2022-11-10,17024
27.8,29.35,27.5,27.85,2022-11-11,150435
28.2,28.3,27.5,27.75,2022-11-14,20064
27.5,27.65,27.25,27.35,2022-11-15,22617
27.35,27.65,27.0,27.05,2022-11-16,28307
27.5,27.75,26.8,26.95,2022-11-17,28516
27.5,27.5,26.3,26.5,2022-11-18,52869
26.55,27.2,26.3,26.65,2022-11-21,41624
26.7,26.9,25.9,26.15,2022-11-22,46899
26.35,26.95,25.4,25.8,2022-11-23,44795
25.8,26.4,25.8,26.3,2022-11-24,47992
26.85,27.05,26.25,26.75,2022-11-25,37420
27.45,27.45,26.5,26.7,2022-11-28,55487
27.3,27.3,26.1,26.25,2022-11-29,38627
26.85,26.85,25.9,26.0,2022-11-30,50334
26.45,27.8,26.2,27.35,2022-12-01,271308
27.0,27.5,26.8,27.0,2022-12-02,46492
27.0,27.7,26.8,26.9,2022-12-05,36989
27.05,27.3,26.75,27.0,2022-12-06,29968
27.3,27.3,26.6,26.75,2022-12-07,39150
26.9,27.5,26.8,27.05,2022-12-08,58424
27.25,27.25,26.2,26.3,2022-12-09,53928
26.2,26.7,26.2,26.6,2022-12-12,11684
26.6,26.8,26.25,26.5,2022-12-13,32150
26.75,26.8,25.85,26.1,2022-12-14,56839
26.1,26.6,25.85,26.05,2022-12-15,36476
26.5,26.5,25.8,25.9,2022-12-16,26311
25.9,26.45,25.85,26.0,2022-12-19,32851
26.0,27.1,25.85,26.6,2022-12-20,61387
26.8,26.8,25.8,25.9,2022-12-21,35968
25.95,26.0,24.25,24.8,2022-12-22,67665
25.3,25.3,23.0,23.55,2022-12-23,49816
23.9,25.05,23.3,24.15,2022-12-26,47086
25.25,25.25,24.05,24.8,2022-12-27,27082
24.4,25.25,24.15,24.65,2022-12-28,60676
24.25,25.25,24.25,24.75,2022-12-29,13990
24.6,25.15,24.55,24.85,2022-12-30,30251
24.9,25.3,24.8,25.1,2023-01-02,12349
25.3,25.85,25.15,25.25,2023-01-03,21061
25.15,25.55,24.6,24.8,2023-01-04,17310
25.0,25.35,24.25,24.75,2023-01-05,22901
25.25,25.25,24.5,24.7,2023-01-06,29020
25.0,25.15,24.6,24.65,2023-01-09,30644
24.8,24.9,24.5,24.55,2023-01-10,10294
25.0,25.0,24.0,24.55,2023-01-11,37676
24.2,24.75,24.2,24.5,2023-01-12,16400
24.75,24.9,24.45,24.65,2023-01-13,18609
24.95,25.0,24.4,24.5,2023-01-16,34222
24.8,24.95,24.4,24.4,2023-01-17,10851
24.25,24.8,23.8,24.2,2023-01-18,25531
24.0,26.3,24.0,25.0,2023-01-19,179584
25.65,25.65,24.3,24.5,2023-01-20,30793
25.0,26.8,24.2,25.3,2023-01-23,214431
25.25,25.85,24.85,25.0,2023-01-24,31078
25.0,25.0,24.25,24.4,2023-01-25,19726
24.8,24.8,23.25,23.4,2023-01-27,34628
24.1,24.4,23.05,23.75,2023-01-30,42312
24.45,27.25,23.55,25.8,2023-01-31,210162
26.8,27.75,23.4,25.9,2023-02-01,370808
26.2,27.5,25.55,26.45,2023-02-02,94511
26.9,26.9,24.8,25.25,2023-02-03,61170
25.25,25.6,24.9,25.2,2023-02-06,20432
25.3,25.45,24.55,24.7,2023-02-07,19631
24.95,25.4,24.7,25.05,2023-02-08,23149
25.25,25.8,24.6,25.25,2023-02-09,24905
25.1,25.5,25.05,25.1,2023-02-10,6297
25.6,25.6,24.65,24.7,2023-02-13,10367
