open,high,low,close,date,volume
47.75,48.3,46.6,46.95,2022-09-29,902164
47.15,47.9,46.35,46.85,2022-09-30,1149909
47.2,47.8,46.65,47.15,2022-10-03,971365
47.7,49.0,47.2,47.95,2022-10-04,1680844
48.5,50.45,48.05,49.8,2022-10-06,2153452
51.2,55.25,50.5,53.85,2022-10-07,9908280
53.5,54.2,51.9,52.25,2022-10-10,3720619
52.5,52.75,50.2,50.75,2022-10-11,2057343
50.95,51.65,48.65,49.7,2022-10-12,2119173
49.9,50.2,48.55,49.05,2022-10-13,1391410
50.0,50.65,48.65,48.85,2022-10-14,1080434
48.95,50.75,48.5,50.0,2022-10-17,1503456
50.8,51.9,50.2,50.75,2022-10-18,1597025
51.05,51.25,49.2,49.45,2022-10-19,995507
49.25,49.6,48.3,48.8,2022-10-20,914687
49.1,49.3,47.8,48.2,2022-10-21,879027
48.75,49.9,48.6,49.3,2022-10-24,595007
49.4,49.75,48.5,48.65,2022-10-25,627385
49.15,49.75,48.15,48.65,2022-10-27,716035
48.8,49.2,48.5,48.65,2022-10-28,625221
48.95,49.25,48.4,48.65,2022-10-31,566606
48.9,49.6,48.4,48.65,2022-11-01,745272
48.7,49.3,48.25,48.35,2022-11-02,638614
48.0,48.7,47.4,47.45,2022-11-03,731120
47.45,48.45,46.6,47.15,2022-11-04,982531
47.5,51.85,47.5,50.5,2022-11-07,3429296
50.85,53.35,50.75,52.65,2022-11-09,3394186
53.25,55.95,48.65,49.6,2022-11-10,13853495
50.5,51.75,50.1,50.5,2022-11-11,2797493
50.9,50.95,49.1,49.45,2022-11-14,1554103
49.55,49.6,48.7,48.9,2022-11-15,842278
48.85,50.8,48.7,49.3,2022-11-16,1527092
49.4,50.2,48.85,49.05,2022-11-17,767741
49.35,49.75,48.8,49.0,2022-11-18,732754
49.0,49.35,47.8,48.05,2022-11-21,678067
48.3,48.65,47.85,48.1,2022-11-22,672296
48.35,48.85,47.75,47.85,2022-11-23,724743
48.1,49.85,47.95,48.65,2022-11-24,1713026
48.5,49.7,48.4,48.8,2022-11-25,1388205
49.2,50.45,48.85,49.65,2022-11-28,1554373
49.8,50.3,48.7,48.85,2022-11-29,1212127
49.0,49.9,48.75,49.7,2022-11-30,1163981
49.95,50.1,49.0,49.15,2022-12-01,919261
49.0,50.8,48.8,49.55,2022-12-02,1904826
50.0,50.6,49.8,49.95,2022-12-05,1031427
49.95,50.8,49.6,49.65,2022-12-06,983946
49.9,49.9,48.75,48.9,2022-12-07,704344
49.15,49.4,48.7,48.95,2022-12-08,539281
49.15,49.4,47.1,47.5,2022-12-09,1097881
47.65,48.1,46.75,46.9,2022-12-12,1124240
47.2,48.1,47.1,47.45,2022-12-13,840006
47.8,49.45,47.5,48.7,2022-12-14,1426120
48.6,49.0,47.5,47.65,2022-12-15,930532
47.5,47.9,46.6,47.25,2022-12-16,812658
47.4,48.3,46.9,47.3,2022-12-19,876688
47.3,47.4,45.8,46.05,2022-12-20,1371150
46.4,47.1,43.35,43.9,2022-12-21,1565466
44.15,44.7,40.65,41.4,2022-12-22,2794774
41.0,41.15,39.0,39.45,2022-12-23,2620077
40.0,43.0,39.8,41.75,2022-12-26,2270968
42.15,43.2,40.5,41.1,2022-12-27,2621932
41.1,43.2,40.5,41.85,2022-12-28,2320042
41.6,42.4,41.25,41.95,2022-12-29,1084916
42.25,43.0,42.05,42.3,2022-12-30,824618
42.5,43.25,42.3,42.65,2023-01-02,980263
42.85,43.95,42.75,43.15,2023-01-03,954438
43.2,43.4,42.25,42.45,2023-01-04,678487
42.75,43.05,42.1,42.55,2023-01-05,613120
42.8,43.35,42.2,42.85,2023-01-06,919953
43.0,43.35,42.1,42.7,2023-01-09,687645
42.6,42.6,41.4,41.95,2023-01-10,784722
42.2,42.3,41.1,41.7,2023-01-11,1004696
41.85,42.0,41.2,41.7,2023-01-12,881896
41.95,42.85,41.5,42.55,2023-01-13,1425978
44.5,50.45,44.5,48.9,2023-01-16,16425466
49.0,49.6,46.6,47.5,2023-01-17,4834689
47.3,47.75,46.0,46.3,2023-01-18,1661845
45.95,48.75,45.6,47.9,2023-01-19,3493359
47.8,48.1,46.5,46.85,2023-01-20,1307753
47.1,47.2,45.15,45.85,2023-01-23,1025652
45.9,46.8,44.45,44.75,2023-01-24,1148299
44.7,44.7,43.35,43.6,2023-01-25,1087257
43.7,44.25,41.7,42.3,2023-01-27,1506587
42.3,43.8,42.05,43.0,2023-01-30,1271267
43.9,44.5,43.0,43.9,2023-01-31,1130896
44.25,45.75,42.2,42.95,2023-02-01,1529890
42.9,44.9,42.5,43.05,2023-02-02,934819
43.4,43.65,41.95,42.7,2023-02-03,973810
42.65,43.35,42.5,42.6,2023-02-06,602087
42.2,43.15,41.8,42.35,2023-02-07,907484
42.6,43.25,42.1,42.5,2023-02-08,749379
42.5,43.6,42.25,42.75,2023-02-09,950417
42.85,44.0,42.5,42.95,2023-02-10,1168871
42.0,42.35,40.25,40.6,2023-02-13,1752504
40.9,41.65,36.6,38.0,2023-02-14,4390806
40.0,41.95,39.0,39.7,2023-02-15,4472639
39.95,40.55,39.6,40.1,2023-02-16,1421254
40.0,40.9,39.35,39.85,2023-02-17,1155324
40.95,40.95,39.85,40.1,2023-02-20,783187
40.35,40.8,39.8,40.05,2023-02-21,917413
39.9,40.1,39.15,39.35,2023-02-22,737154
39.55,39.9,38.55,39.6,2023-02-23,942660
39.8,40.8,39.45,39.85,2023-02-24,706175
39.85,39.85,38.5,38.65,2023-02-27,690527
39.85,39.85,38.0,38.35,2023-02-28,985409
38.5,39.45,38.45,38.7,2023-03-01,675879
38.8,39.1,38.3,38.65,2023-03-02,611747
38.85,39.0,38.3,38.45,2023-03-03,814595
38.65,39.8,38.4,38.75,2023-03-06,1014244
38.7,39.05,38.3,38.75,2023-03-08,676528
38.95,40.2,38.85,39.05,2023-03-09,1243537
38.75,39.2,38.2,38.5,2023-03-10,840325
38.5,38.6,37.0,37.05,2023-03-13,1091367
37.25,37.7,36.65,36.85,2023-03-14,1146537
37.15,38.0,36.75,36.95,2023-03-15,1208186
37.05,37.05,35.65,36.25,2023-03-16,1015579
36.45,37.0,36.0,36.4,2023-03-17,963982
36.3,36.45,35.9,36.1,2023-03-20,581174
36.5,37.1,35.8,36.05,2023-03-21,1085704
36.2,36.95,36.0,36.1,2023-03-22,817552
36.0,36.4,36.0,36.05,2023-03-23,981525
36.15,36.35,35.5,35.75,2023-03-24,1556977
35.85,35.85,33.7,33.85,2023-03-27,1411521
33.85,34.1,32.15,32.9,2023-03-28,1544269
32.9,35.25,32.8,33.6,2023-03-29,2083350
34.2,35.65,34.05,35.15,2023-03-31,1366724
35.55,37.5,35.45,37.25,2023-04-03,1697482
37.8,40.25,37.5,39.5,2023-04-05,2644212
39.9,40.3,38.7,38.95,2023-04-06,1255851
38.95,40.8,37.75,38.8,2023-04-10,2417530
38.85,40.0,38.85,39.3,2023-04-11,1171328
39.5,39.7,38.9,39.25,2023-04-12,663751
39.2,39.2,38.3,38.45,2023-04-13,628919
38.5,39.15,38.35,38.7,2023-04-17,686798
38.85,38.85,38.5,38.6,2023-04-18,429081
39.5,41.5,39.5,40.0,2023-04-19,3632009
