open,high,low,close,date,volume
132.0,133.0,128.35,130.6,2022-09-29,85353
130.0,132.5,128.35,130.6,2022-09-30,112743
133.0,133.0,129.6,130.75,2022-10-03,114642
134.5,134.5,131.4,133.15,2022-10-04,82076
136.6,139.35,135.3,137.05,2022-10-06,182585
140.0,140.0,136.05,139.2,2022-10-07,233881
137.0,138.0,130.0,133.95,2022-10-10,396972
134.9,135.5,130.3,131.25,2022-10-11,139936
131.6,131.6,125.2,127.9,2022-10-12,100720
127.9,128.55,123.05,123.55,2022-10-13,139205
126.0,126.7,119.15,121.25,2022-10-14,144176
119.95,122.0,119.0,120.2,2022-10-17,60539
122.6,127.7,120.35,124.55,2022-10-18,141813
124.75,127.35,123.25,124.85,2022-10-19,104238
125.7,126.9,122.95,124.85,2022-10-20,71114
124.4,125.95,120.0,120.8,2022-10-21,72779
123.1,123.8,121.1,122.3,2022-10-24,24989
122.4,125.5,121.75,123.55,2022-10-25,67331
125.0,127.95,124.0,126.5,2022-10-27,188568
126.9,127.0,124.5,124.9,2022-10-28,55210
126.2,130.5,126.2,129.85,2022-10-31,322526
130.9,131.4,125.1,125.45,2022-11-01,125692
126.6,126.6,123.6,124.05,2022-11-02,72663
124.75,126.65,123.0,125.1,2022-11-03,156448
125.0,126.85,123.65,124.9,2022-11-04,72052
123.55,125.9,122.0,123.0,2022-11-07,131015
131.0,134.3,127.85,129.6,2022-11-09,730092
129.5,130.85,127.8,129.25,2022-11-10,105452
130.25,132.0,126.35,126.7,2022-11-11,99204
128.95,128.95,126.25,127.7,2022-11-14,100540
128.7,134.25,127.2,133.15,2022-11-15,732057
133.9,137.95,133.15,136.45,2022-11-16,632937
138.45,138.45,133.5,134.25,2022-11-17,156067
134.25,136.0,131.45,131.85,2022-11-18,98837
133.35,134.95,132.1,132.95,2022-11-21,82686
133.85,136.95,132.9,133.2,2022-11-22,133843
132.5,136.8,132.5,134.95,2022-11-23,183992
136.0,136.35,132.7,133.85,2022-11-24,112623
134.0,144.9,134.0,138.15,2022-11-25,646039
139.3,140.0,134.0,134.65,2022-11-28,190467
135.8,136.0,133.1,133.95,2022-11-29,65287
133.95,134.9,130.05,131.15,2022-11-30,153573
132.25,134.0,131.1,132.05,2022-12-01,84327
132.65,132.65,129.0,130.15,2022-12-02,153162
130.85,131.6,127.2,128.35,2022-12-05,166912
127.05,129.8,127.05,128.15,2022-12-06,85908
129.0,129.45,126.5,126.7,2022-12-07,73381
128.6,129.3,126.85,127.2,2022-12-08,88851
128.45,128.45,122.25,124.25,2022-12-09,102084
124.25,126.0,123.1,125.5,2022-12-12,82976
125.55,128.7,125.55,128.0,2022-12-13,100827
128.0,130.0,126.65,127.85,2022-12-14,91980
127.85,129.3,126.2,127.0,2022-12-15,70871
127.05,127.7,123.5,124.05,2022-12-16,90215
124.0,129.7,124.0,127.3,2022-12-19,286545
128.9,138.5,128.0,136.6,2022-12-20,1555526
137.4,139.7,129.0,130.0,2022-12-21,447464
131.4,133.2,122.8,125.3,2022-12-22,240771
123.1,125.0,111.3,112.6,2022-12-23,397684
112.6,118.9,111.7,118.35,2022-12-26,188386
122.0,125.55,120.65,122.2,2022-12-27,187561
122.25,128.85,122.25,125.1,2022-12-28,133835
128.0,128.0,124.05,126.1,2022-12-29,123759
127.0,128.8,125.2,125.75,2022-12-30,74303
126.05,127.75,126.0,127.15,2023-01-02,62026
128.0,129.15,125.1,126.0,2023-01-03,51029
126.65,127.8,125.0,125.2,2023-01-04,56976
126.4,126.9,124.8,126.55,2023-01-05,49360
127.8,127.8,124.6,125.45,2023-01-06,32371
126.9,126.9,123.65,124.2,2023-01-09,82900
124.5,125.4,122.4,123.35,2023-01-10,50769
124.0,124.5,121.0,122.2,2023-01-11,48161
123.35,123.95,122.5,123.05,2023-01-12,38597
123.1,124.15,121.5,122.2,2023-01-13,35958
123.6,123.7,121.55,121.8,2023-01-16,31167
121.0,125.6,120.45,122.0,2023-01-17,78333
122.75,123.0,121.4,121.9,2023-01-18,28773
121.85,123.0,121.05,121.7,2023-01-19,24193
122.95,123.4,121.7,122.15,2023-01-20,34735
122.55,124.0,122.05,122.3,2023-01-23,42427
122.65,123.3,120.55,121.1,2023-01-24,41640
123.0,123.0,113.75,116.05,2023-01-25,136640
118.95,118.95,109.5,111.3,2023-01-27,98454
114.8,117.15,111.3,115.25,2023-01-30,64816
116.35,120.0,114.9,118.3,2023-01-31,71856
120.5,125.4,119.4,122.85,2023-02-01,203515
121.85,124.8,121.85,122.55,2023-02-02,61825
124.95,124.95,118.8,120.55,2023-02-03,55875
123.0,125.3,121.7,124.7,2023-02-06,85626
125.65,126.6,123.25,124.25,2023-02-07,77479
124.5,126.3,123.5,124.2,2023-02-08,87773
125.8,129.2,116.5,117.6,2023-02-09,694961
119.05,123.7,116.1,118.3,2023-02-10,136306
119.65,119.7,116.75,117.95,2023-02-13,45386
118.0,118.3,115.0,115.55,2023-02-14,43013
116.9,117.0,115.2,116.0,2023-02-15,27537
117.15,117.4,115.65,116.35,2023-02-16,45561
