open,high,low,close,date,volume
325.5,329.0,320.95,321.75,2022-09-29,112200
323.0,326.3,320.15,322.8,2022-09-30,97641
322.8,323.85,316.0,317.55,2022-10-03,212988
321.7,323.45,318.5,319.45,2022-10-04,198041
320.5,327.0,319.25,320.45,2022-10-06,226645
322.0,326.9,318.85,320.6,2022-10-07,209821
318.0,319.25,316.05,317.05,2022-10-10,101433
317.25,318.65,308.0,309.65,2022-10-11,133961
312.7,313.1,306.3,311.0,2022-10-12,107885
313.95,313.95,308.0,309.0,2022-10-13,82989
314.0,315.05,310.0,310.4,2022-10-14,79804
311.4,312.7,305.5,306.2,2022-10-17,106760
309.25,309.65,305.1,306.95,2022-10-18,83373
308.45,313.7,303.15,303.95,2022-10-19,162546
303.55,306.5,301.5,302.55,2022-10-20,107443
304.65,304.85,297.2,298.6,2022-10-21,128129
301.05,305.0,301.05,304.0,2022-10-24,46044
304.9,305.0,299.0,299.3,2022-10-25,91260
305.3,305.3,299.0,301.35,2022-10-27,124854
301.25,304.0,300.05,300.9,2022-10-28,78508
303.65,318.0,301.25,314.0,2022-10-31,338938
315.9,324.0,313.45,314.6,2022-11-01,290472
316.7,317.6,310.05,312.65,2022-11-02,126082
307.5,314.15,307.5,310.95,2022-11-03,93081
311.9,314.35,310.5,311.35,2022-11-04,58568
314.7,314.95,308.85,310.45,2022-11-07,120279
312.0,318.45,311.4,314.6,2022-11-09,124170
314.0,314.05,309.1,310.65,2022-11-10,62466
315.0,315.0,307.0,308.85,2022-11-11,103139
303.1,304.9,290.35,294.85,2022-11-14,399954
295.1,298.5,291.6,292.3,2022-11-15,157403
292.95,296.4,290.05,292.0,2022-11-16,129746
292.8,295.0,289.05,290.15,2022-11-17,90522
291.4,292.85,285.5,288.7,2022-11-18,117301
286.05,295.35,283.7,286.25,2022-11-21,135656
287.3,288.05,282.6,285.3,2022-11-22,70587
286.7,293.25,286.7,291.0,2022-11-23,170535
292.9,295.4,288.2,292.2,2022-11-24,121021
293.7,294.75,291.05,292.35,2022-11-25,98160
292.35,295.0,290.05,293.0,2022-11-28,77032
