open,high,low,close,date,volume
136.6,144.45,132.05,132.9,2023-05-05,89648
132.9,133.15,128.4,130.8,2023-05-08,29207
134.0,135.45,129.0,130.2,2023-05-09,34041
129.9,132.5,126.6,129.7,2023-05-10,33474
129.0,130.8,127.3,127.9,2023-05-11,14195
126.0,131.3,122.1,128.1,2023-05-12,62614
128.1,132.8,126.05,129.7,2023-05-15,86502
130.6,138.9,128.75,133.85,2023-05-16,194066
137.8,138.9,129.0,131.45,2023-05-17,134703
133.4,134.85,131.95,133.2,2023-05-18,52942
134.85,134.85,131.1,132.0,2023-05-19,29128
134.0,134.0,129.5,130.8,2023-05-22,51878
132.75,135.5,130.5,132.05,2023-05-23,71911
133.4,133.5,129.3,132.0,2023-05-24,71100
138.0,138.0,127.55,130.0,2023-05-25,148769
130.7,131.5,125.0,125.4,2023-05-26,77579
127.3,130.7,124.05,125.95,2023-05-29,68064
126.0,129.0,126.0,127.0,2023-05-30,24260
127.9,138.0,126.4,134.45,2023-05-31,170735
135.0,137.8,130.75,131.7,2023-06-01,120242
138.0,139.0,134.05,136.65,2023-06-02,171782
138.7,138.7,133.25,134.1,2023-06-05,96414
135.9,148.4,135.55,144.65,2023-06-06,929266
145.15,146.85,137.5,139.6,2023-06-07,222139
140.85,142.0,135.95,137.8,2023-06-08,116353
135.15,140.9,134.0,135.7,2023-06-09,113578
137.75,137.9,133.25,134.1,2023-06-12,61662
135.5,137.85,132.8,133.35,2023-06-13,57187
137.5,137.65,134.1,136.6,2023-06-14,66690
137.2,138.9,134.0,134.65,2023-06-15,141619
136.65,137.45,131.95,133.15,2023-06-16,101570
136.8,136.8,132.0,133.0,2023-06-19,119175
134.8,134.8,130.5,131.2,2023-06-20,76862
131.2,132.95,125.05,127.7,2023-06-21,93553
127.7,132.0,126.6,127.85,2023-06-22,97377
126.65,129.65,125.8,126.65,2023-06-23,61559
126.65,129.9,125.25,125.85,2023-06-26,88776
127.2,127.55,125.4,126.55,2023-06-27,50070
126.55,128.25,120.55,124.3,2023-06-28,98943
124.25,126.1,123.0,123.9,2023-06-30,62159
125.0,127.5,121.6,123.2,2023-07-03,130850
124.35,125.15,121.0,122.45,2023-07-04,150758
116.0,116.95,106.15,109.35,2023-07-05,527316
110.25,113.65,108.1,111.05,2023-07-06,220759
110.9,111.05,103.0,106.3,2023-07-07,118022
106.0,107.65,103.7,105.1,2023-07-10,69320
106.15,106.2,101.0,101.6,2023-07-11,116636
102.45,102.45,98.0,98.75,2023-07-12,133443
98.75,104.75,97.9,102.0,2023-07-13,148042
102.0,104.4,101.25,101.95,2023-07-14,70355
101.95,103.65,98.3,99.55,2023-07-17,81724
101.05,102.5,99.8,100.1,2023-07-18,60607
101.0,101.9,99.7,100.95,2023-07-19,43985
100.95,101.1,98.25,99.45,2023-07-20,49257
99.3,99.4,96.0,96.45,2023-07-21,135661
96.45,97.45,89.95,92.1,2023-07-24,209814
91.8,95.45,90.75,93.45,2023-07-25,96662
93.0,94.35,87.15,88.4,2023-07-26,191813
90.0,93.4,85.25,92.25,2023-07-27,440600
92.25,93.3,88.8,89.8,2023-07-28,98451
90.7,90.7,89.0,89.45,2023-07-31,103610
90.3,95.0,89.5,94.1,2023-08-01,181655
94.75,94.75,89.9,90.8,2023-08-02,105979
90.8,91.4,88.1,88.75,2023-08-03,139689
89.65,92.85,89.55,91.05,2023-08-04,126344
92.0,92.0,90.05,90.7,2023-08-07,44902
90.05,91.9,87.6,88.35,2023-08-08,143984
89.0,92.2,86.75,90.65,2023-08-09,184131
91.0,91.0,88.25,89.6,2023-08-10,153210
90.45,90.45,88.0,88.25,2023-08-11,97695
89.55,89.55,84.1,84.4,2023-08-14,152873
85.35,86.0,79.8,81.7,2023-08-16,119721
82.0,84.0,81.7,82.05,2023-08-17,81434
82.85,86.0,82.55,83.9,2023-08-18,90692
84.0,84.85,80.05,80.7,2023-08-21,110140
80.3,81.8,79.35,80.5,2023-08-22,96993
80.55,82.8,78.15,79.05,2023-08-23,145097
79.25,79.4,74.8,75.3,2023-08-24,287913
75.3,76.2,67.8,70.35,2023-08-25,493388
70.35,77.0,70.35,74.6,2023-08-28,444915
75.1,76.3,72.4,73.4,2023-08-29,182293
74.3,81.9,73.3,78.15,2023-08-30,582602
79.4,80.2,78.1,79.15,2023-08-31,145694
80.35,80.35,76.1,77.4,2023-09-01,204392
78.55,78.55,74.85,75.7,2023-09-04,208420
76.3,76.9,73.8,74.85,2023-09-05,218442
75.0,75.95,74.25,75.2,2023-09-06,80080
76.3,90.2,75.25,89.0,2023-09-07,2982306
93.7,99.9,90.8,94.05,2023-09-08,3101991
96.0,98.2,90.95,93.45,2023-09-11,912757
94.9,95.05,84.0,85.9,2023-09-12,575469
84.6,92.75,84.45,86.8,2023-09-13,744352
87.7,88.9,84.3,85.0,2023-09-14,290309
85.0,86.95,80.35,81.6,2023-09-15,546622
83.65,85.1,81.5,82.4,2023-09-18,215452
82.95,84.3,80.85,81.2,2023-09-20,193549
82.0,83.85,80.6,81.2,2023-09-21,312290
81.95,83.3,78.9,82.35,2023-09-22,310178
