open,high,low,close,date,volume
202.0,213.0,202.0,203.1,2022-09-29,19580
205.0,208.9,201.5,207.8,2022-09-30,15575
211.95,213.9,205.1,207.75,2022-10-03,11040
213.0,218.1,210.2,218.05,2022-10-04,26232
223.5,228.95,215.0,227.6,2022-10-06,37360
238.95,238.95,238.95,238.95,2022-10-07,18049
254.4,262.8,249.05,262.8,2022-10-10,192627
267.0,287.95,252.35,281.7,2022-10-11,170969
282.0,288.85,271.25,276.35,2022-10-12,78485
276.35,287.0,272.05,280.9,2022-10-13,41485
286.9,295.0,281.05,286.25,2022-10-14,35456
290.0,290.0,257.65,257.9,2022-10-17,82259
270.0,283.65,257.95,275.9,2022-10-18,41258
279.9,285.85,263.6,267.0,2022-10-19,24417
272.85,272.85,262.05,265.0,2022-10-20,13262
264.1,287.8,262.05,270.35,2022-10-21,36172
265.05,269.95,256.15,258.65,2022-10-24,37848
262.8,269.95,250.15,254.3,2022-10-25,31263
247.0,252.5,235.0,244.4,2022-10-27,128538
240.0,268.8,240.0,268.8,2022-10-28,45707
274.0,274.0,244.0,252.35,2022-10-31,73278
248.0,274.7,248.0,251.6,2022-11-01,61084
255.0,258.5,245.0,249.6,2022-11-02,30235
251.95,255.75,246.05,247.05,2022-11-03,23126
249.95,253.8,245.0,246.4,2022-11-04,22421
248.9,249.7,230.35,234.95,2022-11-07,31904
237.0,247.4,235.15,242.25,2022-11-09,31176
246.0,248.95,240.35,246.1,2022-11-10,15739
249.95,249.95,230.6,234.25,2022-11-11,21534
237.8,237.8,225.15,227.1,2022-11-14,19983
229.1,236.85,229.1,231.45,2022-11-15,11984
230.95,240.0,230.95,233.4,2022-11-16,14651
243.9,243.9,234.95,239.9,2022-11-17,18535
243.95,243.95,232.0,234.8,2022-11-18,12028
231.0,238.95,225.25,226.6,2022-11-21,27746
228.4,238.1,228.4,237.45,2022-11-22,17346
240.0,244.8,231.1,238.55,2022-11-23,12018
232.0,243.45,232.0,235.55,2022-11-24,7530
236.6,238.25,232.6,235.3,2022-11-25,8362
235.05,242.7,232.1,233.35,2022-11-28,11003
235.35,248.9,233.0,246.35,2022-11-29,24580
250.0,270.95,247.6,270.15,2022-11-30,156074
270.3,283.3,252.1,258.15,2022-12-01,89833
