open,high,low,close,date,volume
1628.0,1650.15,1573.2,1597.0,2023-09-07,31753
1570.2,1620.0,1541.95,1555.85,2023-09-08,14536
1565.0,1579.0,1542.25,1570.2,2023-09-11,29590
1579.2,1580.0,1440.05,1482.6,2023-09-12,28100
1488.0,1516.3,1441.1,1485.05,2023-09-13,18143
1495.0,1610.65,1495.0,1566.45,2023-09-14,52934
1588.0,1660.0,1550.05,1616.6,2023-09-15,46606
1620.0,1658.0,1575.0,1601.9,2023-09-18,44463
1580.0,1626.4,1565.0,1585.05,2023-09-20,14274
1575.0,1595.0,1542.05,1546.2,2023-09-21,11247
1540.0,1564.55,1507.0,1530.9,2023-09-22,13980
1531.0,1539.85,1481.4,1491.15,2023-09-25,16971
1490.45,1491.9,1441.1,1448.35,2023-09-26,25051
1448.35,1487.55,1429.6,1482.55,2023-09-27,26508
1490.0,1534.65,1477.1,1507.35,2023-09-28,15853
1515.7,1532.35,1499.0,1510.55,2023-09-29,13123
1491.0,1540.3,1491.0,1520.1,2023-10-03,13031
1529.9,1539.7,1466.15,1481.6,2023-10-04,14029
1499.05,1534.0,1475.1,1502.95,2023-10-05,16760
1514.7,1526.5,1484.5,1514.45,2023-10-06,9792
1461.05,1579.35,1461.05,1542.6,2023-10-09,43496
1569.65,1625.0,1561.2,1587.95,2023-10-10,52141
1595.0,1715.95,1579.05,1699.1,2023-10-11,216131
1724.0,1769.7,1665.1,1692.85,2023-10-12,129414
1691.95,1724.4,1668.9,1679.9,2023-10-13,35354
1694.0,1704.85,1650.0,1656.8,2023-10-16,19890
1679.5,1700.0,1630.0,1639.25,2023-10-17,26304
1644.0,1676.95,1622.2,1645.9,2023-10-18,18525
1630.0,1675.0,1626.05,1647.9,2023-10-19,19656
1640.0,1674.35,1607.45,1613.85,2023-10-20,22979
1635.0,1664.3,1499.0,1508.45,2023-10-23,63319
1515.0,1549.0,1460.0,1500.0,2023-10-25,40481
1500.0,1520.0,1459.15,1506.15,2023-10-26,27127
1517.75,1564.95,1517.75,1526.05,2023-10-27,22452
1525.0,1542.45,1505.0,1522.4,2023-10-30,10782
1529.0,1570.9,1520.0,1532.55,2023-10-31,14800
1539.85,1547.45,1490.1,1501.05,2023-11-01,10512
1524.8,1531.0,1467.05,1482.45,2023-11-02,24880
1497.85,1520.0,1476.0,1510.85,2023-11-03,38542
1524.9,1633.7,1524.4,1614.35,2023-11-06,59622
1611.2,1630.5,1433.6,1496.95,2023-11-07,94178
1469.0,1496.8,1444.35,1471.6,2023-11-08,62061
1441.0,1510.05,1441.0,1499.9,2023-11-09,46354
1495.0,1509.75,1470.1,1473.4,2023-11-10,17336
1473.4,1499.7,1473.4,1489.55,2023-11-12,4189
1496.9,1499.8,1458.0,1465.8,2023-11-13,16672
1482.0,1600.9,1474.35,1580.25,2023-11-15,76380
1592.0,1597.45,1545.0,1553.1,2023-11-16,30649
1560.0,1566.0,1515.8,1522.5,2023-11-17,22560
1522.5,1556.75,1503.0,1531.95,2023-11-20,25890
1531.95,1611.0,1526.35,1585.05,2023-11-21,56793
1600.0,1607.45,1530.0,1553.4,2023-11-22,29598
1570.0,1600.0,1543.35,1593.75,2023-11-23,24091
1590.0,1624.9,1551.85,1563.05,2023-11-24,28421
1552.0,1580.45,1516.0,1525.5,2023-11-28,24601
1531.0,1610.0,1512.1,1582.25,2023-11-29,81281
1590.95,1594.9,1535.5,1548.05,2023-11-30,30442
1560.0,1570.0,1528.0,1537.4,2023-12-01,33318
1548.0,1589.0,1548.0,1581.5,2023-12-04,45910
1570.0,1643.0,1564.55,1626.2,2023-12-05,85571
1632.0,1638.0,1570.0,1633.5,2023-12-06,33375
1640.0,1886.2,1598.0,1872.6,2023-12-07,559686
1900.0,1940.55,1872.0,1920.9,2023-12-08,185633
1946.0,2265.0,1945.0,2229.0,2023-12-11,557545
2250.0,2260.0,2126.1,2195.85,2023-12-12,193513
2225.0,2287.95,2061.35,2271.95,2023-12-13,103124
2302.0,2338.0,2210.0,2225.6,2023-12-14,85334
2239.95,2344.8,2194.05,2313.6,2023-12-15,86918
2350.0,2544.95,2272.0,2544.95,2023-12-18,326566
2690.0,2799.4,2545.0,2634.9,2023-12-19,551348
2685.0,2698.8,2460.0,2495.4,2023-12-20,134488
2466.0,2627.75,2458.0,2580.3,2023-12-21,105722
2647.0,2647.0,2561.0,2583.6,2023-12-22,65321
2601.1,2623.8,2561.2,2594.3,2023-12-26,76785
2601.0,2730.0,2580.05,2704.75,2023-12-27,88909
2728.0,2942.6,2728.0,2887.0,2023-12-28,192361
2918.8,2969.8,2890.1,2905.25,2023-12-29,105843
