open,high,low,close,date,volume
226.0,232.2,219.0,221.7,2022-09-29,86807
220.05,230.6,218.0,225.05,2022-09-30,60474
223.4,238.0,219.95,223.85,2022-10-03,68211
228.95,232.95,225.0,228.95,2022-10-04,32349
228.85,237.6,228.85,233.25,2022-10-06,57061
237.5,240.85,231.5,238.5,2022-10-07,136658
237.25,242.0,231.25,232.95,2022-10-10,49432
236.8,239.0,222.5,224.1,2022-10-11,63022
228.8,230.9,222.05,229.3,2022-10-12,93906
231.4,231.4,224.0,226.05,2022-10-13,31958
229.95,229.95,224.0,225.45,2022-10-14,41328
225.45,228.9,221.65,227.65,2022-10-17,101797
229.9,233.95,224.1,225.2,2022-10-18,34627
226.5,230.0,224.35,226.25,2022-10-19,44921
228.4,228.9,223.1,224.05,2022-10-20,39512
227.8,227.8,217.25,219.75,2022-10-21,41620
223.95,228.5,220.15,227.4,2022-10-24,31939
228.9,231.0,223.05,229.55,2022-10-25,80457
229.8,234.5,223.55,224.95,2022-10-27,67860
226.7,226.7,220.55,222.5,2022-10-28,64991
225.6,228.0,223.1,223.75,2022-10-31,42933
225.7,227.8,220.1,223.1,2022-11-01,38240
223.5,231.35,221.1,229.6,2022-11-02,74551
229.95,231.95,225.1,226.5,2022-11-03,72049
227.1,229.75,212.0,220.65,2022-11-04,311442
220.65,223.95,215.0,221.75,2022-11-07,146652
222.0,227.0,220.05,224.9,2022-11-09,82315
225.0,257.35,222.05,253.55,2022-11-10,613178
254.95,271.8,249.0,265.55,2022-11-11,532709
270.0,275.7,260.5,262.45,2022-11-14,267550
261.3,270.6,255.3,268.15,2022-11-15,84488
268.15,283.8,268.15,278.75,2022-11-16,257384
281.3,287.4,279.1,283.35,2022-11-17,229531
287.9,294.0,279.0,286.8,2022-11-18,339073
287.75,293.6,281.0,289.95,2022-11-21,111158
290.25,290.8,280.0,282.35,2022-11-22,67005
284.95,284.95,275.5,281.5,2022-11-23,127201
284.95,304.75,280.2,298.85,2022-11-24,273687
303.0,308.0,298.85,303.55,2022-11-25,297461
