open,high,low,close,date,volume
23.7,24.9,23.5,23.6,2022-09-29,18819
23.6,24.35,22.65,23.35,2022-09-30,27995
24.0,25.0,23.1,23.25,2022-10-03,21415
23.2,24.6,23.2,23.55,2022-10-04,16673
24.2,24.2,23.55,23.85,2022-10-06,15934
24.35,24.35,23.0,23.3,2022-10-07,18714
23.9,24.0,23.3,23.65,2022-10-10,20497
24.0,24.25,22.6,23.1,2022-10-11,31061
23.9,23.9,22.75,22.95,2022-10-12,11691
22.75,23.25,22.3,22.55,2022-10-13,28569
24.0,24.0,21.5,21.75,2022-10-14,56155
22.7,22.7,21.55,21.9,2022-10-17,32092
22.75,22.85,21.5,21.85,2022-10-18,28304
22.4,22.4,21.05,21.35,2022-10-19,16980
21.5,21.6,21.1,21.35,2022-10-20,13984
21.15,21.85,21.15,21.45,2022-10-21,9017
23.25,23.25,21.0,21.15,2022-10-24,18563
21.25,21.6,20.0,21.15,2022-10-25,38797
21.15,22.1,21.15,21.45,2022-10-27,20976
21.2,21.9,20.5,21.3,2022-10-28,24547
21.3,22.0,20.9,21.0,2022-10-31,15648
21.75,21.75,21.2,21.55,2022-11-01,14121
21.15,21.65,20.7,21.05,2022-11-02,11897
21.4,24.0,21.1,22.8,2022-11-03,137928
23.65,23.65,21.4,22.2,2022-11-04,22732
23.75,23.95,22.0,22.35,2022-11-07,21752
22.35,22.95,22.0,22.3,2022-11-09,15246
22.75,22.75,21.05,22.15,2022-11-10,37224
22.45,22.5,21.7,22.05,2022-11-11,16838
22.5,22.55,20.5,21.45,2022-11-14,25966
22.3,22.3,21.5,21.75,2022-11-15,15939
21.3,22.15,21.3,21.8,2022-11-16,6177
22.0,22.0,21.3,21.5,2022-11-17,6953
21.8,21.8,21.15,21.7,2022-11-18,9052
21.9,21.9,20.6,21.05,2022-11-21,15040
21.6,22.15,21.0,21.2,2022-11-22,12552
21.65,21.8,21.05,21.45,2022-11-23,7200
21.8,22.0,20.65,21.25,2022-11-24,15656
21.7,22.4,21.05,21.6,2022-11-25,6448
21.9,22.0,21.05,21.4,2022-11-28,18606
22.2,22.2,21.15,21.7,2022-11-29,15618
21.75,22.25,21.35,21.85,2022-11-30,15255
22.4,22.4,21.25,21.75,2022-12-01,24263
22.2,22.2,21.5,21.65,2022-12-02,18428
21.7,22.4,21.5,21.95,2022-12-05,27773
22.7,22.7,21.6,22.05,2022-12-06,23217
22.4,22.5,21.7,22.4,2022-12-07,16333
22.55,22.55,21.8,21.95,2022-12-08,12177
21.85,24.25,21.8,22.95,2022-12-09,112327
23.4,27.0,22.95,25.15,2022-12-12,304752
26.4,26.95,22.6,24.0,2022-12-13,112105
25.0,26.0,23.05,23.65,2022-12-14,64510
23.25,24.0,21.8,22.9,2022-12-15,51235
22.9,24.1,22.55,23.0,2022-12-16,41085
23.7,23.7,22.3,22.95,2022-12-19,21522
22.95,23.55,22.7,23.0,2022-12-20,55414
22.6,23.4,22.3,22.55,2022-12-21,16742
22.55,23.0,21.0,21.8,2022-12-22,63826
22.45,22.45,20.0,20.2,2022-12-23,48881
21.4,21.4,19.5,21.3,2022-12-26,12755
21.15,25.55,20.0,23.75,2022-12-27,515513
24.8,24.8,22.05,22.5,2022-12-28,153513
23.0,23.9,21.3,23.35,2022-12-29,23836
23.45,23.45,22.2,22.8,2022-12-30,53086
23.5,23.7,21.7,22.75,2023-01-02,23112
22.25,23.25,22.0,22.7,2023-01-03,24368
22.7,23.0,22.05,22.95,2023-01-04,38033
23.4,23.4,22.2,22.65,2023-01-05,25276
22.95,22.95,22.2,22.7,2023-01-06,24601
23.0,23.45,22.4,22.55,2023-01-09,49641
22.85,23.8,22.6,23.5,2023-01-10,47474
23.8,23.8,23.0,23.25,2023-01-11,20162
23.75,23.75,22.65,23.2,2023-01-12,20832
23.5,23.5,22.7,22.8,2023-01-13,13090
23.35,23.35,22.55,22.6,2023-01-16,10987
22.4,23.0,22.4,22.55,2023-01-17,9498
22.55,23.25,22.5,22.95,2023-01-18,14854
22.8,22.95,22.45,22.55,2023-01-19,12214
22.75,22.85,22.25,22.55,2023-01-20,6326
22.85,22.85,22.05,22.25,2023-01-23,9255
22.6,22.6,22.0,22.25,2023-01-24,6125
22.45,22.45,21.55,21.85,2023-01-25,9225
21.9,22.25,21.25,21.6,2023-01-27,13532
22.4,22.6,21.15,22.1,2023-01-30,16642
22.6,22.6,20.7,21.75,2023-01-31,16322
22.35,22.35,21.1,21.45,2023-02-01,11880
21.1,22.25,21.1,21.15,2023-02-02,16317
22.15,22.15,20.7,21.05,2023-02-03,14558
22.0,22.0,20.7,21.55,2023-02-06,13136
21.9,21.9,21.05,21.6,2023-02-07,14575
21.5,22.3,21.0,21.1,2023-02-08,14984
21.65,21.65,20.5,20.7,2023-02-09,29605
20.2,21.2,20.2,20.95,2023-02-10,13812
20.55,21.35,20.1,20.7,2023-02-13,14876
20.35,20.6,20.1,20.2,2023-02-14,13057
20.2,20.3,20.0,20.1,2023-02-15,12946
20.1,21.4,19.9,20.85,2023-02-16,16815
21.35,21.5,20.3,20.5,2023-02-17,13485
20.5,20.5,19.8,20.05,2023-02-20,20139
