open,high,low,close,date,volume
700.45,723.0,678.0,711.85,2022-09-29,394268
700.55,718.9,679.0,689.55,2022-09-30,177448
701.3,760.0,700.25,745.55,2022-10-03,529742
754.9,755.25,726.1,731.3,2022-10-04,117711
753.0,755.0,711.0,723.9,2022-10-06,108352
726.0,749.0,702.4,709.8,2022-10-07,86001
709.0,718.9,681.6,685.7,2022-10-10,82686
689.85,693.0,616.1,652.3,2022-10-11,140473
497.0,504.85,447.0,454.55,2022-10-12,162183
460.0,464.85,446.6,461.25,2022-10-13,49303
465.55,472.0,446.2,452.05,2022-10-14,65985
454.95,472.65,454.0,459.45,2022-10-17,83281
461.95,477.9,460.05,466.8,2022-10-18,41036
468.0,468.0,455.25,459.25,2022-10-19,29470
455.05,464.0,454.9,458.25,2022-10-20,28946
461.0,461.85,433.25,445.15,2022-10-21,36982
446.0,462.7,446.0,454.85,2022-10-24,22491
458.0,459.95,443.95,445.85,2022-10-25,23057
449.95,458.5,442.35,451.1,2022-10-27,20204
451.1,455.35,433.25,435.15,2022-10-28,70682
439.9,443.0,425.05,433.25,2022-10-31,79405
437.0,449.2,432.0,447.7,2022-11-01,64281
452.2,470.0,451.0,465.75,2022-11-02,97949
466.95,478.35,451.6,471.9,2022-11-03,113953
462.35,474.7,457.35,468.65,2022-11-04,91002
482.0,484.0,445.1,450.05,2022-11-07,122219
451.6,463.9,446.55,460.2,2022-11-09,74110
460.0,462.0,441.0,447.05,2022-11-10,47632
450.55,460.95,435.0,439.45,2022-11-11,41511
438.05,442.0,412.9,417.9,2022-11-14,109911
417.9,426.5,416.0,419.15,2022-11-15,39082
419.95,424.35,412.15,413.6,2022-11-16,55390
419.95,419.95,403.0,410.45,2022-11-17,46611
409.0,413.25,383.6,398.05,2022-11-18,101813
398.0,398.05,370.05,378.3,2022-11-21,182602
375.0,429.25,375.0,418.55,2022-11-22,466376
418.55,424.3,405.1,411.8,2022-11-23,130321
411.8,419.9,401.0,405.75,2022-11-24,78884
409.9,414.6,401.1,403.35,2022-11-25,47972
402.25,412.7,398.1,403.75,2022-11-28,44352
403.95,419.0,403.75,410.1,2022-11-29,69610
406.9,413.15,403.6,410.9,2022-11-30,29704
414.8,419.75,411.6,414.95,2022-12-01,34456
411.55,422.85,410.4,416.35,2022-12-02,33664
424.9,430.45,420.0,423.7,2022-12-05,60021
424.0,432.0,422.0,424.7,2022-12-06,29034
426.9,428.6,420.5,425.85,2022-12-07,28500
427.9,441.95,426.25,437.65,2022-12-08,65321
437.7,446.75,420.55,424.85,2022-12-09,59258
423.4,427.45,410.2,413.15,2022-12-12,39966
414.95,415.45,405.25,407.4,2022-12-13,73679
407.4,414.45,403.95,406.8,2022-12-14,37933
406.8,414.0,403.55,410.0,2022-12-15,25858
409.9,414.8,394.45,399.95,2022-12-16,35444
400.5,409.0,396.0,396.9,2022-12-19,23199
402.8,414.95,390.5,399.2,2022-12-20,224078
402.9,409.45,380.05,386.7,2022-12-21,89191
392.5,392.5,377.7,380.1,2022-12-22,83507
376.0,380.1,359.0,362.0,2022-12-23,99790
362.0,395.8,360.0,383.8,2022-12-26,99875
389.55,399.4,386.55,390.5,2022-12-27,42625
399.0,415.0,392.4,410.3,2022-12-28,87749
411.5,416.85,410.3,413.45,2022-12-29,31404
415.9,420.9,404.15,406.9,2022-12-30,39701
406.75,414.95,402.0,403.0,2023-01-02,31897
405.0,409.85,395.8,398.25,2023-01-03,38849
399.9,402.65,395.0,401.05,2023-01-04,30851
402.05,410.0,395.55,401.0,2023-01-05,29348
401.0,410.65,395.0,397.55,2023-01-06,20785
399.95,411.0,396.05,405.6,2023-01-09,36950
410.0,411.7,397.3,399.3,2023-01-10,25781
399.3,408.0,395.05,395.9,2023-01-11,15365
400.0,407.5,392.0,395.45,2023-01-12,19542
392.3,404.0,390.0,392.9,2023-01-13,20583
392.9,403.0,392.05,399.35,2023-01-16,36093
403.35,403.35,390.0,392.65,2023-01-17,28639
393.3,395.25,390.0,392.25,2023-01-18,16974
389.95,394.85,384.8,387.15,2023-01-19,43264
389.95,398.0,385.8,392.25,2023-01-20,27089
398.0,400.5,386.1,387.9,2023-01-23,24703
386.3,393.0,378.2,380.15,2023-01-24,24225
380.15,385.8,364.45,377.15,2023-01-25,64266
378.0,386.0,361.25,372.05,2023-01-27,63695
383.85,385.95,371.0,375.8,2023-01-30,22108
379.85,384.8,374.35,383.35,2023-01-31,26737
386.7,394.6,372.15,375.5,2023-02-01,51708
375.0,393.5,375.0,384.3,2023-02-02,44750
386.4,393.85,380.95,390.3,2023-02-03,36235
395.0,397.9,384.5,393.55,2023-02-06,29897
394.0,396.75,388.0,394.95,2023-02-07,45416
389.95,404.45,380.55,401.1,2023-02-08,169723
404.9,433.5,399.0,420.65,2023-02-09,207983
420.65,433.0,417.3,427.2,2023-02-10,79783
429.9,436.0,420.5,428.6,2023-02-13,94108
428.5,433.0,420.25,425.8,2023-02-14,61070
425.75,444.0,425.55,440.75,2023-02-15,107811
445.0,449.2,435.0,436.15,2023-02-16,59603
435.0,444.0,433.65,438.2,2023-02-17,33002
438.95,447.0,436.6,443.6,2023-02-20,52347
444.0,449.95,425.5,430.0,2023-02-21,35668
430.0,430.95,416.8,421.85,2023-02-22,47339
423.0,430.35,416.25,426.25,2023-02-23,42803
430.5,447.9,430.0,445.3,2023-02-24,75815
447.8,449.9,411.0,420.6,2023-02-27,67791
415.3,424.6,402.25,408.15,2023-02-28,47264
408.15,419.8,408.15,416.3,2023-03-01,26105
420.0,429.8,417.05,420.1,2023-03-02,28294
424.3,429.85,417.95,420.75,2023-03-03,23630
423.95,433.0,416.5,424.75,2023-03-06,90142
419.8,432.0,413.65,423.75,2023-03-08,73114
427.9,431.45,416.15,418.15,2023-03-09,21334
418.15,423.9,398.3,403.45,2023-03-10,63034
398.65,409.9,384.0,387.6,2023-03-13,86595
393.4,398.75,385.0,392.4,2023-03-14,86365
398.3,406.95,389.0,395.8,2023-03-15,72598
401.35,413.0,388.05,408.95,2023-03-16,76216
410.0,417.0,406.1,411.65,2023-03-17,33733
415.85,418.7,405.1,409.85,2023-03-20,49408
414.5,420.0,405.0,417.2,2023-03-21,40938
430.0,488.2,430.0,481.3,2023-03-22,1319385
476.0,499.0,467.05,480.35,2023-03-23,454043
475.55,503.0,471.05,492.55,2023-03-24,356874
493.0,505.0,485.0,491.85,2023-03-27,207892
491.95,541.55,490.0,537.1,2023-03-28,772356
534.0,545.3,523.7,531.15,2023-03-29,270636
535.8,535.8,504.0,513.45,2023-03-31,172472
511.0,525.0,510.0,513.3,2023-04-03,71049
513.45,522.05,492.5,496.0,2023-04-05,90227
498.0,526.5,496.25,517.65,2023-04-06,109743
520.0,538.7,512.25,516.0,2023-04-10,59508
515.0,520.9,500.0,501.0,2023-04-11,49766
500.1,516.2,500.1,502.7,2023-04-12,61341
504.0,506.6,488.0,490.85,2023-04-13,70762
490.0,495.0,478.6,480.5,2023-04-17,97184
481.0,508.45,481.0,492.35,2023-04-18,141694
496.0,498.3,484.8,485.9,2023-04-19,44903
488.0,498.85,483.65,486.65,2023-04-20,43753
489.85,510.95,482.1,503.6,2023-04-21,93073
507.85,512.0,492.25,495.15,2023-04-24,63785
495.0,504.9,493.5,495.65,2023-04-25,38813
495.65,503.9,486.05,488.05,2023-04-26,53105
502.9,502.9,487.55,491.25,2023-04-27,44794
491.25,502.9,488.55,490.65,2023-04-28,40223
495.55,518.55,494.25,513.0,2023-05-02,135043
519.9,525.8,506.1,510.2,2023-05-03,85614
514.9,521.0,507.25,513.95,2023-05-04,52979
511.05,532.6,510.05,512.9,2023-05-05,90322
513.2,520.0,502.1,507.6,2023-05-08,75207
513.0,535.0,506.05,512.75,2023-05-09,135902
517.7,533.0,507.7,512.95,2023-05-10,99494
515.0,524.8,502.1,506.7,2023-05-11,62833
509.9,519.0,507.55,516.15,2023-05-12,40226
516.2,557.75,516.2,537.05,2023-05-15,435698
539.0,556.0,530.5,532.95,2023-05-16,146195
540.0,548.9,527.35,540.05,2023-05-17,86121
557.95,557.95,525.05,529.75,2023-05-18,222230
532.8,538.05,483.0,503.8,2023-05-19,221806
508.0,523.5,504.0,517.45,2023-05-22,167713
522.55,522.6,505.1,512.75,2023-05-23,107961
512.75,517.65,495.05,498.55,2023-05-24,103421
