open,high,low,close,date,volume
689.95,694.0,650.0,656.05,2022-11-22,33869
660.0,660.0,635.1,641.1,2022-11-23,8672
657.0,657.0,628.0,636.05,2022-11-24,11723
641.95,645.05,632.05,639.65,2022-11-25,7283
645.0,645.0,619.9,628.3,2022-11-28,10296
637.7,639.95,571.1,602.75,2022-11-29,22569
611.75,616.9,583.05,597.8,2022-11-30,21293
609.95,610.0,577.0,584.75,2022-12-01,22352
590.6,602.0,576.35,598.85,2022-12-02,27636
598.0,648.15,595.05,635.5,2022-12-05,26600
644.95,674.8,602.5,656.4,2022-12-06,65503
660.0,674.0,625.55,664.3,2022-12-07,44077
670.4,682.0,644.25,653.7,2022-12-08,41372
658.0,669.0,627.0,630.7,2022-12-09,27632
638.0,640.0,614.0,621.35,2022-12-12,14659
624.8,625.0,609.65,615.8,2022-12-13,12395
620.0,626.0,603.35,618.3,2022-12-14,13900
620.0,633.95,611.45,625.8,2022-12-15,10056
625.25,630.25,604.1,614.4,2022-12-16,11509
620.9,623.95,603.55,609.2,2022-12-19,8326
608.7,625.0,592.0,596.65,2022-12-20,20036
603.85,607.9,557.65,576.25,2022-12-21,30083
598.95,598.95,551.7,560.25,2022-12-22,19843
563.0,565.05,523.0,537.0,2022-12-23,31522
575.0,575.0,537.1,566.7,2022-12-26,17766
575.2,599.95,561.3,591.65,2022-12-27,16112
595.4,659.95,595.25,645.05,2022-12-28,117368
654.0,661.35,641.4,655.85,2022-12-29,51248
663.4,674.0,619.8,636.2,2022-12-30,24343
645.75,652.75,616.5,623.3,2023-01-02,9633
629.55,629.55,608.8,619.65,2023-01-03,8294
616.05,619.9,591.05,599.15,2023-01-04,14718
605.0,608.9,590.0,602.35,2023-01-05,10124
611.4,613.35,586.3,591.95,2023-01-06,5467
593.8,610.0,585.0,589.9,2023-01-09,9152
593.3,613.95,580.0,603.05,2023-01-10,9552
614.0,626.0,599.0,602.25,2023-01-11,9860
608.35,614.2,575.0,585.1,2023-01-12,11117
599.9,600.0,575.1,577.65,2023-01-13,12289
592.0,599.0,581.0,586.8,2023-01-16,9283
585.25,596.75,585.25,594.05,2023-01-17,2507
603.9,604.0,575.0,588.0,2023-01-18,8117
588.3,604.0,582.15,598.05,2023-01-19,7775
600.0,617.55,565.05,569.2,2023-01-20,39876
545.0,565.2,536.7,562.3,2023-01-23,36008
568.95,572.75,546.9,554.85,2023-01-24,12542
557.0,561.0,546.05,556.75,2023-01-25,8638
561.0,561.0,536.0,544.35,2023-01-27,13332
559.0,559.0,534.9,542.75,2023-01-30,10792
544.7,556.05,543.25,549.55,2023-01-31,4069
550.0,564.7,516.9,525.35,2023-02-01,22098
533.25,543.65,527.0,535.5,2023-02-02,7671
539.0,552.0,525.0,539.15,2023-02-03,5811
545.0,549.9,536.05,542.05,2023-02-06,3462
535.05,550.35,535.05,545.2,2023-02-07,2576
555.0,555.0,535.0,536.3,2023-02-08,6644
539.0,595.0,533.15,559.35,2023-02-09,33040
559.35,566.3,546.5,549.85,2023-02-10,5279
558.0,558.0,532.0,534.5,2023-02-13,7589
543.0,543.0,528.0,529.8,2023-02-14,6573
531.3,538.9,529.0,530.85,2023-02-15,3514
534.5,542.0,532.75,536.2,2023-02-16,3046
540.1,545.1,520.0,528.85,2023-02-17,9074
537.0,539.95,531.0,534.0,2023-02-20,3252
535.05,538.9,512.8,525.25,2023-02-21,9550
524.0,539.0,517.55,532.95,2023-02-22,5475
529.7,537.0,526.0,531.0,2023-02-23,5150
528.75,537.0,524.0,527.5,2023-02-24,5187
520.05,536.25,520.0,524.55,2023-02-27,5830
534.85,535.0,523.0,525.85,2023-02-28,2705
524.9,532.0,520.0,523.6,2023-03-01,8680
521.3,526.6,517.1,520.35,2023-03-02,5873
532.0,532.0,505.05,517.1,2023-03-03,9236
526.7,564.4,521.55,559.0,2023-03-06,28382
559.0,578.9,540.25,574.45,2023-03-08,35556
576.65,595.3,570.05,575.35,2023-03-09,39480
579.65,584.0,554.6,561.85,2023-03-10,31504
546.5,570.0,531.0,535.5,2023-03-13,28809
540.0,550.95,530.9,542.15,2023-03-14,25471
549.0,550.0,536.9,544.4,2023-03-15,22688
540.0,568.75,533.7,556.6,2023-03-16,77116
562.0,563.8,542.25,551.75,2023-03-17,24450
559.8,571.65,544.0,561.4,2023-03-20,39709
563.4,572.9,560.8,569.1,2023-03-21,25625
573.5,585.0,551.0,561.7,2023-03-22,27613
561.7,577.8,552.0,554.3,2023-03-23,27226
554.3,562.0,535.0,541.95,2023-03-24,37667
540.0,540.0,520.1,523.7,2023-03-27,32433
520.1,520.2,496.7,511.25,2023-03-28,33044
515.8,535.35,506.0,519.7,2023-03-29,34938
523.2,529.9,521.45,523.75,2023-03-31,30233
537.95,565.0,528.5,561.1,2023-04-03,37336
569.0,666.0,568.95,632.15,2023-04-05,197825
632.15,638.0,608.0,612.25,2023-04-06,37004
640.0,689.0,625.55,663.95,2023-04-10,134392
671.8,691.95,644.6,666.8,2023-04-11,51678
675.0,675.0,649.95,669.3,2023-04-12,38255
669.75,671.0,645.1,654.65,2023-04-13,45430
642.3,670.05,642.3,657.35,2023-04-17,48332
658.05,704.95,652.25,701.15,2023-04-18,101325
702.2,717.05,670.25,678.75,2023-04-19,57486
692.4,697.1,544.0,573.55,2023-04-20,247274
565.0,565.4,505.9,546.15,2023-04-21,252779
548.0,568.0,526.55,532.35,2023-04-24,76594
539.8,539.8,509.0,518.15,2023-04-25,76246
532.0,545.95,522.6,528.0,2023-04-26,57344
534.0,540.85,512.35,522.35,2023-04-27,65453
534.0,549.45,521.5,539.4,2023-04-28,61690
545.0,545.0,503.0,507.1,2023-05-02,85062
509.75,516.6,486.3,491.6,2023-05-03,68732
496.5,509.45,491.05,499.7,2023-05-04,23321
507.0,514.0,490.1,495.2,2023-05-05,33743
497.9,508.0,495.85,500.7,2023-05-08,30598
510.0,510.0,488.1,494.5,2023-05-09,32706
494.5,515.0,494.5,508.6,2023-05-10,44279
512.6,513.9,502.1,505.4,2023-05-11,33611
506.25,513.95,503.05,510.35,2023-05-12,34835
511.9,518.6,508.8,516.35,2023-05-15,26246
519.35,519.35,506.15,508.0,2023-05-16,37590
505.0,518.45,499.0,502.35,2023-05-17,39661
502.35,507.9,490.25,498.1,2023-05-18,42390
502.0,504.3,491.0,500.4,2023-05-19,42003
500.4,500.45,449.6,451.3,2023-05-22,102084
456.95,481.0,450.1,473.15,2023-05-23,62180
476.0,478.75,453.05,457.15,2023-05-24,34471
457.15,467.9,453.0,463.95,2023-05-25,36367
463.95,477.9,463.1,471.7,2023-05-26,29689
