open,high,low,close,date,volume
113.0,114.95,93.25,94.15,2023-10-16,31938
94.2,99.8,92.55,93.7,2023-10-17,8880
95.65,96.6,91.0,92.55,2023-10-18,5430
104.95,104.95,93.05,95.65,2023-10-19,48821
104.0,104.0,87.15,91.75,2023-10-20,27679
99.55,99.55,87.3,87.95,2023-10-23,40239
94.0,94.0,82.25,83.85,2023-10-25,21947
85.95,85.95,71.35,80.9,2023-10-26,27277
80.95,90.0,80.95,87.8,2023-10-27,20540
91.0,91.0,84.5,86.1,2023-10-30,24991
86.85,88.05,83.2,84.65,2023-10-31,13815
84.6,89.0,77.55,84.3,2023-11-01,14256
77.85,87.0,77.85,86.0,2023-11-02,3718
84.75,87.9,81.05,82.4,2023-11-03,10919
88.0,88.0,81.95,83.5,2023-11-06,1906
85.5,93.4,80.9,90.4,2023-11-07,26409
97.9,97.9,88.2,90.7,2023-11-08,8177
89.05,94.15,86.6,87.3,2023-11-09,6651
90.85,91.25,87.25,88.0,2023-11-10,2898
91.95,92.0,88.1,90.2,2023-11-12,1306
82.1,91.85,82.1,89.6,2023-11-13,10661
85.2,91.0,85.2,88.65,2023-11-15,11139
89.9,92.95,89.25,91.45,2023-11-16,5654
90.8,92.9,88.5,92.0,2023-11-17,4364
91.0,93.3,89.45,92.6,2023-11-20,1005
91.0,92.55,88.45,91.95,2023-11-21,1625
89.8,91.85,87.5,90.3,2023-11-22,6664
91.25,92.0,87.8,89.2,2023-11-23,19845
91.55,91.85,85.2,87.55,2023-11-24,22987
89.0,92.15,87.65,89.75,2023-11-28,13444
90.2,94.7,84.15,87.65,2023-11-29,7785
91.3,91.95,85.0,87.4,2023-11-30,12371
91.15,91.15,86.5,87.45,2023-12-01,3890
95.3,95.3,81.5,87.6,2023-12-04,8211
87.65,88.5,85.2,85.95,2023-12-05,3244
88.1,88.65,85.05,86.0,2023-12-06,3342
84.65,85.5,81.0,83.85,2023-12-07,6209
85.5,86.45,83.0,83.5,2023-12-08,9937
86.0,86.5,84.05,85.05,2023-12-11,2882
84.55,85.5,83.75,84.25,2023-12-12,893
84.85,84.9,82.0,82.65,2023-12-13,4668
83.65,87.9,82.1,83.35,2023-12-14,3607
85.9,100.0,81.4,93.1,2023-12-15,61398
95.0,97.25,85.55,87.65,2023-12-18,12270
87.0,89.6,84.65,87.55,2023-12-19,4798
93.85,93.85,82.25,82.9,2023-12-20,14951
89.55,99.45,79.25,96.95,2023-12-21,89647
97.85,107.5,84.7,93.55,2023-12-22,112945
92.35,97.9,90.2,91.8,2023-12-26,8023
92.7,110.15,91.5,110.15,2023-12-27,173435
119.8,132.15,117.05,132.15,2023-12-28,454467
139.0,145.35,121.0,127.65,2023-12-29,317600
