open,high,low,close,date,volume
164.6,164.6,158.6,160.95,2022-12-06,9341
163.0,166.4,153.5,159.45,2022-12-07,6183
165.95,165.95,159.8,160.6,2022-12-08,9282
160.0,162.45,156.05,156.65,2022-12-09,3284
159.8,164.45,158.45,159.2,2022-12-12,53911
163.9,165.0,160.0,163.85,2022-12-13,23781
166.35,168.45,162.7,165.4,2022-12-14,18466
163.0,167.0,163.0,164.25,2022-12-15,10191
166.95,167.0,159.0,159.8,2022-12-16,12943
161.0,163.0,160.0,161.45,2022-12-19,8024
164.0,164.0,153.4,155.8,2022-12-20,16368
161.8,161.8,150.0,151.65,2022-12-21,5203
144.1,151.45,144.1,144.1,2022-12-22,9616
144.1,148.7,136.9,136.9,2022-12-23,4562
130.1,140.95,130.1,138.2,2022-12-26,14767
138.2,145.1,133.15,137.45,2022-12-27,19223
135.95,144.3,135.95,144.3,2022-12-28,17266
149.9,151.5,143.1,151.5,2022-12-29,17832
152.0,159.05,152.0,159.05,2022-12-30,14890
162.0,167.0,160.6,161.9,2023-01-02,37142
161.9,169.95,153.85,169.9,2023-01-03,46194
167.4,170.45,161.85,162.3,2023-01-04,21926
162.0,165.45,157.0,158.75,2023-01-05,10119
163.95,163.95,158.55,163.55,2023-01-06,3191
168.9,168.9,160.55,165.05,2023-01-09,8414
165.0,167.85,160.05,160.8,2023-01-10,8397
157.25,163.95,157.25,163.25,2023-01-11,2569
168.0,168.0,160.0,160.45,2023-01-12,6888
163.05,163.45,159.05,160.55,2023-01-13,4359
160.6,168.5,160.6,165.7,2023-01-16,19722
162.15,168.0,162.0,167.65,2023-01-17,12305
174.95,174.95,168.0,173.45,2023-01-18,50398
174.95,178.0,170.0,177.05,2023-01-19,22652
173.6,185.9,173.6,182.35,2023-01-20,104723
191.45,191.45,191.45,191.45,2023-01-23,31348
201.0,201.0,201.0,201.0,2023-01-24,15379
211.05,211.05,201.05,211.05,2023-01-25,193023
221.6,221.6,215.0,221.6,2023-01-27,234621
232.65,232.65,231.6,232.65,2023-01-30,20647
244.25,244.25,237.0,244.25,2023-01-31,85942
256.45,256.45,232.05,232.05,2023-02-01,400035
220.45,220.45,220.45,220.45,2023-02-02,29357
41.85,46.25,41.85,46.25,2023-02-03,409960
48.55,48.55,46.35,48.55,2023-02-06,437159
50.4,50.4,46.15,46.15,2023-02-07,296534
44.75,44.75,43.85,43.85,2023-02-08,115078
97.95,97.95,88.65,88.9,2023-05-23,1350729
85.1,87.05,84.45,84.45,2023-05-24,415271
80.25,88.65,80.25,88.65,2023-05-25,1086298
93.05,93.05,92.85,93.05,2023-05-26,264053
97.7,97.7,97.25,97.7,2023-05-29,139328
102.55,102.55,102.55,102.55,2023-05-30,129677
107.65,107.65,107.65,107.65,2023-05-31,173396
113.0,113.0,102.3,112.8,2023-06-01,1835302
118.4,118.4,114.0,118.4,2023-06-02,463143
124.3,124.3,124.3,124.3,2023-06-05,193728
130.5,130.5,130.5,130.5,2023-06-06,122307
137.0,137.0,137.0,137.0,2023-06-07,46674
138.0,138.0,130.15,130.15,2023-06-08,713879
123.65,136.65,123.65,136.65,2023-06-09,1418320
143.45,143.45,143.45,143.45,2023-06-12,65565
73.75,79.0,73.75,77.45,2023-09-25,150172
77.9,78.9,76.5,77.0,2023-09-26,119695
77.0,78.5,75.45,77.2,2023-09-27,138695
78.85,80.0,77.1,79.0,2023-09-28,168352
80.5,80.5,78.0,78.3,2023-09-29,102240
81.0,81.0,76.85,77.6,2023-10-03,128605
77.9,78.6,75.0,75.85,2023-10-04,128393
76.0,77.1,74.5,75.35,2023-10-05,107220
74.0,76.1,72.4,73.5,2023-10-06,228829
72.55,73.25,70.0,71.2,2023-10-09,190278
71.0,73.25,69.5,70.75,2023-10-10,150401
