open,high,low,close,date,volume
21.4,22.2,21.4,21.5,2022-09-29,5116
21.4,21.8,20.8,21.8,2022-09-30,2432
22.8,22.8,21.35,22.45,2022-10-03,5510
22.45,22.45,21.6,22.2,2022-10-04,3170
22.2,22.5,21.7,22.0,2022-10-06,4060
22.05,23.1,22.05,22.5,2022-10-07,8531
22.95,22.95,21.5,22.5,2022-10-10,3119
24.5,24.5,21.3,22.0,2022-10-11,4599
22.45,22.45,21.5,21.6,2022-10-12,795
22.45,22.45,20.05,21.25,2022-10-13,12103
21.25,22.45,21.25,22.4,2022-10-14,2914
22.45,22.5,21.5,21.5,2022-10-17,4099
21.6,22.5,21.5,22.25,2022-10-18,3723
22.25,22.5,21.6,22.3,2022-10-19,6110
22.45,22.5,21.8,21.9,2022-10-20,703
22.4,22.4,20.1,21.5,2022-10-21,5976
23.6,23.65,22.25,22.9,2022-10-24,4637
22.45,22.5,21.25,22.5,2022-10-25,2226
22.45,22.45,21.5,21.65,2022-10-27,4635
22.45,22.45,20.8,21.5,2022-10-28,5545
22.15,22.15,21.5,22.0,2022-10-31,1180
22.0,22.35,21.6,21.8,2022-11-01,563
22.05,22.4,21.6,21.6,2022-11-02,5187
21.85,22.3,21.6,22.25,2022-11-03,6866
22.6,22.65,22.0,22.5,2022-11-04,11312
21.9,22.95,21.8,22.25,2022-11-07,2565
22.2,22.6,21.0,21.35,2022-11-09,11531
21.55,22.75,21.0,22.4,2022-11-10,5153
22.4,24.4,21.35,22.95,2022-11-11,3876
22.95,22.95,21.6,22.3,2022-11-14,4947
20.1,21.5,20.1,21.2,2022-11-15,22730
21.7,21.75,20.5,21.7,2022-11-16,5173
22.0,22.0,20.7,21.25,2022-11-17,8894
22.15,22.15,20.5,20.55,2022-11-18,19815
20.55,21.3,20.3,20.65,2022-11-21,1348
20.3,21.3,18.6,20.5,2022-11-22,15925
20.0,21.4,19.0,20.85,2022-11-23,37892
20.7,20.95,19.6,20.0,2022-11-24,21170
20.05,20.8,19.5,20.55,2022-11-25,4617
20.8,20.95,20.05,20.45,2022-11-28,9813
20.1,20.9,20.1,20.5,2022-11-29,1631
20.5,21.0,20.15,20.7,2022-11-30,4243
21.0,22.1,20.55,21.0,2022-12-01,9395
20.7,22.45,20.7,20.75,2022-12-02,6234
22.35,22.35,20.8,21.3,2022-12-05,3348
21.75,22.0,20.7,21.0,2022-12-06,8872
21.5,21.5,20.15,20.8,2022-12-07,13194
20.8,21.45,20.8,21.15,2022-12-08,3166
21.4,21.4,20.5,20.7,2022-12-09,2113
20.45,24.7,16.65,21.55,2022-12-12,43758
21.9,23.3,21.05,22.2,2022-12-13,33389
22.4,26.6,22.0,23.7,2022-12-14,424748
23.85,24.4,23.05,23.1,2022-12-15,46238
23.65,24.35,22.05,22.55,2022-12-16,143176
22.6,24.1,22.25,22.95,2022-12-19,49560
23.4,23.4,22.5,22.7,2022-12-20,30514
24.85,24.85,22.0,22.2,2022-12-21,13023
23.2,23.2,21.0,21.5,2022-12-22,4409
21.5,23.2,20.1,20.35,2022-12-23,15006
19.4,21.9,19.4,20.75,2022-12-26,18178
20.75,22.5,20.5,21.75,2022-12-27,10859
24.3,24.3,20.7,21.25,2022-12-28,74354
22.25,22.25,20.85,20.95,2022-12-29,7651
21.4,22.5,20.7,21.25,2022-12-30,21719
20.75,21.75,20.5,21.5,2023-01-02,3714
22.0,22.0,21.05,21.2,2023-01-03,34706
21.6,21.6,21.15,21.35,2023-01-04,10165
21.85,23.0,21.55,21.85,2023-01-05,35506
22.0,22.0,20.7,21.55,2023-01-06,12456
22.0,22.5,20.6,21.55,2023-01-09,8014
22.2,22.2,21.05,21.3,2023-01-10,1744
21.1,21.6,20.7,21.25,2023-01-11,4653
21.35,21.35,20.2,21.15,2023-01-12,1189
21.0,21.35,20.9,21.35,2023-01-13,612
21.8,21.8,20.7,21.5,2023-01-16,1208
