open,high,low,close,date,volume
441.25,453.0,420.15,439.8,2022-09-29,123588
442.0,449.55,430.0,443.05,2022-09-30,85091
445.4,445.4,428.4,431.2,2022-10-03,100671
433.6,444.8,433.6,437.5,2022-10-04,68683
439.8,463.0,437.5,456.1,2022-10-06,151949
458.9,475.0,458.9,463.45,2022-10-07,284266
459.2,459.4,446.75,450.1,2022-10-10,53742
452.4,452.4,434.0,435.7,2022-10-11,76781
437.9,441.6,434.0,435.9,2022-10-12,39085
435.9,437.45,429.7,434.75,2022-10-13,34816
438.05,442.4,432.0,434.35,2022-10-14,34594
433.0,436.55,423.2,429.1,2022-10-17,69963
431.0,441.95,429.6,436.55,2022-10-18,89019
438.75,439.2,432.25,436.85,2022-10-19,27138
434.0,484.4,432.3,471.1,2022-10-20,299031
470.0,477.55,435.9,445.6,2022-10-21,563863
445.0,449.0,431.05,434.55,2022-10-24,66258
435.0,436.7,413.1,417.4,2022-10-25,143038
422.0,422.0,395.35,399.15,2022-10-27,253677
401.0,405.15,382.1,389.15,2022-10-28,207626
391.1,394.4,372.2,374.3,2022-10-31,169342
373.5,379.95,368.55,372.4,2022-11-01,172796
374.3,411.3,372.85,399.65,2022-11-02,2141954
399.9,399.9,388.0,389.75,2022-11-03,147647
390.0,403.5,390.0,398.7,2022-11-04,158590
400.7,405.95,393.2,399.45,2022-11-07,98560
402.0,402.0,385.85,387.85,2022-11-09,101111
386.5,394.7,378.05,379.8,2022-11-10,90788
383.0,393.0,378.05,390.95,2022-11-11,123935
392.95,405.0,391.25,395.5,2022-11-14,127143
396.95,402.95,395.0,396.45,2022-11-15,64194
398.45,406.0,396.45,399.6,2022-11-16,113962
401.6,403.15,388.05,389.35,2022-11-17,68223
390.0,392.8,380.15,384.6,2022-11-18,54844
384.65,391.2,381.2,388.25,2022-11-21,51412
386.0,390.75,382.0,383.15,2022-11-22,42065
383.15,397.5,383.0,387.25,2022-11-23,116181
389.2,419.5,387.25,412.95,2022-11-24,494717
415.0,427.95,404.3,409.95,2022-11-25,396207
410.65,410.65,399.8,404.0,2022-11-28,106506
402.0,416.0,402.0,407.0,2022-11-29,110002
406.85,415.25,401.1,412.45,2022-11-30,94941
415.55,423.0,411.05,417.25,2022-12-01,115551
417.45,441.0,415.0,434.45,2022-12-02,282831
437.0,513.0,435.2,498.15,2022-12-05,5637368
499.4,500.95,484.35,488.95,2022-12-06,773527
486.0,486.0,472.15,476.25,2022-12-07,233874
478.2,514.9,476.5,493.35,2022-12-08,2299120
490.65,499.7,472.0,481.7,2022-12-09,408690
484.9,502.0,480.0,494.95,2022-12-12,415482
499.0,507.9,489.1,502.3,2022-12-13,441281
510.0,514.0,490.8,494.95,2022-12-14,220878
490.55,497.95,485.55,488.9,2022-12-15,135058
481.0,500.0,480.0,490.25,2022-12-16,252439
490.25,502.8,480.65,486.85,2022-12-19,181662
487.95,499.5,480.25,491.45,2022-12-20,144976
495.0,498.3,460.35,470.45,2022-12-21,183470
470.3,479.8,441.4,446.05,2022-12-22,175221
441.1,444.9,417.05,420.6,2022-12-23,215295
420.95,453.8,419.05,449.15,2022-12-26,142482
452.45,464.0,451.5,457.7,2022-12-27,89301
457.7,463.0,452.0,456.1,2022-12-28,69803
459.2,515.35,455.55,501.3,2022-12-29,4456703
504.8,524.7,502.0,514.95,2022-12-30,1426381
515.0,516.15,498.0,503.25,2023-01-02,330001
504.1,513.0,500.75,504.3,2023-01-03,197453
504.7,509.45,485.7,488.8,2023-01-04,241347
489.95,495.35,480.5,486.7,2023-01-05,123656
488.4,506.6,483.95,493.05,2023-01-06,331548
493.7,502.7,485.45,491.25,2023-01-09,110750
491.85,498.95,487.85,495.1,2023-01-10,107884
490.8,495.85,477.05,482.05,2023-01-11,130531
486.2,486.7,472.0,474.7,2023-01-12,102804
474.7,482.45,467.05,470.75,2023-01-13,103873
470.8,488.8,470.8,482.1,2023-01-16,205589
482.55,486.85,477.0,481.25,2023-01-17,56166
481.65,482.2,470.45,473.0,2023-01-18,81496
472.95,485.5,468.55,479.35,2023-01-19,113186
479.0,484.4,475.5,480.2,2023-01-20,49934
484.75,489.05,476.9,487.1,2023-01-23,95984
494.3,508.0,482.25,489.15,2023-01-24,359019
505.0,533.0,502.0,506.5,2023-01-25,3227572
516.05,518.65,478.4,489.8,2023-01-27,386023
494.9,497.95,462.0,464.25,2023-01-30,305173
469.85,501.55,460.55,495.1,2023-01-31,266093
500.95,507.4,465.35,476.25,2023-02-01,224953
476.25,493.8,473.1,484.55,2023-02-02,139731
487.0,492.9,473.0,481.15,2023-02-03,105252
484.8,485.85,468.35,472.95,2023-02-06,117946
479.95,480.0,463.6,475.2,2023-02-07,157563
475.2,489.0,465.45,484.0,2023-02-08,149580
480.0,485.7,472.0,474.9,2023-02-09,79509
467.2,478.9,467.2,470.4,2023-02-10,77718
473.8,473.8,464.1,467.75,2023-02-13,96769
472.5,472.5,456.3,466.25,2023-02-14,107747
466.25,474.75,462.1,472.95,2023-02-15,84586
475.6,485.0,472.3,482.1,2023-02-16,118577
486.0,491.0,474.4,477.55,2023-02-17,106498
481.2,481.2,471.0,472.65,2023-02-20,51742
472.75,484.4,471.8,481.6,2023-02-21,72172
480.0,480.0,473.05,478.3,2023-02-22,47264
481.2,487.75,474.5,478.85,2023-02-23,62116
478.85,483.8,468.0,470.15,2023-02-24,54364
468.0,472.4,462.1,468.1,2023-02-27,62519
469.95,472.5,465.1,470.15,2023-02-28,62800
471.0,479.9,469.5,477.0,2023-03-01,44356
477.0,482.0,471.25,475.55,2023-03-02,81741
481.85,484.9,473.05,480.2,2023-03-03,68104
481.0,495.6,480.75,487.95,2023-03-06,151580
489.95,491.35,482.0,484.8,2023-03-08,41916
487.4,490.15,476.5,478.0,2023-03-09,41595
477.45,479.55,467.8,469.95,2023-03-10,49508
472.4,473.65,460.0,461.6,2023-03-13,65705
461.95,464.65,444.1,445.05,2023-03-14,106490
453.95,463.3,450.25,458.0,2023-03-15,96014
454.7,457.9,431.0,453.1,2023-03-16,323880
459.9,459.95,442.0,444.5,2023-03-17,118249
451.95,452.0,432.4,438.4,2023-03-20,83105
446.95,457.65,437.25,451.1,2023-03-21,135376
449.0,457.95,449.0,453.95,2023-03-22,51076
454.0,463.95,450.25,460.95,2023-03-23,71670
468.0,468.8,456.0,459.85,2023-03-24,94556
461.9,461.9,453.0,454.75,2023-03-27,46418
453.0,454.7,444.1,448.4,2023-03-28,60186
449.0,484.9,440.15,476.1,2023-03-29,253182
474.0,492.6,472.0,489.7,2023-03-31,160683
495.0,503.0,482.0,497.9,2023-04-03,89114
500.0,500.05,490.5,495.3,2023-04-05,55871
497.0,497.0,484.3,486.7,2023-04-06,49533
490.9,490.9,465.15,469.75,2023-04-10,95247
469.75,477.85,416.95,450.5,2023-04-11,248552
451.8,463.7,451.8,459.85,2023-04-12,145653
462.95,465.95,460.0,462.1,2023-04-13,67775
461.8,463.05,455.25,457.8,2023-04-17,52268
457.95,462.6,455.3,457.25,2023-04-18,53098
457.25,462.65,456.15,457.1,2023-04-19,126980
461.65,461.65,452.05,453.6,2023-04-20,52636
450.8,455.0,450.8,451.65,2023-04-21,39617
453.95,453.95,450.05,452.45,2023-04-24,54083
452.0,452.0,448.05,449.55,2023-04-25,46809
452.0,454.05,439.8,446.2,2023-04-26,188994
444.0,449.9,444.0,446.95,2023-04-27,54305
453.65,466.4,448.05,464.1,2023-04-28,121432
465.1,482.5,461.0,475.25,2023-05-02,140361
474.0,477.8,470.1,471.15,2023-05-03,42148
475.85,478.55,470.55,476.05,2023-05-04,49755
483.0,483.0,470.9,472.1,2023-05-05,62058
474.0,477.25,469.05,471.6,2023-05-08,65565
476.5,476.5,466.4,467.85,2023-05-09,46038
470.0,476.0,468.15,473.45,2023-05-10,38254
473.7,492.45,471.9,488.25,2023-05-11,264753
491.35,512.0,486.7,497.15,2023-05-12,602992
506.0,519.9,501.0,506.35,2023-05-15,456354
508.05,513.1,502.0,505.65,2023-05-16,165924
505.55,509.9,486.4,493.5,2023-05-17,251120
495.05,512.4,494.05,502.2,2023-05-18,168522
502.85,506.5,492.55,500.05,2023-05-19,70315
504.9,507.0,488.0,489.4,2023-05-22,116119
