open,high,low,close,date,volume
359.5,366.95,358.0,364.1,2022-09-29,58648
364.1,391.75,358.05,386.95,2022-09-30,309818
382.7,385.0,376.3,377.7,2022-10-03,125999
381.0,383.7,374.0,376.55,2022-10-04,96696
379.3,387.5,364.3,365.15,2022-10-06,365237
366.4,368.75,362.0,365.75,2022-10-07,127427
363.0,364.8,360.1,362.25,2022-10-10,73169
362.25,363.7,353.2,356.1,2022-10-11,51211
357.9,359.95,354.0,356.35,2022-10-12,47178
358.2,361.65,349.5,350.65,2022-10-13,56957
354.65,357.2,348.65,350.4,2022-10-14,112716
350.0,350.0,340.05,341.7,2022-10-17,68786
343.45,348.35,338.0,339.8,2022-10-18,72722
341.35,344.1,332.0,333.1,2022-10-19,112068
332.7,334.5,321.1,323.25,2022-10-20,611604
323.25,344.4,323.25,329.2,2022-10-21,1116618
332.4,333.95,322.0,325.55,2022-10-24,51054
327.2,329.1,320.05,321.7,2022-10-25,104114
322.7,325.2,316.2,317.35,2022-10-27,103465
317.0,319.7,310.55,313.3,2022-10-28,98827
313.3,317.65,313.05,314.85,2022-10-31,99665
316.45,317.05,313.1,314.85,2022-11-01,72146
314.85,316.4,312.55,313.65,2022-11-02,127717
313.65,315.0,310.5,311.2,2022-11-03,75288
312.0,323.55,311.4,314.4,2022-11-04,546734
316.0,318.9,312.5,313.35,2022-11-07,110266
313.85,316.05,311.0,312.35,2022-11-09,112637
312.7,313.0,301.15,305.95,2022-11-10,127343
307.0,310.95,296.0,297.95,2022-11-11,178410
290.15,306.5,280.0,290.5,2022-11-14,573691
291.0,294.05,287.0,288.55,2022-11-15,138799
289.65,296.95,285.15,287.25,2022-11-16,137068
287.0,287.5,277.85,279.1,2022-11-17,226605
280.0,284.0,275.55,278.65,2022-11-18,160568
279.0,294.7,278.7,284.5,2022-11-21,371618
285.7,287.45,275.0,277.0,2022-11-22,104640
278.4,279.65,273.85,275.3,2022-11-23,93113
275.25,277.35,272.0,272.8,2022-11-24,103505
273.7,286.5,273.0,281.4,2022-11-25,176119
281.3,284.15,277.45,279.05,2022-11-28,81196
279.05,291.4,278.95,284.75,2022-11-29,237219
285.8,286.05,280.0,281.45,2022-11-30,80787
303.0,309.8,296.4,304.7,2022-12-01,4035719
304.7,304.9,300.0,302.1,2022-12-02,317168
304.25,305.9,297.0,299.0,2022-12-05,125679
298.9,309.95,297.9,303.8,2022-12-06,293142
303.8,306.0,300.0,301.4,2022-12-07,87575
301.5,304.1,300.0,300.55,2022-12-08,77234
301.7,302.75,290.1,293.45,2022-12-09,95211
290.0,301.0,290.0,294.65,2022-12-12,93356
295.0,295.95,283.95,287.4,2022-12-13,138967
287.0,293.7,286.3,288.0,2022-12-14,118069
287.7,290.3,282.4,283.9,2022-12-15,79704
282.8,285.6,281.1,282.4,2022-12-16,69610
298.0,298.0,286.1,292.35,2022-12-19,396470
292.0,292.8,286.7,289.55,2022-12-20,88035
289.2,292.75,281.1,282.6,2022-12-21,258056
286.0,286.1,265.9,268.15,2022-12-22,373309
265.0,298.0,262.1,289.55,2022-12-23,4322435
289.9,294.1,280.2,282.7,2022-12-26,556656
282.7,284.7,270.4,277.1,2022-12-27,355526
276.5,284.05,275.75,280.6,2022-12-28,203269
282.8,285.45,277.05,279.0,2022-12-29,119784
282.1,282.1,277.4,278.35,2022-12-30,64772
278.45,281.0,276.0,279.75,2023-01-02,85023
281.95,294.0,279.1,286.35,2023-01-03,327292
286.3,286.3,281.0,282.9,2023-01-04,62222
284.0,285.45,280.0,282.45,2023-01-05,60612
283.7,283.7,276.5,277.65,2023-01-06,59651
278.0,281.05,276.95,278.45,2023-01-09,47114
278.45,281.15,275.8,278.25,2023-01-10,51624
275.0,279.65,275.0,275.55,2023-01-11,64200
276.95,278.2,273.0,274.8,2023-01-12,53363
274.0,275.45,271.0,271.55,2023-01-13,30052
272.9,275.0,271.0,271.95,2023-01-16,39776
271.9,273.05,266.0,266.55,2023-01-17,63248
267.0,269.9,263.55,264.2,2023-01-18,76957
261.8,264.65,259.0,260.7,2023-01-19,145236
260.5,264.0,256.8,258.35,2023-01-20,100768
262.0,262.0,247.1,248.3,2023-01-23,147410
248.0,257.1,246.9,252.05,2023-01-24,130556
254.9,254.95,245.75,247.5,2023-01-25,68632
247.5,249.25,240.0,241.35,2023-01-27,93611
241.0,244.65,239.85,241.15,2023-01-30,67270
241.3,249.15,238.85,245.75,2023-01-31,77882
247.7,258.1,245.85,250.6,2023-02-01,244291
251.0,253.8,242.25,243.45,2023-02-02,79948
244.7,247.75,231.8,242.55,2023-02-03,165243
242.0,258.1,238.8,255.15,2023-02-06,264600
255.15,258.1,242.5,244.6,2023-02-07,77034
244.9,250.0,240.55,241.4,2023-02-08,96350
242.4,246.0,241.5,244.55,2023-02-09,33315
245.4,246.1,240.3,244.05,2023-02-10,51877
244.9,245.35,240.3,241.1,2023-02-13,66814
241.1,242.3,238.1,239.3,2023-02-14,39665
235.75,244.0,231.0,238.8,2023-02-15,115110
241.45,264.7,238.1,258.1,2023-02-16,656998
265.0,308.0,258.0,295.95,2023-02-17,7617340
291.0,293.0,268.85,272.35,2023-02-20,2842966
275.75,304.25,273.3,297.2,2023-02-21,10939426
283.0,291.3,276.0,278.6,2023-02-22,3341282
280.9,295.8,276.3,279.6,2023-02-23,4485208
282.0,289.5,269.8,275.7,2023-02-24,1933449
277.8,286.25,260.15,265.85,2023-02-27,1307744
268.45,274.4,255.2,257.35,2023-02-28,1635556
258.5,266.4,251.15,260.7,2023-03-01,1489389
261.8,263.35,254.1,255.65,2023-03-02,397371
259.1,260.55,254.0,255.35,2023-03-03,454369
257.3,257.3,252.9,253.95,2023-03-06,305984
252.0,254.9,249.1,251.3,2023-03-08,255086
252.6,286.0,251.05,281.0,2023-03-09,10307473
271.8,274.0,263.1,268.25,2023-03-10,1991693
265.0,271.15,255.0,257.35,2023-03-13,975818
259.3,261.9,246.3,251.05,2023-03-14,577488
255.0,257.7,246.0,249.5,2023-03-15,641577
247.0,251.55,240.65,242.4,2023-03-16,1139909
244.15,250.0,242.7,247.2,2023-03-17,620822
247.2,251.9,241.25,249.15,2023-03-20,410511
250.35,254.0,242.35,244.2,2023-03-21,609451
246.0,247.2,240.95,242.9,2023-03-22,322138
243.8,244.9,240.5,241.65,2023-03-23,724668
242.9,255.0,238.2,240.95,2023-03-24,2207773
242.5,244.4,225.35,231.15,2023-03-27,1896333
232.0,233.0,222.6,229.35,2023-03-28,1853471
226.55,233.2,223.2,228.2,2023-03-29,1143905
230.0,237.6,227.0,228.85,2023-03-31,631046
230.5,235.7,230.5,232.15,2023-04-03,281336
233.0,241.2,232.35,237.05,2023-04-05,735023
238.0,241.85,235.05,237.75,2023-04-06,272419
240.0,241.05,232.5,233.35,2023-04-10,213601
247.0,278.0,246.0,267.35,2023-04-11,17092801
260.1,265.15,257.35,259.85,2023-04-12,2954315
258.75,261.4,252.0,254.4,2023-04-13,678797
252.7,257.0,249.55,251.8,2023-04-17,463740
252.0,255.0,250.55,252.45,2023-04-18,331520
253.7,274.4,252.1,256.9,2023-04-19,3588776
258.85,262.3,254.0,255.55,2023-04-20,526546
256.45,258.0,252.5,255.2,2023-04-21,226822
256.0,263.4,253.55,257.55,2023-04-24,477116
257.5,257.55,254.0,254.75,2023-04-25,210160
254.8,256.7,253.0,254.25,2023-04-26,141336
254.3,260.5,254.25,256.9,2023-04-27,591410
257.1,259.4,255.3,256.55,2023-04-28,195893
256.95,265.5,256.9,257.8,2023-05-02,335776
257.0,263.4,256.15,258.75,2023-05-03,316862
258.75,262.7,258.0,261.35,2023-05-04,161651
261.0,266.45,260.0,260.7,2023-05-05,267586
262.2,264.5,260.0,261.85,2023-05-08,185033
262.0,269.7,258.35,260.45,2023-05-09,569620
261.9,262.2,256.15,258.45,2023-05-10,158623
258.9,261.7,257.6,258.3,2023-05-11,124093
257.35,265.5,257.0,258.85,2023-05-12,200830
259.0,261.95,258.05,259.35,2023-05-15,160901
260.0,263.2,256.25,257.0,2023-05-16,168555
259.95,261.35,256.0,257.75,2023-05-17,111557
260.9,261.0,252.95,254.1,2023-05-18,133015
256.9,256.9,248.2,249.6,2023-05-19,177462
250.7,250.7,243.45,245.5,2023-05-22,349690
246.7,251.7,242.5,243.8,2023-05-23,500521
243.4,245.7,242.05,243.4,2023-05-24,150638
243.4,248.0,243.0,244.55,2023-05-25,127435
236.0,238.9,233.05,237.55,2023-05-26,429215
239.4,248.3,238.1,241.2,2023-05-29,340003
241.95,242.7,238.5,239.45,2023-05-30,114245
239.7,241.35,238.0,238.8,2023-05-31,130332
238.7,240.9,236.35,237.8,2023-06-01,234812
239.0,240.0,236.0,236.7,2023-06-02,247418
238.6,239.8,228.65,229.3,2023-06-05,536249
230.0,236.7,228.5,229.65,2023-06-06,896905
231.3,249.6,231.3,238.95,2023-06-07,3770992
240.2,247.25,236.9,237.75,2023-06-08,1289522
239.55,241.05,235.7,236.9,2023-06-09,310371
238.95,238.95,235.2,236.6,2023-06-12,189610
238.35,240.95,236.65,239.1,2023-06-13,323068
239.9,239.9,235.65,237.1,2023-06-14,249469
238.45,239.8,233.5,235.0,2023-06-15,317402
236.15,242.05,234.35,235.6,2023-06-16,655311
235.6,246.35,235.5,240.1,2023-06-19,1088751
240.05,273.0,239.2,264.95,2023-06-20,10166289
266.05,268.9,253.0,255.5,2023-06-21,2044377
255.0,261.75,250.5,254.05,2023-06-22,1163986
254.9,262.2,246.8,249.15,2023-06-23,1335632
251.3,255.9,249.45,254.05,2023-06-26,454961
255.9,255.9,246.35,247.45,2023-06-27,373538
251.5,252.5,245.15,246.25,2023-06-28,344536
255.0,289.9,255.0,284.25,2023-06-30,10249850
286.1,295.4,283.1,288.3,2023-07-03,2927089
286.5,309.5,281.4,304.5,2023-07-04,4604715
300.4,307.0,300.15,304.1,2023-07-05,1070063
303.0,305.4,290.0,293.95,2023-07-06,798316
293.9,299.5,290.15,295.95,2023-07-07,889131
297.4,297.4,282.9,285.65,2023-07-10,348886
287.25,304.5,286.3,302.25,2023-07-11,1956400
304.7,306.4,295.05,301.75,2023-07-12,1044333
301.75,305.65,296.4,302.3,2023-07-13,685090
306.6,320.95,300.85,317.6,2023-07-14,3252856
319.0,320.2,308.3,315.6,2023-07-17,744094
315.6,318.45,306.1,316.6,2023-07-18,1028127
317.7,319.0,313.7,317.3,2023-07-19,424658
318.4,329.9,314.05,319.3,2023-07-20,1889435
319.0,319.5,307.95,314.75,2023-07-21,950964
316.2,317.0,308.1,315.1,2023-07-24,722976
317.0,327.3,316.1,323.55,2023-07-25,1389793
323.7,337.95,322.15,330.05,2023-07-26,1348301
333.45,362.0,331.5,351.3,2023-07-27,2522074
358.6,366.0,352.4,358.05,2023-07-28,1428800
358.0,360.55,351.5,355.45,2023-07-31,433191
359.7,360.25,342.5,345.15,2023-08-01,523266
345.15,349.0,325.05,337.15,2023-08-02,806149
337.5,368.45,337.5,364.8,2023-08-03,2647982
366.0,369.7,355.75,365.3,2023-08-04,788863
367.0,369.5,350.85,358.8,2023-08-07,600710
357.75,367.0,354.1,365.2,2023-08-08,472416
366.1,376.3,346.0,347.9,2023-08-09,1103797
352.0,365.0,342.05,344.9,2023-08-10,1594447
346.05,351.95,340.3,346.0,2023-08-11,592864
345.95,346.65,331.0,336.7,2023-08-14,389435
335.0,364.3,335.0,358.65,2023-08-16,1395203
359.65,360.6,350.9,354.65,2023-08-17,367796
354.0,375.3,353.2,370.25,2023-08-18,1963622
371.6,377.0,364.05,368.75,2023-08-21,663751
369.05,374.0,366.5,367.9,2023-08-22,425170
370.0,371.55,363.0,365.95,2023-08-23,273243
368.0,371.0,364.0,365.1,2023-08-24,277382
364.3,369.75,351.85,362.25,2023-08-25,541489
362.7,371.95,362.25,366.95,2023-08-28,258923
369.0,371.0,362.5,364.0,2023-08-29,258740
366.0,369.0,357.3,361.95,2023-08-30,244773
364.0,384.5,363.95,370.1,2023-08-31,1635718
371.3,375.1,369.0,370.5,2023-09-01,243654
380.0,382.0,370.75,373.05,2023-09-04,593482
373.05,376.25,366.05,368.9,2023-09-05,222431
370.4,370.7,361.15,364.05,2023-09-06,223913
365.0,378.5,365.0,373.6,2023-09-07,501731
374.0,375.05,368.0,371.6,2023-09-08,192353
373.0,377.35,362.6,365.2,2023-09-11,280614
367.7,368.65,350.1,352.3,2023-09-12,365115
352.05,365.3,344.95,361.45,2023-09-13,393929
363.0,369.3,358.3,360.65,2023-09-14,160058
361.0,365.0,355.55,357.6,2023-09-15,150823
360.0,364.5,357.45,359.25,2023-09-18,108786
359.0,360.0,352.05,353.7,2023-09-20,108803
353.7,357.15,350.5,351.45,2023-09-21,67126
352.7,357.0,346.3,355.3,2023-09-22,258631
356.0,361.0,351.3,355.15,2023-09-25,159589
356.4,360.5,351.1,352.55,2023-09-26,89640
352.7,354.95,351.25,353.9,2023-09-27,60276
355.9,356.45,350.25,350.65,2023-09-28,78284
352.7,368.4,350.65,358.6,2023-09-29,310991
361.0,366.5,358.0,361.85,2023-10-03,144864
361.5,361.5,348.3,352.1,2023-10-04,131342
354.3,356.3,350.6,351.45,2023-10-05,74221
352.3,354.6,347.85,348.8,2023-10-06,98319
347.6,347.6,332.25,333.6,2023-10-09,213363
336.45,339.95,336.1,339.05,2023-10-10,69667
341.7,344.1,335.9,337.45,2023-10-11,106274
344.8,358.2,342.15,347.0,2023-10-12,1118581
345.55,346.3,341.7,343.4,2023-10-13,99018
343.95,345.2,337.55,338.45,2023-10-16,107680
341.45,346.7,337.0,341.95,2023-10-17,252669
343.0,346.95,336.95,337.65,2023-10-18,131889
335.2,339.85,334.4,336.15,2023-10-19,61363
336.0,340.0,331.65,333.9,2023-10-20,80226
333.8,334.7,304.45,310.5,2023-10-23,168352
312.0,319.7,305.05,308.7,2023-10-25,112489
307.05,329.7,296.8,326.85,2023-10-26,435505
328.55,341.8,322.1,338.9,2023-10-27,202903
339.0,362.3,331.7,347.8,2023-10-30,517880
350.0,363.9,348.6,354.05,2023-10-31,385925
353.6,355.95,350.4,352.75,2023-11-01,76781
353.0,355.8,347.5,349.6,2023-11-02,50868
350.9,361.8,350.85,359.2,2023-11-03,284426
360.0,365.6,354.3,356.7,2023-11-06,155062
358.5,359.0,352.5,356.5,2023-11-07,197600
355.05,369.45,355.05,364.1,2023-11-08,675987
365.7,367.8,355.35,357.3,2023-11-09,257583
