open,high,low,close,date,volume
115.7,117.8,112.3,113.3,2022-09-29,3318
113.35,117.3,112.55,113.3,2022-09-30,5168
115.0,115.0,110.15,112.4,2022-10-03,3348
116.95,134.85,115.9,134.85,2022-10-04,152938
137.95,139.85,124.0,129.75,2022-10-06,248646
128.5,131.2,125.05,126.55,2022-10-07,28283
126.0,126.9,122.75,123.75,2022-10-10,8678
123.8,126.35,119.0,119.75,2022-10-11,22367
123.1,124.95,120.5,121.75,2022-10-12,13857
121.15,121.95,118.1,119.95,2022-10-13,6155
125.8,139.0,121.05,127.95,2022-10-14,256108
130.0,130.0,121.6,123.95,2022-10-17,21924
126.0,126.3,123.0,123.3,2022-10-18,9130
123.0,125.25,120.75,121.95,2022-10-19,10471
120.45,123.85,119.6,121.8,2022-10-20,10057
122.15,123.35,117.1,117.55,2022-10-21,14583
118.7,126.85,116.8,121.95,2022-10-24,11735
124.25,125.6,119.0,119.5,2022-10-25,8426
120.7,121.25,117.85,118.8,2022-10-27,12577
119.3,119.3,116.8,117.1,2022-10-28,8625
117.8,120.0,117.75,118.55,2022-10-31,22343
119.7,121.7,116.5,117.05,2022-11-01,6445
119.0,122.45,115.65,120.5,2022-11-02,17846
121.7,121.75,117.65,119.0,2022-11-03,9648
120.5,120.5,116.1,118.05,2022-11-04,12971
118.1,134.0,118.1,124.3,2022-11-07,132413
127.0,127.0,121.3,122.05,2022-11-09,13584
121.3,122.65,118.8,120.35,2022-11-10,7024
120.4,122.9,118.35,118.85,2022-11-11,15840
111.0,113.3,104.0,105.8,2022-11-14,87740
108.0,108.9,103.45,104.95,2022-11-15,24934
104.95,105.95,102.9,103.8,2022-11-16,20816
102.85,105.95,100.35,100.9,2022-11-17,24614
102.95,103.6,100.1,101.25,2022-11-18,18408
105.0,105.0,100.25,101.05,2022-11-21,7665
100.0,103.9,100.0,102.9,2022-11-22,6155
101.15,104.0,101.1,102.7,2022-11-23,6715
101.0,104.35,101.0,103.05,2022-11-24,6144
103.0,105.0,102.2,102.75,2022-11-25,6899
104.75,104.75,102.0,102.5,2022-11-28,6458
103.5,104.45,100.85,102.8,2022-11-29,8478
102.6,102.9,101.1,102.05,2022-11-30,3933
102.85,104.9,102.05,103.7,2022-12-01,10531
103.5,104.65,102.2,102.85,2022-12-02,6566
101.5,104.5,101.5,103.5,2022-12-05,7589
104.0,104.5,102.2,102.6,2022-12-06,3878
103.0,103.9,101.05,102.65,2022-12-07,6035
101.3,103.95,100.9,102.6,2022-12-08,12447
103.95,103.95,100.0,102.75,2022-12-09,6544
100.75,105.5,100.75,102.35,2022-12-12,5408
100.5,102.95,100.5,100.85,2022-12-13,7517
99.6,102.35,99.6,101.9,2022-12-14,1819
102.0,103.2,100.5,101.45,2022-12-15,13212
100.95,103.25,100.0,100.55,2022-12-16,10790
100.6,101.0,97.55,98.65,2022-12-19,14227
100.6,101.8,99.1,100.25,2022-12-20,6189
98.45,102.4,95.5,96.95,2022-12-21,10580
99.0,99.0,88.0,89.0,2022-12-22,27747
86.15,90.0,83.15,86.45,2022-12-23,10402
84.35,93.0,84.35,90.7,2022-12-26,7749
91.0,93.0,88.95,92.8,2022-12-27,8137
95.9,97.75,90.8,96.2,2022-12-28,24242
97.4,97.4,90.8,95.1,2022-12-29,8625
93.35,98.2,93.35,96.25,2022-12-30,8703
97.95,98.9,95.5,97.95,2023-01-02,6849
95.0,100.95,93.3,94.05,2023-01-03,32485
94.1,94.2,92.0,93.05,2023-01-04,10158
94.75,96.5,92.35,94.0,2023-01-05,8667
93.65,102.0,92.5,98.45,2023-01-06,39934
99.9,101.15,97.25,98.7,2023-01-09,10325
98.7,111.9,96.1,108.0,2023-01-10,81023
109.0,110.9,104.05,106.3,2023-01-11,46678
106.3,108.45,100.1,100.5,2023-01-12,24827
103.5,103.5,99.7,100.35,2023-01-13,12609
101.5,106.45,101.05,103.75,2023-01-16,12117
103.75,103.75,98.0,99.4,2023-01-17,11352
99.45,101.05,98.2,98.45,2023-01-18,10253
98.8,102.15,96.9,98.55,2023-01-19,12348
98.0,99.8,97.0,97.75,2023-01-20,5923
97.65,99.9,97.05,97.25,2023-01-23,7660
97.0,99.45,96.0,96.35,2023-01-24,3663
96.4,97.35,95.9,96.3,2023-01-25,2915
96.3,96.35,93.25,94.95,2023-01-27,4609
92.65,95.95,90.35,91.85,2023-01-30,5337
93.85,94.85,92.6,94.15,2023-01-31,2742
97.0,97.0,92.55,92.9,2023-02-01,6112
92.95,95.55,92.95,93.5,2023-02-02,6263
93.55,93.9,90.25,91.75,2023-02-03,3620
91.8,92.5,90.45,91.8,2023-02-06,2857
90.1,92.95,88.2,91.3,2023-02-07,3273
91.35,94.25,91.3,92.95,2023-02-08,3671
90.35,94.1,89.75,90.35,2023-02-09,9306
90.35,95.05,90.35,92.7,2023-02-10,16937
89.55,90.4,87.6,88.65,2023-02-13,9243
89.95,92.0,85.0,86.25,2023-02-14,6303
85.6,86.0,84.05,84.8,2023-02-15,5640
85.3,87.2,84.05,84.95,2023-02-16,3720
88.0,88.0,85.05,85.95,2023-02-17,2193
83.75,86.65,83.05,84.3,2023-02-20,4821
83.0,86.35,81.7,83.05,2023-02-21,4560
