open,high,low,close,date,volume
132.55,132.55,128.0,128.4,2022-09-23,14326
127.0,127.0,117.7,121.05,2022-09-26,11385
122.85,124.4,120.0,121.65,2022-09-27,3642
123.4,123.4,117.5,120.05,2022-09-28,8424
124.95,126.0,120.5,121.2,2022-09-29,3345
122.7,123.9,118.85,121.85,2022-09-30,5963
117.25,124.45,117.25,120.25,2022-10-03,6200
122.05,125.0,118.05,124.75,2022-10-04,8081
121.0,126.0,121.0,125.0,2022-10-06,20896
123.05,127.8,123.05,126.65,2022-10-07,5126
125.5,133.0,125.5,129.35,2022-10-10,18426
131.25,132.0,128.0,128.35,2022-10-11,10822
128.35,130.9,127.5,128.4,2022-10-12,10155
129.75,134.6,127.0,130.75,2022-10-13,10711
132.65,132.65,127.15,128.15,2022-10-14,4119
127.95,129.2,126.55,128.1,2022-10-17,3678
127.8,129.9,127.8,128.35,2022-10-18,6044
128.0,134.0,128.0,132.45,2022-10-19,14579
135.0,139.95,132.0,138.05,2022-10-20,73274
138.75,144.0,135.05,139.85,2022-10-21,81201
141.05,142.0,132.95,141.25,2022-10-24,10410
141.25,148.0,140.6,142.5,2022-10-25,87876
146.2,149.85,144.05,146.4,2022-10-27,69681
151.1,151.1,144.05,145.65,2022-10-28,53082
146.5,153.9,146.5,150.1,2022-10-31,81684
151.9,154.0,150.05,152.85,2022-11-01,60294
154.75,154.75,142.7,146.35,2022-11-02,65412
147.0,149.8,145.85,148.55,2022-11-03,26523
148.4,151.0,145.55,148.85,2022-11-04,18000
151.0,151.0,145.2,146.7,2022-11-07,14656
146.0,154.0,145.0,149.0,2022-11-09,45979
148.0,161.8,148.0,152.2,2022-11-10,175534
159.0,159.0,151.85,153.8,2022-11-11,38685
153.8,157.9,146.95,155.9,2022-11-14,65101
164.95,173.65,161.05,166.1,2022-11-15,438210
167.8,171.3,162.05,163.35,2022-11-16,142962
166.35,166.35,161.0,164.3,2022-11-17,42846
165.2,174.9,164.6,166.6,2022-11-18,153797
164.1,169.1,162.85,163.8,2022-11-21,32177
165.65,169.8,161.95,165.65,2022-11-22,48133
167.2,168.9,165.1,166.9,2022-11-23,37623
166.0,177.95,166.0,176.3,2022-11-24,140391
176.45,179.2,171.25,177.0,2022-11-25,45220
176.8,178.0,168.0,169.2,2022-11-28,47368
167.1,173.9,167.1,171.3,2022-11-29,33650
171.0,171.4,165.35,167.0,2022-11-30,19027
169.0,171.95,163.0,164.45,2022-12-01,38271
164.45,169.15,161.1,161.85,2022-12-02,51750
161.5,166.4,158.85,161.5,2022-12-05,41832
160.0,169.45,158.6,165.6,2022-12-06,66193
169.4,169.9,162.35,163.1,2022-12-07,40558
161.6,164.75,161.1,162.25,2022-12-08,31846
164.65,164.65,156.5,158.9,2022-12-09,20231
159.95,161.65,157.5,160.95,2022-12-12,10684
162.5,163.4,158.0,158.75,2022-12-13,9003
159.0,160.6,158.45,159.45,2022-12-14,8926
159.45,160.95,157.05,157.2,2022-12-15,22767
157.9,165.0,155.2,157.1,2022-12-16,53073
154.1,160.0,154.1,155.95,2022-12-19,29510
156.8,164.4,156.3,161.4,2022-12-20,68420
162.9,164.4,144.0,148.45,2022-12-21,87698
150.65,154.6,141.15,145.15,2022-12-22,61941
140.1,142.0,132.5,133.45,2022-12-23,40406
134.5,144.85,132.9,142.7,2022-12-26,28107
144.45,150.0,143.3,148.1,2022-12-27,29117
148.1,151.7,145.85,150.45,2022-12-28,14867
149.7,153.5,147.8,149.6,2022-12-29,13055
151.75,155.8,150.1,154.95,2022-12-30,40823
156.5,166.65,156.45,160.2,2023-01-02,35540
161.35,165.0,159.95,162.75,2023-01-03,29587
163.85,168.0,157.5,166.8,2023-01-04,71802
167.05,178.2,167.05,175.1,2023-01-05,146922
176.85,176.85,168.0,169.45,2023-01-06,55469
171.3,174.4,169.5,171.05,2023-01-09,27727
172.0,172.0,162.5,165.45,2023-01-10,26181
164.0,174.3,164.0,165.55,2023-01-11,14469
165.0,169.0,159.4,160.5,2023-01-12,19591
161.8,166.45,161.8,165.25,2023-01-13,8745
165.1,167.7,163.0,163.2,2023-01-16,6442
162.0,169.65,160.25,161.25,2023-01-17,53677
161.05,164.45,161.0,163.5,2023-01-18,6802
162.2,164.9,158.55,159.35,2023-01-19,24165
160.95,161.95,158.3,159.15,2023-01-20,8190
160.85,160.85,158.1,158.5,2023-01-23,2965
160.05,161.65,158.0,158.1,2023-01-24,2732
158.85,158.85,150.3,151.5,2023-01-25,10073
151.5,157.0,146.3,148.7,2023-01-27,15838
150.3,154.55,145.0,151.4,2023-01-30,13242
153.0,159.9,151.7,158.95,2023-01-31,8138
161.25,162.95,155.8,158.4,2023-02-01,20195
157.95,162.55,155.2,157.15,2023-02-02,18048
156.5,160.0,156.2,157.7,2023-02-03,6130
156.55,160.9,156.0,160.15,2023-02-06,7725
162.55,162.55,152.05,155.35,2023-02-07,16488
153.0,156.55,147.4,149.7,2023-02-08,31876
148.0,164.0,147.95,159.45,2023-02-09,95083
161.85,169.8,159.25,162.05,2023-02-10,93396
166.95,168.0,155.1,156.15,2023-02-13,29613
156.35,158.05,154.3,155.7,2023-02-14,15032
156.0,158.5,155.65,157.5,2023-02-15,6884
157.5,160.5,154.5,156.15,2023-02-16,24210
157.0,158.45,156.05,157.0,2023-02-17,10529
158.25,164.0,157.45,159.4,2023-02-20,37124
160.0,161.7,155.0,156.45,2023-02-21,17215
156.45,156.45,151.9,152.5,2023-02-22,7115
154.5,154.5,151.9,152.65,2023-02-23,4569
154.35,154.35,151.1,151.8,2023-02-24,6635
150.95,153.75,146.4,148.6,2023-02-27,7026
150.7,150.7,147.1,148.15,2023-02-28,2770
149.2,152.0,149.0,151.3,2023-03-01,2263
151.1,158.9,150.7,154.45,2023-03-02,19603
155.6,161.25,155.55,159.95,2023-03-03,24933
