open,high,low,close,date,volume
444.0,474.0,444.0,458.55,2023-09-27,14348612
451.0,461.9,446.8,460.5,2023-09-28,1175144
463.9,485.9,460.0,477.75,2023-09-29,1322775
479.9,485.95,475.0,476.8,2023-10-03,572238
476.5,479.0,454.1,468.85,2023-10-04,847119
471.4,479.9,471.0,472.75,2023-10-05,314151
474.75,503.45,471.05,483.7,2023-10-06,2003596
479.0,492.7,472.65,482.15,2023-10-09,498268
485.8,498.9,485.1,498.35,2023-10-10,1576883
502.85,512.9,495.0,502.8,2023-10-11,622685
493.25,514.0,493.25,500.3,2023-10-12,546557
501.95,522.0,495.35,504.3,2023-10-13,490543
511.75,513.4,507.1,510.1,2023-10-16,344232
510.25,519.9,510.25,515.3,2023-10-17,131025
517.2,519.75,511.0,511.1,2023-10-18,168171
511.9,535.8,509.25,519.65,2023-10-19,835126
516.1,560.0,516.1,550.3,2023-10-20,685705
551.95,554.0,528.0,529.15,2023-10-23,349100
533.0,543.0,528.0,530.8,2023-10-25,211829
529.95,530.3,513.0,522.8,2023-10-26,1142300
524.95,568.95,524.95,560.55,2023-10-27,427530
559.7,568.45,559.0,565.05,2023-10-30,421307
569.0,584.7,565.0,570.1,2023-10-31,249073
574.0,583.0,572.6,579.0,2023-11-01,228540
584.0,608.4,581.4,603.35,2023-11-02,1134664
609.0,609.9,601.0,601.6,2023-11-03,142756
607.0,627.0,605.7,618.65,2023-11-06,272117
624.8,662.25,615.05,651.5,2023-11-07,241947
663.0,682.95,657.0,663.55,2023-11-08,297663
667.0,684.2,656.45,678.8,2023-11-09,205244
671.2,683.45,658.0,680.35,2023-11-10,336761
684.0,693.8,684.0,692.05,2023-11-12,85143
699.0,707.0,692.2,705.05,2023-11-13,134485
713.0,740.0,710.35,722.7,2023-11-15,235891
727.45,738.0,716.05,721.85,2023-11-16,214556
722.95,732.9,715.4,723.15,2023-11-17,256464
723.0,730.0,703.55,727.95,2023-11-20,175798
729.5,746.0,716.25,745.35,2023-11-21,2010711
752.0,770.9,735.1,743.9,2023-11-22,459121
745.9,758.9,737.6,754.2,2023-11-23,230652
755.0,757.9,747.5,749.7,2023-11-24,203389
754.0,755.45,743.65,750.0,2023-11-28,132304
751.0,763.0,750.0,756.55,2023-11-29,209725
756.55,763.6,755.15,760.2,2023-11-30,121384
760.2,788.95,760.2,779.3,2023-12-01,198665
788.65,808.05,788.65,800.35,2023-12-04,160897
805.0,808.9,787.1,797.75,2023-12-05,582372
806.0,806.0,796.0,796.75,2023-12-06,197270
799.65,803.0,790.0,793.1,2023-12-07,242946
794.0,802.9,788.0,789.6,2023-12-08,246690
784.0,800.9,784.0,795.4,2023-12-11,94406
801.65,809.9,791.0,798.65,2023-12-12,541956
802.65,804.6,795.5,800.85,2023-12-13,70034
805.0,805.0,800.0,800.8,2023-12-14,65939
806.0,816.6,790.7,796.65,2023-12-15,698872
796.1,807.3,795.5,804.3,2023-12-18,302208
796.3,819.0,796.3,813.85,2023-12-19,315069
813.85,818.4,783.1,801.85,2023-12-20,452996
790.6,811.0,775.0,808.95,2023-12-21,165719
814.9,828.85,806.5,817.85,2023-12-22,146112
821.95,822.95,810.05,820.5,2023-12-26,500362
829.2,866.8,811.75,843.8,2023-12-27,935436
845.0,859.0,838.2,851.95,2023-12-28,301812
851.95,880.75,851.95,877.35,2023-12-29,350737
