open,high,low,close,date,volume
134.1,142.85,129.4,130.55,2022-09-27,91832
130.55,137.05,129.1,137.05,2022-09-28,49311
142.0,143.9,141.0,143.9,2022-09-29,37462
144.0,148.7,136.75,140.5,2022-09-30,190572
144.7,146.85,140.0,141.95,2022-10-03,55872
147.9,148.0,139.05,140.9,2022-10-04,44092
142.05,142.85,136.05,139.35,2022-10-06,48245
143.9,143.9,133.0,134.2,2022-10-07,46727
132.0,137.0,130.1,132.05,2022-10-10,36503
135.9,138.65,132.5,138.65,2022-10-11,65232
145.55,145.55,142.0,145.55,2022-10-12,64623
150.5,152.8,140.45,152.7,2022-10-13,157032
156.9,156.9,145.1,146.85,2022-10-14,99833
146.85,150.0,141.15,143.35,2022-10-17,34367
148.8,148.8,140.0,141.6,2022-10-18,37498
144.7,144.9,134.55,140.6,2022-10-19,29279
137.35,144.0,137.35,140.45,2022-10-20,36835
133.45,136.9,133.45,133.45,2022-10-21,80244
128.5,133.45,126.8,130.2,2022-10-24,44034
132.55,136.7,131.15,136.7,2022-10-25,38989
143.5,143.5,141.1,143.5,2022-10-27,95380
100.4,100.4,100.4,100.4,2022-10-28,12632
105.4,105.4,105.4,105.4,2022-10-31,26379
110.65,110.65,110.65,110.65,2022-11-01,19490
105.35,112.45,105.35,106.9,2022-11-02,208664
108.5,108.5,102.3,107.65,2022-11-03,40275
106.0,113.0,106.0,113.0,2022-11-04,29264
118.65,118.65,118.65,118.65,2022-11-07,22170
124.55,124.55,118.55,123.85,2022-11-09,120371
123.2,130.0,117.7,130.0,2022-11-10,174975
134.8,136.5,133.1,136.4,2022-11-11,166098
138.4,138.4,129.6,129.6,2022-11-14,139384
123.15,123.15,123.15,123.15,2022-11-15,14346
117.0,123.0,117.0,117.0,2022-11-16,170658
86.3,86.3,80.7,81.45,2023-02-28,12323
81.45,82.15,77.4,78.5,2023-03-01,29711
78.4,80.9,77.65,78.5,2023-03-02,13914
79.9,79.9,75.25,76.15,2023-03-03,32810
75.0,76.8,72.85,74.7,2023-03-06,28333
74.7,78.4,72.75,78.4,2023-03-08,21621
82.3,82.3,82.3,82.3,2023-03-09,9412
85.3,86.4,78.3,86.4,2023-03-10,30831
90.45,90.7,90.45,90.7,2023-03-13,8518
94.6,95.2,86.2,88.6,2023-03-14,57843
88.6,89.0,84.35,84.9,2023-03-15,15798
82.0,89.05,81.45,86.85,2023-03-16,26955
90.5,90.5,84.4,85.05,2023-03-17,11727
85.1,86.9,80.8,81.45,2023-03-20,19848
80.8,82.45,77.6,78.35,2023-03-21,17504
77.0,82.25,77.0,81.4,2023-03-22,13420
81.4,83.95,80.0,81.0,2023-03-23,7702
82.25,82.25,77.4,77.8,2023-03-24,10793
79.0,80.45,76.35,79.0,2023-03-27,10733
79.95,80.35,76.05,78.7,2023-03-28,13191
80.0,80.0,75.05,77.0,2023-03-29,15744
77.1,79.5,77.0,78.9,2023-03-31,12270
80.95,82.4,77.3,80.45,2023-04-03,13032
81.8,84.4,79.55,83.95,2023-04-05,14178
85.95,86.9,84.15,85.75,2023-04-06,8985
88.0,88.0,85.05,85.55,2023-04-10,11246
88.0,88.0,86.1,86.85,2023-04-11,6379
88.6,88.6,85.45,86.5,2023-04-12,9866
89.9,89.9,85.55,85.85,2023-04-13,8941
86.1,88.8,86.1,88.35,2023-04-17,17318
89.3,89.3,84.0,86.4,2023-04-18,11933
84.5,89.2,84.5,86.55,2023-04-19,21369
