open,high,low,close,date,volume
598.7,598.7,580.0,587.1,2022-09-29,12509
580.0,596.8,580.0,595.4,2022-09-30,13652
598.4,619.7,598.15,602.7,2022-10-03,41988
607.0,614.0,605.65,609.5,2022-10-04,20886
605.25,616.95,593.2,598.4,2022-10-06,28927
608.9,612.5,604.5,611.15,2022-10-07,40957
610.05,634.15,603.0,627.5,2022-10-10,59268
634.7,636.0,602.1,604.7,2022-10-11,27446
613.9,614.1,604.7,609.05,2022-10-12,14317
613.7,615.05,581.6,585.25,2022-10-13,63446
592.45,604.8,592.45,598.1,2022-10-14,19068
607.0,610.0,594.0,603.05,2022-10-17,17216
606.1,608.95,597.05,605.0,2022-10-18,14687
608.05,625.3,595.05,619.8,2022-10-19,53739
613.1,646.0,608.0,643.3,2022-10-20,88115
650.0,650.0,610.0,613.2,2022-10-21,46930
627.05,627.05,611.6,614.35,2022-10-24,8093
617.4,617.4,596.3,602.2,2022-10-25,18817
605.25,605.25,592.9,595.05,2022-10-27,19928
595.05,595.05,582.1,585.5,2022-10-28,24755
588.45,593.2,582.05,585.85,2022-10-31,26185
588.8,604.0,586.05,600.05,2022-11-01,35439
603.1,629.0,600.1,624.8,2022-11-02,37637
625.0,636.55,618.05,628.45,2022-11-03,52933
630.0,660.0,628.5,650.45,2022-11-04,136060
659.8,659.9,644.15,648.15,2022-11-07,45838
651.0,651.0,627.0,631.2,2022-11-09,34847
630.0,654.4,611.35,639.7,2022-11-10,47330
650.0,658.9,637.85,651.7,2022-11-11,72952
674.65,674.65,634.4,668.15,2022-11-14,145363
674.65,687.7,640.0,649.7,2022-11-15,119264
646.0,650.0,635.0,642.7,2022-11-16,97994
644.4,644.4,628.0,631.9,2022-11-17,16563
637.0,697.0,634.2,684.4,2022-11-18,243141
690.0,695.0,659.0,661.5,2022-11-21,99889
661.5,677.05,661.5,671.5,2022-11-22,38574
673.4,675.0,659.7,669.0,2022-11-23,41773
675.0,709.8,674.8,705.75,2022-11-24,274460
708.0,708.9,683.2,687.3,2022-11-25,50773
686.5,703.5,681.05,693.35,2022-11-28,82540
694.0,698.9,691.05,693.0,2022-11-29,27298
696.4,708.0,691.9,697.25,2022-11-30,84641
700.75,702.0,694.0,694.8,2022-12-01,19022
693.05,703.5,693.05,695.35,2022-12-02,66208
697.0,701.5,670.05,675.05,2022-12-05,41508
669.0,686.1,666.0,669.3,2022-12-06,29459
684.7,684.7,658.0,663.55,2022-12-07,30502
667.0,679.9,664.5,674.6,2022-12-08,17860
681.0,699.1,677.45,689.55,2022-12-09,51153
695.7,722.0,690.15,712.1,2022-12-12,124139
722.0,732.0,716.0,729.1,2022-12-13,66739
740.0,800.9,730.1,758.75,2022-12-14,579304
759.0,777.95,750.95,761.55,2022-12-15,91081
762.0,773.3,736.05,740.2,2022-12-16,44278
741.25,744.9,730.0,733.2,2022-12-19,24332
732.0,756.8,731.65,743.5,2022-12-20,30052
754.4,754.4,691.25,702.15,2022-12-21,54887
700.0,705.8,642.6,671.4,2022-12-22,113783
671.4,671.4,627.0,630.15,2022-12-23,76404
625.0,656.95,621.05,635.6,2022-12-26,85078
638.0,648.45,628.0,636.4,2022-12-27,55882
639.6,682.0,636.4,675.1,2022-12-28,61291
679.8,681.0,655.0,670.2,2022-12-29,31754
679.0,689.35,670.5,672.0,2022-12-30,40373
675.0,683.2,672.0,677.25,2023-01-02,20575
