open,high,low,close,date,volume
421.4,425.5,416.0,419.3,2022-09-29,20238
421.4,430.65,414.7,416.45,2022-09-30,58787
411.0,424.4,411.0,420.1,2022-10-03,27368
423.0,428.45,416.5,417.45,2022-10-04,24254
419.55,426.0,417.5,418.85,2022-10-06,33706
419.05,423.6,419.05,420.95,2022-10-07,20882
430.0,430.0,420.0,422.65,2022-10-10,35816
424.8,425.0,416.5,419.3,2022-10-11,24697
419.0,423.45,414.5,416.3,2022-10-12,35864
414.3,418.35,412.05,414.65,2022-10-13,28469
417.0,427.4,414.85,416.95,2022-10-14,50403
416.95,424.8,413.3,415.05,2022-10-17,14032
419.0,422.2,414.0,420.25,2022-10-18,17387
422.4,422.4,411.0,415.8,2022-10-19,13002
415.15,419.9,414.0,415.5,2022-10-20,8683
417.6,419.0,415.0,416.85,2022-10-21,13799
420.2,422.95,418.05,420.7,2022-10-24,11281
419.0,421.7,417.25,419.45,2022-10-25,8093
418.0,423.25,412.0,415.6,2022-10-27,26228
413.0,425.8,412.0,424.2,2022-10-28,56077
423.0,425.45,413.55,418.55,2022-10-31,47053
416.15,423.5,415.95,419.8,2022-11-01,27829
419.2,425.0,417.0,424.25,2022-11-02,23436
415.0,419.75,411.0,411.6,2022-11-03,96095
411.6,415.55,408.0,411.35,2022-11-04,77403
413.45,418.0,410.05,415.05,2022-11-07,32536
417.0,417.0,411.0,413.55,2022-11-09,38378
413.55,416.45,411.0,415.25,2022-11-10,19579
420.0,420.0,410.1,411.15,2022-11-11,59296
411.0,412.0,401.55,404.0,2022-11-14,62383
406.05,412.0,401.9,409.25,2022-11-15,41100
407.3,409.35,400.55,401.65,2022-11-16,69952
403.7,403.7,395.0,397.5,2022-11-17,50489
399.5,403.4,392.2,393.9,2022-11-18,60968
393.9,395.9,390.0,390.95,2022-11-21,28130
392.95,392.95,389.05,390.0,2022-11-22,40974
391.95,391.95,387.0,389.15,2022-11-23,42018
389.15,393.7,387.0,389.45,2022-11-24,58205
391.4,391.4,387.6,389.25,2022-11-25,46850
386.1,394.0,386.1,389.95,2022-11-28,51836
391.9,391.9,387.65,389.65,2022-11-29,93077
391.2,405.0,388.3,397.45,2022-11-30,243542
404.7,405.0,398.05,399.75,2022-12-01,70600
401.0,401.6,392.4,395.75,2022-12-02,51379
399.8,399.8,391.05,392.7,2022-12-05,75457
394.7,394.7,390.2,393.3,2022-12-06,40508
393.9,393.9,388.3,388.85,2022-12-07,88907
392.0,392.0,388.35,389.6,2022-12-08,290379
391.5,393.0,389.0,389.6,2022-12-09,77784
390.0,391.5,387.55,389.65,2022-12-12,40920
389.7,394.0,389.7,392.05,2022-12-13,57255
394.0,394.0,387.3,389.55,2022-12-14,101822
389.95,391.4,388.85,389.5,2022-12-15,39293
389.5,391.2,385.0,387.7,2022-12-16,57612
387.7,391.6,387.0,390.0,2022-12-19,556989
390.0,398.0,388.05,390.3,2022-12-20,366864
389.4,393.45,384.0,386.9,2022-12-21,88237
385.0,389.05,378.75,384.6,2022-12-22,589601
380.0,383.6,375.0,377.55,2022-12-23,45563
375.0,382.55,373.6,377.3,2022-12-26,48969
378.0,380.1,375.75,378.35,2022-12-27,36853
380.25,383.4,377.9,379.2,2022-12-28,24259
379.2,387.3,376.65,385.3,2022-12-29,61373
387.2,399.5,385.55,392.8,2022-12-30,195601
392.8,404.55,392.3,394.55,2023-01-02,80609
394.55,397.4,388.9,389.8,2023-01-03,41640
389.2,391.95,383.15,384.8,2023-01-04,59499
386.7,388.0,381.25,383.3,2023-01-05,27127
383.3,388.45,382.6,384.25,2023-01-06,32167
386.2,386.2,378.0,379.25,2023-01-09,55240
380.0,383.95,376.65,379.05,2023-01-10,30700
380.15,382.95,378.65,382.1,2023-01-11,11458
384.05,384.6,379.1,381.4,2023-01-12,13813
383.35,385.15,381.35,384.4,2023-01-13,12193
386.3,391.0,383.2,385.05,2023-01-16,37142
386.15,388.0,383.5,386.25,2023-01-17,15413
386.25,387.0,382.5,384.05,2023-01-18,20340
385.0,385.7,381.55,382.2,2023-01-19,8013
382.2,386.0,371.0,374.25,2023-01-20,55158
376.1,376.75,368.05,373.0,2023-01-23,42316
374.6,381.9,373.05,379.45,2023-01-24,51737
381.3,381.9,375.9,377.7,2023-01-25,29225
375.0,377.65,365.55,370.75,2023-01-27,420642
370.75,377.55,370.75,372.25,2023-01-30,530670
374.15,376.4,372.45,373.85,2023-01-31,22595
373.85,381.1,366.1,368.45,2023-02-01,47267
370.3,375.0,356.1,363.55,2023-02-02,43983
357.0,359.9,342.0,345.65,2023-02-03,306432
347.4,353.75,337.0,345.95,2023-02-06,794979
346.8,349.95,343.65,346.1,2023-02-07,52904
346.1,348.75,345.1,345.95,2023-02-08,40227
352.85,366.7,345.0,364.1,2023-02-09,132851
365.85,366.5,356.4,357.35,2023-02-10,83782
359.15,369.7,357.9,362.1,2023-02-13,75439
362.1,366.15,359.35,363.5,2023-02-14,64927
365.35,370.0,361.45,362.65,2023-02-15,50291
362.65,364.7,362.1,363.05,2023-02-16,44031
360.6,365.0,355.35,361.0,2023-02-17,54025
363.3,367.0,359.65,361.7,2023-02-20,31001
363.55,363.55,357.65,358.8,2023-02-21,35762
355.15,359.85,352.9,354.7,2023-02-22,39628
354.7,368.5,353.1,361.0,2023-02-23,197651
