open,high,low,close,date,volume
805.0,817.65,786.6,792.85,2022-09-29,16543
792.9,830.0,790.9,815.45,2022-09-30,46671
803.0,829.9,775.0,780.2,2022-10-03,36842
793.5,822.25,785.1,811.1,2022-10-04,47816
819.0,823.3,805.05,807.6,2022-10-06,15584
808.0,888.0,807.6,860.35,2022-10-07,283814
856.0,856.0,831.25,840.75,2022-10-10,46843
841.0,846.55,798.05,803.1,2022-10-11,28255
800.0,814.0,780.1,787.4,2022-10-12,24844
793.55,795.95,775.2,779.15,2022-10-13,16682
792.0,792.0,771.6,777.75,2022-10-14,16680
777.0,795.0,774.35,791.65,2022-10-17,22872
786.05,811.0,786.05,795.65,2022-10-18,14927
796.0,803.2,786.1,794.8,2022-10-19,11198
795.0,809.75,791.4,796.6,2022-10-20,6792
799.4,802.75,780.0,783.2,2022-10-21,8050
798.35,798.35,781.25,793.35,2022-10-24,2683
793.5,798.1,778.0,780.2,2022-10-25,6576
782.3,788.0,775.0,776.95,2022-10-27,5163
777.0,788.45,770.55,773.95,2022-10-28,8322
779.05,795.7,776.5,779.4,2022-10-31,13248
779.4,789.0,770.1,773.0,2022-11-01,11349
761.0,763.0,741.0,745.1,2022-11-02,32132
745.1,753.45,731.55,735.25,2022-11-03,12105
744.95,744.95,735.25,737.4,2022-11-04,6241
742.0,742.2,726.0,729.7,2022-11-07,11760
735.55,751.0,731.1,743.8,2022-11-09,12306
744.95,750.0,707.2,711.05,2022-11-10,16919
717.5,744.4,711.0,720.25,2022-11-11,42350
718.0,723.9,705.0,711.65,2022-11-14,6809
710.0,721.55,702.0,704.95,2022-11-15,13353
708.4,721.85,705.05,707.6,2022-11-16,13502
709.4,709.4,685.05,687.25,2022-11-17,12438
678.0,689.2,668.8,671.9,2022-11-18,13196
670.0,690.0,668.05,675.95,2022-11-21,8777
679.4,684.35,661.55,667.25,2022-11-22,7791
670.0,684.5,666.0,680.85,2022-11-23,8797
685.5,696.0,682.1,688.2,2022-11-24,10371
690.05,699.15,687.15,691.8,2022-11-25,4368
689.9,708.25,686.1,703.4,2022-11-28,17984
709.3,740.0,705.65,729.9,2022-11-29,26629
734.9,759.0,728.2,746.0,2022-11-30,30992
746.0,752.0,733.15,740.3,2022-12-01,19518
754.9,769.8,740.0,751.8,2022-12-02,56136
753.0,757.9,731.0,732.4,2022-12-05,15306
730.0,756.05,726.5,748.55,2022-12-06,25185
748.0,752.0,743.25,748.2,2022-12-07,8118
748.2,751.5,743.0,745.55,2022-12-08,7793
738.75,752.5,721.0,723.4,2022-12-09,17799
722.3,723.95,702.0,709.35,2022-12-12,12632
713.0,717.45,698.0,701.85,2022-12-13,11630
709.45,716.4,699.0,706.5,2022-12-14,9247
707.0,713.9,690.45,696.1,2022-12-15,8883
691.9,700.0,687.0,689.3,2022-12-16,5295
690.1,694.9,682.1,685.0,2022-12-19,6192
681.0,689.85,675.4,677.25,2022-12-20,4299
685.5,693.05,668.85,674.0,2022-12-21,8916
678.0,678.0,656.15,668.8,2022-12-22,7687
675.0,675.4,619.6,625.35,2022-12-23,9671
625.35,646.35,620.0,638.85,2022-12-26,7138
651.5,676.3,645.7,665.2,2022-12-27,8870
657.0,685.5,656.05,674.25,2022-12-28,8494
656.5,676.1,654.0,671.85,2022-12-29,6515
675.0,691.95,674.0,676.75,2022-12-30,5467
689.3,812.1,673.05,812.1,2023-01-02,230180
860.0,872.9,821.0,852.75,2023-01-03,451153
833.0,839.8,787.0,797.3,2023-01-04,82083
800.0,813.0,780.0,786.4,2023-01-05,32958
799.4,799.4,765.0,768.75,2023-01-06,15840
775.0,778.0,750.0,752.95,2023-01-09,17054
752.0,789.85,752.0,768.7,2023-01-10,41319
755.0,768.7,744.75,748.65,2023-01-11,19981
752.05,763.95,748.05,752.3,2023-01-12,13445
753.0,760.0,738.5,754.8,2023-01-13,18511
748.0,816.55,748.0,805.05,2023-01-16,111697
800.0,860.9,800.0,810.65,2023-01-17,139598
810.05,813.7,772.0,775.15,2023-01-18,42606
779.8,799.0,776.35,784.7,2023-01-19,24983
787.7,794.4,771.25,777.75,2023-01-20,9880
778.2,794.2,775.0,782.25,2023-01-23,8158
780.0,797.1,778.0,782.35,2023-01-24,16631
779.7,790.0,771.1,776.65,2023-01-25,7337
775.0,790.95,738.1,748.65,2023-01-27,12711
750.0,764.35,740.0,745.7,2023-01-30,9631
748.0,765.85,748.0,759.55,2023-01-31,9062
764.95,783.55,739.65,746.65,2023-02-01,15458
746.45,760.1,722.5,727.8,2023-02-02,12767
734.4,756.0,722.35,728.3,2023-02-03,8429
728.35,741.0,724.75,728.25,2023-02-06,5382
723.0,736.0,723.0,726.15,2023-02-07,3924
728.0,751.95,728.0,744.05,2023-02-08,6158
737.15,745.1,736.95,741.75,2023-02-09,8386
739.9,776.0,722.3,738.45,2023-02-10,54295
743.9,743.9,715.3,719.95,2023-02-13,5566
726.9,726.9,714.05,716.15,2023-02-14,4600
718.05,738.0,712.0,721.4,2023-02-15,6463
721.4,731.3,715.5,717.35,2023-02-16,8694
715.0,726.05,715.0,719.5,2023-02-17,3756
719.5,722.4,710.0,713.9,2023-02-20,4368
711.35,723.5,705.1,706.9,2023-02-21,2729
704.85,708.0,695.25,697.3,2023-02-22,2744
714.0,714.0,691.1,693.25,2023-02-23,4785
