open,high,low,close,date,volume
430.5,437.7,425.1,426.65,2022-09-29,39137
426.75,431.0,424.05,428.25,2022-09-30,28525
430.0,454.0,430.0,450.35,2022-10-03,138939
459.9,464.2,444.0,447.2,2022-10-04,90645
434.0,446.5,423.5,428.9,2022-10-06,116348
428.1,433.95,425.55,427.35,2022-10-07,37004
422.35,427.0,420.0,422.05,2022-10-10,35311
424.9,428.75,418.9,425.05,2022-10-11,45137
429.8,429.8,391.35,399.65,2022-10-12,94015
403.0,414.35,398.65,409.15,2022-10-13,28914
417.0,417.0,401.6,403.75,2022-10-14,27854
400.05,410.0,391.05,395.45,2022-10-17,25019
395.0,404.75,394.55,396.9,2022-10-18,16573
394.0,400.0,391.0,392.8,2022-10-19,13747
398.0,403.55,396.0,396.9,2022-10-20,17559
398.8,400.3,392.0,395.85,2022-10-21,9976
399.5,401.3,396.0,399.8,2022-10-24,9153
399.5,401.7,391.3,392.4,2022-10-25,11135
395.5,399.7,383.0,385.4,2022-10-27,22366
387.3,392.35,380.05,381.8,2022-10-28,18217
382.0,386.45,358.55,362.35,2022-10-31,137073
368.6,368.6,351.15,354.0,2022-11-01,59398
355.0,394.5,354.95,384.6,2022-11-02,96340
389.8,395.0,374.5,376.85,2022-11-03,51979
378.1,386.0,376.05,378.3,2022-11-04,41120
382.0,382.0,373.0,376.7,2022-11-07,21870
380.45,384.0,376.0,382.0,2022-11-09,22592
380.8,381.9,372.1,373.8,2022-11-10,24590
377.0,377.95,370.8,372.1,2022-11-11,18182
377.5,377.5,367.9,370.0,2022-11-14,15045
373.3,379.5,366.0,375.5,2022-11-15,15394
372.0,379.0,363.1,364.6,2022-11-16,38013
368.9,369.9,356.15,359.5,2022-11-17,16321
360.0,369.95,355.9,368.4,2022-11-18,15947
362.3,384.95,362.1,380.55,2022-11-21,18806
375.0,393.5,372.95,388.35,2022-11-22,28361
394.35,404.35,382.1,392.65,2022-11-23,32302
398.95,398.95,386.0,390.15,2022-11-24,13320
389.0,403.0,387.0,396.45,2022-11-25,21809
399.0,407.0,394.05,404.65,2022-11-28,36493
394.2,402.0,390.0,392.05,2022-11-29,44955
395.0,400.05,388.1,390.15,2022-11-30,13766
390.5,399.35,390.5,395.0,2022-12-01,26710
396.2,402.0,393.1,395.55,2022-12-02,17455
396.0,400.9,395.55,396.65,2022-12-05,9706
396.0,397.95,391.0,394.5,2022-12-06,5697
392.0,396.5,388.7,391.4,2022-12-07,6357
394.5,396.6,380.3,385.5,2022-12-08,14367
382.0,392.0,382.0,386.45,2022-12-09,12479
388.35,392.25,367.95,370.95,2022-12-12,35984
374.0,377.55,368.55,370.75,2022-12-13,45627
373.0,373.0,358.45,360.85,2022-12-14,53992
360.85,364.9,354.4,356.65,2022-12-15,43756
356.65,359.95,342.0,343.4,2022-12-16,48817
341.25,348.8,340.5,344.2,2022-12-19,31149
344.0,349.75,337.6,343.1,2022-12-20,25324
345.0,346.45,324.0,325.2,2022-12-21,174202
335.0,335.0,305.0,313.15,2022-12-22,77993
312.35,312.35,296.05,300.05,2022-12-23,65473
304.55,318.45,297.05,311.95,2022-12-26,49702
317.0,317.0,301.6,309.7,2022-12-27,254701
309.7,333.0,309.7,314.35,2022-12-28,161990
317.0,324.0,311.0,322.85,2022-12-29,48225
327.0,330.5,323.1,325.55,2022-12-30,27152
328.0,328.0,321.1,322.9,2023-01-02,20812
325.5,329.5,319.95,325.25,2023-01-03,16524
325.25,327.45,318.1,319.75,2023-01-04,12699
321.15,325.0,315.2,321.35,2023-01-05,14443
321.35,323.0,316.75,317.85,2023-01-06,14096
318.05,330.15,318.05,321.95,2023-01-09,28399
322.25,327.25,319.9,322.95,2023-01-10,11979
321.4,323.95,317.6,322.5,2023-01-11,14078
324.5,324.5,316.5,317.9,2023-01-12,11851
321.5,328.0,314.65,319.2,2023-01-13,15433
320.15,324.0,313.0,319.1,2023-01-16,36467
319.1,322.4,316.1,317.35,2023-01-17,8984
318.25,322.35,317.0,319.55,2023-01-18,8876
319.4,320.4,316.1,317.2,2023-01-19,8985
322.9,322.9,315.75,317.15,2023-01-20,7452
322.5,322.5,311.0,312.7,2023-01-23,22197
313.5,316.0,307.9,309.5,2023-01-24,12693
309.5,311.95,301.95,303.5,2023-01-25,12389
305.45,311.95,296.0,303.05,2023-01-27,29061
307.15,307.15,297.95,302.25,2023-01-30,13596
