open,high,low,close,date,volume
60.9,60.9,56.2,57.55,2022-09-29,46510
57.6,59.9,57.1,59.05,2022-09-30,53990
59.5,61.0,57.5,57.85,2022-10-03,68355
58.65,62.4,58.65,59.45,2022-10-04,53317
60.25,61.25,57.55,58.85,2022-10-06,73966
59.9,60.9,59.1,60.55,2022-10-07,40540
60.6,60.6,58.0,58.35,2022-10-10,69976
58.35,58.9,55.5,56.25,2022-10-11,113177
57.0,57.3,55.65,56.65,2022-10-12,80297
56.85,57.1,55.7,55.9,2022-10-13,32384
56.65,58.75,52.75,57.9,2022-10-14,117937
58.95,58.95,56.9,58.25,2022-10-17,36353
59.0,59.85,58.55,58.65,2022-10-18,41516
59.0,59.0,57.1,57.55,2022-10-19,30707
57.0,57.45,56.45,57.15,2022-10-20,14553
57.85,59.5,57.0,57.35,2022-10-21,44488
57.8,58.75,57.75,58.3,2022-10-24,18799
58.0,58.75,57.3,57.75,2022-10-25,19576
56.55,61.9,56.55,60.3,2022-10-27,107644
61.15,62.75,60.35,62.35,2022-10-28,121531
63.35,73.8,63.1,72.35,2022-10-31,1480922
73.1,74.0,70.0,70.4,2022-11-01,350947
71.0,72.45,68.0,68.4,2022-11-02,110875
68.0,71.4,66.5,69.85,2022-11-03,111603
70.85,70.85,67.65,68.65,2022-11-04,72307
70.0,81.9,70.0,79.45,2022-11-07,1663958
80.35,84.8,77.4,81.05,2022-11-09,902802
82.0,84.55,79.6,83.85,2022-11-10,359971
85.0,86.2,70.2,73.15,2022-11-11,940465
74.5,75.3,70.85,71.8,2022-11-14,175834
73.25,78.95,72.1,73.0,2022-11-15,211684
73.8,73.8,69.15,70.1,2022-11-16,154791
70.9,73.3,69.05,71.0,2022-11-17,148878
70.5,72.05,69.25,70.6,2022-11-18,72682
70.9,71.7,68.1,69.55,2022-11-21,90582
70.4,70.5,68.55,69.45,2022-11-22,118312
70.4,72.5,69.15,71.5,2022-11-23,112738
71.55,74.05,70.55,72.5,2022-11-24,128708
73.55,73.65,70.7,71.75,2022-11-25,84783
73.65,78.4,73.05,73.5,2022-11-28,356162
74.8,78.0,73.55,76.0,2022-11-29,191989
77.0,77.85,74.05,74.65,2022-11-30,91471
77.25,77.25,74.1,74.85,2022-12-01,67349
76.0,78.9,75.15,77.2,2022-12-02,196958
79.9,84.6,78.45,81.1,2022-12-05,509246
81.85,85.3,79.5,79.8,2022-12-06,267043
80.7,81.0,77.0,77.7,2022-12-07,121995
78.5,81.0,77.7,79.55,2022-12-08,121556
80.35,80.65,75.3,76.35,2022-12-09,82907
76.8,77.85,75.3,76.55,2022-12-12,76344
77.3,78.45,73.55,75.35,2022-12-13,122021
75.6,77.0,73.8,75.9,2022-12-14,66653
76.65,76.8,74.05,74.15,2022-12-15,70460
75.25,75.25,73.2,73.6,2022-12-16,55452
73.65,74.3,72.6,73.85,2022-12-19,45163
74.3,74.3,71.75,73.25,2022-12-20,51804
74.4,76.3,70.0,70.45,2022-12-21,114877
71.85,72.05,65.45,66.95,2022-12-22,143141
66.5,66.5,60.3,60.8,2022-12-23,149966
62.4,66.0,61.05,65.2,2022-12-26,64573
67.0,77.5,65.5,75.65,2022-12-27,453625
