open,high,low,close,date,volume
773.05,775.95,752.4,755.95,2022-09-29,34817
759.75,771.8,750.0,760.8,2022-09-30,20215
752.5,767.5,741.3,759.05,2022-10-03,21316
772.0,781.85,759.0,766.55,2022-10-04,27646
770.5,778.75,765.0,767.9,2022-10-06,18855
763.55,771.6,763.55,768.4,2022-10-07,8918
785.0,785.0,771.05,777.9,2022-10-10,37597
788.0,788.0,760.0,763.4,2022-10-11,22192
773.0,782.45,760.25,764.7,2022-10-12,26912
767.7,779.0,747.6,752.95,2022-10-13,33681
765.25,769.05,750.05,753.3,2022-10-14,23134
774.2,774.2,721.95,739.45,2022-10-17,59597
749.0,749.0,728.1,737.35,2022-10-18,52469
737.35,748.6,725.0,729.45,2022-10-19,44349
725.0,738.0,705.55,710.95,2022-10-20,188285
716.4,731.0,714.35,721.45,2022-10-21,20443
730.0,739.9,726.35,737.3,2022-10-24,9260
736.2,745.85,726.0,729.45,2022-10-25,25571
742.0,742.0,708.0,712.05,2022-10-27,43556
685.0,698.95,675.0,686.9,2022-10-28,142315
688.0,762.0,688.0,754.05,2022-10-31,184243
757.85,779.75,749.5,777.25,2022-11-01,104852
777.25,799.5,776.5,797.5,2022-11-02,148044
793.9,793.9,758.25,763.1,2022-11-03,46159
766.7,783.0,757.4,773.5,2022-11-04,37411
776.9,785.0,774.0,777.45,2022-11-07,25503
798.0,798.0,765.5,772.85,2022-11-09,49810
789.95,789.95,763.6,768.1,2022-11-10,26420
779.95,782.3,751.0,756.8,2022-11-11,35309
760.4,794.05,757.95,786.3,2022-11-14,86689
790.0,792.65,771.6,779.1,2022-11-15,20503
780.0,783.95,757.0,768.5,2022-11-16,19144
768.5,776.75,756.0,762.15,2022-11-17,33432
766.0,775.0,758.0,761.35,2022-11-18,26812
765.2,771.0,742.4,752.3,2022-11-21,16346
756.1,760.4,742.4,749.5,2022-11-22,24075
749.6,759.0,748.0,757.8,2022-11-23,16123
757.8,765.0,752.25,756.1,2022-11-24,15028
759.9,760.3,746.65,748.65,2022-11-25,14431
748.0,754.45,742.85,751.85,2022-11-28,28609
754.0,765.0,747.75,751.9,2022-11-29,20097
745.2,763.3,745.2,759.4,2022-11-30,21524
755.0,780.0,755.0,767.95,2022-12-01,46464
762.2,791.6,762.2,780.3,2022-12-02,30940
780.3,799.0,780.3,797.65,2022-12-05,70373
798.9,798.9,785.95,791.55,2022-12-06,39603
798.9,798.9,786.55,789.45,2022-12-07,19562
782.0,794.85,782.0,784.9,2022-12-08,12673
784.95,788.15,765.0,767.05,2022-12-09,16311
784.9,784.9,756.0,765.9,2022-12-12,23018
773.0,777.5,760.0,761.85,2022-12-13,17727
755.85,768.9,755.85,756.9,2022-12-14,22194
770.0,770.0,755.0,756.65,2022-12-15,13896
756.65,763.5,751.0,755.5,2022-12-16,15346
755.9,766.0,754.1,759.15,2022-12-19,21095
766.0,774.0,761.0,768.1,2022-12-20,21116
768.1,774.0,760.25,767.7,2022-12-21,31250
764.0,772.95,756.05,762.95,2022-12-22,30743
750.65,762.0,722.6,741.9,2022-12-23,39913
755.0,772.0,747.95,762.4,2022-12-26,19303
772.0,772.0,757.0,768.55,2022-12-27,8131
770.0,783.0,765.25,773.1,2022-12-28,16508
770.0,781.5,756.1,773.45,2022-12-29,35093
793.9,799.0,779.6,791.2,2022-12-30,69132
799.0,800.0,785.8,788.95,2023-01-02,38618
795.95,799.0,785.5,797.2,2023-01-03,56698
799.0,799.0,786.05,794.25,2023-01-04,39327
798.95,799.0,790.0,798.75,2023-01-05,48040
399.9,399.9,385.85,390.8,2023-01-06,92834
390.6,400.0,387.55,397.0,2023-01-09,92913
392.05,396.85,389.0,393.7,2023-01-10,38621
391.85,392.45,383.25,384.75,2023-01-11,32379
384.75,387.8,377.0,379.0,2023-01-12,25502
379.0,393.25,379.0,389.65,2023-01-13,26598
396.0,396.0,382.15,385.85,2023-01-16,22683
389.0,389.0,373.5,378.1,2023-01-17,23377
374.05,379.95,369.0,371.0,2023-01-18,26348
371.0,376.95,360.55,364.6,2023-01-19,45032
377.0,377.0,358.55,360.8,2023-01-20,47565
362.5,367.5,361.0,364.35,2023-01-23,24611
365.0,384.2,365.0,365.85,2023-01-24,65086
372.95,372.95,351.0,351.7,2023-01-25,44338
350.0,359.0,346.0,353.4,2023-01-27,93097
358.0,369.0,345.3,361.0,2023-01-30,50969
360.0,394.7,356.25,386.6,2023-01-31,146227
393.95,397.0,378.3,386.3,2023-02-01,86876
386.3,390.45,376.05,382.85,2023-02-02,33909
380.05,391.0,375.5,382.8,2023-02-03,42292
385.0,385.0,375.8,379.7,2023-02-06,21332
385.0,393.75,371.6,391.0,2023-02-07,74607
391.0,399.0,386.6,395.9,2023-02-08,87950
394.0,398.65,386.95,393.1,2023-02-09,49966
392.0,397.95,388.85,391.85,2023-02-10,43402
393.75,393.75,386.15,388.55,2023-02-13,28396
385.0,391.65,381.0,388.95,2023-02-14,37847
384.0,386.05,381.95,383.4,2023-02-15,21222
389.4,389.4,377.3,379.45,2023-02-16,30527
385.8,387.8,377.2,380.75,2023-02-17,41511
378.0,381.4,368.1,370.15,2023-02-20,46828
374.85,375.95,365.05,365.8,2023-02-21,19891
369.8,379.45,362.55,375.45,2023-02-22,67623
370.05,393.0,370.05,390.65,2023-02-23,90479
391.0,392.0,377.5,379.55,2023-02-24,34997
386.35,386.85,372.4,373.95,2023-02-27,35472
378.8,383.95,370.0,371.6,2023-02-28,50330
376.0,377.1,371.25,374.9,2023-03-01,32614
374.9,376.05,369.5,373.15,2023-03-02,12740
375.55,380.9,372.65,377.0,2023-03-03,15096
379.75,379.75,371.7,375.5,2023-03-06,22366
370.0,385.15,370.0,378.65,2023-03-08,81428
386.0,386.0,377.0,381.4,2023-03-09,52577
381.4,383.25,376.0,377.4,2023-03-10,23209
379.9,381.3,369.0,376.35,2023-03-13,28335
386.0,386.0,365.0,368.6,2023-03-14,39623
376.2,380.0,366.0,370.25,2023-03-15,34409
370.05,370.05,360.25,366.5,2023-03-16,65975
377.0,377.0,355.25,358.3,2023-03-17,67994
364.0,367.95,352.05,353.85,2023-03-20,45729
359.55,370.2,351.0,369.15,2023-03-21,64242
370.0,373.0,365.1,372.15,2023-03-22,25161
375.0,380.6,372.0,376.55,2023-03-23,26727
379.0,380.1,365.0,367.0,2023-03-24,39206
373.2,375.0,363.0,366.45,2023-03-27,48553
370.0,370.0,354.15,361.2,2023-03-28,54206
367.7,373.6,361.2,364.85,2023-03-29,73947
369.0,375.95,366.75,370.3,2023-03-31,32037
370.3,370.3,363.0,364.15,2023-04-03,50093
365.0,386.0,363.6,382.3,2023-04-05,52352
376.0,388.0,375.6,383.8,2023-04-06,52746
381.6,390.0,380.1,385.7,2023-04-10,44866
381.5,389.95,374.45,376.35,2023-04-11,70537
376.35,382.7,369.0,370.2,2023-04-12,41524
368.1,373.85,367.75,372.25,2023-04-13,35844
376.75,376.75,365.65,370.1,2023-04-17,70570
372.0,377.0,369.65,374.25,2023-04-18,48878
371.0,380.0,371.0,375.4,2023-04-19,42979
378.25,379.95,370.2,376.6,2023-04-20,55946
379.3,379.65,371.9,373.45,2023-04-21,38383
373.45,380.0,370.0,374.4,2023-04-24,73221
374.0,380.0,372.2,377.5,2023-04-25,58764
377.5,385.95,370.65,383.0,2023-04-26,91031
385.0,388.3,372.55,376.55,2023-04-27,170615
380.0,385.8,379.9,382.6,2023-04-28,85348
385.0,391.3,372.55,378.65,2023-05-02,84090
377.75,383.45,372.6,374.55,2023-05-03,68913
376.0,382.65,373.4,378.95,2023-05-04,101882
381.95,381.95,374.05,378.15,2023-05-05,63227
378.1,381.25,372.65,374.25,2023-05-08,73935
374.25,378.05,373.5,376.25,2023-05-09,50627
378.0,379.95,372.25,374.7,2023-05-10,36075
378.15,378.15,371.0,372.6,2023-05-11,40416
372.0,378.0,371.0,375.15,2023-05-12,64136
376.4,376.8,370.0,371.7,2023-05-15,25942
373.55,374.7,365.95,368.05,2023-05-16,39371
368.05,372.55,366.55,368.65,2023-05-17,22961
371.45,378.0,366.0,367.1,2023-05-18,71665
369.95,373.1,362.2,364.35,2023-05-19,55327
364.35,364.35,355.0,359.25,2023-05-22,75129
362.95,365.0,357.8,361.4,2023-05-23,40048
363.0,363.0,354.55,359.8,2023-05-24,69448
358.0,363.9,358.0,362.5,2023-05-25,27036
362.5,367.6,357.55,360.35,2023-05-26,39144
363.0,364.0,355.0,356.95,2023-05-29,52881
360.45,368.15,357.3,364.45,2023-05-30,83680
365.0,365.0,355.0,360.05,2023-05-31,69803
359.0,363.0,358.35,361.1,2023-06-01,32618
364.05,364.05,357.6,359.2,2023-06-02,60655
360.0,361.4,357.05,358.6,2023-06-05,44932
358.0,383.3,358.0,377.5,2023-06-06,396145
383.0,384.5,377.0,382.1,2023-06-07,139345
382.0,384.95,373.9,378.9,2023-06-08,67117
377.0,381.15,368.45,373.15,2023-06-09,53457
377.0,379.9,372.0,375.5,2023-06-12,59299
380.0,382.4,376.0,380.5,2023-06-13,119895
383.2,383.25,377.0,379.8,2023-06-14,78610
378.55,418.0,378.55,410.4,2023-06-15,1819317
411.0,414.5,401.0,411.05,2023-06-16,305755
411.15,419.0,409.8,413.35,2023-06-19,147376
416.35,436.0,414.45,428.05,2023-06-20,449903
436.7,489.0,430.1,471.4,2023-06-21,1666448
475.0,478.2,449.25,452.6,2023-06-22,1023588
454.55,455.0,444.0,450.75,2023-06-23,249726
452.75,465.95,444.8,459.95,2023-06-26,207794
454.9,457.95,445.05,448.2,2023-06-27,174173
452.65,453.55,440.0,441.05,2023-06-28,98381
442.0,447.8,440.4,444.7,2023-06-30,101240
450.0,455.4,430.25,432.7,2023-07-03,230806
436.8,454.9,433.3,440.0,2023-07-04,251551
435.6,453.7,435.6,443.1,2023-07-05,174410
440.0,446.0,436.05,439.65,2023-07-06,90353
436.5,443.35,426.4,430.8,2023-07-07,122596
437.95,437.95,415.05,418.8,2023-07-10,91790
420.0,435.7,419.95,427.35,2023-07-11,156106
427.35,434.1,425.15,428.45,2023-07-12,59485
428.45,437.95,428.0,436.1,2023-07-13,195542
442.9,446.0,434.9,442.65,2023-07-14,113263
442.65,451.05,438.3,448.45,2023-07-17,131527
445.2,450.55,435.15,440.8,2023-07-18,639890
443.95,449.35,441.4,447.4,2023-07-19,105145
447.4,449.0,436.85,439.4,2023-07-20,117148
437.9,454.0,437.6,446.4,2023-07-21,132609
446.35,452.0,441.05,450.5,2023-07-24,87058
450.5,460.0,440.55,443.05,2023-07-25,110583
443.8,454.4,437.25,444.9,2023-07-26,106538
448.65,459.95,448.0,450.35,2023-07-27,120497
409.0,447.15,409.0,441.5,2023-07-28,631295
445.0,448.9,429.55,442.9,2023-07-31,165171
444.05,464.0,444.05,462.0,2023-08-01,312381
462.6,465.0,448.2,461.5,2023-08-02,148262
461.5,461.95,448.0,451.55,2023-08-03,64028
454.0,457.4,445.1,451.9,2023-08-04,46820
451.9,457.35,447.3,454.35,2023-08-07,67716
452.25,458.4,449.5,455.35,2023-08-08,85158
458.0,459.2,445.5,450.8,2023-08-09,104754
451.0,455.15,446.4,449.35,2023-08-10,50830
449.35,452.2,441.0,444.85,2023-08-11,62103
440.0,444.5,432.0,440.95,2023-08-14,54456
444.8,444.8,431.5,435.85,2023-08-16,35771
441.0,450.0,435.45,438.9,2023-08-17,68319
439.0,447.0,428.05,433.2,2023-08-18,67618
430.65,445.0,428.25,442.85,2023-08-21,77107
445.0,455.0,438.1,451.1,2023-08-22,97556
454.8,457.6,442.9,446.05,2023-08-23,37806
447.6,448.1,441.0,446.65,2023-08-24,29406
446.65,452.7,440.25,450.15,2023-08-25,65285
454.4,455.45,445.8,453.75,2023-08-28,65914
454.0,481.95,451.3,478.4,2023-08-29,405258
484.4,490.0,478.55,487.0,2023-08-30,173511
490.4,496.9,485.35,494.25,2023-08-31,150589
492.0,495.0,480.65,489.75,2023-09-01,93056
499.0,499.0,476.05,489.55,2023-09-04,83447
491.0,493.85,482.7,485.75,2023-09-05,41256
489.9,490.0,474.75,480.25,2023-09-06,68598
480.0,490.05,473.05,485.2,2023-09-07,64435
489.7,493.6,483.15,490.45,2023-09-08,60479
492.0,495.0,475.55,481.0,2023-09-11,77492
481.05,486.3,451.0,455.6,2023-09-12,144277
452.0,474.0,452.0,470.25,2023-09-13,110158
476.95,502.9,467.6,487.9,2023-09-14,268630
485.8,495.0,484.85,488.9,2023-09-15,79951
481.0,496.0,421.0,491.7,2023-09-18,120946
479.9,492.6,473.5,479.35,2023-09-20,83112
479.5,480.0,469.0,471.45,2023-09-21,42480
471.0,475.75,455.7,466.9,2023-09-22,108669
468.9,477.0,463.3,470.8,2023-09-25,46625
471.65,475.1,465.0,467.8,2023-09-26,45780
470.0,482.9,466.1,478.7,2023-09-27,51721
483.5,483.5,465.9,468.15,2023-09-28,46404
468.15,481.0,467.85,478.2,2023-09-29,38699
482.85,499.0,478.5,497.35,2023-10-03,175108
498.9,519.0,486.8,503.05,2023-10-04,372943
509.65,535.1,505.4,522.35,2023-10-05,502611
524.95,535.4,519.0,524.4,2023-10-06,204804
523.8,533.3,512.0,518.5,2023-10-09,188430
518.45,537.0,518.45,533.0,2023-10-10,78894
535.4,542.5,526.85,539.55,2023-10-11,147054
534.95,548.0,534.95,537.5,2023-10-12,80589
537.8,547.0,535.9,542.85,2023-10-13,67967
544.15,577.0,543.15,554.65,2023-10-16,295936
558.45,576.8,555.8,566.35,2023-10-17,235555
565.5,618.0,561.55,593.1,2023-10-18,895330
592.9,604.1,578.9,599.75,2023-10-19,182238
597.8,604.9,565.0,570.95,2023-10-20,202551
577.95,579.55,542.3,549.55,2023-10-23,128172
551.0,563.2,541.0,554.25,2023-10-25,96132
561.0,561.0,531.85,550.35,2023-10-26,99466
554.85,576.35,554.85,562.8,2023-10-27,111658
574.0,577.5,557.1,573.75,2023-10-30,105329
579.0,597.15,569.0,573.0,2023-10-31,126280
571.65,584.0,560.0,564.55,2023-11-01,63283
570.5,577.25,563.15,571.0,2023-11-02,52430
576.65,579.75,560.55,566.95,2023-11-03,33024
571.9,599.9,571.5,576.85,2023-11-06,167625
577.35,587.3,567.1,580.05,2023-11-07,100170
581.0,598.0,577.0,578.85,2023-11-08,60788
579.0,582.85,564.4,567.7,2023-11-09,43212
567.7,578.65,563.3,572.65,2023-11-10,30747
578.95,585.0,568.0,568.85,2023-11-12,21032
566.0,580.0,564.1,567.9,2023-11-13,48682
562.1,574.0,557.85,570.9,2023-11-15,85232
574.0,575.0,562.0,563.8,2023-11-16,58247
563.8,572.0,558.0,562.4,2023-11-17,91216
564.5,569.1,551.45,560.3,2023-11-20,152816
560.3,566.0,551.1,556.2,2023-11-21,50105
555.0,564.3,546.0,558.8,2023-11-22,87616
559.95,563.7,547.5,552.0,2023-11-23,39952
552.0,562.4,552.0,556.75,2023-11-24,58136
560.0,571.9,560.0,563.75,2023-11-28,103528
565.0,566.0,556.8,560.4,2023-11-29,62279
564.5,567.0,559.0,565.05,2023-11-30,112886
565.0,571.5,556.1,563.35,2023-12-01,102909
