open,high,low,close,date,volume
807.95,810.65,790.0,799.75,2022-09-29,19377
799.75,819.35,790.15,798.6,2022-09-30,26009
812.7,812.7,770.0,775.95,2022-10-03,15276
790.0,805.9,786.0,791.85,2022-10-04,14731
805.0,829.9,801.0,804.85,2022-10-06,16686
804.85,809.75,784.75,792.55,2022-10-07,22157
804.0,840.0,792.85,802.75,2022-10-10,41126
809.0,809.0,774.0,778.45,2022-10-11,18206
779.0,784.05,750.0,767.3,2022-10-12,18578
752.0,783.95,742.0,747.0,2022-10-13,15841
759.85,786.0,733.6,739.95,2022-10-14,13488
740.0,754.9,710.0,717.1,2022-10-17,23258
729.75,749.95,721.0,726.1,2022-10-18,18490
726.1,745.0,722.0,735.2,2022-10-19,8818
735.2,738.0,700.25,710.95,2022-10-20,22572
710.95,725.0,675.2,682.0,2022-10-21,29395
685.0,706.0,650.5,669.55,2022-10-24,19508
669.55,725.0,669.55,703.85,2022-10-25,35516
711.9,720.0,697.0,708.25,2022-10-27,16596
716.0,716.85,702.0,704.4,2022-10-28,7039
717.7,717.7,682.0,686.55,2022-10-31,12619
695.0,703.55,680.0,690.55,2022-11-01,13846
695.95,714.95,692.0,698.7,2022-11-02,14433
700.9,708.15,695.0,700.15,2022-11-03,7813
705.0,730.0,692.0,694.85,2022-11-04,9189
710.0,710.0,692.0,699.5,2022-11-07,7097
701.0,710.0,692.3,695.25,2022-11-09,19018
699.25,705.95,683.0,685.75,2022-11-10,11054
695.0,695.0,667.0,681.1,2022-11-11,10817
690.0,690.0,650.0,656.6,2022-11-14,21419
636.6,686.45,613.6,647.65,2022-11-15,38153
647.7,662.75,640.15,645.0,2022-11-16,13371
649.6,660.0,641.6,647.45,2022-11-17,9066
658.7,658.7,607.1,617.35,2022-11-18,28458
617.35,636.45,604.7,614.25,2022-11-21,18526
627.0,627.0,575.5,582.7,2022-11-22,32742
588.0,625.0,580.65,584.35,2022-11-23,24216
587.0,599.0,568.35,578.05,2022-11-24,23714
582.0,585.0,541.05,552.45,2022-11-25,57695
570.0,589.0,554.95,560.05,2022-11-28,56278
565.0,573.45,549.7,558.2,2022-11-29,21704
562.0,567.0,545.5,550.55,2022-11-30,21007
559.65,560.0,535.6,537.6,2022-12-01,34019
537.6,545.1,530.0,534.15,2022-12-02,34277
545.8,559.8,541.6,548.15,2022-12-05,31843
556.3,573.0,552.25,557.05,2022-12-06,41320
563.7,563.7,546.0,558.45,2022-12-07,17826
564.0,569.95,547.0,551.3,2022-12-08,14745
559.85,559.85,541.0,542.05,2022-12-09,14523
551.0,554.0,539.0,541.55,2022-12-12,7234
549.8,549.8,537.05,538.9,2022-12-13,6862
544.0,547.95,530.0,531.55,2022-12-14,18414
539.0,557.0,535.05,547.9,2022-12-15,22472
548.8,552.45,536.8,541.75,2022-12-16,8100
545.0,547.95,534.1,538.45,2022-12-19,8101
554.0,554.0,525.0,528.7,2022-12-20,13934
533.95,539.2,508.0,513.55,2022-12-21,10316
524.45,524.45,476.1,485.4,2022-12-22,28367
477.0,486.0,454.3,459.75,2022-12-23,26910
474.95,505.7,466.0,504.5,2022-12-26,27472
525.9,528.0,492.0,513.55,2022-12-27,22388
518.65,523.0,510.6,515.7,2022-12-28,10332
523.45,530.0,512.1,523.25,2022-12-29,16875
523.25,529.4,505.0,512.05,2022-12-30,12665
520.0,535.0,513.05,534.1,2023-01-02,14299
538.0,545.55,520.6,528.9,2023-01-03,14143
518.8,537.95,514.35,518.5,2023-01-04,13076
522.0,538.95,515.0,533.1,2023-01-05,15079
533.1,539.0,516.25,522.9,2023-01-06,10748
530.7,530.7,515.0,518.85,2023-01-09,5691
520.0,523.65,510.05,513.7,2023-01-10,6457
518.0,524.9,509.0,520.4,2023-01-11,9370
520.4,527.0,519.0,519.95,2023-01-12,4776
526.0,528.0,519.9,523.65,2023-01-13,6864
528.7,529.0,521.0,524.6,2023-01-16,5136
524.05,526.3,514.1,517.5,2023-01-17,9065
518.5,524.55,516.15,517.7,2023-01-18,6807
517.7,520.0,503.0,510.15,2023-01-19,7600
513.0,516.55,502.0,509.5,2023-01-20,7270
516.0,516.0,495.05,499.35,2023-01-23,10239
506.95,506.95,496.05,499.4,2023-01-24,8449
499.6,501.65,475.0,479.45,2023-01-25,20956
489.0,489.0,450.05,455.45,2023-01-27,35574
478.95,478.95,458.0,464.7,2023-01-30,13553
479.95,485.0,464.3,479.75,2023-01-31,6969
487.9,490.5,470.0,479.35,2023-02-01,11550
462.05,480.7,460.05,474.3,2023-02-02,9661
474.0,482.2,460.55,467.85,2023-02-03,5383
467.85,477.95,463.7,472.6,2023-02-06,4075
481.6,487.45,464.1,476.25,2023-02-07,8229
477.1,484.0,465.05,467.7,2023-02-08,8202
471.35,484.95,467.35,480.0,2023-02-09,8734
485.5,517.0,483.4,513.0,2023-02-10,48041
518.9,532.45,498.0,513.55,2023-02-13,39932
518.0,518.05,495.2,497.35,2023-02-14,15945
491.1,491.1,458.0,467.95,2023-02-15,41735
473.1,473.1,457.55,459.75,2023-02-16,23403
467.0,474.45,457.1,463.8,2023-02-17,19077
465.05,468.85,440.55,447.5,2023-02-20,22498
447.95,451.65,433.8,435.6,2023-02-21,16596
431.25,440.0,425.35,429.8,2023-02-22,13656
