open,high,low,close,date,volume
104.9,109.3,103.45,107.8,2022-09-29,1035466
106.6,109.0,105.05,105.9,2022-09-30,459703
106.05,108.95,102.9,103.65,2022-10-03,197638
104.75,105.95,103.55,104.1,2022-10-04,127646
104.95,107.0,104.55,106.4,2022-10-06,162767
105.05,109.4,104.1,107.35,2022-10-07,451242
107.0,107.75,104.9,106.25,2022-10-10,157563
106.8,113.7,105.6,110.05,2022-10-11,1651002
110.65,111.3,103.1,108.9,2022-10-12,353123
109.4,110.0,106.0,107.15,2022-10-13,105587
106.35,110.65,106.35,109.55,2022-10-14,349597
108.1,108.8,104.35,105.6,2022-10-17,223529
106.15,106.9,105.0,105.8,2022-10-18,108261
106.0,108.7,105.05,105.95,2022-10-19,228144
105.75,107.0,104.15,104.4,2022-10-20,106836
104.95,107.5,102.15,102.65,2022-10-21,236970
105.7,105.7,104.1,104.65,2022-10-24,46111
105.2,105.85,104.25,104.75,2022-10-25,54880
104.2,105.7,102.25,103.25,2022-10-27,151860
103.8,104.95,103.25,103.8,2022-10-28,76909
104.35,107.0,103.75,106.3,2022-10-31,232534
106.85,107.5,105.95,106.2,2022-11-01,150669
106.25,108.1,106.0,106.65,2022-11-02,124060
106.0,107.5,105.3,107.2,2022-11-03,91261
107.2,109.5,103.5,104.95,2022-11-04,250241
104.75,106.45,104.1,105.15,2022-11-07,164531
106.45,106.7,103.5,104.3,2022-11-09,204531
102.3,104.0,102.25,103.35,2022-11-10,131843
103.9,107.2,103.9,106.7,2022-11-11,331387
107.25,108.7,105.55,108.15,2022-11-14,250122
108.5,109.0,106.05,106.95,2022-11-15,138184
105.0,106.9,92.55,102.1,2022-11-16,406483
102.65,103.75,101.0,101.65,2022-11-17,98919
100.6,105.0,100.05,103.65,2022-11-18,134634
104.2,104.2,102.25,102.8,2022-11-21,56356
103.35,104.25,102.0,102.6,2022-11-22,56627
103.15,106.65,102.4,103.5,2022-11-23,89111
104.05,104.3,102.45,102.95,2022-11-24,72323
103.4,103.95,102.0,102.45,2022-11-25,98042
103.0,104.0,102.8,103.3,2022-11-28,86264
103.65,105.5,102.9,104.7,2022-11-29,195885
106.0,107.8,105.7,106.7,2022-11-30,329897
107.1,108.0,106.0,106.4,2022-12-01,166873
106.9,107.4,105.6,106.55,2022-12-02,185031
106.0,107.75,105.0,106.15,2022-12-05,160944
107.0,111.85,106.55,110.05,2022-12-06,744393
111.0,117.0,111.0,112.3,2022-12-07,2084057
112.9,119.95,112.1,117.9,2022-12-08,2392481
118.95,123.3,117.0,118.45,2022-12-09,1808597
120.25,124.05,118.5,121.6,2022-12-12,1746535
122.95,124.0,120.95,121.85,2022-12-13,804984
121.9,123.3,118.95,120.1,2022-12-14,404903
120.6,120.7,113.6,115.2,2022-12-15,612800
115.0,118.5,113.25,115.35,2022-12-16,426082
116.9,118.5,115.8,117.8,2022-12-19,410233
118.45,118.45,113.95,115.75,2022-12-20,295260
116.85,117.55,109.75,111.4,2022-12-21,503414
110.2,112.45,104.7,107.3,2022-12-22,635838
106.95,106.95,100.15,102.75,2022-12-23,501520
104.2,109.3,102.55,108.55,2022-12-26,345995
109.85,115.7,108.3,114.85,2022-12-27,701711
115.5,115.8,112.75,113.55,2022-12-28,331114
112.35,115.0,112.0,114.15,2022-12-29,101092
115.0,115.8,111.5,112.45,2022-12-30,189450
114.0,115.6,112.65,113.25,2023-01-02,130625
114.0,114.7,112.0,113.75,2023-01-03,127118
114.75,115.65,112.0,112.9,2023-01-04,273142
114.0,114.2,112.45,113.25,2023-01-05,130755
114.0,118.3,112.5,115.1,2023-01-06,699040
115.4,119.0,114.7,115.8,2023-01-09,241461
116.05,116.75,113.3,115.6,2023-01-10,254918
115.6,115.6,113.5,114.3,2023-01-11,99901
115.0,117.55,114.5,117.25,2023-01-12,278492
118.35,118.35,115.15,115.75,2023-01-13,135387
115.75,116.25,114.0,115.4,2023-01-16,116918
115.4,119.7,114.05,118.45,2023-01-17,433537
118.95,119.5,114.25,115.9,2023-01-18,203895
115.0,118.9,113.55,115.95,2023-01-19,333144
115.95,118.15,114.15,114.65,2023-01-20,211191
114.75,115.4,113.0,113.55,2023-01-23,134423
114.2,114.35,112.5,112.8,2023-01-24,128359
112.9,114.0,110.5,112.1,2023-01-25,152321
111.15,113.25,101.0,104.15,2023-01-27,338714
104.5,109.4,101.65,106.05,2023-01-30,395958
107.55,110.7,106.55,108.6,2023-01-31,189698
108.85,112.75,105.8,107.5,2023-02-01,185172
108.25,111.15,106.25,109.6,2023-02-02,168787
110.0,114.0,105.5,111.65,2023-02-03,698094
110.7,115.0,110.25,114.3,2023-02-06,295262
