open,high,low,close,date,volume
189.4,190.6,186.6,187.3,2022-09-29,39441
189.45,191.8,185.15,190.3,2022-09-30,41025
188.65,190.6,187.95,189.05,2022-10-03,38968
191.75,192.3,189.0,189.75,2022-10-04,24182
191.5,197.7,190.35,195.4,2022-10-06,112826
196.85,197.5,193.55,194.85,2022-10-07,40301
193.8,204.05,190.05,197.65,2022-10-10,108527
197.65,199.75,195.15,195.75,2022-10-11,68243
197.4,197.4,192.8,195.05,2022-10-12,35899
195.95,201.0,195.25,197.8,2022-10-13,76939
199.0,202.85,198.0,198.25,2022-10-14,66222
198.1,200.15,194.45,199.15,2022-10-17,52355
200.9,202.05,197.25,197.7,2022-10-18,48654
196.0,205.0,196.0,198.45,2022-10-19,79157
198.0,203.8,196.55,202.5,2022-10-20,53844
204.45,206.8,202.6,203.8,2022-10-21,88716
204.9,206.9,203.5,204.45,2022-10-24,27292
207.7,213.0,205.4,208.4,2022-10-25,226020
210.45,214.95,209.0,212.9,2022-10-27,214683
213.1,214.55,209.1,210.55,2022-10-28,77210
214.0,217.8,212.1,213.2,2022-10-31,148649
214.0,214.65,211.05,211.65,2022-11-01,71960
211.65,213.4,205.6,207.7,2022-11-02,75197
206.0,210.75,205.25,206.55,2022-11-03,95976
205.25,205.4,202.85,203.6,2022-11-04,50645
201.55,203.5,198.0,198.55,2022-11-07,69334
198.95,204.3,198.05,200.65,2022-11-09,114314
200.75,214.2,200.75,207.1,2022-11-10,465693
209.8,209.8,202.0,204.4,2022-11-11,124627
205.0,207.7,196.1,206.8,2022-11-14,228236
208.0,209.0,201.85,202.8,2022-11-15,64159
203.0,205.5,200.0,200.35,2022-11-16,42025
200.0,202.9,197.5,198.75,2022-11-17,56145
198.95,200.95,195.35,196.1,2022-11-18,55201
199.0,199.0,195.4,196.15,2022-11-21,33172
195.05,197.65,191.1,192.3,2022-11-22,90333
194.05,201.6,193.6,198.85,2022-11-23,123205
200.85,201.45,196.6,197.45,2022-11-24,41844
197.5,201.75,197.5,198.65,2022-11-25,55167
201.0,201.0,195.55,196.35,2022-11-28,47990
197.15,197.9,193.25,194.0,2022-11-29,45003
193.3,196.65,192.2,193.05,2022-11-30,52181
194.3,196.0,192.85,194.55,2022-12-01,44069
195.15,195.7,192.65,193.2,2022-12-02,35809
194.45,198.0,193.35,197.25,2022-12-05,56252
197.35,198.0,194.0,195.15,2022-12-06,34222
195.75,195.75,192.4,193.2,2022-12-07,34649
193.85,195.7,193.1,194.05,2022-12-08,46595
195.0,196.25,191.5,192.4,2022-12-09,40526
191.05,195.0,188.75,193.0,2022-12-12,52259
194.6,194.6,190.7,191.75,2022-12-13,37087
193.15,193.15,191.45,191.85,2022-12-14,28690
193.0,193.0,188.5,189.1,2022-12-15,40117
189.0,191.05,183.95,185.3,2022-12-16,40041
185.9,194.8,185.0,193.8,2022-12-19,127429
195.0,202.5,194.0,199.85,2022-12-20,352638
201.3,204.3,188.55,190.95,2022-12-21,122114
192.85,192.95,183.15,184.65,2022-12-22,55464
