open,high,low,close,date,volume
435.2,445.1,426.05,430.0,2022-09-29,4313
432.2,434.0,424.0,430.15,2022-09-30,4883
427.4,432.0,427.4,428.65,2022-10-03,1802
423.0,446.0,423.0,444.15,2022-10-04,2631
452.95,452.95,433.05,444.4,2022-10-06,9328
449.05,449.05,434.0,435.65,2022-10-07,2188
426.0,444.35,423.55,435.05,2022-10-10,9500
421.6,440.0,421.6,425.8,2022-10-11,8725
429.6,435.85,426.2,430.9,2022-10-12,5030
443.0,443.0,432.85,436.75,2022-10-13,2076
441.25,445.0,435.1,436.8,2022-10-14,8063
436.8,439.45,433.1,434.4,2022-10-17,6513
443.05,443.05,422.1,431.5,2022-10-18,21438
430.65,450.0,430.65,444.35,2022-10-19,11399
453.15,477.65,436.0,451.65,2022-10-20,19868
475.0,501.75,460.1,465.7,2022-10-21,119740
479.5,494.9,466.0,474.05,2022-10-24,6771
482.0,483.45,442.25,447.6,2022-10-25,22177
447.0,456.6,431.0,435.1,2022-10-27,26339
443.7,453.95,436.55,440.75,2022-10-28,13241
448.6,450.0,437.95,446.0,2022-10-31,27063
450.0,463.0,445.0,460.95,2022-11-01,31760
485.0,485.0,461.0,464.25,2022-11-02,22642
464.25,469.9,455.95,460.1,2022-11-03,11058
469.25,474.7,459.0,462.0,2022-11-04,5727
462.0,465.0,442.2,447.75,2022-11-07,9529
454.9,463.95,434.95,453.5,2022-11-09,17836
474.0,474.0,444.5,458.25,2022-11-10,15861
458.25,472.0,451.2,459.6,2022-11-11,25500
460.95,461.0,425.5,433.6,2022-11-14,18465
435.0,456.0,434.05,454.4,2022-11-15,15147
458.0,458.0,447.15,452.35,2022-11-16,5593
452.35,454.1,445.0,449.5,2022-11-17,1683
450.9,450.9,431.15,439.35,2022-11-18,6983
439.35,450.0,438.5,448.05,2022-11-21,3795
448.2,454.0,442.55,452.0,2022-11-22,2693
460.95,460.95,435.15,439.65,2022-11-23,12751
441.65,443.0,439.05,441.25,2022-11-24,3729
439.1,455.75,438.5,440.25,2022-11-25,3170
440.0,445.0,435.0,436.95,2022-11-28,9079
446.65,446.65,432.0,433.35,2022-11-29,6890
434.0,446.1,434.0,439.65,2022-11-30,5852
448.3,451.85,435.0,436.8,2022-12-01,4070
441.9,441.9,435.0,437.65,2022-12-02,1823
430.0,455.9,429.0,445.25,2022-12-05,12535
453.65,455.5,435.0,436.05,2022-12-06,3468
444.75,465.0,436.05,456.55,2022-12-07,31450
460.1,474.0,458.0,460.5,2022-12-08,30218
469.0,497.95,450.95,488.4,2022-12-09,47861
490.0,529.95,488.0,524.2,2022-12-12,238568
529.0,539.4,510.0,521.7,2022-12-13,116136
524.45,546.0,522.0,535.15,2022-12-14,201337
534.55,542.0,526.25,535.05,2022-12-15,30890
534.0,545.25,525.1,531.9,2022-12-16,45630
536.8,544.95,503.35,513.05,2022-12-19,48405
502.0,539.95,500.05,537.35,2022-12-20,92369
537.7,563.1,492.3,501.1,2022-12-21,77383
508.95,510.95,465.0,475.05,2022-12-22,52880
480.0,480.95,447.9,459.3,2022-12-23,66397
450.0,474.85,447.65,454.75,2022-12-26,25681
457.6,474.4,456.2,462.8,2022-12-27,58691
466.0,467.7,435.5,443.15,2022-12-28,47413
