open,high,low,close,date,volume
11.6,11.9,11.5,11.9,2022-09-29,1203861
12.1,12.45,11.7,12.45,2022-09-30,2002658
12.8,13.05,12.8,13.05,2022-10-03,609181
13.7,13.7,12.6,13.2,2022-10-04,3113313
13.4,13.45,12.85,13.0,2022-10-06,785994
13.1,13.1,12.85,13.05,2022-10-07,648518
13.05,13.45,12.8,13.0,2022-10-10,2160511
13.3,13.3,12.9,13.0,2022-10-11,473621
13.1,13.2,12.7,13.05,2022-10-12,936166
13.1,13.1,12.85,12.95,2022-10-13,363384
12.95,13.45,12.9,13.05,2022-10-14,983464
13.25,13.25,12.7,12.8,2022-10-17,435319
12.75,13.0,12.6,12.65,2022-10-18,758676
12.7,12.8,12.65,12.7,2022-10-19,337650
12.75,12.75,12.45,12.5,2022-10-20,295541
12.5,12.8,12.1,12.65,2022-10-21,858390
12.7,12.95,12.4,12.45,2022-10-24,658785
12.4,12.55,12.15,12.2,2022-10-25,469015
12.4,12.4,11.9,12.0,2022-10-27,1083910
12.1,12.1,11.65,11.75,2022-10-28,962265
11.85,12.25,11.8,12.25,2022-10-31,1031929
12.35,12.45,11.75,12.0,2022-11-01,1860578
12.15,12.15,11.75,12.0,2022-11-02,1195869
11.85,12.1,11.65,11.95,2022-11-03,1193029
12.05,12.05,11.75,11.8,2022-11-04,540424
12.1,12.1,11.75,11.8,2022-11-07,597326
12.0,12.0,11.7,11.9,2022-11-09,972095
11.9,11.9,11.45,11.65,2022-11-10,1437792
11.75,12.1,11.45,11.65,2022-11-11,1718218
11.65,11.65,11.1,11.3,2022-11-14,827747
11.2,11.5,11.2,11.3,2022-11-15,588839
11.3,11.75,11.25,11.55,2022-11-16,873618
11.65,11.95,11.6,11.7,2022-11-17,499112
11.75,11.8,11.6,11.65,2022-11-18,547998
11.65,11.9,11.65,11.7,2022-11-21,562455
11.8,11.9,11.45,11.75,2022-11-22,860583
11.95,12.3,11.7,12.3,2022-11-23,1882248
12.4,12.7,12.35,12.6,2022-11-24,1452385
12.7,12.75,12.6,12.6,2022-11-25,715365
12.55,12.7,12.5,12.5,2022-11-28,522999
12.7,12.8,12.55,12.7,2022-11-29,957425
12.75,13.3,12.65,13.3,2022-11-30,3066795
13.35,13.95,13.2,13.75,2022-12-01,5554525
13.85,14.25,13.1,13.35,2022-12-02,5799731
13.45,13.6,13.25,13.5,2022-12-05,2047134
13.55,13.7,13.45,13.55,2022-12-06,1665123
13.65,13.75,13.45,13.55,2022-12-07,1089250
13.65,13.7,13.5,13.6,2022-12-08,742252
13.65,13.8,13.05,13.35,2022-12-09,2547131
14.0,14.0,14.0,14.0,2022-12-12,750654
14.7,14.7,14.7,14.7,2022-12-13,364351
15.4,15.4,14.2,15.05,2022-12-14,14121807
14.95,15.0,14.3,14.3,2022-12-15,3080670
14.35,15.0,13.6,14.95,2022-12-16,5646598
15.65,15.65,15.05,15.65,2022-12-19,6130934
15.8,15.85,14.9,15.5,2022-12-20,5009972
15.95,15.95,14.75,14.75,2022-12-21,4062050
14.75,15.0,14.05,14.2,2022-12-22,2988780
13.75,14.0,13.5,13.5,2022-12-23,1160925
13.1,13.8,12.85,13.25,2022-12-26,5800173
13.45,13.7,12.7,12.95,2022-12-27,2947961
13.05,13.35,12.9,13.15,2022-12-28,1124208
13.3,13.45,12.95,13.2,2022-12-29,1138824
13.25,13.85,13.25,13.8,2022-12-30,3863424
13.95,14.1,13.6,13.8,2023-01-02,1257530
13.85,14.45,13.8,14.45,2023-01-03,3402672
14.7,15.1,14.6,14.9,2023-01-04,3420696
15.0,15.05,14.4,14.8,2023-01-05,2075170
14.8,14.8,14.25,14.55,2023-01-06,1527131
14.65,15.25,14.4,15.25,2023-01-09,4063025
15.75,15.95,14.8,15.0,2023-01-10,2020202
15.5,15.5,14.45,14.6,2023-01-11,1625670
14.6,14.85,14.4,14.5,2023-01-12,815551
14.8,15.2,14.5,15.1,2023-01-13,2523307
15.1,15.35,14.6,15.0,2023-01-16,819127
15.05,15.2,14.35,14.6,2023-01-17,767680
14.65,15.25,13.95,14.7,2023-01-18,3496722
15.05,15.35,14.35,15.25,2023-01-19,3923656
15.4,15.4,14.9,15.2,2023-01-20,2351636
15.5,15.6,14.8,15.05,2023-01-23,2687035
15.35,15.65,15.15,15.35,2023-01-24,3415450
15.55,15.65,14.65,15.1,2023-01-25,2626498
15.35,15.35,14.35,14.35,2023-01-27,1669613
14.3,14.6,13.65,13.7,2023-01-30,3494488
13.55,13.75,13.05,13.05,2023-01-31,5851027
13.2,13.7,12.45,13.3,2023-02-01,4837736
13.0,13.4,12.8,12.95,2023-02-02,1513213
13.15,13.15,12.3,12.3,2023-02-03,4247972
12.9,12.9,12.2,12.85,2023-02-06,2309324
12.9,13.4,12.75,13.2,2023-02-07,1389279
13.45,13.45,12.55,13.2,2023-02-08,3321628
13.3,13.3,12.8,13.1,2023-02-09,359474
13.1,13.2,12.5,12.8,2023-02-10,770082
13.05,13.4,12.95,13.4,2023-02-13,2877917
13.5,14.05,13.4,14.05,2023-02-14,3516487
13.95,14.4,13.35,14.0,2023-02-15,2831212
14.1,14.7,14.1,14.65,2023-02-16,4085695
14.7,15.3,14.6,14.65,2023-02-17,1507063
14.75,15.05,14.25,14.9,2023-02-20,1514037
15.0,15.15,14.6,14.9,2023-02-21,753966
14.65,15.2,14.35,15.05,2023-02-22,2012552
15.05,15.7,14.8,15.55,2023-02-23,3602379
15.5,15.95,15.2,15.85,2023-02-24,2461979
16.0,16.0,15.4,15.65,2023-02-27,1128530
15.8,16.0,15.05,15.8,2023-02-28,2464207
15.7,15.95,15.25,15.8,2023-03-01,2449382
15.75,16.15,15.5,15.85,2023-03-02,2660763
15.9,16.5,15.45,16.25,2023-03-03,4199235
16.3,16.5,15.8,15.95,2023-03-06,2650884
15.9,16.25,15.8,16.1,2023-03-08,2162869
16.2,16.9,15.9,16.9,2023-03-09,8689628
17.0,17.25,16.45,16.65,2023-03-10,5487783
16.4,16.7,15.85,16.3,2023-03-13,4508602
15.9,16.05,15.5,15.5,2023-03-14,1966536
15.2,15.8,14.75,15.55,2023-03-15,4498949
15.4,15.4,14.9,15.0,2023-03-16,1060990
15.1,15.2,14.25,14.3,2023-03-17,3660515
14.8,14.8,13.8,14.15,2023-03-20,2794836
14.3,14.4,13.65,14.1,2023-03-21,3263584
14.0,14.45,13.7,14.1,2023-03-22,2777957
14.0,14.0,13.65,13.9,2023-03-23,3212936
13.75,14.0,13.45,13.85,2023-03-24,1576186
13.95,13.95,13.4,13.65,2023-03-27,1346196
13.65,13.65,13.0,13.0,2023-03-28,2230982
12.45,13.6,12.45,13.05,2023-03-29,2678993
13.2,13.55,13.2,13.5,2023-03-31,962135
13.95,14.15,13.8,14.15,2023-04-03,3549911
14.15,14.8,14.05,14.7,2023-04-05,3631631
14.65,14.65,14.25,14.45,2023-04-06,1914085
14.35,15.15,14.2,15.15,2023-04-10,5454598
15.25,15.9,15.2,15.85,2023-04-11,6410517
16.0,16.6,15.55,16.4,2023-04-12,6037524
16.55,16.7,15.6,15.6,2023-04-13,2861607
15.3,16.25,14.85,16.0,2023-04-17,4862489
16.2,16.5,15.8,16.05,2023-04-18,2657581
16.2,16.7,16.0,16.45,2023-04-19,3822346
16.55,16.7,16.05,16.45,2023-04-20,4127109
16.5,17.25,16.25,17.15,2023-04-21,7782534
17.25,17.25,16.75,17.0,2023-04-24,3362524
17.25,17.25,16.5,16.65,2023-04-25,3065302
16.6,16.7,15.85,15.85,2023-04-26,2852561
15.9,16.45,15.5,16.3,2023-04-27,1057945
16.3,17.1,16.1,16.9,2023-04-28,4998903
16.9,16.9,16.15,16.25,2023-05-02,1497936
16.3,16.65,16.1,16.3,2023-05-03,2960247
16.3,16.5,16.0,16.15,2023-05-04,2911464
16.25,16.25,15.6,16.1,2023-05-05,3119483
16.2,16.55,16.05,16.3,2023-05-08,5766194
16.5,16.9,15.9,16.0,2023-05-09,1877119
16.0,16.1,15.2,15.9,2023-05-10,4874596
16.0,16.35,15.8,16.2,2023-05-11,2175121
16.2,16.5,15.95,16.3,2023-05-12,2176683
16.3,16.8,16.2,16.65,2023-05-15,4158627
16.85,16.95,16.55,16.75,2023-05-16,4883155
16.85,17.1,16.55,16.8,2023-05-17,2476280
16.75,16.95,16.25,16.55,2023-05-18,1468793
16.7,16.7,16.15,16.35,2023-05-19,535963
16.2,16.25,15.8,15.85,2023-05-22,563163
16.1,16.1,15.6,15.75,2023-05-23,2207075
