open,high,low,close,date,volume
1087.6,1088.6,1072.0,1078.55,2022-09-29,28883
1062.35,1096.15,1062.35,1077.85,2022-09-30,16711
1077.85,1096.15,1065.0,1079.1,2022-10-03,16271
1095.2,1095.2,1070.0,1082.4,2022-10-04,11614
1100.0,1103.95,1080.05,1090.25,2022-10-06,10401
1101.0,1101.0,1080.0,1090.8,2022-10-07,4770
1094.85,1102.75,1076.1,1084.4,2022-10-10,6890
1084.4,1103.95,1083.7,1093.7,2022-10-11,5464
1104.0,1115.2,1076.6,1092.35,2022-10-12,19123
1103.25,1114.15,1066.8,1076.5,2022-10-13,15378
1087.75,1114.4,1075.0,1090.95,2022-10-14,21301
1090.95,1090.95,1073.0,1075.55,2022-10-17,5549
1091.6,1091.6,1066.0,1069.5,2022-10-18,6061
1094.85,1094.85,1051.2,1063.65,2022-10-19,14958
1074.3,1093.95,1056.95,1082.65,2022-10-20,10011
1090.0,1161.0,1084.3,1131.2,2022-10-21,217470
1147.0,1147.0,1109.0,1115.45,2022-10-24,15468
1125.6,1130.35,1071.5,1080.7,2022-10-25,10730
1091.5,1094.6,1060.8,1070.7,2022-10-27,20503
1088.0,1088.0,1058.05,1066.2,2022-10-28,7509
1077.95,1108.55,1071.15,1094.6,2022-10-31,25391
1105.55,1116.0,1040.25,1058.3,2022-11-01,23631
1058.3,1088.0,1050.35,1072.1,2022-11-02,9443
1082.8,1082.8,1043.6,1067.05,2022-11-03,4739
1067.05,1077.8,1051.1,1059.35,2022-11-04,11003
1060.0,1080.0,1053.0,1059.5,2022-11-07,13408
1060.0,1076.4,1055.0,1057.4,2022-11-09,11396
1057.95,1065.0,1030.4,1039.45,2022-11-10,33266
1050.8,1062.55,1035.0,1039.45,2022-11-11,12146
1030.15,1058.2,1026.0,1050.5,2022-11-14,9808
1050.5,1060.0,1034.0,1043.15,2022-11-15,6522
1040.05,1054.7,1011.0,1021.4,2022-11-16,11513
1029.95,1040.45,1013.05,1034.15,2022-11-17,10503
1038.05,1075.9,1028.05,1058.8,2022-11-18,14220
1058.8,1079.0,1054.05,1062.15,2022-11-21,25799
