open,high,low,close,date,volume
32.0,32.4,31.1,31.25,2022-09-29,1270144
31.7,32.2,30.95,31.75,2022-09-30,2536270
32.35,32.5,31.5,31.6,2022-10-03,1506558
32.0,32.75,31.85,32.1,2022-10-04,2303540
32.45,33.4,32.25,32.95,2022-10-06,2641406
32.9,33.9,32.7,32.95,2022-10-07,2611475
32.5,34.0,32.15,33.2,2022-10-10,3722490
33.3,33.4,32.2,32.35,2022-10-11,1955921
32.5,32.7,31.8,31.9,2022-10-12,1629687
32.0,32.2,31.5,31.6,2022-10-13,1328541
32.1,32.3,31.3,31.4,2022-10-14,1475398
31.3,31.75,30.9,31.15,2022-10-17,1925839
31.45,31.55,30.9,31.05,2022-10-18,1939657
31.15,31.4,30.55,30.65,2022-10-19,2744908
30.0,31.3,29.95,30.85,2022-10-20,2814353
30.95,31.0,30.0,30.1,2022-10-21,1573333
30.35,30.5,30.05,30.2,2022-10-24,591543
30.2,30.65,29.95,30.05,2022-10-25,1594559
30.25,30.65,29.75,30.05,2022-10-27,2902846
30.1,30.35,29.75,29.85,2022-10-28,1592199
30.4,30.55,29.9,30.2,2022-10-31,1815753
30.25,33.2,30.25,32.0,2022-11-01,14141539
32.4,32.7,31.55,31.8,2022-11-02,2450072
31.7,31.8,30.95,31.05,2022-11-03,1900481
31.3,31.4,30.8,31.0,2022-11-04,1456640
31.2,31.2,30.55,30.7,2022-11-07,1751575
30.8,31.85,30.6,31.0,2022-11-09,2701009
30.75,31.2,30.45,30.6,2022-11-10,1762655
30.95,31.25,30.5,30.6,2022-11-11,2108279
30.65,30.85,30.35,30.55,2022-11-14,2115581
28.95,29.45,28.3,29.3,2022-11-15,4791254
29.4,29.9,28.9,29.05,2022-11-16,3413902
29.0,29.7,28.9,29.45,2022-11-17,3519412
29.7,29.8,29.0,29.55,2022-11-18,1969697
29.5,30.45,29.35,29.9,2022-11-21,2304445
29.95,30.3,29.5,29.65,2022-11-22,1493776
29.5,29.85,29.4,29.5,2022-11-23,1584836
29.6,32.1,29.6,31.25,2022-11-24,9318290
31.25,31.75,31.15,31.2,2022-11-25,1796202
31.2,32.25,31.2,31.6,2022-11-28,3765580
31.8,32.3,31.3,31.35,2022-11-29,2621979
31.45,32.45,31.25,31.9,2022-11-30,3558009
32.2,35.1,32.1,34.15,2022-12-01,16431353
34.2,34.35,33.4,33.9,2022-12-02,3709863
34.1,34.85,33.75,34.45,2022-12-05,4718737
34.3,34.4,33.6,33.7,2022-12-06,3044871
33.9,33.95,32.9,33.1,2022-12-07,2999856
33.25,33.25,32.5,32.6,2022-12-08,2555164
32.8,32.9,31.5,31.7,2022-12-09,3590792
31.6,32.8,31.2,32.5,2022-12-12,5955972
32.7,33.1,32.5,32.65,2022-12-13,4807787
32.85,36.0,32.8,34.7,2022-12-14,17684835
34.6,34.8,33.5,33.65,2022-12-15,6759980
33.25,34.0,32.8,33.0,2022-12-16,5098467
33.0,33.6,32.55,33.2,2022-12-19,5633885
32.95,33.45,32.6,33.05,2022-12-20,6493496
33.25,35.6,31.85,32.4,2022-12-21,15659776
32.85,33.2,31.05,31.95,2022-12-22,8148997
31.55,32.45,30.7,31.65,2022-12-23,9879530
31.75,32.75,31.0,32.15,2022-12-26,7331713
32.2,33.95,32.1,33.5,2022-12-27,11333558
33.5,33.65,32.95,33.1,2022-12-28,6796707
33.1,34.1,32.85,33.4,2022-12-29,6481020
33.6,34.55,33.6,33.9,2022-12-30,6290419
34.15,34.35,33.6,33.75,2023-01-02,5120030
33.9,34.35,33.6,33.85,2023-01-03,5063790
33.8,34.35,33.5,33.85,2023-01-04,4519731
33.95,35.7,33.75,35.35,2023-01-05,9226261
35.6,35.75,34.7,35.65,2023-01-06,7478915
35.95,37.25,34.8,35.1,2023-01-09,9334155
35.2,36.6,34.6,35.9,2023-01-10,8592606
35.95,36.35,35.5,36.0,2023-01-11,4376467
36.1,36.45,35.65,36.05,2023-01-12,4013494
36.15,37.15,36.05,36.2,2023-01-13,5459051
36.3,36.7,36.15,36.4,2023-01-16,3296190
36.5,37.4,36.35,37.1,2023-01-17,5138012
37.3,39.0,36.6,36.95,2023-01-18,13241265
36.55,37.1,36.1,36.25,2023-01-19,3312782
36.45,36.5,35.9,36.1,2023-01-20,2417670
36.2,36.35,36.0,36.2,2023-01-23,2018299
35.95,38.05,35.95,37.9,2023-01-24,7478292
37.6,39.1,37.25,37.55,2023-01-25,8991903
37.3,38.05,34.7,35.55,2023-01-27,6125342
35.0,35.85,33.95,34.55,2023-01-30,5739368
34.9,34.9,33.85,34.4,2023-01-31,3020323
34.85,35.05,33.75,34.05,2023-02-01,5004953
33.8,34.7,33.6,34.15,2023-02-02,2859540
34.25,34.6,32.8,34.15,2023-02-03,3622004
32.4,33.2,32.1,33.05,2023-02-06,4038043
33.0,33.1,32.15,32.35,2023-02-07,1960625
32.6,33.15,32.4,32.6,2023-02-08,1944973
32.6,32.9,32.35,32.6,2023-02-09,1058828
32.25,32.95,32.25,32.6,2023-02-10,1139478
32.35,32.75,31.8,32.05,2023-02-13,1278712
32.25,32.45,31.8,32.25,2023-02-14,1543053
32.45,32.65,32.15,32.4,2023-02-15,1333827
32.55,32.7,31.4,31.55,2023-02-16,1574888
31.5,32.0,31.25,31.5,2023-02-17,1441338
31.75,31.75,30.0,30.65,2023-02-20,2533531
