open,high,low,close,date,volume
349.85,358.3,340.0,341.85,2022-09-29,821
347.4,350.5,340.15,344.7,2022-09-30,1189
342.05,349.7,335.5,336.8,2022-10-03,2685
340.1,347.95,337.05,346.45,2022-10-04,4493
346.65,355.0,346.6,351.5,2022-10-06,391
348.5,352.2,348.5,349.75,2022-10-07,527
349.85,354.9,346.5,346.55,2022-10-10,322
353.4,353.4,341.0,345.0,2022-10-11,726
347.4,349.0,346.0,346.15,2022-10-12,508
345.05,349.55,338.0,339.05,2022-10-13,1802
345.65,347.0,339.05,342.2,2022-10-14,2197
340.05,346.0,336.95,341.65,2022-10-17,1399
342.1,345.5,341.9,342.4,2022-10-18,1253
347.95,351.95,343.2,345.9,2022-10-19,642
340.25,346.8,340.0,341.25,2022-10-20,548
341.9,349.95,341.9,345.0,2022-10-21,690
345.0,350.9,343.5,344.6,2022-10-24,225
347.1,347.1,341.8,344.4,2022-10-25,364
342.35,345.4,340.0,342.7,2022-10-27,826
342.7,346.0,342.0,345.05,2022-10-28,1034
343.2,349.5,342.1,345.25,2022-10-31,956
348.65,352.4,345.2,347.5,2022-11-01,3205
349.85,353.0,344.55,348.05,2022-11-02,1352
352.75,378.8,342.2,352.8,2022-11-03,1218
352.05,360.0,346.65,353.15,2022-11-04,2278
350.2,356.3,346.5,348.45,2022-11-07,3500
355.15,355.75,349.75,351.8,2022-11-09,1283
353.9,356.0,345.5,351.55,2022-11-10,1952
355.95,355.95,351.0,351.75,2022-11-11,277
351.0,351.0,341.0,341.2,2022-11-14,5147
347.95,347.95,336.25,338.1,2022-11-15,1563
344.65,344.65,335.8,337.5,2022-11-16,1035
342.3,342.3,321.0,326.05,2022-11-17,6010
325.8,332.4,323.4,326.65,2022-11-18,1256
326.65,326.65,322.0,323.45,2022-11-21,1262
321.0,323.85,318.05,319.4,2022-11-22,1532
325.55,325.7,315.65,318.2,2022-11-23,1782
320.55,324.4,316.0,316.85,2022-11-24,899
316.05,322.45,312.7,316.55,2022-11-25,2392
322.55,324.95,316.7,317.85,2022-11-28,1688
316.7,321.85,315.25,315.95,2022-11-29,1304
320.5,320.5,316.0,316.45,2022-11-30,1213
316.1,325.95,316.1,320.45,2022-12-01,1310
319.5,320.0,315.25,316.45,2022-12-02,2169
316.95,321.0,315.05,316.4,2022-12-05,2180
316.95,318.0,313.35,314.0,2022-12-06,1215
314.15,337.45,314.05,321.35,2022-12-07,3799
320.0,329.95,320.0,326.1,2022-12-08,1761
322.0,332.5,320.0,323.55,2022-12-09,4409
323.05,327.9,319.0,321.65,2022-12-12,1192
321.0,323.0,318.35,319.3,2022-12-13,1349
315.25,329.0,315.25,327.15,2022-12-14,1611
327.85,329.9,321.8,324.8,2022-12-15,1511
321.1,327.75,321.1,324.25,2022-12-16,874
324.05,324.95,312.2,316.9,2022-12-19,5212
317.0,323.85,315.35,315.75,2022-12-20,1613
316.4,323.95,312.5,313.6,2022-12-21,709
319.85,319.85,304.25,310.65,2022-12-22,2953
305.1,311.95,301.2,304.6,2022-12-23,928
304.6,317.9,304.6,307.15,2022-12-26,751
309.95,314.95,309.95,310.2,2022-12-27,412
307.0,349.8,306.5,332.55,2022-12-28,4337
326.25,337.0,317.65,323.1,2022-12-29,4369
324.95,328.2,324.1,325.35,2022-12-30,1827
327.45,334.85,325.35,330.65,2023-01-02,659
330.05,330.05,322.6,324.6,2023-01-03,1109
324.7,337.0,323.0,325.3,2023-01-04,4712
325.8,332.0,322.15,327.45,2023-01-05,2003
331.9,332.0,323.0,323.75,2023-01-06,1027
326.2,329.65,324.0,324.9,2023-01-09,159
324.3,327.7,322.2,326.5,2023-01-10,59
326.5,329.0,321.5,323.4,2023-01-11,662
323.95,328.0,323.1,325.9,2023-01-12,293
322.0,325.9,322.0,323.05,2023-01-13,557
320.3,325.45,320.25,322.2,2023-01-16,2072
322.2,328.45,322.2,326.55,2023-01-17,1293
326.95,328.05,324.0,324.5,2023-01-18,1370
329.95,330.0,321.0,321.5,2023-01-19,549
321.15,325.9,320.15,323.65,2023-01-20,289
322.6,327.0,316.2,319.4,2023-01-23,669
319.75,327.95,316.7,322.75,2023-01-24,983
322.75,322.75,314.0,319.95,2023-01-25,1485
319.95,320.8,315.05,318.7,2023-01-27,58
319.95,324.8,316.05,316.75,2023-01-30,238
316.95,321.9,316.05,320.4,2023-01-31,712
320.9,323.45,319.4,321.55,2023-02-01,380
320.0,320.0,310.0,314.4,2023-02-02,409
314.95,315.95,304.25,307.3,2023-02-03,798
309.95,311.9,306.3,307.55,2023-02-06,837
312.0,312.0,302.6,305.55,2023-02-07,435
305.55,313.25,305.0,309.05,2023-02-08,849
309.9,319.95,307.55,315.85,2023-02-09,571
310.4,318.0,309.35,316.45,2023-02-10,343
312.65,321.5,305.25,307.0,2023-02-13,1182
305.0,311.95,297.0,300.8,2023-02-14,1200
304.0,304.9,299.0,301.45,2023-02-15,1179
300.45,307.45,300.3,305.0,2023-02-16,1740
304.95,305.95,300.0,301.55,2023-02-17,1096
301.55,305.9,300.0,301.5,2023-02-20,316
300.2,307.2,300.0,303.35,2023-02-21,2112
303.45,303.95,297.0,297.75,2023-02-22,390
297.7,303.95,295.15,299.15,2023-02-23,1352
297.0,305.0,296.45,301.6,2023-02-24,1239
299.9,305.0,293.4,295.6,2023-02-27,1844
295.95,299.7,292.9,294.75,2023-02-28,921
295.95,299.85,295.1,297.6,2023-03-01,641
295.2,303.55,292.1,299.0,2023-03-02,1584
297.0,305.9,294.8,302.5,2023-03-03,283
302.95,303.8,296.0,298.0,2023-03-06,1506
299.95,301.45,298.3,299.7,2023-03-08,230
299.95,314.95,298.0,312.9,2023-03-09,1774
312.45,314.0,305.85,308.65,2023-03-10,1741
307.9,308.0,295.05,296.35,2023-03-13,2641
301.0,304.95,296.5,300.05,2023-03-14,2867
298.75,303.0,298.1,299.9,2023-03-15,308
301.85,302.0,291.0,293.8,2023-03-16,814
293.95,298.45,292.0,296.0,2023-03-17,2320
296.75,298.3,287.5,290.65,2023-03-20,520
