open,high,low,close,date,volume
27.15,27.15,25.7,26.05,2022-09-23,98514
26.05,28.8,23.85,24.55,2022-09-26,156278
25.05,25.35,24.1,24.6,2022-09-27,44624
24.0,24.8,23.95,24.05,2022-09-28,63490
24.1,24.85,23.6,24.05,2022-09-29,39729
23.65,24.35,23.1,23.85,2022-09-30,59517
23.6,24.65,22.2,22.9,2022-10-03,102888
23.55,24.7,23.2,23.5,2022-10-04,73761
23.95,25.5,23.6,24.25,2022-10-06,114564
24.9,24.9,23.75,24.2,2022-10-07,45648
24.2,24.3,23.5,23.8,2022-10-10,37451
24.45,24.45,23.4,23.65,2022-10-11,62518
24.3,24.4,23.15,23.45,2022-10-12,47913
23.4,23.75,22.9,23.1,2022-10-13,26610
23.6,24.0,22.9,23.15,2022-10-14,47748
23.4,23.75,22.85,23.1,2022-10-17,44658
23.45,23.6,22.9,23.0,2022-10-18,34946
23.65,23.65,22.8,23.0,2022-10-19,45448
23.45,23.45,22.5,22.8,2022-10-20,63923
23.35,23.35,22.3,22.5,2022-10-21,62666
23.3,23.7,22.7,23.2,2022-10-24,29391
23.3,23.3,22.5,23.05,2022-10-25,61398
23.3,23.3,22.85,23.1,2022-10-27,16710
23.4,23.6,22.65,22.95,2022-10-28,31284
23.4,23.4,22.4,22.6,2022-10-31,56718
22.1,22.8,21.65,22.3,2022-11-01,73456
22.35,22.6,22.05,22.3,2022-11-02,45165
22.3,22.85,21.8,22.3,2022-11-03,42547
22.7,22.75,22.2,22.5,2022-11-04,28946
22.25,22.65,22.25,22.35,2022-11-07,61797
22.75,23.6,22.35,23.25,2022-11-09,80340
23.5,23.5,22.7,22.8,2022-11-10,27853
23.5,23.5,22.3,22.65,2022-11-11,49591
23.1,23.2,22.1,22.55,2022-11-14,42542
23.15,23.15,22.25,22.45,2022-11-15,36769
22.45,22.9,21.9,22.1,2022-11-16,49443
22.0,22.7,21.9,22.05,2022-11-17,23146
22.65,22.65,21.75,21.9,2022-11-18,44880
22.0,22.15,21.5,21.65,2022-11-21,20757
21.7,22.15,18.8,20.45,2022-11-22,108650
21.0,24.5,21.0,24.5,2022-11-23,285944
25.4,26.1,22.5,23.0,2022-11-24,722808
23.75,24.9,22.6,23.45,2022-11-25,229118
23.9,23.9,22.5,23.25,2022-11-28,73103
23.6,23.6,22.7,23.05,2022-11-29,57626
23.05,24.85,22.5,23.05,2022-11-30,109917
23.75,23.75,22.9,23.15,2022-12-01,88277
23.35,23.55,22.75,23.15,2022-12-02,53333
23.3,23.55,23.05,23.25,2022-12-05,51634
23.75,23.75,23.25,23.5,2022-12-06,53180
23.75,23.75,23.2,23.35,2022-12-07,54572
23.6,23.6,23.3,23.45,2022-12-08,49881
23.8,23.95,22.8,23.15,2022-12-09,49339
23.55,23.55,22.9,22.95,2022-12-12,44096
23.45,23.45,22.8,22.95,2022-12-13,36822
23.1,27.0,22.95,24.25,2022-12-14,639379
24.25,24.75,24.0,24.2,2022-12-15,93452
25.35,25.35,23.35,23.8,2022-12-16,59214
23.8,24.55,23.35,24.0,2022-12-19,89357
24.45,24.55,23.35,23.55,2022-12-20,98076
24.0,24.2,22.25,22.95,2022-12-21,117574
22.8,23.45,20.1,21.75,2022-12-22,208053
21.75,22.15,20.0,20.55,2022-12-23,161512
20.55,21.95,19.65,21.6,2022-12-26,114249
21.95,22.65,21.8,22.0,2022-12-27,56602
22.75,22.75,21.65,22.3,2022-12-28,36676
22.0,22.5,21.7,22.3,2022-12-29,21280
22.5,22.95,22.05,22.4,2022-12-30,60608
22.4,23.4,22.4,22.75,2023-01-02,27965
23.0,24.5,22.5,22.95,2023-01-03,93194
22.95,23.6,22.55,23.0,2023-01-04,81362
23.45,24.0,23.0,23.2,2023-01-05,48328
23.5,23.5,22.25,22.7,2023-01-06,43059
23.75,23.75,22.7,22.8,2023-01-09,30560
23.1,23.15,22.5,22.9,2023-01-10,19433
22.9,23.35,22.4,22.6,2023-01-11,23859
22.6,22.95,22.4,22.6,2023-01-12,24003
22.95,23.0,22.2,22.75,2023-01-13,34930
23.05,23.05,22.3,22.65,2023-01-16,31987
22.9,22.9,22.3,22.4,2023-01-17,17978
22.9,22.9,22.25,22.5,2023-01-18,35027
22.65,22.65,22.1,22.3,2023-01-19,21767
22.75,22.75,22.0,22.1,2023-01-20,48909
22.5,22.5,21.8,22.15,2023-01-23,58052
22.5,22.5,22.0,22.05,2023-01-24,23562
22.05,22.2,21.45,21.5,2023-01-25,23949
21.9,22.3,20.6,21.2,2023-01-27,30566
21.2,21.95,20.6,20.95,2023-01-30,27153
21.0,21.8,20.5,21.2,2023-01-31,35451
22.35,23.95,21.0,21.35,2023-02-01,291528
21.8,21.95,21.15,21.65,2023-02-02,41405
21.95,22.5,21.0,21.3,2023-02-03,27162
22.05,22.05,20.5,21.0,2023-02-06,69008
21.6,21.6,20.6,20.9,2023-02-07,42128
21.4,21.4,19.25,20.85,2023-02-08,44934
21.35,21.35,20.65,20.75,2023-02-09,40114
21.1,21.3,20.7,20.8,2023-02-10,17516
21.35,21.35,20.45,20.6,2023-02-13,18804
20.8,20.8,20.0,20.05,2023-02-14,31844
20.05,20.3,19.4,19.7,2023-02-15,37468
20.15,20.15,19.5,19.7,2023-02-16,36221
19.95,20.05,18.65,19.55,2023-02-17,44539
20.55,20.55,19.55,19.7,2023-02-20,28009
19.75,21.0,19.75,20.1,2023-02-21,50733
20.25,20.25,19.45,19.55,2023-02-22,30756
19.95,19.95,19.1,19.15,2023-02-23,33555
19.2,20.45,19.15,19.35,2023-02-24,24733
19.05,19.55,18.35,18.6,2023-02-27,59882
18.9,19.0,18.0,18.15,2023-02-28,60433
18.05,19.4,18.0,18.7,2023-03-01,54179
19.15,19.85,18.5,19.0,2023-03-02,34198
19.25,19.4,18.5,18.85,2023-03-03,44690
18.85,19.35,18.7,19.0,2023-03-06,41201
18.75,19.2,18.7,18.85,2023-03-08,23269
19.25,19.25,18.65,18.95,2023-03-09,25023
19.1,19.1,18.35,18.9,2023-03-10,24606
18.9,19.1,18.5,18.55,2023-03-13,32199
18.55,18.65,17.5,17.95,2023-03-14,70642
17.65,18.9,17.65,17.85,2023-03-15,42886
17.85,18.15,17.2,17.35,2023-03-16,69877
18.15,18.15,17.35,17.6,2023-03-17,23640
17.3,18.1,17.3,17.45,2023-03-20,21651
17.8,17.8,17.15,17.45,2023-03-21,31679
17.8,18.1,17.4,17.75,2023-03-22,12450
17.8,18.0,17.45,17.55,2023-03-23,40250
17.9,17.9,16.55,17.0,2023-03-24,31614
17.3,17.3,15.95,16.1,2023-03-27,69330
16.1,16.1,14.7,15.05,2023-03-28,75019
15.35,17.5,15.35,16.1,2023-03-29,74025
16.1,17.5,16.1,17.05,2023-03-31,53172
17.9,17.9,16.25,17.25,2023-04-03,63476
17.85,18.1,17.5,17.95,2023-04-05,31761
18.2,18.8,17.35,18.35,2023-04-06,47667
18.75,20.9,18.55,19.4,2023-04-10,344358
20.0,21.5,19.5,20.2,2023-04-11,410871
20.95,20.95,19.65,19.95,2023-04-12,65843
20.25,20.25,19.55,19.7,2023-04-13,31985
19.75,19.85,19.3,19.5,2023-04-17,31754
19.65,19.65,19.0,19.1,2023-04-18,35978
19.05,19.45,19.0,19.05,2023-04-19,17755
19.05,20.15,18.65,19.4,2023-04-20,59850
19.7,19.9,19.15,19.25,2023-04-21,17937
19.55,19.55,18.8,18.95,2023-04-24,29650
18.95,19.3,18.7,18.9,2023-04-25,29982
18.9,19.15,18.2,18.75,2023-04-26,32548
18.95,19.5,18.3,18.9,2023-04-27,23753
19.5,19.5,18.7,18.95,2023-04-28,38520
19.4,19.4,18.7,19.0,2023-05-02,22897
19.35,21.4,19.3,20.2,2023-05-03,180582
20.2,20.55,19.85,19.95,2023-05-04,35762
20.6,20.95,19.5,20.25,2023-05-05,61862
20.25,21.9,20.05,20.9,2023-05-08,147028
21.8,21.8,20.3,20.45,2023-05-09,54701
20.85,21.2,20.35,20.8,2023-05-10,49551
21.25,21.25,20.0,20.4,2023-05-11,35388
20.4,21.0,20.25,20.5,2023-05-12,26501
20.95,21.0,20.35,20.55,2023-05-15,29596
20.8,20.8,20.0,20.2,2023-05-16,31772
20.6,20.6,20.0,20.1,2023-05-17,29202
20.45,20.45,20.0,20.05,2023-05-18,22975
20.35,20.35,18.65,19.25,2023-05-19,81324
19.25,20.25,19.1,19.5,2023-05-22,34585
19.25,19.85,19.15,19.4,2023-05-23,26030
19.8,19.8,19.25,19.5,2023-05-24,26632
20.65,20.65,18.55,19.65,2023-05-25,21383
20.05,20.05,18.95,19.45,2023-05-26,40228
19.55,19.75,19.0,19.15,2023-05-29,46652
19.6,20.25,19.15,19.95,2023-05-30,60566
20.4,20.6,19.3,19.65,2023-05-31,77899
19.6,20.2,19.5,19.7,2023-06-01,32270
19.7,20.2,19.15,19.8,2023-06-02,53235
20.2,20.2,19.75,19.8,2023-06-05,28597
20.05,20.05,19.5,19.75,2023-06-06,35999
19.95,21.95,19.8,21.25,2023-06-07,256651
22.0,22.0,20.65,20.9,2023-06-08,138894
20.85,21.4,20.7,20.8,2023-06-09,56339
20.8,21.6,20.8,21.05,2023-06-12,106714
21.55,22.9,21.1,21.9,2023-06-13,371534
22.15,22.25,21.45,21.55,2023-06-14,107928
21.95,21.95,21.0,21.35,2023-06-15,65224
21.7,21.75,21.35,21.4,2023-06-16,76698
21.4,21.85,21.1,21.45,2023-06-19,63688
21.9,22.0,21.3,21.8,2023-06-20,157431
22.25,22.45,21.65,21.8,2023-06-21,81530
22.35,22.35,21.5,21.55,2023-06-22,49147
21.95,21.95,21.55,21.65,2023-06-23,27305
21.5,21.75,20.3,20.85,2023-06-26,100005
20.9,21.6,20.9,21.4,2023-06-27,48397
21.85,21.85,21.0,21.2,2023-06-28,64716
21.85,21.85,21.35,21.45,2023-06-30,67133
21.85,21.95,21.1,21.35,2023-07-03,46261
21.8,22.35,21.4,21.55,2023-07-04,132263
21.9,21.95,21.35,21.45,2023-07-05,55940
21.8,22.05,21.4,21.55,2023-07-06,83066
21.7,22.0,21.35,21.55,2023-07-07,69705
21.8,21.85,20.8,21.25,2023-07-10,79965
21.6,21.6,19.6,20.55,2023-07-11,103638
20.85,20.9,20.2,20.5,2023-07-12,68182
20.95,22.5,20.5,21.4,2023-07-13,253649
21.95,22.15,21.3,21.6,2023-07-14,88797
21.95,24.6,21.1,24.05,2023-07-17,970630
24.4,25.2,23.5,23.75,2023-07-18,441250
24.1,24.85,23.8,24.15,2023-07-19,227975
24.25,24.55,23.1,23.55,2023-07-20,186728
23.6,26.3,23.4,26.05,2023-07-21,881785
26.5,31.25,26.15,29.05,2023-07-24,2937128
29.95,31.5,27.8,29.3,2023-07-25,1429172
29.55,30.85,28.05,28.25,2023-07-26,478208
24.0,25.0,23.25,24.05,2023-10-30,192611
24.35,24.85,24.0,24.15,2023-10-31,100874
24.45,24.6,23.8,23.9,2023-11-01,65198
23.95,24.25,23.4,23.55,2023-11-02,67412
24.0,24.2,23.4,23.55,2023-11-03,50135
23.6,28.0,23.6,25.9,2023-11-06,1047209
26.1,27.3,26.1,26.65,2023-11-07,322915
27.05,27.15,24.7,26.0,2023-11-08,346954
25.1,25.7,24.3,24.5,2023-11-09,254260
24.05,25.4,24.0,24.2,2023-11-10,134111
24.65,25.0,24.2,24.6,2023-11-12,65131
24.4,26.3,24.35,25.6,2023-11-13,378980
25.75,26.8,25.5,26.1,2023-11-15,272211
26.25,26.35,25.0,25.5,2023-11-16,205369
25.75,29.5,25.55,28.95,2023-11-17,2482074
29.9,31.65,28.35,29.0,2023-11-20,1574075
29.25,30.9,28.3,28.8,2023-11-21,759942
29.0,29.6,27.3,27.9,2023-11-22,277097
28.2,28.55,27.35,27.8,2023-11-23,144830
27.85,30.2,27.85,28.35,2023-11-24,373689
29.65,29.65,28.5,29.05,2023-11-28,427606
29.3,29.3,28.05,28.15,2023-11-29,173490
28.5,28.5,27.15,27.45,2023-11-30,128753
27.45,28.25,27.0,27.2,2023-12-01,140209
27.6,28.3,27.25,27.6,2023-12-04,141097
28.25,28.3,25.7,26.65,2023-12-05,257957
26.7,27.4,26.5,27.05,2023-12-06,133373
27.5,27.7,27.0,27.5,2023-12-07,136187
27.55,27.95,26.9,27.0,2023-12-08,119177
27.7,27.7,26.5,26.9,2023-12-11,158325
27.0,32.25,27.0,32.25,2023-12-12,2914158
34.0,38.7,33.4,38.65,2023-12-13,5396389
39.5,39.9,35.0,35.15,2023-12-14,2562780
36.55,37.4,34.5,35.55,2023-12-15,949635
