open,high,low,close,date,volume
6.1,6.15,6.0,6.0,2022-09-23,133450
6.0,6.1,5.7,5.8,2022-09-26,170420
5.85,5.95,5.8,5.9,2022-09-27,74207
6.0,6.0,5.7,5.8,2022-09-28,96440
5.8,6.0,5.8,5.95,2022-09-29,90738
5.95,6.1,5.85,5.9,2022-09-30,151248
6.0,6.0,5.85,5.9,2022-10-03,67362
5.95,6.0,5.85,5.9,2022-10-04,64419
6.0,6.0,5.85,5.9,2022-10-06,120479
6.0,6.0,5.8,5.85,2022-10-07,143793
5.95,5.95,5.75,5.8,2022-10-10,230446
5.8,5.9,5.75,5.75,2022-10-11,136347
5.85,5.85,5.75,5.75,2022-10-12,114250
5.8,5.85,5.7,5.75,2022-10-13,84315
5.8,5.8,5.65,5.7,2022-10-14,87498
5.6,5.7,5.45,5.5,2022-10-17,204486
5.55,5.55,5.4,5.45,2022-10-18,160985
5.5,5.55,5.45,5.5,2022-10-19,138377
5.7,5.7,5.5,5.55,2022-10-20,105674
5.65,5.7,5.6,5.65,2022-10-21,94247
5.8,5.85,5.6,5.75,2022-10-24,56398
5.75,5.75,5.6,5.6,2022-10-25,122667
5.7,5.7,5.5,5.5,2022-10-27,71796
5.55,5.65,5.45,5.6,2022-10-28,84016
5.6,5.75,5.5,5.6,2022-10-31,150713
5.75,5.75,5.4,5.5,2022-11-01,291236
5.5,5.55,5.35,5.4,2022-11-02,115770
5.45,5.55,5.4,5.5,2022-11-03,136850
5.55,5.55,5.4,5.4,2022-11-04,129005
5.45,5.55,5.35,5.35,2022-11-07,267048
5.4,5.5,4.95,5.2,2022-11-09,309601
5.35,5.4,5.25,5.35,2022-11-10,126996
5.45,5.45,5.15,5.35,2022-11-11,111339
5.4,5.4,5.2,5.3,2022-11-14,82602
5.35,5.35,5.2,5.2,2022-11-15,104454
5.25,5.25,5.1,5.15,2022-11-16,104842
5.1,5.2,5.05,5.05,2022-11-17,165157
5.05,5.1,5.0,5.05,2022-11-18,130731
5.05,5.1,4.95,4.95,2022-11-21,115777
5.2,5.2,4.95,5.0,2022-11-22,143397
