open,high,low,close,date,volume
840.1,889.0,828.2,869.1,2022-09-29,306502
873.45,899.2,860.0,885.65,2022-09-30,71418
885.0,896.0,870.0,878.75,2022-10-03,30321
877.0,889.75,870.7,880.3,2022-10-04,32281
880.3,895.25,875.05,889.75,2022-10-06,28698
888.0,889.0,877.3,881.15,2022-10-07,23911
882.0,882.35,870.0,878.45,2022-10-10,16157
878.45,880.95,860.1,863.25,2022-10-11,18081
860.85,867.6,850.0,855.15,2022-10-12,28228
855.15,856.15,840.7,844.7,2022-10-13,19674
844.0,875.0,842.05,847.5,2022-10-14,22890
851.0,863.55,837.05,858.5,2022-10-17,24857
856.7,869.95,855.55,867.4,2022-10-18,22242
869.8,869.9,860.0,861.3,2022-10-19,7596
866.0,894.7,851.05,885.15,2022-10-20,208010
879.0,881.25,850.0,854.5,2022-10-21,36959
867.0,869.0,851.0,859.7,2022-10-24,10215
859.8,864.0,839.15,843.85,2022-10-25,35613
860.0,860.0,841.25,844.3,2022-10-27,13024
848.55,849.95,840.05,842.95,2022-10-28,8748
847.2,847.2,837.0,837.6,2022-10-31,13712
838.05,843.8,832.0,835.5,2022-11-01,23584
839.7,843.95,835.0,836.7,2022-11-02,12967
836.7,842.95,820.6,823.1,2022-11-03,55495
827.25,843.0,824.0,837.8,2022-11-04,20504
842.0,844.5,836.55,842.35,2022-11-07,14646
844.4,853.45,841.0,847.75,2022-11-09,25318
845.4,847.5,829.15,841.65,2022-11-10,18172
841.0,849.7,834.4,841.0,2022-11-11,31087
845.25,856.0,838.25,842.2,2022-11-14,41622
846.45,854.0,840.55,851.0,2022-11-15,18447
855.3,858.25,841.0,844.0,2022-11-16,14998
848.25,850.0,839.0,843.55,2022-11-17,13544
842.65,844.95,832.0,835.35,2022-11-18,18515
835.35,850.95,835.35,845.3,2022-11-21,14227
848.95,852.45,838.1,848.55,2022-11-22,17652
849.95,855.75,844.0,849.2,2022-11-23,11660
853.45,855.5,844.7,852.65,2022-11-24,12207
852.2,891.65,852.2,880.6,2022-11-25,48471
878.2,914.0,876.8,909.3,2022-11-28,58213
911.85,918.0,875.6,887.15,2022-11-29,40843
886.95,905.55,886.45,900.55,2022-11-30,21365
895.0,930.0,895.0,917.7,2022-12-01,55130
922.3,939.0,910.6,931.05,2022-12-02,31845
943.95,949.0,935.0,938.5,2022-12-05,23566
925.0,934.0,915.8,919.1,2022-12-06,23309
919.95,926.4,913.9,916.25,2022-12-07,10366
923.1,942.6,918.55,931.6,2022-12-08,22135
933.6,940.65,902.55,931.7,2022-12-09,34376
932.0,934.0,918.3,930.6,2022-12-12,16304
934.6,939.25,923.5,929.2,2022-12-13,19964
921.1,945.0,921.1,931.95,2022-12-14,18223
933.15,944.0,917.0,924.4,2022-12-15,20597
935.0,935.0,899.45,905.25,2022-12-16,24174
910.0,929.35,910.0,925.05,2022-12-19,16425
929.7,929.7,907.0,915.25,2022-12-20,22749
915.25,930.05,897.35,900.45,2022-12-21,23060
895.3,901.7,870.0,886.15,2022-12-22,23743
870.0,884.8,870.0,879.7,2022-12-23,21944
884.1,909.55,884.1,894.75,2022-12-26,30439
902.0,907.95,891.0,902.2,2022-12-27,9748
902.2,910.0,896.85,903.1,2022-12-28,8530
899.3,904.25,893.0,893.8,2022-12-29,7079
898.3,907.15,895.95,904.9,2022-12-30,5011
913.55,934.5,907.2,929.2,2023-01-02,33096
933.8,939.9,907.6,933.05,2023-01-03,13511
937.0,945.0,927.6,934.85,2023-01-04,19441
935.2,949.9,929.8,938.15,2023-01-05,31644
938.0,984.0,933.05,967.15,2023-01-06,155403
979.1,997.0,973.7,990.35,2023-01-09,69285
993.95,999.9,983.0,992.4,2023-01-10,37552
986.0,1006.0,983.05,1000.3,2023-01-11,33732
1000.55,1004.0,960.25,971.15,2023-01-12,25089
975.0,988.15,969.0,978.6,2023-01-13,19861
978.6,984.45,950.0,958.85,2023-01-16,28831
969.0,970.05,948.35,953.95,2023-01-17,24169
953.95,963.85,953.0,955.95,2023-01-18,17598
952.8,983.0,952.8,960.65,2023-01-19,46238
957.4,969.0,955.4,966.75,2023-01-20,13044
968.6,984.0,960.5,972.9,2023-01-23,25615
977.8,980.6,956.0,958.0,2023-01-24,11250
958.5,960.9,928.0,933.75,2023-01-25,27614
935.25,950.0,922.55,947.05,2023-01-27,16241
949.8,965.0,949.8,957.05,2023-01-30,22699
947.0,972.95,942.95,960.5,2023-01-31,30996
965.35,969.9,948.0,958.2,2023-02-01,28551
950.0,994.05,948.05,961.35,2023-02-02,54039
960.0,970.0,950.45,956.75,2023-02-03,17164
961.55,972.0,955.0,966.45,2023-02-06,19720
969.15,991.0,960.35,965.25,2023-02-07,86960
977.7,1126.6,953.0,1047.85,2023-02-08,1113067
1065.85,1065.85,1011.55,1030.8,2023-02-09,356755
1037.95,1040.25,1020.0,1031.1,2023-02-10,122058
1035.0,1054.0,1021.05,1047.95,2023-02-13,118020
1052.0,1068.15,1040.6,1055.25,2023-02-14,99832
1055.0,1055.35,1044.15,1051.85,2023-02-15,39743
1055.0,1059.9,1046.7,1050.35,2023-02-16,33209
1049.5,1062.75,1041.55,1055.55,2023-02-17,62603
1070.0,1070.0,1040.0,1060.15,2023-02-20,37826
1065.0,1136.0,1062.05,1110.05,2023-02-21,1051922
1119.7,1152.0,1107.0,1134.7,2023-02-22,605644
1134.7,1145.0,1103.2,1115.0,2023-02-23,132263
1120.9,1129.9,1112.0,1125.8,2023-02-24,118758
1150.0,1153.95,1128.5,1144.8,2023-02-27,242733
1150.55,1175.0,1145.1,1169.3,2023-02-28,232596
1189.0,1219.0,1165.15,1174.75,2023-03-01,369098
1182.5,1184.0,1167.0,1172.75,2023-03-02,83991
1179.0,1179.0,1144.0,1153.15,2023-03-03,108111
1157.7,1199.1,1154.8,1188.45,2023-03-06,210999
1187.5,1187.5,1170.0,1172.35,2023-03-08,47295
1177.0,1183.2,1148.0,1153.5,2023-03-09,56935
1147.15,1148.3,1121.0,1124.15,2023-03-10,62211
1128.45,1133.35,1080.0,1093.45,2023-03-13,95215
1115.0,1119.0,1077.45,1088.05,2023-03-14,69851
1093.5,1118.0,1090.05,1115.0,2023-03-15,53007
1100.0,1132.0,1086.5,1124.8,2023-03-16,81295
1149.0,1154.65,1132.0,1138.7,2023-03-17,104865
1150.0,1165.4,1125.5,1130.8,2023-03-20,108322
1142.05,1148.35,1125.75,1128.45,2023-03-21,56634
1137.0,1137.0,1118.0,1119.75,2023-03-22,40992
1124.0,1124.95,1108.95,1110.55,2023-03-23,36643
1116.85,1116.85,1080.0,1085.2,2023-03-24,62951
1094.9,1103.95,1076.0,1084.2,2023-03-27,64454
1093.45,1099.8,1074.0,1084.95,2023-03-28,98029
1023.95,1043.35,1000.15,1022.55,2023-03-29,273328
1013.5,1035.0,1000.2,1014.15,2023-03-31,51335
1014.0,1017.5,998.05,1003.2,2023-04-03,48025
1003.2,1014.15,998.0,1002.4,2023-04-05,44090
1005.1,1007.9,991.25,996.85,2023-04-06,41138
989.95,989.95,960.0,962.4,2023-04-10,100199
967.95,988.3,966.6,984.2,2023-04-11,82230
990.05,1013.0,987.45,1002.4,2023-04-12,57704
1005.65,1014.9,993.0,995.8,2023-04-13,35034
996.0,1010.35,981.0,999.45,2023-04-17,57761
1009.7,1010.0,992.1,997.4,2023-04-18,28176
996.0,1002.1,981.0,988.75,2023-04-19,37735
988.25,998.7,988.25,995.0,2023-04-20,69294
1002.85,1002.85,984.0,985.2,2023-04-21,20068
1000.0,1000.0,975.55,990.65,2023-04-24,57035
1001.95,1005.25,982.1,993.3,2023-04-25,48130
998.3,998.3,986.55,993.75,2023-04-26,25113
