open,high,low,close,date,volume
551.0,559.65,545.7,556.4,2022-09-29,478621
552.2,562.0,551.9,560.6,2022-09-30,166770
561.45,568.9,555.0,557.45,2022-10-03,343828
562.55,566.25,558.0,564.35,2022-10-04,287258
565.2,572.5,562.15,568.55,2022-10-06,150783
569.0,571.05,560.8,564.1,2022-10-07,419195
560.05,566.25,556.1,561.45,2022-10-10,162581
561.05,569.05,556.45,564.9,2022-10-11,901869
564.9,565.45,553.15,555.15,2022-10-12,497016
551.55,557.2,544.0,549.8,2022-10-13,277241
553.55,556.8,548.5,550.8,2022-10-14,216015
550.8,552.8,536.25,538.2,2022-10-17,576883
538.2,557.3,535.1,554.25,2022-10-18,518911
549.2,606.95,549.2,589.25,2022-10-19,4217656
577.5,600.0,575.15,579.7,2022-10-20,1085742
582.0,595.05,575.15,578.65,2022-10-21,379060
582.0,584.9,574.15,575.05,2022-10-24,55170
577.45,592.5,575.05,589.3,2022-10-25,365323
588.5,598.3,584.85,594.9,2022-10-27,373879
597.0,616.75,590.5,613.2,2022-10-28,1273495
617.5,632.75,614.45,631.3,2022-10-31,1058988
632.0,636.4,623.0,628.0,2022-11-01,376322
627.0,646.0,623.5,643.4,2022-11-02,752947
642.4,648.0,635.2,639.15,2022-11-03,403799
642.35,642.5,609.65,621.45,2022-11-04,637989
622.0,627.9,616.2,625.7,2022-11-07,451805
625.5,625.5,612.0,619.35,2022-11-09,439587
613.3,622.5,600.15,606.25,2022-11-10,270455
614.95,624.0,609.6,616.6,2022-11-11,358096
618.7,625.35,611.6,622.35,2022-11-14,359746
626.6,634.1,617.75,628.05,2022-11-15,748001
629.85,634.8,604.5,608.45,2022-11-16,1232807
610.8,620.25,606.15,611.25,2022-11-17,463797
611.95,617.3,597.0,601.05,2022-11-18,579928
603.4,604.7,594.85,600.2,2022-11-21,248019
601.15,603.0,593.25,600.25,2022-11-22,343081
603.25,619.0,597.0,617.35,2022-11-23,726718
622.45,626.65,606.35,609.75,2022-11-24,587686
612.8,614.3,607.45,608.75,2022-11-25,189378
609.8,612.7,600.0,602.6,2022-11-28,276562
604.95,607.8,593.2,600.8,2022-11-29,378282
603.95,610.0,597.0,607.6,2022-11-30,434600
609.95,614.8,603.45,608.8,2022-12-01,276463
611.45,611.45,596.0,602.6,2022-12-02,329356
603.15,605.5,598.0,600.55,2022-12-05,181610
603.0,603.0,594.0,598.7,2022-12-06,269959
595.0,597.5,586.7,590.05,2022-12-07,254608
590.2,592.35,584.55,586.65,2022-12-08,221076
591.5,592.8,581.05,585.4,2022-12-09,198172
585.4,594.0,580.75,591.5,2022-12-12,168873
594.45,594.45,578.0,579.95,2022-12-13,322971
580.3,585.1,578.4,580.55,2022-12-14,227523
580.7,584.3,575.55,578.2,2022-12-15,230537
578.2,579.5,570.25,578.0,2022-12-16,313445
578.0,580.95,570.35,575.3,2022-12-19,133154
570.0,576.9,567.3,573.5,2022-12-20,186759
573.5,584.45,573.0,578.3,2022-12-21,268143
578.55,581.0,569.0,574.7,2022-12-22,306291
570.05,583.9,568.05,578.9,2022-12-23,675899
578.9,581.6,571.0,574.95,2022-12-26,138617
577.85,581.4,570.25,574.6,2022-12-27,195764
574.65,586.9,567.65,580.8,2022-12-28,514933
577.6,579.5,563.0,577.5,2022-12-29,652032
580.5,592.0,578.75,585.55,2022-12-30,591453
588.6,590.95,576.0,579.75,2023-01-02,225172
580.0,593.0,577.3,590.1,2023-01-03,519158
592.35,596.95,588.3,590.6,2023-01-04,384847
592.0,594.9,585.3,591.3,2023-01-05,202681
593.0,603.25,592.2,596.1,2023-01-06,384412
598.0,602.4,591.65,601.05,2023-01-09,301509
600.7,615.0,597.5,612.8,2023-01-10,608866
616.0,626.55,611.55,620.8,2023-01-11,715511
623.95,624.4,608.05,612.55,2023-01-12,277835
615.8,618.5,607.1,617.4,2023-01-13,304784
611.5,615.8,602.3,606.4,2023-01-16,618202
604.0,613.0,600.3,603.95,2023-01-17,639185
602.25,613.8,601.05,612.3,2023-01-18,343407
606.8,613.75,600.5,602.35,2023-01-19,335237
603.0,608.1,602.0,605.15,2023-01-20,220094
602.6,609.9,600.1,605.2,2023-01-23,250522
603.0,606.9,577.2,581.05,2023-01-24,603379
580.55,581.35,570.0,572.0,2023-01-25,419602
574.9,581.7,562.85,566.4,2023-01-27,233942
566.45,576.95,559.0,567.4,2023-01-30,253848
570.05,572.75,557.05,562.3,2023-01-31,3181088
572.9,583.4,563.25,566.45,2023-02-01,2446363
568.4,573.5,560.05,562.35,2023-02-02,670720
561.05,572.0,559.3,566.7,2023-02-03,814270
569.0,569.3,560.0,561.85,2023-02-06,329723
563.0,565.4,546.65,550.95,2023-02-07,1323040
547.5,563.35,545.0,561.6,2023-02-08,1424199
556.0,577.25,555.6,571.1,2023-02-09,620579
569.95,574.35,560.0,566.5,2023-02-10,324906
565.0,568.55,560.8,563.35,2023-02-13,159158
558.2,568.95,556.05,563.3,2023-02-14,468449
559.1,569.55,558.0,568.1,2023-02-15,287360
569.5,574.95,562.15,572.2,2023-02-16,265280
570.0,572.95,563.6,567.45,2023-02-17,252990
570.4,572.7,562.85,565.35,2023-02-20,328716
562.2,585.9,562.2,575.6,2023-02-21,920880
574.05,584.5,572.4,579.3,2023-02-22,760590
579.3,587.95,574.45,584.7,2023-02-23,739843
584.75,586.75,563.85,566.45,2023-02-24,464722
566.45,574.2,563.15,571.9,2023-02-27,318460
570.35,582.0,567.6,580.75,2023-02-28,639989
580.5,593.1,580.5,586.85,2023-03-01,737823
586.85,589.4,575.0,576.55,2023-03-02,313987
577.8,581.7,574.05,574.9,2023-03-03,210000
575.1,590.5,575.1,587.9,2023-03-06,297983
583.7,587.35,575.15,576.5,2023-03-08,375435
576.5,582.45,570.55,575.95,2023-03-09,274034
574.3,582.9,568.05,581.2,2023-03-10,230605
583.45,583.45,569.65,577.9,2023-03-13,441939
577.7,583.75,570.5,579.35,2023-03-14,552070
579.45,592.85,579.35,586.1,2023-03-15,386014
576.25,588.65,576.05,579.45,2023-03-16,380412
581.0,589.9,575.55,578.15,2023-03-17,621421
579.15,586.0,569.75,575.65,2023-03-20,293622
575.5,580.7,574.1,578.6,2023-03-21,425374
581.5,584.15,573.3,576.7,2023-03-22,159287
577.0,584.0,577.0,579.25,2023-03-23,438711
580.2,581.8,573.05,575.2,2023-03-24,234182
575.2,580.65,571.05,577.35,2023-03-27,438711
577.75,582.65,574.7,577.15,2023-03-28,286173
573.6,580.5,573.6,578.95,2023-03-29,227435
578.95,601.5,578.05,594.5,2023-03-31,600936
597.6,597.6,576.55,586.15,2023-04-03,580729
586.15,598.1,582.55,594.95,2023-04-05,513436
595.05,605.5,589.35,604.65,2023-04-06,461840
604.65,605.85,595.8,603.1,2023-04-10,349695
603.1,613.9,601.75,611.2,2023-04-11,617898
611.2,623.65,610.85,621.5,2023-04-12,655805
621.55,621.85,607.9,616.15,2023-04-13,770915
615.0,620.8,609.0,611.6,2023-04-17,438299
610.05,622.0,605.9,617.85,2023-04-18,481929
620.7,626.65,614.1,615.85,2023-04-19,389991
615.0,621.15,610.1,616.5,2023-04-20,289870
619.55,620.7,612.0,617.1,2023-04-21,302534
620.3,623.0,611.2,620.1,2023-04-24,336799
621.5,630.6,619.0,625.75,2023-04-25,820638
627.8,632.7,621.5,624.4,2023-04-26,447898
644.6,660.0,632.0,649.85,2023-04-27,3807008
655.0,685.7,653.0,677.0,2023-04-28,2793922
677.8,699.5,677.8,694.8,2023-05-02,1896776
692.2,706.2,686.25,689.25,2023-05-03,1037899
689.0,698.5,684.3,690.2,2023-05-04,549317
691.5,706.0,688.05,695.55,2023-05-05,1141273
696.4,708.8,690.55,697.8,2023-05-08,924642
700.0,712.0,698.6,702.4,2023-05-09,1054242
703.0,709.2,694.55,701.15,2023-05-10,610311
701.95,710.35,700.5,707.9,2023-05-11,559967
709.5,718.9,697.85,699.6,2023-05-12,703569
699.55,702.4,689.3,699.2,2023-05-15,492725
698.5,700.7,691.95,695.4,2023-05-16,301314
691.1,694.4,682.15,691.85,2023-05-17,479899
693.0,709.0,692.15,699.15,2023-05-18,629443
700.85,705.0,691.6,701.0,2023-05-19,467474
691.0,701.9,690.95,699.4,2023-05-22,286310
703.1,703.1,694.2,699.25,2023-05-23,402249
696.7,715.0,696.0,708.8,2023-05-24,820829
710.75,719.45,706.75,712.75,2023-05-25,520663
712.7,723.8,710.85,718.05,2023-05-26,570018
721.8,724.5,708.4,714.5,2023-05-29,336097
711.5,723.1,708.7,714.95,2023-05-30,363872
714.95,727.95,713.1,725.0,2023-05-31,1302002
729.0,729.65,720.0,726.55,2023-06-01,450379
723.1,729.9,716.0,720.5,2023-06-02,552699
722.0,725.35,719.3,721.3,2023-06-05,409494
720.0,740.45,719.15,734.5,2023-06-06,429117
740.95,746.75,730.05,733.25,2023-06-07,533841
733.25,736.95,718.35,723.2,2023-06-08,464498
723.05,736.8,721.0,728.05,2023-06-09,298909
733.0,739.5,725.65,735.8,2023-06-12,409823
738.9,741.2,733.95,738.8,2023-06-13,357423
738.8,745.0,737.65,743.5,2023-06-14,224554
743.6,755.95,743.45,749.65,2023-06-15,582031
748.75,750.75,740.0,742.4,2023-06-16,264238
742.0,750.6,741.55,743.25,2023-06-19,241242
743.25,752.5,743.25,748.4,2023-06-20,200016
751.3,751.75,742.9,745.45,2023-06-21,201677
745.45,745.45,726.65,728.2,2023-06-22,318517
728.0,728.95,717.05,727.45,2023-06-23,375213
729.95,729.95,720.8,726.95,2023-06-26,306744
726.95,735.2,724.0,729.0,2023-06-27,375425
729.05,783.1,724.05,759.6,2023-06-28,1371282
759.0,775.45,750.25,765.05,2023-06-30,905360
765.2,768.1,753.9,759.6,2023-07-03,316286
755.2,762.95,738.25,741.25,2023-07-04,728906
750.95,760.7,740.35,754.95,2023-07-05,698912
758.9,769.9,751.5,767.45,2023-07-06,546920
765.95,769.0,756.9,762.55,2023-07-07,351765
765.0,765.0,754.55,757.55,2023-07-10,313125
760.0,769.0,755.35,762.1,2023-07-11,343381
766.95,782.0,759.4,780.45,2023-07-12,827549
787.0,787.0,765.15,767.4,2023-07-13,583847
770.0,779.75,761.2,777.35,2023-07-14,412958
779.45,788.95,777.65,783.6,2023-07-17,491169
784.8,787.4,776.55,780.95,2023-07-18,405335
778.95,780.15,763.5,769.8,2023-07-19,437745
769.8,791.2,765.95,781.65,2023-07-20,858068
781.65,786.0,773.55,777.55,2023-07-21,195503
777.05,783.4,771.0,773.25,2023-07-24,295804
775.1,779.25,765.3,776.75,2023-07-25,533372
778.0,779.9,755.5,762.3,2023-07-26,662877
780.95,813.0,766.85,807.05,2023-07-27,4656626
807.2,826.95,807.15,824.9,2023-07-28,1344141
824.9,824.9,793.0,796.1,2023-07-31,1076381
795.0,815.15,792.05,806.15,2023-08-01,793336
809.0,819.0,798.4,801.7,2023-08-02,812424
800.45,812.2,794.8,798.6,2023-08-03,295099
804.9,814.95,800.0,810.85,2023-08-04,239490
810.85,840.15,808.7,837.5,2023-08-07,997907
840.0,842.9,819.15,822.7,2023-08-08,519827
828.0,832.2,799.15,802.65,2023-08-09,829173
802.8,819.8,802.8,815.6,2023-08-10,483280
817.55,818.85,786.55,793.85,2023-08-11,532731
795.0,797.4,781.9,793.95,2023-08-14,323741
793.95,810.9,787.0,805.3,2023-08-16,1006531
805.3,816.1,800.65,804.7,2023-08-17,346302
806.7,807.2,794.1,803.3,2023-08-18,244642
805.8,815.45,799.8,810.8,2023-08-21,682272
812.85,824.2,807.45,816.05,2023-08-22,378341
815.0,819.9,802.4,804.4,2023-08-23,728116
806.45,815.45,794.05,796.4,2023-08-24,250344
788.0,793.2,761.0,766.35,2023-08-25,1041696
765.0,775.5,756.55,773.4,2023-08-28,694903
777.45,782.9,766.5,768.5,2023-08-29,558831
770.9,775.55,769.5,774.75,2023-08-30,653882
775.0,777.3,764.5,774.05,2023-08-31,906682
774.1,781.25,763.4,778.55,2023-09-01,640065
780.25,796.45,775.55,795.1,2023-09-04,548416
791.5,811.0,791.5,807.7,2023-09-05,1005084
811.4,845.0,809.0,839.1,2023-09-06,1718654
