open,high,low,close,date,volume
23.95,24.25,23.3,23.6,2022-09-29,184956
23.65,24.3,23.4,24.05,2022-09-30,141085
24.1,24.1,23.5,23.6,2022-10-03,87348
23.95,24.45,23.75,24.0,2022-10-04,134029
24.1,25.95,24.1,25.25,2022-10-06,417238
25.35,26.25,24.85,25.3,2022-10-07,555750
25.1,25.2,24.5,24.85,2022-10-10,176136
25.0,25.4,24.7,24.85,2022-10-11,175301
25.0,25.1,24.3,24.65,2022-10-12,108274
24.65,24.8,24.1,24.3,2022-10-13,94612
24.65,24.75,23.7,23.85,2022-10-14,194983
23.8,23.8,23.3,23.6,2022-10-17,122145
23.95,25.35,23.6,24.2,2022-10-18,372078
25.0,26.8,25.0,25.6,2022-10-19,1527672
25.5,25.55,24.5,24.65,2022-10-20,300406
24.75,24.95,24.0,24.25,2022-10-21,305422
24.1,24.4,23.0,23.35,2022-10-24,486429
23.45,24.15,23.35,23.9,2022-10-25,258415
24.0,24.35,22.9,23.55,2022-10-27,271723
23.6,23.95,23.6,23.75,2022-10-28,129526
24.25,24.25,23.3,23.55,2022-10-31,219874
23.8,24.6,23.5,23.7,2022-11-01,378087
24.35,24.8,23.9,24.5,2022-11-02,313751
24.95,24.95,24.5,24.6,2022-11-03,254340
24.4,24.6,24.0,24.35,2022-11-04,131245
24.4,24.85,24.25,24.45,2022-11-07,170300
24.4,24.65,24.15,24.2,2022-11-09,128756
24.1,24.35,23.3,23.65,2022-11-10,235059
24.4,26.1,23.8,24.85,2022-11-11,461843
24.85,25.0,23.6,24.15,2022-11-14,424820
24.4,24.7,24.25,24.6,2022-11-15,157975
24.6,24.7,24.0,24.05,2022-11-16,189674
24.25,24.4,23.7,23.95,2022-11-17,127183
24.2,24.2,23.5,23.65,2022-11-18,176340
23.4,23.9,23.3,23.5,2022-11-21,151338
23.75,24.0,22.8,23.35,2022-11-22,189822
23.5,23.7,23.1,23.25,2022-11-23,196556
23.1,24.2,23.1,23.65,2022-11-24,285494
23.75,24.3,23.65,23.85,2022-11-25,224303
23.85,24.35,23.85,23.9,2022-11-28,257284
23.9,24.2,23.8,23.9,2022-11-29,134769
24.0,24.05,23.6,23.8,2022-11-30,167168
24.0,25.1,23.95,24.35,2022-12-01,572872
24.6,25.2,24.3,24.75,2022-12-02,470826
24.95,26.0,24.95,25.8,2022-12-05,637728
26.0,26.25,25.3,25.5,2022-12-06,276898
25.5,26.05,25.05,25.35,2022-12-07,345086
25.6,27.55,25.6,26.8,2022-12-08,2098934
27.2,27.2,25.3,25.4,2022-12-09,688693
25.35,25.4,24.7,25.0,2022-12-12,305886
25.2,25.35,24.75,25.0,2022-12-13,348706
25.2,26.1,24.8,25.3,2022-12-14,462286
25.45,25.95,25.1,25.2,2022-12-15,246423
25.35,25.5,24.6,24.75,2022-12-16,310780
24.9,24.95,24.3,24.5,2022-12-19,223019
24.6,25.2,24.1,24.25,2022-12-20,218371
24.45,25.4,23.4,23.65,2022-12-21,507255
23.85,24.15,22.0,22.65,2022-12-22,504116
22.85,24.0,22.05,22.5,2022-12-23,869494
22.95,23.75,22.55,23.45,2022-12-26,323367
23.55,24.25,23.55,23.65,2022-12-27,300948
23.9,24.2,23.75,23.8,2022-12-28,125778
23.8,24.1,23.5,23.65,2022-12-29,139454
23.95,24.6,23.75,23.8,2022-12-30,267714
23.65,24.05,23.65,23.8,2023-01-02,181907
23.75,24.1,23.7,23.8,2023-01-03,168931
24.0,24.0,23.3,23.5,2023-01-04,164215
23.6,23.65,23.3,23.4,2023-01-05,106928
23.6,23.65,23.1,23.25,2023-01-06,178969
23.6,23.8,23.1,23.25,2023-01-09,198644
23.35,23.5,23.05,23.15,2023-01-10,89157
23.25,23.55,23.15,23.25,2023-01-11,79013
23.35,23.45,22.95,23.05,2023-01-12,112176
23.1,23.35,22.9,23.1,2023-01-13,95661
23.2,23.25,22.8,22.9,2023-01-16,160581
23.0,23.2,22.55,22.95,2023-01-17,126751
22.95,23.85,22.95,23.25,2023-01-18,300863
23.25,23.4,22.95,23.0,2023-01-19,63173
23.25,23.25,22.75,22.75,2023-01-20,132763
22.8,22.95,22.0,22.15,2023-01-23,347982
22.2,22.95,22.2,22.35,2023-01-24,182365
22.25,22.45,22.0,22.25,2023-01-25,175606
22.25,22.5,21.0,21.75,2023-01-27,266448
21.75,22.15,21.35,21.5,2023-01-30,106623
21.75,22.1,21.5,21.9,2023-01-31,136966
22.1,22.65,21.6,21.75,2023-02-01,194557
21.95,22.05,21.4,21.5,2023-02-02,141247
21.55,21.7,20.8,21.0,2023-02-03,329941
21.0,21.3,21.0,21.05,2023-02-06,137453
21.3,21.3,20.7,20.85,2023-02-07,156294
21.1,21.1,20.75,20.95,2023-02-08,123554
20.9,21.3,20.8,20.9,2023-02-09,114882
20.9,21.6,20.75,21.25,2023-02-10,189672
21.4,21.4,20.8,20.95,2023-02-13,88838
21.1,21.1,20.0,20.25,2023-02-14,265438
20.5,20.6,20.0,20.15,2023-02-15,132763
20.05,20.4,19.9,20.05,2023-02-16,267843
20.0,20.1,19.4,19.55,2023-02-17,257632
19.6,19.7,18.95,19.0,2023-02-20,214964
19.0,19.4,18.95,19.05,2023-02-21,142890
19.2,19.2,18.1,18.55,2023-02-22,237313
18.6,18.65,18.0,18.1,2023-02-23,220735
18.2,18.35,18.0,18.1,2023-02-24,145783
18.1,18.1,17.2,17.3,2023-02-27,538861
17.5,17.7,17.3,17.55,2023-02-28,122311
17.5,18.45,17.35,18.4,2023-03-01,227752
18.6,18.6,17.85,18.0,2023-03-02,163209
18.15,18.35,18.0,18.25,2023-03-03,187355
18.25,18.7,18.1,18.2,2023-03-06,228815
18.35,18.35,17.5,18.05,2023-03-08,316810
18.2,18.5,17.8,17.85,2023-03-09,274105
17.8,18.0,17.6,17.9,2023-03-10,143320
18.1,18.1,17.2,17.25,2023-03-13,223406
17.4,17.45,16.5,16.7,2023-03-14,313402
16.7,17.1,16.55,16.65,2023-03-15,231515
16.6,16.6,16.2,16.3,2023-03-16,130222
16.5,16.6,16.05,16.25,2023-03-17,169712
16.05,16.2,15.3,15.5,2023-03-20,299196
15.65,15.95,14.9,14.95,2023-03-21,538258
15.15,15.65,14.9,15.1,2023-03-22,297661
15.25,15.3,14.45,14.5,2023-03-23,447856
14.55,15.3,14.55,14.8,2023-03-24,452839
14.5,14.85,14.0,14.1,2023-03-27,452610
14.25,14.25,12.75,12.9,2023-03-28,824976
12.95,14.15,12.8,13.55,2023-03-29,595979
13.25,13.9,13.25,13.5,2023-03-31,546210
13.55,14.7,13.55,14.6,2023-04-03,416660
14.75,15.8,14.5,15.15,2023-04-05,576157
15.2,15.9,15.0,15.75,2023-04-06,427153
16.4,16.45,15.65,15.95,2023-04-10,390056
16.05,16.45,15.9,16.3,2023-04-11,205636
16.35,16.9,16.0,16.6,2023-04-12,315581
16.35,16.7,16.3,16.5,2023-04-13,275135
16.4,16.6,14.65,16.0,2023-04-17,346424
16.0,16.25,14.85,15.7,2023-04-18,213057
15.85,16.5,15.65,16.4,2023-04-19,197256
16.55,16.7,15.55,15.65,2023-04-20,276116
