open,high,low,close,date,volume
480.0,481.8,459.05,461.25,2022-09-23,21653
462.0,464.95,444.05,452.6,2022-09-26,26032
460.0,460.0,445.0,449.95,2022-09-27,11457
440.1,452.0,435.45,438.45,2022-09-28,13519
449.8,452.4,438.0,440.85,2022-09-29,10268
448.0,484.0,440.5,472.8,2022-09-30,48321
472.7,473.2,456.05,461.1,2022-10-03,19901
465.0,472.45,462.95,469.0,2022-10-04,14523
469.0,478.6,465.0,468.05,2022-10-06,48919
479.8,508.0,475.7,494.75,2022-10-07,132972
493.45,505.1,480.1,492.25,2022-10-10,62822
494.8,498.7,471.0,474.25,2022-10-11,55694
483.75,483.75,464.45,470.4,2022-10-12,26737
476.0,483.75,472.0,474.4,2022-10-13,13782
485.0,492.0,482.35,484.0,2022-10-14,22150
486.0,488.3,470.0,472.1,2022-10-17,16884
477.85,483.6,474.0,476.6,2022-10-18,20444
483.95,483.95,472.0,473.25,2022-10-19,12003
466.0,478.0,466.0,469.55,2022-10-20,12457
475.0,492.0,474.75,483.3,2022-10-21,33091
488.0,495.0,486.3,489.7,2022-10-24,14309
491.0,494.0,487.55,488.85,2022-10-25,15381
490.0,500.0,477.0,478.15,2022-10-27,34448
477.5,483.9,460.0,467.8,2022-10-28,35528
476.0,477.7,465.0,473.45,2022-10-31,20512
478.7,478.7,467.6,471.9,2022-11-01,13056
471.9,482.0,470.6,479.15,2022-11-02,20996
474.55,490.0,474.55,487.55,2022-11-03,19760
490.55,497.95,485.1,488.55,2022-11-04,35791
495.0,497.0,481.3,487.55,2022-11-07,17566
487.55,496.0,480.0,482.15,2022-11-09,15704
490.0,492.0,481.6,485.85,2022-11-10,13705
485.85,500.0,485.85,493.0,2022-11-11,32448
480.0,510.0,480.0,483.1,2022-11-14,83658
492.0,492.0,475.2,478.8,2022-11-15,24189
477.0,493.8,471.0,484.55,2022-11-16,121847
484.0,486.45,473.25,477.55,2022-11-17,20680
477.0,478.85,465.0,466.75,2022-11-18,22194
474.0,474.0,446.7,448.7,2022-11-21,48171
455.7,455.7,369.8,445.2,2022-11-22,31828
455.0,462.85,450.0,461.3,2022-11-23,32621
461.8,468.45,455.0,458.1,2022-11-24,17731
464.95,464.95,457.2,461.95,2022-11-25,10118
458.7,468.1,458.7,460.0,2022-11-28,15578
456.25,464.5,456.25,457.8,2022-11-29,12617
464.95,464.95,454.3,457.0,2022-11-30,16258
463.95,467.4,458.3,462.85,2022-12-01,16714
500.0,500.9,480.3,489.55,2022-12-02,251904
494.7,508.8,481.05,490.4,2022-12-05,81783
489.5,489.6,477.0,479.2,2022-12-06,37114
482.05,487.95,475.8,479.2,2022-12-07,27377
489.0,557.4,488.95,520.25,2022-12-08,1159328
530.0,533.7,511.3,522.9,2022-12-09,191300
523.95,529.5,514.05,517.1,2022-12-12,57004
519.55,522.15,511.95,514.7,2022-12-13,51934
517.85,519.5,510.1,516.45,2022-12-14,40122
522.0,539.9,502.4,524.15,2022-12-15,125669
524.7,529.45,512.4,515.25,2022-12-16,47733
515.25,522.6,510.05,514.2,2022-12-19,31012
514.0,552.0,505.5,542.7,2022-12-20,158412
550.0,592.0,535.25,541.6,2022-12-21,754113
557.25,574.5,512.15,520.8,2022-12-22,266143
517.7,536.95,480.15,495.05,2022-12-23,164754
498.7,533.6,492.3,520.7,2022-12-26,115521
524.0,556.0,515.2,548.95,2022-12-27,143838
553.0,571.6,540.95,546.65,2022-12-28,151724
540.8,563.9,536.0,556.6,2022-12-29,72772
558.45,579.0,550.0,568.15,2022-12-30,122506
571.95,584.95,562.55,566.85,2023-01-02,105301
569.4,569.4,550.65,552.05,2023-01-03,62710
554.9,556.45,539.8,546.95,2023-01-04,53772
552.8,555.0,536.4,547.85,2023-01-05,47366
547.0,549.7,525.45,529.55,2023-01-06,54157
532.8,544.7,529.0,531.55,2023-01-09,45346
533.4,540.0,528.85,534.4,2023-01-10,23944
534.4,554.4,532.0,551.75,2023-01-11,57637
552.0,555.0,542.0,544.95,2023-01-12,19515
550.55,555.0,541.1,551.9,2023-01-13,26001
537.25,548.0,498.05,504.85,2023-01-16,196405
504.85,509.65,497.7,501.6,2023-01-17,62243
503.95,526.4,502.0,519.9,2023-01-18,122529
519.9,523.55,505.6,511.85,2023-01-19,32534
516.65,517.4,496.1,502.3,2023-01-20,31498
505.0,509.35,497.05,500.85,2023-01-23,37774
503.5,510.0,498.6,503.8,2023-01-24,22046
505.0,516.9,503.2,508.0,2023-01-25,26340
513.1,513.1,481.95,489.6,2023-01-27,55129
489.0,492.3,463.85,474.3,2023-01-30,47023
474.5,494.65,474.5,492.1,2023-01-31,14871
492.95,497.9,475.35,484.45,2023-02-01,29169
483.8,490.0,475.0,481.1,2023-02-02,27446
488.3,488.3,470.2,478.35,2023-02-03,22349
479.8,490.0,479.0,486.05,2023-02-06,15028
495.75,497.35,478.65,487.15,2023-02-07,19979
496.0,502.5,485.0,496.4,2023-02-08,27852
496.9,498.75,475.55,489.1,2023-02-09,41740
486.0,496.9,476.0,478.85,2023-02-10,27149
485.0,488.8,463.1,464.7,2023-02-13,30581
469.9,469.9,446.0,449.6,2023-02-14,36224
441.0,470.75,441.0,465.1,2023-02-15,38414
465.2,483.8,463.05,477.1,2023-02-16,46271
475.0,489.35,474.95,482.05,2023-02-17,33031
486.8,499.75,476.6,478.0,2023-02-20,66693
482.8,482.8,460.0,462.5,2023-02-21,57296
462.4,462.4,436.5,438.8,2023-02-22,66904
445.4,448.2,414.35,424.05,2023-02-23,77470
422.35,431.65,415.75,419.8,2023-02-24,31760
422.0,427.6,403.35,406.25,2023-02-27,63210
405.25,414.85,405.1,411.9,2023-02-28,34493
413.9,439.4,413.85,431.3,2023-03-01,54885
437.5,439.0,423.0,425.25,2023-03-02,25835
430.4,445.15,428.2,432.5,2023-03-03,52403
439.0,444.2,434.0,438.9,2023-03-06,27899
439.45,447.0,429.0,431.7,2023-03-08,67975
436.8,441.2,432.95,434.8,2023-03-09,24203
433.0,436.2,425.15,428.95,2023-03-10,14955
434.0,436.25,409.75,413.6,2023-03-13,26944
417.3,420.95,406.6,409.5,2023-03-14,26312
411.65,419.95,407.0,411.65,2023-03-15,19061
408.0,413.55,404.0,407.2,2023-03-16,19876
414.85,414.85,405.0,407.7,2023-03-17,12733
438.0,438.0,405.85,410.55,2023-03-20,37606
417.6,421.45,411.2,412.25,2023-03-21,38908
419.7,419.9,411.6,417.0,2023-03-22,11447
411.1,424.7,411.1,419.4,2023-03-23,14871
423.8,423.8,410.0,411.5,2023-03-24,11043
419.0,419.0,401.0,403.55,2023-03-27,18448
409.05,409.6,385.0,387.85,2023-03-28,35696
390.0,402.4,390.0,400.25,2023-03-29,31890
404.0,418.7,404.0,409.15,2023-03-31,25900
411.75,428.4,409.95,424.15,2023-04-03,36237
427.75,441.1,421.65,438.45,2023-04-05,61696
438.45,445.0,430.0,436.65,2023-04-06,41416
436.0,452.4,433.0,444.85,2023-04-10,32703
445.0,450.95,436.55,439.75,2023-04-11,24356
439.8,448.6,435.7,442.05,2023-04-12,28610
444.1,449.8,443.0,447.8,2023-04-13,14275
447.75,447.75,432.0,444.95,2023-04-17,29948
446.95,454.0,442.0,447.4,2023-04-18,26592
450.3,453.85,441.9,443.05,2023-04-19,24648
447.5,447.5,435.6,439.4,2023-04-20,20611
