open,high,low,close,date,volume
1076.0,1125.0,1071.15,1093.0,2022-09-29,5790446
1088.0,1109.95,1048.55,1104.75,2022-09-30,2948687
1098.0,1131.9,1082.4,1093.7,2022-10-03,3073292
1111.0,1149.65,1106.8,1140.95,2022-10-04,3217331
1148.95,1154.35,1138.15,1147.85,2022-10-06,2074065
1144.0,1189.5,1140.0,1181.8,2022-10-07,4737463
1169.85,1214.0,1160.8,1199.65,2022-10-10,5201365
1207.0,1214.9,1159.65,1164.35,2022-10-11,2871961
1170.2,1173.0,1146.5,1162.95,2022-10-12,2138197
1165.0,1170.7,1138.3,1151.85,2022-10-13,1477297
1175.0,1177.3,1140.75,1143.7,2022-10-14,1255257
1143.95,1168.0,1130.0,1162.0,2022-10-17,1658559
1170.1,1180.0,1153.5,1166.45,2022-10-18,1828207
1170.0,1171.2,1155.8,1164.25,2022-10-19,1282883
1163.0,1163.75,1147.0,1158.15,2022-10-20,725540
1161.9,1167.9,1137.05,1143.5,2022-10-21,1002594
1159.0,1160.0,1151.05,1156.75,2022-10-24,214740
1160.05,1186.0,1151.0,1180.65,2022-10-25,1667372
1184.5,1199.9,1173.0,1188.15,2022-10-27,2008073
1181.1,1186.8,1125.1,1131.95,2022-10-28,6601985
1136.0,1149.0,1124.7,1132.8,2022-10-31,1926174
1138.5,1150.6,1133.55,1142.2,2022-11-01,1605249
1147.0,1158.0,1130.0,1132.75,2022-11-02,1232415
1132.0,1141.85,1125.2,1131.5,2022-11-03,1089567
1137.2,1140.05,1108.5,1123.35,2022-11-04,1371711
1125.0,1145.4,1121.0,1122.35,2022-11-07,1348034
1129.0,1136.0,1108.0,1111.95,2022-11-09,1268573
1113.0,1117.0,1066.1,1070.25,2022-11-10,1892318
1085.0,1090.9,1065.0,1067.5,2022-11-11,901885
1072.85,1072.85,1056.6,1065.25,2022-11-14,673296
1070.6,1074.25,1052.7,1057.2,2022-11-15,717692
1053.0,1064.2,1038.05,1049.2,2022-11-16,862086
1048.0,1051.55,1032.0,1036.2,2022-11-17,644347
1038.8,1042.0,997.0,1015.75,2022-11-18,1510831
1015.75,1044.45,1009.05,1036.3,2022-11-21,1300208
1039.45,1042.9,1031.25,1039.2,2022-11-22,549767
1042.9,1046.8,1024.2,1028.5,2022-11-23,829776
1031.8,1036.75,1019.6,1023.8,2022-11-24,660819
1027.05,1040.3,1024.6,1032.1,2022-11-25,636738
1034.3,1043.3,1032.1,1038.85,2022-11-28,590946
1040.0,1044.1,1025.0,1028.2,2022-11-29,529315
1030.0,1042.9,1029.2,1035.5,2022-11-30,735398
1041.0,1058.95,1037.1,1048.7,2022-12-01,1169027
1048.0,1053.0,1031.05,1039.35,2022-12-02,1021911
1044.1,1071.45,1039.8,1056.7,2022-12-05,1495223
1055.0,1060.6,1040.95,1043.2,2022-12-06,1047006
1046.3,1047.65,1021.7,1029.5,2022-12-07,683379
1032.45,1049.0,1026.0,1046.25,2022-12-08,747048
1049.95,1056.95,1026.25,1033.75,2022-12-09,770753
1033.0,1039.5,1025.3,1034.15,2022-12-12,633628
1034.9,1045.45,1032.2,1033.7,2022-12-13,535565
1038.0,1044.9,1035.0,1036.5,2022-12-14,706162
1039.2,1042.95,1022.1,1026.7,2022-12-15,545640
1025.8,1025.8,985.7,991.5,2022-12-16,1758284
992.5,997.9,968.8,988.65,2022-12-19,1640959
990.7,991.1,968.4,979.0,2022-12-20,856249
985.2,996.5,960.95,965.6,2022-12-21,1035557
970.45,974.95,933.1,940.25,2022-12-22,1218644
933.85,937.1,889.05,891.7,2022-12-23,1406373
897.0,916.15,876.8,906.8,2022-12-26,836992
911.35,923.8,909.2,918.4,2022-12-27,968330
922.45,939.4,915.6,933.2,2022-12-28,1018813
928.0,935.0,922.0,928.55,2022-12-29,918301
931.6,947.0,930.8,937.15,2022-12-30,874888
941.85,943.7,930.15,941.35,2023-01-02,745481
945.0,948.6,938.15,941.7,2023-01-03,498529
942.0,943.85,926.05,931.65,2023-01-04,728111
934.7,946.3,925.85,942.15,2023-01-05,835241
942.15,956.0,938.5,948.3,2023-01-06,1100983
950.0,960.9,947.5,958.3,2023-01-09,653230
959.2,972.4,953.15,968.55,2023-01-10,933245
973.0,975.0,962.4,967.75,2023-01-11,643479
971.75,978.6,969.0,973.25,2023-01-12,593507
973.95,976.0,964.05,974.6,2023-01-13,390146
976.6,981.8,969.5,970.35,2023-01-16,356574
975.25,989.15,970.35,987.2,2023-01-17,885830
991.55,1000.5,988.35,998.95,2023-01-18,734651
997.0,998.95,978.3,980.45,2023-01-19,598387
981.0,987.7,973.0,975.85,2023-01-20,418246
975.85,978.65,971.2,977.15,2023-01-23,290614
977.15,984.0,967.05,971.8,2023-01-24,444221
970.0,970.0,948.4,950.4,2023-01-25,623055
954.65,960.3,929.4,945.0,2023-01-27,648243
945.0,960.7,936.4,955.35,2023-01-30,549412
958.0,979.0,955.0,973.4,2023-01-31,759060
980.0,985.1,942.45,956.15,2023-02-01,1175811
948.1,986.75,912.0,967.25,2023-02-02,2772046
968.6,999.0,961.05,969.95,2023-02-03,1424837
970.0,1010.0,967.05,1006.7,2023-02-06,1203295
1011.75,1040.0,1003.2,1030.95,2023-02-07,2630267
1032.0,1041.25,1011.5,1029.4,2023-02-08,1004359
1021.0,1036.0,1010.75,1012.55,2023-02-09,661402
1013.2,1026.2,1004.0,1020.3,2023-02-10,724694
1020.7,1028.0,1009.35,1017.3,2023-02-13,560147
1019.0,1023.65,1007.25,1009.95,2023-02-14,386474
1009.95,1019.9,1004.1,1010.65,2023-02-15,626181
1013.0,1035.0,1011.1,1024.9,2023-02-16,1129579
1024.05,1033.35,1015.55,1018.85,2023-02-17,466079
1020.65,1025.7,1004.5,1010.95,2023-02-20,598142
1012.0,1017.95,998.0,1000.25,2023-02-21,574836
1000.25,1001.6,958.55,965.2,2023-02-22,1803876
969.0,989.9,962.25,972.85,2023-02-23,1070215
978.0,984.65,968.5,972.1,2023-02-24,839873
972.0,984.5,961.1,974.85,2023-02-27,1644171
976.0,980.95,965.2,975.0,2023-02-28,715101
972.0,999.0,972.0,994.5,2023-03-01,610565
997.0,998.15,984.9,989.1,2023-03-02,576642
990.1,1013.0,989.1,1007.95,2023-03-03,949753
1010.95,1011.95,999.55,1002.05,2023-03-06,775814
1001.8,1016.0,992.1,1010.8,2023-03-08,632362
1011.0,1015.9,990.65,993.25,2023-03-09,595044
988.0,989.85,970.8,980.75,2023-03-10,534453
980.0,985.1,961.3,965.15,2023-03-13,639656
967.7,975.0,954.0,966.5,2023-03-14,618342
977.0,983.5,960.0,963.3,2023-03-15,340658
965.95,965.95,943.25,958.5,2023-03-16,634780
963.4,969.6,957.5,963.1,2023-03-17,581953
962.4,962.4,934.25,950.4,2023-03-20,698608
951.0,957.7,948.0,953.2,2023-03-21,366923
953.0,965.8,951.3,961.5,2023-03-22,350721
960.0,971.85,952.05,968.1,2023-03-23,657902
964.0,970.0,950.0,953.95,2023-03-24,572686
954.0,960.65,948.15,955.05,2023-03-27,372570
956.45,960.15,950.4,953.8,2023-03-28,498770
953.8,961.0,945.0,954.75,2023-03-29,608017
959.55,981.05,958.05,972.45,2023-03-31,689153
979.95,983.0,973.1,977.15,2023-04-03,399269
975.05,977.0,959.25,975.6,2023-04-05,479875
975.7,990.0,972.4,989.15,2023-04-06,393374
993.95,1004.75,985.0,1003.65,2023-04-10,647601
1008.0,1018.45,1002.6,1016.8,2023-04-11,620280
1018.0,1027.0,1012.05,1020.65,2023-04-12,587158
1020.0,1029.0,1016.5,1026.15,2023-04-13,468566
1022.0,1029.9,986.65,990.85,2023-04-17,608548
980.0,980.0,926.05,932.1,2023-04-18,6210562
934.0,939.9,921.65,933.4,2023-04-19,1912439
930.2,945.5,927.0,942.7,2023-04-20,1395931
945.55,948.8,937.5,944.45,2023-04-21,835643
