open,high,low,close,date,volume
797.65,803.7,790.3,792.6,2022-09-29,1136839
791.0,806.0,787.0,802.85,2022-09-30,1436359
802.85,804.8,776.0,777.95,2022-10-03,1652675
786.75,792.45,781.2,785.15,2022-10-04,1238967
790.0,799.6,784.1,794.3,2022-10-06,2067042
787.9,793.9,779.05,780.9,2022-10-07,1053907
769.25,775.05,755.0,757.15,2022-10-10,2334168
758.0,759.85,740.25,742.6,2022-10-11,1956824
745.5,759.0,738.8,757.35,2022-10-12,1372962
754.95,760.2,749.15,757.4,2022-10-13,1198492
768.95,768.95,760.0,761.25,2022-10-14,1278730
761.25,771.95,757.3,763.15,2022-10-17,940646
767.0,776.0,763.55,774.35,2022-10-18,1361691
774.45,777.0,761.1,764.55,2022-10-19,1115277
761.55,772.0,755.5,770.7,2022-10-20,955562
773.0,780.85,755.05,761.65,2022-10-21,1692279
770.0,776.0,764.85,770.95,2022-10-24,292558
770.0,776.8,764.65,766.95,2022-10-25,871995
774.75,779.5,759.6,770.05,2022-10-27,1692389
773.45,773.45,759.5,761.35,2022-10-28,1598314
765.2,772.45,761.9,770.15,2022-10-31,997865
773.0,784.5,767.4,774.85,2022-11-01,1893673
776.0,778.2,764.7,768.05,2022-11-02,1073726
768.05,770.0,756.65,762.75,2022-11-03,1573795
761.0,767.0,759.2,764.3,2022-11-04,940199
768.15,776.45,764.3,772.15,2022-11-07,1004208
778.5,781.8,765.85,770.15,2022-11-09,1256533
770.0,771.7,762.05,768.7,2022-11-10,839329
772.55,779.85,770.05,773.2,2022-11-11,921004
773.35,775.0,766.5,767.75,2022-11-14,708750
767.75,774.0,763.5,772.75,2022-11-15,756436
772.75,774.2,764.8,769.55,2022-11-16,1071710
766.0,789.45,766.0,786.0,2022-11-17,2944879
789.35,793.0,769.25,775.7,2022-11-18,1417103
774.3,775.45,762.3,770.95,2022-11-21,760664
771.0,776.9,766.2,771.3,2022-11-22,868523
773.1,776.0,765.0,770.15,2022-11-23,875779
787.85,795.0,781.25,792.75,2022-11-24,6211909
798.75,799.5,780.0,789.15,2022-11-25,2385612
789.0,808.9,785.0,804.3,2022-11-28,2043706
804.95,811.9,803.05,805.05,2022-11-29,1278339
805.05,821.95,804.25,818.05,2022-11-30,3390682
821.9,821.9,810.15,813.2,2022-12-01,966282
810.0,812.5,792.2,795.55,2022-12-02,2882169
795.55,803.0,788.6,800.5,2022-12-05,1540201
800.0,800.0,793.55,797.65,2022-12-06,826214
799.9,806.5,797.05,799.35,2022-12-07,2020441
800.55,807.95,796.5,804.2,2022-12-08,805216
804.2,809.9,801.0,803.3,2022-12-09,1080966
803.0,813.0,799.2,810.05,2022-12-12,948219
812.0,814.45,804.7,807.6,2022-12-13,1224742
808.4,817.0,807.35,815.45,2022-12-14,971275
815.4,815.45,802.05,804.9,2022-12-15,783051
803.3,804.95,795.0,801.55,2022-12-16,849333
801.15,810.0,798.45,808.85,2022-12-19,1120217
808.5,809.95,800.1,808.3,2022-12-20,677159
809.0,811.9,801.0,802.6,2022-12-21,811513
802.75,809.0,787.0,798.65,2022-12-22,1017965
793.05,797.9,775.8,779.0,2022-12-23,1216647
779.0,783.7,773.0,775.3,2022-12-26,1014226
778.8,781.0,770.6,777.85,2022-12-27,601101
778.0,782.9,773.15,780.15,2022-12-28,610240
779.0,779.0,763.1,776.1,2022-12-29,1691955
778.0,782.3,765.0,766.95,2022-12-30,715796
769.9,771.0,758.1,762.3,2023-01-02,1061086
765.0,767.9,759.1,767.15,2023-01-03,785495
767.5,767.5,759.4,762.25,2023-01-04,1004383
762.0,781.0,760.1,763.85,2023-01-05,3198519
763.8,770.85,759.05,761.35,2023-01-06,603050
765.2,768.8,761.1,766.95,2023-01-09,729173
766.95,772.8,764.55,769.25,2023-01-10,873061
772.0,772.75,755.5,759.3,2023-01-11,688374
760.0,763.85,752.0,754.25,2023-01-12,763021
755.1,757.6,750.0,752.9,2023-01-13,1067599
752.1,755.0,745.1,747.25,2023-01-16,838829
744.0,752.8,741.6,750.05,2023-01-17,1427736
750.0,752.7,746.55,750.5,2023-01-18,747592
750.2,752.75,737.6,738.5,2023-01-19,1140422
738.0,742.9,736.0,738.45,2023-01-20,878832
739.15,743.9,734.0,742.45,2023-01-23,682160
743.85,749.5,740.0,740.9,2023-01-24,653737
740.35,742.5,731.2,740.05,2023-01-25,868627
740.05,745.9,725.7,735.25,2023-01-27,772860
736.0,740.35,727.55,735.65,2023-01-30,1295677
736.0,739.4,725.05,729.5,2023-01-31,2189899
737.25,748.4,731.25,740.8,2023-02-01,933031
738.8,742.75,732.8,737.15,2023-02-02,704702
737.15,741.0,720.45,726.6,2023-02-03,1752697
728.4,732.5,721.0,729.75,2023-02-06,852170
731.8,734.95,722.0,728.2,2023-02-07,1244247
731.85,731.85,721.1,724.4,2023-02-08,1521104
724.5,726.35,720.8,721.95,2023-02-09,688243
722.0,728.0,719.15,726.6,2023-02-10,651630
726.6,729.5,716.0,717.8,2023-02-13,599763
718.0,723.75,715.0,721.0,2023-02-14,563171
721.05,729.8,717.2,728.1,2023-02-15,727403
732.2,735.5,728.1,732.6,2023-02-16,837121
731.2,734.8,724.15,726.25,2023-02-17,624402
726.95,729.45,718.6,721.8,2023-02-20,1316763
725.45,730.0,722.05,726.2,2023-02-21,673449
726.0,734.0,719.85,721.45,2023-02-22,1690647
722.95,724.95,715.0,716.1,2023-02-23,1165270
717.0,721.35,713.6,716.15,2023-02-24,1040351
720.0,720.5,700.0,710.3,2023-02-27,1064436
712.0,717.75,705.55,715.3,2023-02-28,2395442
712.95,716.9,709.55,715.25,2023-03-01,991540
716.85,718.35,705.85,707.35,2023-03-02,969963
709.0,713.25,706.2,709.85,2023-03-03,873264
713.0,718.75,709.95,713.6,2023-03-06,739338
713.0,723.2,710.8,720.5,2023-03-08,1026628
722.85,722.85,708.1,709.25,2023-03-09,905544
707.0,710.2,701.35,704.4,2023-03-10,970983
705.0,707.3,691.75,694.15,2023-03-13,1158330
696.0,700.0,689.45,693.3,2023-03-14,1501579
696.0,699.95,686.6,687.55,2023-03-15,1119482
689.0,696.45,689.0,694.0,2023-03-16,974834
698.0,708.65,694.4,706.2,2023-03-17,2111478
691.0,706.75,691.0,702.6,2023-03-20,1018438
704.1,706.0,700.0,700.9,2023-03-21,721243
701.0,716.2,701.0,710.9,2023-03-22,776214
711.55,713.95,705.8,707.15,2023-03-23,587643
707.0,709.7,698.85,702.35,2023-03-24,960470
706.9,707.4,697.2,699.35,2023-03-27,3695292
690.0,699.65,690.0,696.05,2023-03-28,1113702
696.05,703.0,694.8,697.55,2023-03-29,1160832
700.15,711.0,698.55,708.85,2023-03-31,972962
710.0,718.5,709.3,717.05,2023-04-03,797533
717.0,728.4,715.0,727.4,2023-04-05,947741
727.3,731.45,722.5,730.5,2023-04-06,738748
727.0,730.65,720.0,720.65,2023-04-10,916628
725.95,725.95,715.7,717.3,2023-04-11,776167
720.9,723.6,716.35,718.4,2023-04-12,702063
722.0,723.7,717.65,719.6,2023-04-13,502380
717.0,719.25,711.5,713.2,2023-04-17,1180651
716.2,719.9,706.7,707.05,2023-04-18,1323608
708.0,708.9,698.25,700.85,2023-04-19,1235220
699.0,704.4,696.45,703.4,2023-04-20,1263116
703.4,705.0,697.0,700.4,2023-04-21,966029
706.0,735.0,706.0,732.55,2023-04-24,6009290
736.0,738.0,728.35,734.45,2023-04-25,1783879
733.95,749.0,724.0,746.7,2023-04-26,3725680
743.0,755.25,742.15,754.0,2023-04-27,1664942
758.0,765.0,751.5,763.85,2023-04-28,1261145
767.95,783.05,764.95,779.6,2023-05-02,1438425
777.9,786.85,774.7,781.4,2023-05-03,1189150
773.0,782.65,768.9,775.5,2023-05-04,1001352
