open,high,low,close,date,volume
598.0,604.85,586.1,599.3,2022-09-29,43284
600.8,616.0,591.2,610.75,2022-09-30,50729
611.0,621.25,582.85,590.6,2022-10-03,47669
604.0,615.55,602.75,611.45,2022-10-04,35537
611.0,626.0,574.8,604.95,2022-10-06,33764
605.1,634.3,605.1,626.1,2022-10-07,42286
625.15,628.95,597.0,601.2,2022-10-10,66877
601.0,628.5,598.8,622.85,2022-10-11,70984
629.1,642.2,608.0,621.15,2022-10-12,112233
625.0,636.8,610.0,618.0,2022-10-13,54307
625.0,632.0,616.3,620.5,2022-10-14,43288
622.25,630.0,586.0,594.35,2022-10-17,109752
599.0,612.0,595.0,602.75,2022-10-18,37998
602.75,614.8,602.0,612.55,2022-10-19,41345
613.0,622.95,607.35,620.55,2022-10-20,42575
626.95,628.95,598.55,605.05,2022-10-21,49574
605.05,625.0,598.15,602.15,2022-10-24,24997
602.0,620.95,601.9,610.7,2022-10-25,36049
610.55,630.0,610.0,625.15,2022-10-27,66088
626.0,637.3,606.5,610.45,2022-10-28,60387
122.6,126.4,110.65,124.1,2022-10-31,456763
125.0,126.9,122.1,125.0,2022-11-01,197132
123.5,123.95,117.6,119.2,2022-11-02,157395
118.0,122.1,115.5,121.65,2022-11-03,153088
121.95,121.95,118.75,119.15,2022-11-04,102550
116.0,118.0,110.2,111.0,2022-11-07,377622
111.6,114.0,101.75,104.05,2022-11-09,785411
105.0,112.55,103.0,106.6,2022-11-10,1110430
107.5,110.55,104.4,107.7,2022-11-11,359905
108.8,109.95,102.8,103.8,2022-11-14,350216
104.0,106.1,100.95,104.95,2022-11-15,372256
104.7,106.95,99.6,101.0,2022-11-16,380470
100.05,104.15,98.5,100.05,2022-11-17,615897
99.35,102.75,99.1,99.8,2022-11-18,179708
99.05,104.7,98.0,98.35,2022-11-21,100844
98.4,99.6,95.85,97.45,2022-11-22,129817
97.5,107.0,97.5,105.0,2022-11-23,586463
105.0,113.0,104.6,110.95,2022-11-24,994387
112.45,117.8,111.65,115.85,2022-11-25,978828
108.35,112.0,102.8,110.9,2022-11-28,2220224
110.0,111.9,105.6,109.0,2022-11-29,557937
109.0,111.65,108.5,110.2,2022-11-30,343178
110.2,115.0,109.0,113.85,2022-12-01,530459
114.8,125.5,114.05,116.5,2022-12-02,1027330
118.25,127.8,117.1,124.65,2022-12-05,1216677
124.45,130.8,123.25,129.55,2022-12-06,836221
129.9,132.0,124.25,125.55,2022-12-07,791290
125.65,127.8,122.55,124.05,2022-12-08,302367
124.05,132.2,122.55,124.35,2022-12-09,616688
124.35,127.2,120.45,121.25,2022-12-12,404739
121.7,131.0,121.7,128.3,2022-12-13,758157
128.75,133.25,128.4,129.5,2022-12-14,553496
130.4,130.6,126.85,127.8,2022-12-15,320348
126.95,128.6,122.85,124.05,2022-12-16,295469
124.05,129.95,122.8,125.75,2022-12-19,367767
126.1,132.45,125.55,127.75,2022-12-20,457552
128.45,130.5,116.35,122.85,2022-12-21,371708
124.6,126.55,108.6,117.85,2022-12-22,673928
116.05,117.05,110.1,114.7,2022-12-23,417988
116.35,122.85,114.2,119.6,2022-12-26,163043
121.9,125.25,120.2,121.0,2022-12-27,184665
121.0,122.25,118.55,119.15,2022-12-28,165742
119.9,121.3,117.0,117.8,2022-12-29,111557
119.35,121.8,118.1,118.6,2022-12-30,107715
119.0,129.25,118.75,127.3,2023-01-02,497589
128.45,143.8,127.55,141.15,2023-01-03,3206214
141.9,147.7,138.6,143.35,2023-01-04,2103692
142.6,147.95,139.8,146.05,2023-01-05,1165964
146.9,149.25,141.55,148.15,2023-01-06,948505
149.4,149.45,141.2,141.95,2023-01-09,464778
142.7,144.25,130.0,136.3,2023-01-10,1027992
137.85,139.5,134.75,137.8,2023-01-11,398243
138.8,139.7,132.55,134.5,2023-01-12,283927
134.9,136.35,130.3,132.1,2023-01-13,409325
132.3,138.45,132.3,136.75,2023-01-16,386336
138.95,139.0,134.9,135.7,2023-01-17,189116
135.2,137.4,135.0,135.55,2023-01-18,108465
134.1,136.35,132.0,133.05,2023-01-19,153986
136.0,142.1,134.1,135.6,2023-01-20,539834
136.7,138.95,132.85,134.75,2023-01-23,545530
134.0,135.9,132.25,134.45,2023-01-24,234716
134.45,136.2,130.1,132.05,2023-01-25,305749
131.65,133.15,125.05,131.1,2023-01-27,464731
130.9,133.5,127.65,130.15,2023-01-30,377212
128.3,133.3,128.3,131.45,2023-01-31,181638
130.85,136.0,123.7,126.85,2023-02-01,459590
126.95,130.55,125.4,127.95,2023-02-02,520217
128.2,130.1,125.5,128.15,2023-02-03,199430
129.15,134.5,125.1,127.05,2023-02-06,396805
127.15,128.35,121.25,125.4,2023-02-07,497400
126.65,138.0,122.3,124.9,2023-02-08,1469847
126.15,132.45,124.25,127.25,2023-02-09,488582
127.85,129.4,123.55,128.55,2023-02-10,470700
129.7,135.95,126.55,129.55,2023-02-13,748259
130.8,131.95,128.45,130.7,2023-02-14,248727
129.75,131.85,129.1,130.6,2023-02-15,265159
131.8,137.4,131.0,133.0,2023-02-16,518401
132.55,140.9,132.0,138.15,2023-02-17,807495
138.8,140.0,136.0,136.6,2023-02-20,337610
137.5,139.95,132.45,134.0,2023-02-21,343485
133.5,134.75,130.5,131.9,2023-02-22,224905
131.75,136.0,130.4,132.7,2023-02-23,299582
132.7,142.0,132.7,140.75,2023-02-24,770341
143.55,147.35,142.1,144.6,2023-02-27,1228991
147.0,147.05,138.1,140.0,2023-02-28,484795
139.9,147.1,139.8,145.65,2023-03-01,780553
146.3,147.95,141.85,143.0,2023-03-02,292983
144.0,155.0,144.0,154.5,2023-03-03,2445024
156.0,156.3,150.05,152.5,2023-03-06,949523
152.0,166.6,150.8,164.75,2023-03-08,2037310
165.0,167.3,155.5,158.5,2023-03-09,1191715
154.5,166.55,154.5,162.8,2023-03-10,1542713
162.95,163.7,148.05,149.35,2023-03-13,958078
148.6,150.0,138.65,142.6,2023-03-14,1219660
143.9,146.9,140.8,142.0,2023-03-15,541325
142.0,150.0,137.25,148.9,2023-03-16,917642
150.4,152.45,147.2,150.8,2023-03-17,834866
149.0,150.9,144.55,148.55,2023-03-20,452508
149.85,158.0,148.95,156.85,2023-03-21,847453
158.0,167.0,157.25,164.7,2023-03-22,1252115
162.55,172.0,159.4,170.05,2023-03-23,1396131
