open,high,low,close,date,volume
1042.85,1044.5,1001.65,1007.1,2022-09-29,3176310
1001.0,1018.8,984.55,1008.6,2022-09-30,3848885
1010.0,1018.25,999.15,1005.5,2022-10-03,2431236
1022.0,1036.0,1017.9,1028.3,2022-10-04,2715420
1033.45,1045.0,1027.35,1031.3,2022-10-06,2397633
1029.9,1036.45,1021.05,1023.85,2022-10-07,1539126
1008.1,1033.0,1003.5,1029.35,2022-10-10,1660433
1034.5,1035.0,1000.55,1004.85,2022-10-11,2310765
1007.8,1018.8,998.2,1015.9,2022-10-12,2192421
1018.85,1021.0,1003.05,1012.95,2022-10-13,1344162
1035.0,1049.9,1016.05,1019.85,2022-10-14,3492929
1019.0,1027.95,1007.45,1023.25,2022-10-17,1426207
1028.4,1033.95,1014.0,1019.4,2022-10-18,2395805
1024.5,1030.0,1016.3,1019.2,2022-10-19,1304927
1010.0,1043.4,1007.0,1041.65,2022-10-20,1852905
1041.65,1044.35,1031.1,1041.15,2022-10-21,1202009
1051.0,1051.15,1045.0,1048.15,2022-10-24,231316
1053.4,1086.0,1051.0,1082.5,2022-10-25,3097049
1093.3,1098.0,1067.15,1075.85,2022-10-27,2342818
1081.0,1081.0,1045.05,1048.95,2022-10-28,1542568
1053.25,1078.3,1053.0,1063.4,2022-10-31,2629847
1069.0,1080.0,1047.15,1070.9,2022-11-01,4709472
1071.0,1098.7,1066.35,1082.0,2022-11-02,4104485
1070.0,1071.15,1050.15,1052.85,2022-11-03,3460133
1053.0,1058.8,1038.75,1053.65,2022-11-04,2531080
1058.95,1067.9,1044.45,1053.5,2022-11-07,2588984
1047.0,1048.95,1025.05,1028.7,2022-11-09,2697639
1015.0,1034.0,1005.25,1021.1,2022-11-10,3285774
1049.0,1066.0,1046.2,1058.7,2022-11-11,5299457
1062.0,1074.45,1055.45,1065.35,2022-11-14,2229790
1065.0,1070.5,1050.0,1066.95,2022-11-15,1577944
1066.0,1075.0,1059.0,1066.85,2022-11-16,2335937
1060.0,1061.85,1047.3,1058.55,2022-11-17,2089630
1060.0,1065.0,1046.0,1060.85,2022-11-18,1617331
1055.1,1057.9,1037.8,1042.6,2022-11-21,1475958
1042.6,1052.9,1036.05,1050.65,2022-11-22,1696991
1055.95,1058.65,1041.35,1044.05,2022-11-23,1704144
1049.3,1071.0,1046.0,1069.3,2022-11-24,2208145
1070.0,1082.9,1060.0,1080.15,2022-11-25,1943246
1075.0,1091.0,1071.4,1077.2,2022-11-28,1749691
1076.1,1085.45,1072.8,1074.55,2022-11-29,1233868
1074.75,1082.0,1063.2,1077.0,2022-11-30,3909954
1091.4,1107.95,1088.15,1101.5,2022-12-01,4264917
1101.5,1116.3,1100.05,1114.75,2022-12-02,3418928
1120.0,1120.0,1096.25,1099.75,2022-12-05,2760688
1089.0,1096.15,1080.05,1088.8,2022-12-06,1838107
1086.0,1087.3,1074.2,1078.05,2022-12-07,1478573
1078.1,1082.4,1070.3,1074.15,2022-12-08,1110431
1073.95,1075.7,1030.2,1035.3,2022-12-09,3138360
1034.0,1044.4,1021.8,1032.1,2022-12-12,1689393
1039.85,1047.45,1030.15,1045.75,2022-12-13,1983827
1051.0,1068.05,1051.0,1065.1,2022-12-14,1983937
1060.0,1060.0,1020.25,1022.75,2022-12-15,5184673
1015.0,1033.5,1011.0,1020.8,2022-12-16,2994364
1019.95,1028.1,1009.75,1026.7,2022-12-19,1529622
1025.0,1025.0,1004.0,1017.95,2022-12-20,2149130
1024.5,1030.55,1020.25,1026.05,2022-12-21,2037666
