open,high,low,close,date,volume
111.15,116.0,107.65,107.7,2022-09-29,30657
105.55,110.7,105.55,108.3,2022-09-30,11051
111.05,112.9,105.4,106.8,2022-10-03,11560
110.0,110.0,101.5,106.0,2022-10-04,17291
111.0,111.0,106.25,108.1,2022-10-06,15676
104.9,105.4,102.7,103.45,2022-10-07,101809
103.45,103.7,101.05,102.0,2022-10-10,256835
101.5,103.4,97.2,98.45,2022-10-11,30362
98.5,100.35,93.55,94.5,2022-10-12,34948
94.5,98.75,94.5,97.15,2022-10-13,18178
99.2,99.2,92.3,92.3,2022-10-14,59487
92.3,94.15,87.7,87.7,2022-10-17,70093
87.6,89.75,84.0,85.55,2022-10-18,32870
86.4,89.8,83.8,89.8,2022-10-19,23419
92.95,94.25,91.15,93.55,2022-10-20,56635
98.0,98.0,92.5,95.8,2022-10-21,279219
100.0,100.55,91.15,99.8,2022-10-24,20744
100.0,100.0,96.5,97.2,2022-10-25,7579
96.0,102.05,96.0,97.95,2022-10-27,19887
95.0,102.8,95.0,102.7,2022-10-28,80294
104.0,107.8,98.45,107.5,2022-10-31,182132
108.95,112.85,106.5,112.85,2022-11-01,292249
115.95,118.45,112.35,114.35,2022-11-02,135495
117.85,117.85,108.65,110.4,2022-11-03,146481
106.55,113.0,106.0,106.55,2022-11-04,69440
110.9,110.95,106.0,107.7,2022-11-07,12918
108.9,113.05,105.1,112.95,2022-11-09,142080
110.95,114.0,107.35,112.75,2022-11-10,126632
114.0,114.0,107.15,112.35,2022-11-11,32977
108.1,113.05,108.1,110.15,2022-11-14,9087
112.7,114.0,108.45,113.2,2022-11-15,45089
113.4,113.9,111.05,112.05,2022-11-16,63026
112.0,112.45,110.45,111.3,2022-11-17,5403
109.1,115.0,108.6,111.0,2022-11-18,80118
113.0,113.0,110.0,110.35,2022-11-21,30221
107.3,111.85,107.3,111.15,2022-11-22,14098
112.0,112.0,109.5,110.4,2022-11-23,7465
112.6,112.6,108.45,109.3,2022-11-24,10672
110.55,110.55,108.0,108.2,2022-11-25,11008
108.2,113.6,108.0,112.95,2022-11-28,58420
112.95,113.0,109.6,110.4,2022-11-29,45182
110.0,111.95,109.5,109.7,2022-11-30,23842
111.6,111.75,108.0,110.0,2022-12-01,77786
111.45,111.45,109.0,110.0,2022-12-02,34519
110.65,111.0,108.0,110.15,2022-12-05,37882
114.0,114.0,107.8,108.6,2022-12-06,9802
108.85,110.0,107.1,108.15,2022-12-07,3736
111.15,111.15,107.5,110.35,2022-12-08,18704
111.0,111.15,108.2,108.7,2022-12-09,7862
110.0,119.55,108.8,119.55,2022-12-12,291237
123.6,126.5,114.25,117.8,2022-12-13,143772
116.5,123.8,107.65,119.4,2022-12-14,30404
123.7,123.7,107.5,110.65,2022-12-15,348541
112.95,112.95,105.05,108.85,2022-12-16,50803
106.3,112.0,106.3,108.15,2022-12-19,10726
109.75,111.35,105.0,108.85,2022-12-20,16667
109.0,111.55,105.0,105.35,2022-12-21,19763
106.0,109.0,102.35,103.3,2022-12-22,13454
102.35,102.35,95.35,98.7,2022-12-23,26592
96.2,108.55,96.2,108.55,2022-12-26,248764
109.0,119.4,109.0,118.85,2022-12-27,172358
118.85,130.7,118.6,130.7,2022-12-28,511906
131.1,137.5,131.0,132.55,2022-12-29,162055
133.9,133.9,129.0,130.85,2022-12-30,182577
131.85,132.25,124.35,128.15,2023-01-02,202631
