open,high,low,close,date,volume
62.5,62.5,60.0,60.5,2022-09-29,42469
61.0,61.75,60.55,60.9,2022-09-30,40896
61.9,65.1,60.9,63.0,2022-10-03,100515
64.5,65.05,60.2,61.65,2022-10-04,178559
61.65,64.55,61.65,63.1,2022-10-06,93599
64.3,64.3,62.95,63.6,2022-10-07,39941
63.35,64.5,62.2,63.45,2022-10-10,56768
63.85,64.5,62.0,62.45,2022-10-11,48413
63.2,63.45,62.2,62.75,2022-10-12,50065
63.2,64.5,62.85,63.55,2022-10-13,58020
64.45,66.8,63.55,64.4,2022-10-14,184767
64.85,64.85,62.8,63.7,2022-10-17,53944
64.5,66.5,63.7,64.9,2022-10-18,153617
65.9,65.95,63.8,64.35,2022-10-19,63536
63.6,65.35,63.2,64.85,2022-10-20,48774
64.1,65.05,63.5,63.85,2022-10-21,59956
64.0,65.0,64.0,64.85,2022-10-24,28897
64.85,64.85,62.5,62.75,2022-10-25,83714
63.95,63.95,62.0,62.55,2022-10-27,63689
62.55,63.45,62.55,63.15,2022-10-28,46642
63.15,64.0,61.0,62.35,2022-10-31,52835
62.3,63.2,62.0,62.2,2022-11-01,35150
62.95,63.3,61.1,61.9,2022-11-02,90192
61.25,62.3,61.25,61.95,2022-11-03,48386
61.4,63.0,61.4,62.4,2022-11-04,48869
63.0,66.0,62.1,64.0,2022-11-07,269347
64.95,67.0,64.0,64.3,2022-11-09,171974
64.05,65.0,61.0,62.35,2022-11-10,88005
63.5,64.5,62.25,62.75,2022-11-11,46163
63.35,63.35,61.5,62.2,2022-11-14,62530
60.0,60.8,59.5,59.95,2022-11-15,186009
62.0,62.1,59.8,60.0,2022-11-16,74619
59.55,61.1,58.5,58.8,2022-11-17,152902
59.5,59.5,57.8,58.15,2022-11-18,88280
58.55,58.55,57.25,57.65,2022-11-21,77307
58.0,58.0,56.9,57.1,2022-11-22,60547
57.7,59.0,57.1,58.35,2022-11-23,81553
59.0,59.45,58.75,58.85,2022-11-24,46740
58.35,59.4,58.1,58.55,2022-11-25,89751
59.0,59.25,58.4,58.75,2022-11-28,69001
58.75,65.0,58.55,59.85,2022-11-29,88868
59.75,60.65,59.4,59.6,2022-11-30,50531
59.65,60.45,59.25,60.0,2022-12-01,67597
60.4,60.9,59.55,60.45,2022-12-02,80218
61.65,62.0,60.75,61.5,2022-12-05,99845
61.6,61.9,60.5,60.65,2022-12-06,65124
61.9,62.3,59.3,61.0,2022-12-07,92067
61.4,61.55,60.05,60.25,2022-12-08,56176
60.55,61.2,59.05,59.4,2022-12-09,54451
59.95,60.0,58.3,59.05,2022-12-12,70917
59.35,60.75,59.1,60.45,2022-12-13,60889
60.5,60.9,59.9,60.05,2022-12-14,52370
59.6,60.55,59.25,59.7,2022-12-15,49749
59.4,59.7,58.15,58.75,2022-12-16,53252
59.5,59.5,58.3,58.85,2022-12-19,73733
59.35,60.0,58.75,59.55,2022-12-20,49245
60.0,60.3,58.0,58.2,2022-12-21,55778
58.2,58.9,54.85,55.6,2022-12-22,104756
54.4,55.15,50.5,51.0,2022-12-23,132397
52.8,56.95,52.0,56.05,2022-12-26,105118
56.9,57.4,55.4,56.85,2022-12-27,61822
57.5,61.35,56.35,59.1,2022-12-28,235466
58.7,58.75,57.3,58.1,2022-12-29,62921
58.1,59.35,56.7,57.65,2022-12-30,49272
57.25,60.4,57.25,58.95,2023-01-02,111244
59.7,60.0,58.55,58.95,2023-01-03,60533
58.5,59.2,57.55,58.15,2023-01-04,43672
58.95,59.0,57.45,58.3,2023-01-05,32681
58.95,59.0,57.65,58.1,2023-01-06,29420
58.25,58.7,57.3,57.5,2023-01-09,45074
57.55,58.6,56.8,57.55,2023-01-10,52727
57.3,58.75,57.1,57.4,2023-01-11,53973
57.4,58.2,57.0,57.6,2023-01-12,27745
57.7,58.1,57.2,57.4,2023-01-13,24857
58.4,58.4,57.1,57.25,2023-01-16,15728
58.05,58.15,56.8,57.2,2023-01-17,36178
57.15,57.5,56.8,57.2,2023-01-18,39964
57.2,57.6,56.45,56.7,2023-01-19,30819
57.5,57.5,55.6,55.85,2023-01-20,39142
56.8,56.8,55.6,56.1,2023-01-23,27247
56.4,57.1,56.05,56.7,2023-01-24,26508
57.55,57.55,55.75,55.95,2023-01-25,28962
57.0,57.0,54.55,55.0,2023-01-27,49097
54.0,55.15,52.85,53.45,2023-01-30,46115
54.25,56.65,53.4,56.0,2023-01-31,29618
58.5,58.5,52.0,53.85,2023-02-01,91056
54.5,56.3,53.9,54.85,2023-02-02,26192
54.2,55.35,53.5,54.05,2023-02-03,39622
54.0,54.05,52.45,53.35,2023-02-06,30238
54.15,54.15,52.2,52.8,2023-02-07,43416
53.5,54.4,52.3,53.7,2023-02-08,72065
53.7,53.7,52.55,53.05,2023-02-09,27177
54.4,54.4,53.0,53.35,2023-02-10,29900
54.7,59.85,52.5,57.95,2023-02-13,144103
58.05,58.9,53.9,54.15,2023-02-14,83236
53.65,55.85,53.4,55.1,2023-02-15,39400
55.85,56.35,54.6,55.1,2023-02-16,46347
54.6,55.95,54.15,54.7,2023-02-17,26518
55.45,55.6,54.1,54.45,2023-02-20,22692
54.45,54.9,53.9,54.3,2023-02-21,21738
54.9,54.95,52.8,53.35,2023-02-22,43222
54.6,54.6,52.4,52.7,2023-02-23,58452
53.35,53.35,52.0,52.2,2023-02-24,32573
52.9,52.9,50.5,50.8,2023-02-27,48967
51.0,51.55,50.0,50.5,2023-02-28,33524
50.7,51.25,47.95,48.6,2023-03-01,291152
49.2,50.0,48.75,49.35,2023-03-02,75934
50.35,50.35,49.3,49.85,2023-03-03,57111
50.0,50.5,49.65,49.95,2023-03-06,71882
49.95,50.75,49.7,50.3,2023-03-08,63373
50.8,51.3,50.15,50.5,2023-03-09,73054
51.0,51.0,49.8,49.95,2023-03-10,28225
50.0,50.45,48.65,49.0,2023-03-13,45172
49.05,49.3,47.5,47.75,2023-03-14,48319
48.45,48.7,47.2,47.5,2023-03-15,34291
48.15,48.15,46.0,47.0,2023-03-16,55360
47.65,47.9,47.0,47.3,2023-03-17,19776
47.8,47.8,45.45,46.6,2023-03-20,39352
47.25,47.25,45.25,46.05,2023-03-21,39513
46.35,47.1,45.25,46.45,2023-03-22,64461
46.95,47.4,45.75,46.9,2023-03-23,34337
47.5,47.5,45.15,45.95,2023-03-24,49254
45.5,45.5,43.1,43.25,2023-03-27,83946
43.85,43.85,42.25,42.7,2023-03-28,83628
42.05,43.75,42.05,42.7,2023-03-29,60498
43.25,44.9,43.2,44.45,2023-03-31,73277
45.0,48.6,44.7,48.0,2023-04-03,78770
48.65,50.0,48.0,49.75,2023-04-05,55835
49.9,50.35,48.2,49.15,2023-04-06,56280
49.85,49.85,48.55,49.2,2023-04-10,47364
49.45,53.15,48.25,48.85,2023-04-11,192365
49.0,49.75,48.9,49.1,2023-04-12,22375
49.5,50.45,49.0,49.25,2023-04-13,27396
49.9,49.9,48.5,48.9,2023-04-17,36296
48.5,49.6,48.5,49.1,2023-04-18,28416
48.75,58.9,48.75,58.9,2023-04-19,1233653
62.65,67.3,60.55,61.45,2023-04-20,2370715
61.2,61.2,56.15,56.6,2023-04-21,394637
56.6,57.65,53.85,54.4,2023-04-24,198092
54.05,65.25,54.05,65.25,2023-04-25,2090898
68.5,68.5,59.75,60.55,2023-04-26,1100505
61.45,65.05,60.95,61.7,2023-04-27,539291
62.55,62.6,60.4,61.1,2023-04-28,134162
61.3,63.45,60.9,61.7,2023-05-02,254102
62.25,62.45,59.55,60.2,2023-05-03,163749
60.8,62.8,60.0,61.1,2023-05-04,190531
60.8,60.95,59.1,59.35,2023-05-05,152534
59.35,59.65,58.25,58.4,2023-05-08,103415
58.05,59.65,57.95,58.15,2023-05-09,80642
58.7,58.8,57.0,57.9,2023-05-10,68462
58.75,59.8,58.1,58.6,2023-05-11,76667
