open,high,low,close,date,volume
1191.0,1244.1,1191.0,1219.9,2022-09-29,4612
1225.0,1250.0,1205.3,1242.15,2022-09-30,4551
1248.4,1269.55,1233.05,1240.15,2022-10-03,2572
1246.4,1275.0,1230.0,1240.35,2022-10-04,8627
1246.6,1252.4,1237.05,1246.75,2022-10-06,2654
1251.3,1345.45,1251.3,1319.25,2022-10-07,24741
1314.9,1345.0,1280.0,1284.9,2022-10-10,17315
1291.0,1307.45,1250.0,1257.5,2022-10-11,3723
1263.8,1290.0,1250.0,1258.45,2022-10-12,6009
1264.75,1290.0,1251.05,1269.6,2022-10-13,4011
1290.0,1291.1,1254.05,1265.35,2022-10-14,3518
1265.3,1295.0,1132.7,1142.3,2022-10-17,86150
1142.3,1150.0,1094.25,1108.15,2022-10-18,28764
1132.0,1138.6,1090.0,1098.35,2022-10-19,11982
1100.0,1110.0,1075.0,1085.6,2022-10-20,9375
1091.05,1108.45,1085.0,1092.6,2022-10-21,10647
1109.0,1129.95,1096.0,1102.1,2022-10-24,6291
1102.1,1107.55,1069.15,1074.6,2022-10-25,9359
1080.0,1081.55,1049.9,1059.95,2022-10-27,7302
1065.25,1088.0,1035.0,1049.6,2022-10-28,13033
1049.6,1058.0,949.0,975.55,2022-10-31,30962
970.0,1014.0,960.65,1004.8,2022-11-01,33787
1014.85,1026.8,998.05,1008.45,2022-11-02,15245
1009.9,1011.95,996.0,1004.45,2022-11-03,8949
1009.5,1022.85,991.2,1010.3,2022-11-04,14501
1019.25,1024.65,992.9,1002.75,2022-11-07,13642
1016.25,1018.5,940.6,1003.45,2022-11-09,50055
1008.5,1008.5,985.0,997.25,2022-11-10,6148
1002.3,1014.25,994.8,1009.05,2022-11-11,5834
1009.05,1018.0,1003.0,1010.15,2022-11-14,4803
1015.25,1015.25,1003.0,1008.65,2022-11-15,4394
1013.7,1026.9,1002.05,1009.0,2022-11-16,26172
1014.05,1014.05,1000.05,1008.55,2022-11-17,4531
1012.4,1015.45,1003.0,1007.6,2022-11-18,4964
1012.65,1012.65,1002.35,1003.35,2022-11-21,2088
1008.4,1010.8,1001.0,1003.8,2022-11-22,2542
1000.2,1015.15,1000.2,1009.6,2022-11-23,4489
1015.0,1015.0,1001.0,1004.0,2022-11-24,3712
1009.05,1010.95,979.0,1004.2,2022-11-25,3306
1009.25,1015.2,999.05,1002.3,2022-11-28,6888
1007.3,1010.9,1002.05,1006.15,2022-11-29,1468
1006.2,1034.55,1006.15,1020.6,2022-11-30,5370
1025.0,1027.45,1019.5,1023.6,2022-12-01,1859
1003.35,1040.0,1003.35,1033.05,2022-12-02,3389
1038.0,1044.05,1030.0,1034.45,2022-12-05,3773
1037.45,1045.0,1005.65,1012.45,2022-12-06,15791
1016.65,1022.95,1003.0,1011.45,2022-12-07,6371
1002.1,1011.65,1002.0,1005.3,2022-12-08,5243
1000.25,1025.0,985.0,1003.85,2022-12-09,15317
991.05,1006.2,983.25,990.3,2022-12-12,9709
995.3,1011.0,993.05,1002.95,2022-12-13,8783
1018.9,1018.9,1000.0,1007.8,2022-12-14,3706
1002.6,1011.95,997.15,1001.45,2022-12-15,4725
1006.5,1010.0,991.1,1001.45,2022-12-16,5802
1004.0,1006.5,999.0,1003.9,2022-12-19,2080
1003.9,1010.0,1000.0,1009.05,2022-12-20,1076
1009.05,1009.95,998.0,1000.85,2022-12-21,4357
990.0,1005.9,985.65,993.1,2022-12-22,7323
985.0,1028.0,981.2,1008.9,2022-12-23,9792
1007.9,1030.15,991.9,1012.35,2022-12-26,28911
1015.0,1031.9,1002.0,1028.3,2022-12-27,7849
1031.0,1054.1,1026.45,1052.3,2022-12-28,10943
1090.0,1148.8,1022.0,1081.0,2022-12-29,12095
1081.0,1100.0,1051.0,1094.45,2022-12-30,10739
1099.95,1110.5,1070.05,1107.8,2023-01-02,7169
1095.1,1113.55,1065.6,1070.5,2023-01-03,10966
1070.5,1098.0,1042.0,1087.3,2023-01-04,12599
1087.3,1113.0,1080.0,1088.8,2023-01-05,8780
1090.2,1101.55,1056.95,1074.2,2023-01-06,5867
1130.0,1132.75,1080.0,1107.2,2023-01-09,20309
1112.75,1115.0,1080.5,1106.65,2023-01-10,6946
1106.65,1112.75,1085.0,1099.05,2023-01-11,3222
1104.55,1104.55,1086.95,1092.9,2023-01-12,2155
1088.0,1099.0,1086.5,1096.05,2023-01-13,2542
1101.55,1134.0,1077.95,1088.95,2023-01-16,3383
1092.1,1100.0,1065.1,1091.15,2023-01-17,3345
1091.7,1100.0,1072.0,1079.0,2023-01-18,3388
1070.0,1096.0,1070.0,1086.45,2023-01-19,2953
1091.9,1099.0,1080.0,1095.2,2023-01-20,2887
1099.0,1130.0,1045.65,1068.45,2023-01-23,22595
1089.85,1090.0,1060.8,1078.5,2023-01-24,6940
1078.0,1078.0,1063.3,1070.2,2023-01-25,2111
1075.6,1075.6,1024.6,1035.05,2023-01-27,4876
1035.0,1050.05,1015.0,1040.4,2023-01-30,3826
1045.65,1075.0,1040.4,1061.55,2023-01-31,2528
1088.9,1088.9,1030.0,1051.6,2023-02-01,5920
1051.6,1071.0,1028.0,1050.85,2023-02-02,4152
1056.15,1064.35,1022.55,1034.4,2023-02-03,7330
1039.6,1039.6,1025.2,1033.1,2023-02-06,2028
1038.3,1069.95,1024.85,1055.0,2023-02-07,1708
1054.05,1070.0,1034.45,1055.2,2023-02-08,2022
1025.0,1046.95,1025.0,1033.25,2023-02-09,3286
1032.4,1041.5,1027.0,1035.7,2023-02-10,1563
1040.9,1040.9,1015.0,1025.15,2023-02-13,3259
1030.0,1030.0,1010.7,1019.4,2023-02-14,1422
1024.5,1040.0,1002.1,1014.25,2023-02-15,1681
1015.0,1037.95,1012.05,1024.05,2023-02-16,2629
1003.3,1020.0,1003.3,1009.6,2023-02-17,3513
1014.6,1023.9,1005.0,1011.55,2023-02-20,2336
1011.55,1023.0,1003.0,1011.2,2023-02-21,1995
1011.0,1012.15,998.0,1002.65,2023-02-22,2829
1007.7,1015.25,999.0,1013.45,2023-02-23,2281
1018.55,1018.55,993.3,1005.25,2023-02-24,2720
1000.0,1010.2,971.05,991.5,2023-02-27,4977
992.05,1018.45,991.55,999.9,2023-02-28,3254
1004.9,1016.35,1002.0,1008.8,2023-03-01,1483
1011.75,1013.8,1000.0,1003.55,2023-03-02,1040
1008.6,1025.3,991.6,1009.0,2023-03-03,7635
1014.05,1024.0,1000.15,1016.8,2023-03-06,3049
1015.9,1018.7,1000.05,1005.45,2023-03-08,1999
1005.0,1069.0,1000.0,1058.35,2023-03-09,29531
1059.0,1078.0,1035.0,1045.35,2023-03-10,26427
1016.0,1078.0,1012.4,1057.55,2023-03-13,13078
1062.85,1065.0,1010.0,1017.0,2023-03-14,3529
1022.1,1075.0,1011.05,1068.2,2023-03-15,24536
1057.5,1070.4,1035.5,1041.65,2023-03-16,9531
1046.8,1069.9,1035.05,1062.75,2023-03-17,7752
1045.65,1054.35,1022.0,1026.85,2023-03-20,2803
1031.75,1100.0,1005.0,1059.1,2023-03-21,8837
1064.4,1064.4,1028.05,1036.3,2023-03-22,2586
1036.3,1085.0,1016.0,1048.65,2023-03-23,4960
