open,high,low,close,date,volume
2171.0,2209.1,2157.05,2188.75,2022-09-29,103360
2166.0,2188.15,2151.0,2169.5,2022-09-30,73397
2180.3,2207.95,2162.35,2174.1,2022-10-03,54384
2200.0,2205.0,2182.0,2195.45,2022-10-04,48822
2218.9,2224.7,2191.4,2200.25,2022-10-06,63747
2200.0,2216.0,2174.0,2184.7,2022-10-07,32081
2184.7,2184.7,2096.0,2143.3,2022-10-10,100164
2110.8,2118.95,2079.55,2099.45,2022-10-11,209311
2092.0,2105.25,1953.75,2063.75,2022-10-12,286459
2074.0,2074.0,2010.25,2043.3,2022-10-13,147077
2078.7,2091.8,2014.0,2026.25,2022-10-14,44559
2029.95,2045.0,1986.0,2032.95,2022-10-17,141289
2042.85,2069.6,2015.55,2058.05,2022-10-18,38565
2067.0,2111.0,2041.25,2080.5,2022-10-19,85756
2068.35,2098.4,1970.0,1996.8,2022-10-20,128506
2005.0,2107.95,1993.1,2085.95,2022-10-21,59506
2111.2,2140.0,2096.95,2112.9,2022-10-24,11261
2124.0,2124.75,2051.0,2073.95,2022-10-25,32480
2084.9,2142.95,2065.65,2096.55,2022-10-27,35978
2093.0,2127.6,2064.0,2091.35,2022-10-28,20426
2101.8,2209.95,2088.55,2171.95,2022-10-31,83975
2174.0,2264.0,2158.55,2225.45,2022-11-01,86941
2245.0,2253.0,2172.9,2215.85,2022-11-02,47455
2219.9,2238.25,2189.6,2227.15,2022-11-03,56565
2238.0,2333.0,2216.75,2323.95,2022-11-04,76575
2350.0,2366.0,2322.25,2346.45,2022-11-07,57442
2336.0,2363.2,2326.6,2340.8,2022-11-09,32850
2341.5,2380.0,2331.1,2351.15,2022-11-10,79616
2362.95,2409.8,2347.0,2365.65,2022-11-11,56881
2366.0,2399.0,2266.0,2276.25,2022-11-14,93254
2291.75,2309.9,2231.0,2255.5,2022-11-15,43267
2256.6,2266.8,2188.05,2199.35,2022-11-16,28980
2199.35,2200.35,2151.0,2160.05,2022-11-17,19812
2152.05,2165.05,2113.0,2131.3,2022-11-18,19242
2142.0,2178.0,2120.0,2132.1,2022-11-21,22959
2132.1,2141.0,2105.55,2130.5,2022-11-22,17720
2141.15,2159.8,2071.2,2074.95,2022-11-23,53316
2074.95,2084.95,2054.05,2058.3,2022-11-24,92366
2067.5,2090.0,2046.55,2057.75,2022-11-25,46785
2079.7,2079.7,2009.3,2030.05,2022-11-28,99179
2037.7,2059.9,2023.35,2029.9,2022-11-29,45373
2039.7,2058.1,2030.6,2048.9,2022-11-30,88322
2056.85,2064.7,2038.95,2051.55,2022-12-01,36282
2060.0,2099.0,2050.7,2095.25,2022-12-02,40378
2114.7,2120.0,2053.2,2065.65,2022-12-05,48280
