open,high,low,close,date,volume
74.9,75.8,72.65,73.2,2022-09-29,220187
73.55,74.7,72.55,73.6,2022-09-30,290507
73.25,76.9,72.1,72.7,2022-10-03,463505
73.5,74.9,73.3,73.7,2022-10-04,162949
74.3,78.45,74.05,78.0,2022-10-06,653194
78.0,79.8,76.6,78.6,2022-10-07,530899
78.0,81.45,77.4,80.95,2022-10-10,1035049
81.35,81.9,77.45,78.0,2022-10-11,567337
77.95,79.9,77.05,77.6,2022-10-12,380300
77.6,78.15,76.1,76.6,2022-10-13,176611
77.5,78.75,76.3,76.55,2022-10-14,217709
76.1,76.85,75.2,75.45,2022-10-17,184924
76.0,79.9,75.55,78.5,2022-10-18,723922
78.95,80.7,77.65,78.05,2022-10-19,421080
78.5,79.8,77.0,78.65,2022-10-20,274161
79.2,79.2,76.5,77.0,2022-10-21,156127
77.1,78.75,77.1,77.9,2022-10-24,59205
78.7,78.7,75.75,76.2,2022-10-25,206221
76.95,77.1,75.1,76.35,2022-10-27,220366
76.3,76.7,75.25,75.65,2022-10-28,125660
76.0,76.4,75.1,75.4,2022-10-31,131762
75.9,75.95,73.3,74.2,2022-11-01,342626
74.95,75.8,73.5,74.45,2022-11-02,144241
74.75,75.8,74.0,74.85,2022-11-03,136987
74.7,75.7,74.0,74.35,2022-11-04,161884
75.25,75.7,73.75,74.1,2022-11-07,148705
74.95,75.75,73.65,74.1,2022-11-09,240233
75.6,75.6,73.6,73.9,2022-11-10,128827
74.8,76.5,74.25,75.25,2022-11-11,334367
77.0,77.85,74.75,75.65,2022-11-14,522637
77.5,78.0,75.25,75.7,2022-11-15,371540
75.8,76.3,72.8,73.45,2022-11-16,351689
73.7,74.25,73.3,73.55,2022-11-17,135135
73.95,74.75,73.05,74.55,2022-11-18,210938
74.0,74.65,72.3,73.35,2022-11-21,164514
74.75,78.7,72.1,72.75,2022-11-22,828455
73.0,77.8,72.15,76.6,2022-11-23,655387
77.0,77.35,74.7,75.05,2022-11-24,255158
75.0,76.0,73.85,75.4,2022-11-25,396799
75.7,80.0,74.1,77.4,2022-11-28,1441902
77.75,78.25,76.0,76.4,2022-11-29,300710
76.05,77.5,75.95,76.65,2022-11-30,225096
77.25,77.65,75.4,76.15,2022-12-01,475490
76.15,77.3,75.4,76.05,2022-12-02,202665
76.25,76.9,75.75,76.05,2022-12-05,275172
76.05,77.5,75.9,76.05,2022-12-06,281656
76.0,77.1,75.3,76.05,2022-12-07,227740
76.8,76.8,75.5,75.85,2022-12-08,98476
75.75,79.7,75.75,78.3,2022-12-09,1078620
78.4,87.15,77.35,83.25,2022-12-12,6061672
84.25,84.7,80.15,80.65,2022-12-13,1071761
80.95,81.35,78.1,78.6,2022-12-14,1032433
78.6,81.4,78.5,80.05,2022-12-15,659889
79.5,81.85,78.0,79.65,2022-12-16,550216
79.85,82.6,78.65,81.0,2022-12-19,557486
81.25,82.9,78.55,79.3,2022-12-20,723657
79.75,80.25,73.7,75.05,2022-12-21,853237
75.05,75.8,69.55,71.0,2022-12-22,1046108
70.0,70.3,65.0,65.6,2022-12-23,712967
66.05,71.0,65.6,70.45,2022-12-26,648671
70.8,74.15,69.6,72.45,2022-12-27,504147
71.15,74.6,71.15,73.15,2022-12-28,267739
72.2,73.0,71.1,71.7,2022-12-29,242055
71.8,73.1,70.85,71.2,2022-12-30,345404
71.95,73.2,70.9,72.6,2023-01-02,352151
72.0,74.65,72.0,74.2,2023-01-03,486913
74.7,74.7,72.55,73.0,2023-01-04,237886
73.6,73.6,72.05,73.2,2023-01-05,184616
73.6,73.6,71.75,72.05,2023-01-06,141867
72.45,74.5,72.3,73.95,2023-01-09,435222
73.95,75.2,72.9,73.55,2023-01-10,247987
73.55,74.4,73.15,73.65,2023-01-11,152914
73.8,74.25,72.65,73.7,2023-01-12,137953
73.7,75.55,73.15,74.15,2023-01-13,194029
74.25,74.8,72.5,73.25,2023-01-16,212266
73.25,74.85,72.05,73.55,2023-01-17,209857
73.55,74.1,70.0,71.4,2023-01-18,540695
70.45,72.2,70.45,71.55,2023-01-19,186176
71.75,72.85,70.9,71.3,2023-01-20,414477
71.55,71.9,70.5,71.1,2023-01-23,247980
71.1,71.7,70.7,71.15,2023-01-24,153082
70.85,71.55,69.5,70.45,2023-01-25,304975
70.05,70.9,67.75,68.85,2023-01-27,382361
68.1,69.8,67.1,67.8,2023-01-30,503117
67.8,72.9,67.25,71.05,2023-01-31,387402
72.15,75.0,69.6,71.1,2023-02-01,819955
70.55,72.75,69.25,71.95,2023-02-02,389270
74.05,74.95,68.75,69.4,2023-02-03,1108488
69.0,70.4,65.4,67.45,2023-02-06,437844
67.9,68.4,66.0,66.55,2023-02-07,387814
66.5,69.75,66.2,69.2,2023-02-08,368054
69.5,69.5,67.65,68.1,2023-02-09,193822
67.95,68.35,66.1,67.0,2023-02-10,273318
67.1,68.5,66.75,66.9,2023-02-13,155394
66.9,68.0,64.5,65.45,2023-02-14,345787
65.45,66.8,65.3,65.95,2023-02-15,166120
66.65,67.15,66.05,66.75,2023-02-16,123734
66.75,67.4,65.05,66.15,2023-02-17,216209
66.15,66.7,64.3,64.8,2023-02-20,263385
65.05,65.95,64.4,64.8,2023-02-21,178256
64.1,64.15,61.75,62.1,2023-02-22,592356
61.95,63.3,61.45,61.85,2023-02-23,260856
62.45,63.35,61.05,61.95,2023-02-24,178088
62.25,63.0,61.0,61.4,2023-02-27,103295
61.35,63.0,61.25,62.5,2023-02-28,113206
62.9,65.3,62.7,64.8,2023-03-01,452669
64.8,64.8,62.45,62.7,2023-03-02,185221
62.9,63.3,61.2,61.45,2023-03-03,560444
61.65,62.9,61.25,61.95,2023-03-06,217188
61.35,63.55,61.1,62.8,2023-03-08,373021
62.15,64.15,62.15,63.1,2023-03-09,171782
62.75,63.1,62.3,62.85,2023-03-10,111105
62.85,62.85,60.1,60.7,2023-03-13,225114
61.05,61.5,59.0,59.25,2023-03-14,299298
60.05,60.6,58.1,58.4,2023-03-15,224294
58.8,59.85,56.05,59.2,2023-03-16,554277
59.2,61.4,59.15,60.1,2023-03-17,238963
59.55,59.55,56.85,58.45,2023-03-20,314946
