open,high,low,close,date,volume
296.0,301.0,293.0,295.65,2022-09-29,224836
295.95,305.5,291.3,300.5,2022-09-30,446793
300.0,303.0,295.7,298.8,2022-10-03,234075
303.9,307.85,302.3,307.05,2022-10-04,221090
310.0,314.0,308.65,312.25,2022-10-06,209375
313.0,313.0,306.25,310.6,2022-10-07,125383
310.6,313.85,304.65,311.55,2022-10-10,205680
312.0,314.2,301.15,302.2,2022-10-11,152829
303.7,304.85,299.1,302.95,2022-10-12,162258
304.5,306.15,297.0,302.2,2022-10-13,165311
305.45,309.65,301.2,302.3,2022-10-14,202491
301.0,302.9,295.0,297.6,2022-10-17,207710
301.5,304.5,299.5,302.2,2022-10-18,199850
299.05,304.05,295.8,301.85,2022-10-19,961867
297.1,305.35,297.0,304.6,2022-10-20,179491
304.6,306.3,299.0,300.6,2022-10-21,107878
302.0,304.5,298.4,302.05,2022-10-24,88993
303.55,307.85,301.7,304.05,2022-10-25,178741
304.05,313.55,304.05,311.7,2022-10-27,490320
313.7,314.85,303.9,307.5,2022-10-28,292382
309.05,309.05,300.6,304.8,2022-10-31,244114
300.0,304.1,297.0,303.1,2022-11-01,247326
304.45,308.5,301.0,303.2,2022-11-02,178770
303.15,307.05,300.1,304.1,2022-11-03,212881
304.1,313.4,304.1,311.8,2022-11-04,245321
314.7,318.2,311.95,316.05,2022-11-07,431661
319.0,319.6,314.05,315.15,2022-11-09,157507
313.0,315.1,311.1,312.1,2022-11-10,124393
316.6,321.8,316.05,319.9,2022-11-11,434314
321.0,328.05,321.0,322.65,2022-11-14,285016
324.7,324.7,318.1,321.3,2022-11-15,157327
322.8,322.8,311.15,315.25,2022-11-16,135958
314.9,315.8,308.5,311.7,2022-11-17,169735
313.1,314.15,308.7,311.6,2022-11-18,176502
315.5,316.45,308.05,309.0,2022-11-21,140054
310.45,312.75,306.55,311.8,2022-11-22,80728
313.25,315.0,311.25,312.35,2022-11-23,87216
312.35,317.45,311.3,314.5,2022-11-24,183377
316.1,317.7,313.95,317.05,2022-11-25,147779
318.0,318.4,310.15,312.25,2022-11-28,147644
314.0,320.5,312.3,317.85,2022-11-29,193218
317.85,321.5,316.85,319.75,2022-11-30,119502
321.35,328.7,319.85,326.6,2022-12-01,330824
326.6,330.9,326.55,328.95,2022-12-02,262510
330.9,345.95,330.05,341.2,2022-12-05,694512
339.95,339.95,330.75,331.6,2022-12-06,215784
331.6,333.65,322.85,326.35,2022-12-07,188214
327.75,336.95,324.1,329.5,2022-12-08,433137
332.7,335.0,321.5,324.05,2022-12-09,242441
323.0,328.3,318.55,326.45,2022-12-12,146666
327.45,330.0,323.0,326.75,2022-12-13,367956
328.3,333.9,327.3,332.8,2022-12-14,240551
332.6,334.1,324.9,326.35,2022-12-15,265204
326.35,329.6,321.15,326.3,2022-12-16,167896
327.0,329.4,325.0,327.25,2022-12-19,398638
328.2,328.2,321.05,325.85,2022-12-20,105279
324.25,329.05,319.0,320.95,2022-12-21,174700
319.55,324.4,312.3,316.4,2022-12-22,356918
311.65,313.2,296.1,298.05,2022-12-23,239617
298.0,311.35,295.8,308.55,2022-12-26,153956
310.1,327.0,310.05,324.8,2022-12-27,221623
325.0,329.0,321.5,327.25,2022-12-28,312573
327.7,332.7,323.45,331.45,2022-12-29,432499
333.0,340.9,332.95,334.95,2022-12-30,277717
335.0,353.8,335.0,352.1,2023-01-02,1013605
354.8,355.9,346.8,349.4,2023-01-03,371244
350.7,352.0,340.25,341.8,2023-01-04,280340
343.0,348.9,338.05,347.4,2023-01-05,422123
348.15,350.0,341.5,342.25,2023-01-06,204561
344.65,349.8,344.65,346.55,2023-01-09,139866
348.3,353.9,346.05,349.7,2023-01-10,175025
349.7,354.0,347.3,349.95,2023-01-11,259825
350.0,350.8,345.9,347.4,2023-01-12,152054
348.8,358.5,347.85,353.4,2023-01-13,462624
355.0,357.15,349.25,351.4,2023-01-16,420009
347.0,350.95,344.05,348.65,2023-01-17,582813
348.55,360.0,348.55,358.85,2023-01-18,417239
358.0,363.15,355.3,360.1,2023-01-19,331514
361.0,362.4,355.85,358.55,2023-01-20,196978
360.0,361.4,354.55,356.65,2023-01-23,228002
356.65,357.9,349.25,351.6,2023-01-24,181560
351.05,357.0,349.65,352.55,2023-01-25,307791
352.95,357.55,344.4,351.25,2023-01-27,262077
350.0,351.3,338.1,343.55,2023-01-30,218583
344.0,350.65,341.5,347.85,2023-01-31,215033
346.1,359.85,343.4,351.65,2023-02-01,249463
348.6,353.45,341.0,344.9,2023-02-02,181777
344.95,350.55,336.85,347.75,2023-02-03,183289
346.9,346.9,337.1,338.7,2023-02-06,142648
330.0,332.0,318.7,322.15,2023-02-07,387018
321.1,325.5,317.25,323.1,2023-02-08,186670
323.15,326.5,317.7,321.55,2023-02-09,139877
320.7,321.0,315.1,315.9,2023-02-10,153573
313.15,319.35,313.15,314.65,2023-02-13,187571
316.25,317.75,313.25,316.4,2023-02-14,69729
319.95,319.95,314.85,317.75,2023-02-15,127252
319.35,323.6,318.6,322.3,2023-02-16,60856
322.4,326.3,321.85,323.2,2023-02-17,120598
325.5,326.3,319.5,324.7,2023-02-20,107775
326.35,330.3,325.05,325.95,2023-02-21,114799
323.95,326.65,318.5,321.45,2023-02-22,85239
321.85,327.9,320.25,324.0,2023-02-23,140225
325.0,327.45,317.7,319.0,2023-02-24,112586
319.1,319.15,305.1,310.0,2023-02-27,215795
310.0,311.45,304.0,304.8,2023-02-28,91606
306.35,312.55,304.8,309.2,2023-03-01,93910
310.75,312.45,305.4,306.45,2023-03-02,66674
308.1,313.9,307.2,312.45,2023-03-03,88589
311.85,316.9,310.65,311.35,2023-03-06,150933
311.35,315.25,301.95,314.55,2023-03-08,112008
315.05,321.65,315.05,320.05,2023-03-09,114582
319.0,320.7,314.55,319.2,2023-03-10,134672
322.5,322.5,312.3,314.55,2023-03-13,88824
314.25,320.1,313.95,315.9,2023-03-14,77383
316.3,321.7,316.3,319.75,2023-03-15,92936
316.55,318.0,308.0,310.0,2023-03-16,158135
311.05,316.15,310.5,314.5,2023-03-17,99756
313.6,317.0,307.0,309.5,2023-03-20,125711
311.05,314.95,308.05,314.05,2023-03-21,69550
315.95,316.05,310.5,311.15,2023-03-22,39900
311.95,314.75,306.35,310.45,2023-03-23,55748
309.6,311.0,302.7,305.1,2023-03-24,100606
306.65,309.0,303.05,306.85,2023-03-27,89048
309.0,310.7,305.0,306.3,2023-03-28,187895
305.0,309.85,303.25,307.95,2023-03-29,124517
309.9,314.7,309.5,311.75,2023-03-31,128617
313.25,315.8,309.0,312.25,2023-04-03,191525
312.25,313.8,309.35,313.15,2023-04-05,58953
314.75,314.9,312.0,313.0,2023-04-06,124351
314.6,316.5,312.55,315.5,2023-04-10,51043
317.1,327.0,314.05,322.15,2023-04-11,142894
326.0,327.45,319.85,323.15,2023-04-12,324826
326.0,326.95,317.0,322.6,2023-04-13,174140
322.85,330.7,320.5,322.6,2023-04-17,220566
323.6,325.35,320.1,323.05,2023-04-18,90013
323.0,331.0,323.0,324.8,2023-04-19,169257
325.75,327.1,321.0,323.35,2023-04-20,226567
324.5,324.75,314.9,318.05,2023-04-21,110225
318.05,321.5,316.3,320.1,2023-04-24,69550
317.1,323.45,317.1,320.65,2023-04-25,52746
320.6,323.7,317.0,321.25,2023-04-26,101233
323.0,323.85,319.9,323.0,2023-04-27,95862
320.2,325.5,320.1,324.9,2023-04-28,283794
325.0,333.15,325.0,331.5,2023-05-02,192770
333.0,333.0,325.85,328.85,2023-05-03,122248
326.0,335.5,326.0,331.35,2023-05-04,174420
332.95,332.95,324.45,325.6,2023-05-05,106686
325.65,329.45,324.05,327.8,2023-05-08,103714
329.0,332.35,325.8,327.35,2023-05-09,162607
329.0,329.0,324.05,325.4,2023-05-10,23997
325.0,326.95,323.2,324.45,2023-05-11,34222
326.1,326.1,319.0,319.3,2023-05-12,57868
317.8,322.75,317.0,321.85,2023-05-15,47997
321.0,324.0,319.0,320.05,2023-05-16,72735
320.05,321.25,315.1,315.9,2023-05-17,79131
317.0,319.7,314.05,314.6,2023-05-18,43270
315.5,315.5,310.5,312.7,2023-05-19,61163
314.3,315.05,310.3,312.25,2023-05-22,47124
311.1,317.45,311.1,315.05,2023-05-23,67215
312.0,315.45,312.0,313.8,2023-05-24,55094
313.85,315.2,311.05,312.5,2023-05-25,27380
313.95,318.75,313.8,317.85,2023-05-26,55199
318.45,325.15,318.3,324.4,2023-05-29,124091
326.0,326.0,320.1,321.55,2023-05-30,42875
323.1,323.1,317.15,317.85,2023-05-31,44018
319.45,319.95,317.15,317.75,2023-06-01,45015
319.0,324.0,319.0,322.65,2023-06-02,105170
324.9,329.0,322.1,327.95,2023-06-05,124921
327.0,329.6,323.25,325.8,2023-06-06,85781
327.45,335.0,325.8,333.65,2023-06-07,203496
334.8,339.0,332.2,333.55,2023-06-08,247160
331.1,334.85,325.45,327.5,2023-06-09,140105
327.5,331.7,326.4,328.45,2023-06-12,100817
328.45,336.35,328.45,332.1,2023-06-13,119840
333.8,340.0,333.55,339.05,2023-06-14,298500
339.8,340.65,337.0,338.2,2023-06-15,171213
342.65,344.85,339.0,339.95,2023-06-16,179404
340.95,343.65,335.6,339.2,2023-06-19,223191
337.1,342.3,334.6,337.65,2023-06-20,106659
338.0,339.9,331.9,333.4,2023-06-21,247884
335.0,335.0,323.8,328.9,2023-06-22,272133
328.85,328.85,323.05,325.65,2023-06-23,53923
323.05,326.0,321.0,324.95,2023-06-26,92277
325.9,334.5,323.6,326.8,2023-06-27,88013
330.0,330.75,327.4,328.9,2023-06-28,52531
330.2,335.0,326.65,333.6,2023-06-30,174913
333.6,338.6,332.5,335.25,2023-07-03,97807
339.85,339.85,332.2,334.5,2023-07-04,56496
334.0,337.75,333.55,335.05,2023-07-05,112547
333.05,335.9,332.0,334.6,2023-07-06,102156
334.55,337.0,332.35,334.3,2023-07-07,66880
332.25,345.15,332.05,343.7,2023-07-10,276000
345.45,346.9,343.0,343.75,2023-07-11,159190
345.0,346.45,338.1,342.45,2023-07-12,132114
344.15,349.0,342.0,343.3,2023-07-13,178335
344.35,351.0,342.45,349.3,2023-07-14,130873
352.25,357.3,340.55,352.25,2023-07-17,1510495
352.05,356.0,349.05,351.95,2023-07-18,355889
351.95,352.95,349.95,351.85,2023-07-19,98393
352.25,354.5,351.05,351.7,2023-07-20,79015
351.0,355.4,348.2,351.25,2023-07-21,196318
352.0,353.0,345.25,347.15,2023-07-24,111596
345.5,364.0,345.5,361.15,2023-07-25,494363
361.0,366.7,360.2,364.05,2023-07-26,318371
366.95,368.0,359.1,361.9,2023-07-27,195355
362.0,369.65,358.3,367.6,2023-07-28,247490
369.0,376.85,367.45,374.0,2023-07-31,481097
375.8,377.0,370.05,373.0,2023-08-01,159544
372.95,372.95,361.1,364.8,2023-08-02,194217
364.4,367.75,361.05,365.85,2023-08-03,104978
367.7,371.45,363.75,365.05,2023-08-04,124375
366.85,370.5,364.4,368.95,2023-08-07,135747
368.95,370.15,357.8,366.4,2023-08-08,181194
369.0,374.0,362.3,372.25,2023-08-09,152064
373.95,374.5,368.0,371.2,2023-08-10,165743
369.0,373.8,367.25,369.95,2023-08-11,124478
370.0,370.05,361.1,364.35,2023-08-14,130542
364.35,364.35,357.1,358.75,2023-08-16,112627
358.75,362.0,355.7,360.35,2023-08-17,144417
361.9,361.9,355.6,358.15,2023-08-18,322109
367.4,367.4,357.0,361.4,2023-08-21,107046
358.5,367.0,358.5,365.0,2023-08-22,159543
365.0,372.95,364.1,368.75,2023-08-23,152014
372.0,373.0,365.1,366.75,2023-08-24,132198
367.0,368.5,363.0,364.7,2023-08-25,96887
366.55,369.2,364.05,365.8,2023-08-28,169609
366.0,378.3,366.0,371.75,2023-08-29,374375
373.95,382.9,373.95,380.4,2023-08-30,567637
383.05,386.4,379.95,384.85,2023-08-31,450360
387.75,401.85,385.0,398.1,2023-09-01,759603
405.0,416.95,405.0,412.75,2023-09-04,807944
414.95,415.7,403.15,411.3,2023-09-05,413531
412.0,412.7,400.8,404.55,2023-09-06,236145
404.55,409.75,402.75,407.45,2023-09-07,69705
409.15,411.5,404.0,404.35,2023-09-08,157874
406.35,411.6,402.2,409.65,2023-09-11,217798
411.25,414.6,397.8,401.6,2023-09-12,304653
401.6,405.7,396.05,403.25,2023-09-13,176930
403.0,421.0,402.45,412.05,2023-09-14,396871
414.8,415.6,406.05,410.65,2023-09-15,245529
415.0,416.75,406.9,407.95,2023-09-18,165504
408.0,411.65,399.3,401.4,2023-09-20,240714
401.4,403.95,398.0,399.0,2023-09-21,81153
398.1,401.8,390.2,395.75,2023-09-22,180278
395.8,399.5,393.4,396.1,2023-09-25,271993
398.95,407.65,398.95,402.1,2023-09-26,189656
401.1,401.1,395.35,398.55,2023-09-27,170662
399.8,402.6,395.25,396.25,2023-09-28,149485
398.25,405.0,398.05,402.7,2023-09-29,133566
402.7,402.7,396.75,399.65,2023-10-03,77303
397.0,399.7,389.55,392.35,2023-10-04,63110
392.5,395.0,390.45,392.25,2023-10-05,73662
393.2,397.2,391.1,392.75,2023-10-06,99502
388.05,391.95,383.1,386.05,2023-10-09,103016
389.15,393.5,385.1,390.75,2023-10-10,95447
390.0,394.15,390.0,390.55,2023-10-11,96356
389.9,396.75,389.9,394.35,2023-10-12,103715
392.9,393.6,387.3,389.3,2023-10-13,176023
388.05,399.95,388.05,396.1,2023-10-16,334459
395.05,402.75,395.05,398.45,2023-10-17,183806
402.8,403.55,396.1,397.25,2023-10-18,139198
393.1,396.75,388.15,394.7,2023-10-19,123113
394.65,395.15,388.5,389.95,2023-10-20,117030
390.0,391.0,378.0,380.65,2023-10-23,211401
380.65,389.6,380.65,384.25,2023-10-25,123079
380.2,381.0,374.6,378.45,2023-10-26,145050
380.35,383.0,376.9,378.85,2023-10-27,104306
375.55,380.75,375.55,377.95,2023-10-30,99578
378.9,381.15,374.0,375.7,2023-10-31,103813
375.05,376.0,369.0,370.65,2023-11-01,149957
362.65,376.25,361.95,374.9,2023-11-02,225074
376.85,377.4,372.0,372.35,2023-11-03,85799
372.55,383.0,372.55,382.45,2023-11-06,229090
382.45,386.5,380.55,384.1,2023-11-07,267006
386.35,386.35,381.15,383.15,2023-11-08,190017
382.15,388.0,381.75,383.65,2023-11-09,187754
380.1,387.05,380.1,385.6,2023-11-10,155764
387.5,389.0,385.5,386.75,2023-11-12,59012
386.75,389.45,385.0,387.25,2023-11-13,90948
391.95,398.4,390.0,396.95,2023-11-15,323095
399.5,400.55,394.3,398.45,2023-11-16,249310
400.0,402.7,397.3,401.75,2023-11-17,164512
401.05,403.45,398.75,400.4,2023-11-20,238128
397.15,407.1,397.15,405.85,2023-11-21,263991
406.0,407.65,403.4,405.05,2023-11-22,190100
405.05,409.4,404.05,407.05,2023-11-23,173385
408.8,409.1,403.15,405.1,2023-11-24,161170
407.15,410.8,405.15,410.05,2023-11-28,221535
412.15,413.8,409.3,412.5,2023-11-29,216519
412.5,415.3,408.2,413.35,2023-11-30,246424
413.35,429.65,413.15,420.95,2023-12-01,594588
425.0,426.6,422.1,423.4,2023-12-04,326845
426.5,428.65,421.15,424.65,2023-12-05,294844
424.65,431.3,421.8,424.55,2023-12-06,224433
425.0,426.4,417.25,418.6,2023-12-07,62364
415.45,424.5,412.1,416.75,2023-12-08,92605
417.0,422.8,415.3,420.85,2023-12-11,121882
423.0,430.25,420.8,422.05,2023-12-12,304854
422.5,425.8,418.5,425.0,2023-12-13,198079
426.9,431.85,425.2,427.65,2023-12-14,254805
432.0,442.0,429.4,440.6,2023-12-15,455427
443.7,446.5,436.5,442.2,2023-12-18,450202
442.65,445.05,435.0,437.2,2023-12-19,164864
437.95,440.0,411.55,417.35,2023-12-20,306470
414.0,424.6,411.35,423.65,2023-12-21,276780
425.0,435.95,425.0,432.1,2023-12-22,174586
434.3,440.0,434.3,436.5,2023-12-26,114925
436.5,447.6,436.5,441.1,2023-12-27,272475
445.0,447.0,439.55,443.95,2023-12-28,459132
444.15,455.7,440.6,449.6,2023-12-29,527368
