open,high,low,close,date,volume
100.45,100.45,94.45,96.95,2022-09-29,8343
97.6,99.4,97.5,98.55,2022-09-30,4804
101.9,101.9,96.0,97.1,2022-10-03,4027
98.55,100.75,95.15,95.85,2022-10-04,11134
95.5,99.5,95.5,97.7,2022-10-06,11071
96.1,98.95,96.1,97.5,2022-10-07,6102
98.65,101.0,97.0,99.05,2022-10-10,4420
97.25,99.45,96.8,97.35,2022-10-11,3579
97.55,98.75,96.45,97.05,2022-10-12,3042
96.5,97.55,95.35,96.25,2022-10-13,2025
96.6,104.6,95.8,101.9,2022-10-14,114188
103.35,109.95,99.3,102.55,2022-10-17,33822
105.0,105.0,100.35,100.7,2022-10-18,10025
100.0,102.35,98.0,98.65,2022-10-19,11298
98.05,99.8,98.0,99.0,2022-10-20,5910
98.1,99.8,97.7,97.9,2022-10-21,2440
99.3,104.0,99.3,100.8,2022-10-24,3254
99.0,102.7,97.0,98.55,2022-10-25,12399
97.7,99.65,97.5,98.1,2022-10-27,9281
99.55,99.55,97.0,98.35,2022-10-28,5506
99.75,100.9,97.0,100.3,2022-10-31,14204
100.95,100.95,99.05,100.1,2022-11-01,18497
101.0,104.45,99.55,103.6,2022-11-02,16795
104.0,104.0,101.2,102.5,2022-11-03,23081
102.9,102.9,100.0,100.7,2022-11-04,3333
100.15,111.4,99.7,103.7,2022-11-07,106717
103.5,106.9,102.0,103.25,2022-11-09,28923
103.25,112.0,103.2,108.6,2022-11-10,93396
111.0,111.0,103.5,104.25,2022-11-11,36866
103.1,107.0,100.0,102.7,2022-11-14,54481
100.5,108.0,95.8,101.9,2022-11-15,21252
100.3,103.9,100.3,103.55,2022-11-16,5781
101.6,103.35,101.6,102.45,2022-11-17,4630
102.45,103.55,99.0,99.55,2022-11-18,13233
99.5,100.75,99.05,99.45,2022-11-21,6325
99.45,100.7,98.35,98.7,2022-11-22,3548
98.9,103.85,96.6,100.3,2022-11-23,21465
99.0,102.0,97.95,99.2,2022-11-24,5506
100.65,100.65,98.65,100.0,2022-11-25,3586
100.05,100.5,98.0,98.25,2022-11-28,6131
98.75,99.5,97.3,97.45,2022-11-29,16010
97.85,99.7,97.5,97.95,2022-11-30,6171
97.5,98.5,96.65,97.25,2022-12-01,5256
96.1,109.7,96.1,106.75,2022-12-02,153951
106.15,114.5,103.8,110.25,2022-12-05,242124
110.25,110.25,105.0,106.35,2022-12-06,114853
108.0,108.0,104.3,105.05,2022-12-07,17442
104.65,106.0,103.2,105.4,2022-12-08,9846
103.5,107.45,97.1,99.25,2022-12-09,33830
99.5,101.6,99.5,101.2,2022-12-12,9131
102.55,103.5,99.8,100.5,2022-12-13,8311
100.5,102.0,100.0,100.8,2022-12-14,4489
100.9,101.85,100.5,100.75,2022-12-15,3371
102.25,102.25,98.35,99.05,2022-12-16,8886
100.0,104.85,99.0,102.95,2022-12-19,36666
102.9,103.0,99.8,100.8,2022-12-20,9945
100.9,101.2,98.0,98.75,2022-12-21,8894
97.15,98.95,95.0,96.8,2022-12-22,7555
96.0,96.0,92.0,92.45,2022-12-23,9774
92.7,96.7,90.95,95.65,2022-12-26,7250
