open,high,low,close,date,volume
107.0,110.95,101.7,104.4,2022-12-06,8149
108.9,109.45,104.05,108.6,2022-12-07,5085
106.1,114.0,106.1,111.25,2022-12-08,11025
116.0,116.0,106.0,112.6,2022-12-09,24747
114.9,114.9,110.0,110.05,2022-12-12,5012
109.1,113.7,108.6,108.65,2022-12-13,4744
111.7,112.0,107.15,108.2,2022-12-14,3356
109.9,109.9,104.2,106.05,2022-12-15,2220
107.35,110.45,101.35,108.4,2022-12-16,5899
103.0,112.95,103.0,109.5,2022-12-19,2321
109.95,114.0,105.4,105.75,2022-12-20,706
103.4,107.9,100.8,102.9,2022-12-21,2340
105.45,105.45,98.3,100.3,2022-12-22,2159
103.85,103.85,95.5,99.5,2022-12-23,7695
99.5,103.5,99.5,103.5,2022-12-26,1409
107.95,107.95,99.1,104.1,2022-12-27,10548
104.75,104.8,100.15,101.0,2022-12-28,1060
100.4,103.7,100.4,102.95,2022-12-29,363
102.95,105.8,100.1,101.1,2022-12-30,4949
105.15,105.15,100.1,103.1,2023-01-02,4209
104.0,108.0,101.75,103.75,2023-01-03,2813
101.1,107.0,101.1,102.1,2023-01-04,775
102.15,105.0,100.9,102.1,2023-01-05,5056
102.65,102.8,102.15,102.45,2023-01-06,3099
107.55,107.55,107.55,107.55,2023-01-09,1746
112.9,112.9,112.9,112.9,2023-01-10,3847
118.5,118.5,118.5,118.5,2023-01-11,5652
124.4,124.4,124.4,124.4,2023-01-12,11164
130.6,130.6,130.6,130.6,2023-01-13,5913
137.1,137.1,130.0,137.1,2023-01-16,95432
143.95,143.95,143.95,143.95,2023-01-17,17091
151.1,151.1,137.0,151.1,2023-01-18,35524
158.45,158.65,151.65,158.65,2023-01-19,14127
166.55,166.55,166.55,166.55,2023-01-20,4185
174.85,174.85,161.0,174.85,2023-01-23,34601
183.55,183.55,183.55,183.55,2023-01-24,7388
192.7,192.7,183.0,192.7,2023-01-25,23631
198.35,199.0,181.0,185.65,2023-02-28,3679
181.95,191.95,176.6,184.7,2023-03-01,1418
184.95,190.5,182.05,182.1,2023-03-02,1225
182.15,182.85,173.0,179.75,2023-03-03,5498
178.45,179.0,171.1,175.0,2023-03-06,380
175.0,183.75,171.2,181.9,2023-03-08,1801
185.95,190.0,174.1,176.9,2023-03-09,1400
185.7,185.7,175.25,176.15,2023-03-10,687
176.1,176.1,167.35,167.35,2023-03-13,1045
162.05,175.7,160.0,172.1,2023-03-14,2352
175.75,180.0,171.0,172.15,2023-03-15,669
172.15,172.15,165.0,165.7,2023-03-16,2072
160.0,165.15,158.2,163.35,2023-03-17,916
163.35,163.35,162.0,162.0,2023-03-20,278
161.95,167.0,153.9,154.8,2023-03-21,6202
161.95,162.5,158.1,162.5,2023-03-22,4927
162.55,169.0,155.65,158.05,2023-03-23,802
162.4,165.9,150.15,162.65,2023-03-24,414
161.0,165.05,160.0,162.25,2023-03-27,5154
162.05,162.45,155.1,157.85,2023-03-28,548
165.0,165.7,157.1,165.65,2023-03-29,1842
158.2,173.8,157.6,158.65,2023-03-31,907
160.0,166.55,159.05,166.55,2023-04-03,2123
166.0,174.85,166.0,174.85,2023-04-05,2873
180.0,183.55,178.05,180.35,2023-04-06,3271
188.0,189.25,171.35,172.15,2023-04-10,3697
172.75,177.0,168.0,170.9,2023-04-11,618
179.0,187.95,178.75,187.95,2023-04-12,6556
205.0,206.7,188.0,206.7,2023-04-13,28712
221.0,227.35,188.3,193.3,2023-04-17,81554
198.0,198.0,174.0,174.95,2023-04-18,21535
174.0,174.45,169.05,171.45,2023-04-19,10643
169.9,170.0,164.0,168.25,2023-05-23,1706
175.0,175.0,164.5,165.95,2023-05-24,1509
165.0,165.9,160.6,165.15,2023-05-25,1487
165.1,168.85,161.05,162.2,2023-05-26,270
167.8,170.0,164.0,164.35,2023-05-29,1755
164.65,164.65,157.0,162.05,2023-05-30,5054
162.05,162.05,158.05,160.2,2023-05-31,652
161.95,161.95,158.0,161.7,2023-06-01,724
160.0,161.7,155.0,160.25,2023-06-02,1030
164.7,164.7,160.0,164.5,2023-06-05,513
164.5,169.0,164.5,168.2,2023-06-06,487
170.6,185.0,165.55,171.75,2023-06-07,127277
182.8,182.8,169.1,170.45,2023-06-08,6331
165.05,168.95,163.0,166.1,2023-06-09,2377
165.05,165.9,159.3,161.0,2023-06-12,6413
163.75,168.85,157.0,161.3,2023-06-13,6125
161.35,166.0,161.0,162.55,2023-06-14,1997
162.4,162.5,157.25,159.65,2023-06-15,1541
160.1,163.2,155.0,161.5,2023-06-16,2437
164.0,164.0,153.4,158.0,2023-06-19,2510
158.55,158.55,157.0,157.0,2023-06-20,853
156.45,160.9,147.8,157.15,2023-06-21,4749
156.5,166.95,143.55,156.55,2023-10-16,3924
158.0,164.0,158.0,164.0,2023-10-17,136
163.95,164.0,160.0,160.5,2023-10-18,3805
172.0,174.0,154.6,159.75,2023-10-19,2637
154.45,163.95,154.45,161.4,2023-10-20,1621
168.85,168.85,146.4,162.95,2023-10-23,5380
160.0,179.0,157.4,171.75,2023-10-25,3985
171.75,188.9,163.0,188.9,2023-10-26,27773
205.0,207.75,188.0,192.65,2023-10-27,75545
189.0,203.8,183.0,199.45,2023-10-30,12095
209.0,209.0,196.4,203.55,2023-10-31,24879
209.9,221.6,206.3,211.5,2023-11-01,25268
218.95,218.95,208.6,210.55,2023-11-02,4381
206.1,221.9,206.1,215.25,2023-11-03,6285
220.0,220.0,210.5,213.7,2023-11-06,3471
